category,subtopic,prompt,optionA,optionB,optionC,optionD,answerIndex,explanation
NUMERICAL REASONING,Data Interpretation,"The table below presents the annual budget allocation (in Pesos) for four barangays in FY 2024:

| Barangay | Health | Education | Infrastructure |
| --- | --- | --- | --- |
| Barangay A | 400,000 | 600,000 | 1,000,000 |
| Barangay B | 500,000 | 800,000 | 1,200,000 |
| Barangay C | 300,000 | 500,000 | 700,000 |
| Barangay D | 600,000 | 900,000 | 1,500,000 |

What percentage of the total municipal budget across all four barangays is allocated specifically to Infrastructure?",40%,44%,48%,52%,2,"• Health = 1,800,000 | Education = 2,800,000 | Infrastructure = 4,400,000
• Total Municipal Budget = ₱9,000,000
• Infrastructure Share = (4,400,000 / 9,000,000) × 100 = 48.89% ≈ 48.89%"
NUMERICAL REASONING,Data Interpretation,"The text bar graph below represents quarterly rice production (in metric tons, MT) for Region V over one agricultural year:

Quarter 1: [████████] 160 MT
Quarter 2: [████████████] 240 MT
Quarter 3: [████████████████] 320 MT
Quarter 4: [██████████] 200 MT

By what percentage did rice production increase from Quarter 1 to Quarter 3?",50%,75%,100%,120%,2,"• Q1 Production = 160 MT
• Q3 Production = 320 MT
• Absolute Increase = 320 − 160 = 160 MT
• Percentage Increase = (160 / 160) × 100 = 100%"
NUMERICAL REASONING,Data Interpretation,"The text representation below details monthly electricity consumption (in MWh) of a provincial capitol building from January to June:

| Month | Power (MWh) |
| --- | --- |
| Jan | 120 |
| Feb | 135 |
| Mar | 150 |
| Apr | 180 |
| May | 210 |
| Jun | 195 |

What was the average monthly electricity consumption (in MWh) of the capitol building over this six-month period?",155 MWh,165 MWh,170 MWh,175 MWh,1,"• Total Consumption = 120 + 135 + 150 + 180 + 210 + 195 = 990 MWh
• Months = 6
• Average = 990 / 6 = 165 MWh"
NUMERICAL REASONING,Data Interpretation,"The breakdown below represents the daily solid waste composition (totaling 1,200 metric tons) collected in a highly urbanized city:

| Waste Category | Percentage Share |
| --- | --- |
| Biodegradable | 45% |
| Recyclable Plastics | 25% |
| Paper & Cardboard | 15% |
| Residual Waste | 10% |
| Special / Hazardous | 5% |

How many metric tons of daily waste consist of Recyclable Plastics and Paper & Cardboard combined?",360 MT,420 MT,480 MT,540 MT,2,"• Recyclable Plastics (25%) + Paper & Cardboard (15%) = 40%
• Total Daily Waste = 1,200 MT
• Combined Weight = 1,200 × 0.40 = 480 MT"
NUMERICAL REASONING,Data Interpretation,"The tables below show civil service review course enrollment and the subsequent exam passing rate for four review centers:

Table 1: Enrollment per Center
| Center | Enrolled Students |
| --- | --- |
| Center W | 500 |
| Center X | 800 |
| Center Y | 600 |
| Center Z | 400 |

Table 2: Exam Passing Rate (%)
| Center | Passing Rate (%) |
| --- | --- |
| Center W | 60% |
| Center X | 45% |
| Center Y | 70% |
| Center Z | 75% |

Which review center produced the highest absolute number of successful exam passers?",Center W,Center X,Center Y,Center Z,2,"• Passers Center W = 500 × 0.60 = 300
• Passers Center X = 800 × 0.45 = 360
• Passers Center Y = 600 × 0.70 = 420
• Passers Center Z = 400 × 0.75 = 300
• Center Y produced the highest number of passers (420)."
NUMERICAL REASONING,Data Interpretation,"A state university press recorded the following financial performance over two consecutive fiscal years:

| Fiscal Year | Gross Revenue (₱) | Operating Expenses (₱) |
| --- | --- | --- |
| FY 2023 | 5,000,000 | 3,800,000 |
| FY 2024 | 6,200,000 | 4,400,000 |

By what percentage did the net profit (Revenue − Expenses) increase from FY 2023 to FY 2024?",40%,45%,50%,55%,2,"• FY 2023 Net Profit = 5,000,000 − 3,800,000 = ₱1,200,000
• FY 2024 Net Profit = 6,200,000 − 4,400,000 = ₱1,800,000
• Increase = 1,800,000 − 1,200,000 = ₱600,000
• Percentage Increase = (600,000 / 1,200,000) × 100 = 50%"
NUMERICAL REASONING,Data Interpretation,"The table below lists the number of Administrative Officers and Technical Specialists in three regional government offices:

| Office | Administrative Officers | Technical Specialists |
| --- | --- | --- |
| Region I | 45 | 105 |
| Region II | 30 | 90 |
| Region III | 60 | 120 |

Which region has the lowest ratio of Administrative Officers to Technical Specialists?",Region I,Region II,Region III,Region I & Region II,1,"• Region I Ratio = 45 / 105 = 0.428 (3:7)
• Region II Ratio = 30 / 90 = 0.333 (1:3)
• Region III Ratio = 60 / 120 = 0.500 (1:2)
• Region II has the lowest ratio (0.333)."
NUMERICAL REASONING,Data Interpretation,"The table below shows annual corn crop yields (in metric tons) for four agricultural provinces from 2021 to 2023:

| Province | 2021 | 2022 | 2023 |
| --- | --- | --- | --- |
| Province A | 1,200 | 1,500 | 1,800 |
| Province B | 1,400 | 1,600 | 1,500 |
| Province C | 1,000 | 1,300 | 1,900 |
| Province D | 1,600 | 1,700 | 1,800 |

Which province achieved the highest 3-year average corn crop yield?",Province A,Province B,Province C,Province D,3,"• Province A Average = (1200+1500+1800)/3 = 1,500 MT
• Province B Average = (1400+1600+1500)/3 = 1,500 MT
• Province C Average = (1000+1300+1900)/3 = 1,400 MT
• Province D Average = (1600+1700+1800)/3 = 1,700 MT
• Province D achieved the highest average (1,700 MT)."
NUMERICAL REASONING,Data Interpretation,"The table below shows authorized bed capacity and average occupied beds for four provincial public hospitals:

| Hospital | Authorized Bed Capacity | Average Occupied Beds |
| --- | --- | --- |
| Hospital W | 200 | 180 |
| Hospital X | 150 | 141 |
| Hospital Y | 300 | 255 |
| Hospital Z | 250 | 230 |

Which hospital recorded the highest bed occupancy rate (percentage of authorized capacity occupied)?",Hospital W,Hospital X,Hospital Y,Hospital Z,1,"• Hospital W Rate = 180 / 200 = 90.0%
• Hospital X Rate = 141 / 150 = 94.0%
• Hospital Y Rate = 255 / 300 = 85.0%
• Hospital Z Rate = 230 / 250 = 92.0%
• Hospital X achieved the highest occupancy rate (94.0%)."
NUMERICAL REASONING,Data Interpretation,"The table below summarizes four road paving projects undertaken by a regional DPWH district office:

| Project | Road Length (km) | Total Project Cost (₱) |
| --- | --- | --- |
| Project Alpha | 12 | 48,000,000 |
| Project Beta | 15 | 75,000,000 |
| Project Gamma | 20 | 90,000,000 |
| Project Delta | 8 | 36,000,000 |

If the office selects the project with the lowest cost per kilometer and expands its length by an additional 5 kilometers at that exact same unit cost, what will be the total cost of this expanded project?","₱52,000,000","₱60,000,000","₱68,000,000","₱75,000,000",2,"• Unit Costs per km:
  - Alpha: 48M / 12 = ₱4.0M/km
  - Beta: 75M / 15 = ₱5.0M/km
  - Gamma: 90M / 20 = ₱4.5M/km
  - Delta: 36M / 8 = ₱4.5M/km
• Lowest cost project = Project Alpha (₱4.0M/km)
• Expanded Length = 12 + 5 = 17 km
• Total Cost = 17 km × ₱4,000,000/km = ₱68,000,000"
