"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article X, Section 4 of the 1987 Constitution and settled jurisprudence (e.g., Drilon v. Lim, Ganzon v. Court of Appeals), what is the exact nature and limit of the PRESIDENT'S POWER over local government units (LGUs)?","The President of the Philippines exercises GENERAL SUPERVISION over local governments, which is limited to seeing that local officials obey the laws, and DOES NOT include the power of control (the President cannot alter, modify, or set aside local executive decisions).","The President exercises full and plenary control over local governments, and can unilaterally remove elective mayors and governors at will.","The President possesses no constitutional relationship whatsoever with local government units.","The President can veto local municipal tax ordinances and substitute them with executive orders.","A","Step-by-Step Solution:
1. Constitutional Text: Article X, Section 4:
   'The President of the Philippines shall exercise general supervision over local governments. Provinces with respect to component cities and municipalities, and cities and municipalities with respect to component barangays, shall ensure that the acts of their component units are within the scope of their prescribed powers and functions.'
2. Landmark Jurisprudential Distinction (Drilon v. Lim, 235 SCRA 135; Ganzon v. CA, 200 SCRA 271; Pimentel v. Aguirre):
   - Power of CONTROL: The power of an officer to alter, modify, nullify, or set aside what a subordinate had done in the performance of their duties and substitute the officer's own judgment. (The President has control over executive departments under Art. VII, Sec. 17).
   - Power of GENERAL SUPERVISION: The power of a superior officer to see to it that lower officers perform their duties in accordance with law; if they fail, to take proper statutory steps to hold them accountable. SUPERVISION DOES NOT CONFER POWER TO OVERRULE OR SUBSTITUTE JUDGMENT.
   - The President exercises ONLY GENERAL SUPERVISION over LGUs, NOT CONTROL.
3. Option A is the foundational constitutional doctrine.

Common Trap: Confusing 'supervision' with 'control'; the President has control over Cabinet departments, but ONLY supervision over Local Government Units.
Exam Tip: President's power over LGUs = GENERAL SUPERVISION ONLY (No power of control).","Correct. Survives elimination because Article X, Section 4 and long-standing doctrine (Drilon v. Lim) limit the President's authority over LGUs strictly to general supervision—ensuring laws are obeyed—without the power of control or the ability to substitute local decisions.","Eliminated because the President has no power of control over LGUs and cannot remove elective local officials without statutory due process (Ganzon v. CA).","Eliminated because the President retains the constitutional power of general supervision under Section 4.","Eliminated because local tax ordinances are legislative acts of local sanggunians subject to judicial review, not presidential vetoes.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"In the landmark constitutional ruling of Mandanas v. Ochoa, Jr. (G.R. No. 199802, July 3, 2018 & April 10, 2019), what did the Supreme Court establish regarding the local governments' JUST SHARE IN TAXES under Article X, Section 6?","The constitutional term 'national taxes' encompasses ALL national tax collections (including customs tariffs, VAT, excise taxes, and documentary stamp taxes), and is not limited merely to 'internal revenue' taxes collected by the Bureau of Internal Revenue (BIR).","The just share of LGUs is limited exclusively to national income taxes collected from registered corporations.","Congress can indefinitely suspend the release of the National Tax Allotment during national economic downturns.","Local governments are only entitled to receive tax shares if their municipal budget exhibits an annual operational surplus.","A","Step-by-Step Solution:
1. Landmark Case: Mandanas v. Ochoa, Jr. (869 SCRA 440, 2018 & 899 SCRA 391, 2019), penned by Justice Lucas Bersamin.
2. Constitutional Text: Article X, Section 6:
   'Local government units shall have a just share, as determined by law, in the NATIONAL TAXES which shall be automatically released to them.'
3. Historical Context & Supreme Court Ruling:
   - Section 284 of Republic Act No. 7160 (Local Government Code) had restricted the base for computing the LGU share (the 'Internal Revenue Allotment' / IRA) to 'national internal revenue taxes' collected by the BIR under the NIRC.
   - This excluded customs duties, tariffs, and other national taxes collected by the Bureau of Customs (BOC) and other agencies.
   - Supreme Court Holding: The restriction to 'internal revenue taxes' was UNCONSTITUTIONAL.
   - The Constitution commands a share in ALL 'NATIONAL TAXES.'
   - Therefore, the base must include all collections by the BIR, BOC, and other national tax collecting bodies, significantly expanding the funding base (now known as the National Tax Allotment / NTA).
4. Option A is the precise legal holding of the Mandanas ruling.

Common Trap: Believing the LGU share is still called IRA and based only on BIR collections; Mandanas expanded the base to ALL National Taxes (renamed NTA).
Exam Tip: Mandanas v. Ochoa = LGU 'just share' is based on ALL NATIONAL TAXES (including customs duties and tariffs), not just BIR internal revenue taxes.","Correct. Survives elimination because Mandanas v. Ochoa held that Article X, Section 6 guarantees LGUs a just share in all national taxes (including customs duties and tariffs collected by the Bureau of Customs), rendering the statutory restriction to BIR internal revenue taxes unconstitutional.","Eliminated because the Supreme Court explicitly ruled that all national taxes, not merely corporate income taxes, form the base of the LGU allotment.","Eliminated because Article X, Section 6 commands that the LGU share 'shall be automatically released,' prohibiting executive withholding or congressional suspension.","Eliminated because the National Tax Allotment is a mandatory constitutional entitlement that does not depend on LGU surplus balances.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"Under Article X, Section 10 of the 1987 Constitution, what are the TWO INDISPENSABLE REQUISITES for the valid creation, division, merger, abolition, or substantial alteration of boundaries of any province, city, municipality, or barangay?","(1) Compliance with the criteria established in the Local Government Code (income, population, and land area), and (2) Approval by a majority of the votes cast in a PLEBISCITE in the political units directly affected.","(1) A presidential executive proclamation, and (2) Approval by the League of Municipalities of the Philippines.","(1) A joint resolution of the Senate and House, and (2) Clearance from the Department of Budget and Management.","(1) Unanimous consent of the provincial governor, and (2) A five-year administrative transition period.","A","Step-by-Step Solution:
1. Constitutional Text: Article X, Section 10 states:
   'No province, city, municipality, or barangay may be created, divided, merged, abolished, or its boundary substantially altered, except in accordance with the criteria established in the local government code and subject to approval by a majority of the votes cast in a plebiscite in the political units directly affected.'
2. Two Mandatory Constitutional Requisites:
   - 1. Compliance with the criteria established in the Local Government Code (RA 7160):
     - Minimum Average Annual Income
     - Minimum Population Count
     - Minimum Contiguous Land Area
   - 2. Approval by a MAJORITY of votes cast in a PLEBISCITE in the political units directly affected (Tan v. COMELEC, Padilla v. COMELEC).
3. Meaning of 'Political Units Directly Affected' (Padilla v. COMELEC, 214 SCRA 735):
   - If a municipality is carved out of a mother province, the plebiscite must include the ENTIRE mother province, not just the specific territory being carved out.
4. Option A is the complete, exact constitutional requirement.

Common Trap: Believing Congress or the President can create a city or province without a plebiscite; a PLEBISCITE of the affected electorate is a mandatory constitutional requirement.
Exam Tip: Creation/Alteration of LGUs = Local Government Code criteria + PLEBISCITE approved by majority of affected voters.","Correct. Survives elimination because Article X, Section 10 strictly requires both statutory compliance with Local Government Code criteria (income, population, land area) and ratification by a majority in a plebiscite held in the directly affected political units.","Eliminated because an executive proclamation cannot create an LGU; creation requires a legislative charter and a mandatory plebiscite.","Eliminated because a congressional bill creating an LGU is invalid without the mandatory popular plebiscite.","Eliminated because the provincial governor's personal consent cannot replace the constitutional plebiscite of the sovereign electorate.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"Under Article X, Section 8 of the 1987 Constitution, what is the term of office of elective local officials, and what is the CONSECUTIVE TERM LIMIT?","Three (3) years; no local elective official shall serve for more than three (3) consecutive terms (total of 9 consecutive years).","Four (4) years; no local elective official shall serve for more than two (2) consecutive terms (total of 8 years).","Three (3) years; local elective officials may serve unlimited consecutive terms.","Five (5) years; local elective officials are limited to a single term without reelection.","A","Step-by-Step Solution:
1. Constitutional Text: Article X, Section 8:
   'The term of office of elective local officials, except barangay officials, which shall be determined by law, shall be three years and no such official shall serve for more than three consecutive terms. Voluntary renunciation of the office for any length of time shall not be considered as an interruption in the continuity of his service for the full term for which he was elected.'
2. Key Elements:
   - Term Length = 3 YEARS.
   - Consecutive Term Limit = THREE (3) CONSECUTIVE TERMS (9 years maximum uninterrupted service).
   - Voluntary Renunciation Rule: Voluntarily stepping down, resigning temporarily, or taking a leave of absence does NOT interrupt the term (it still counts as a full term served for three-term limit purposes; Aldovino v. COMELEC, Latasa v. COMELEC).
   - Involuntary Interruption Rule: When an official is unseated by final judgment in an election protest or preventive suspension, that constitutes an involuntary interruption that resets the 3-term counter (Lonzanida v. COMELEC, Montebon v. COMELEC).
   - Barangay officials: Term is determined by statutory law (RA 9164 / RA 10952), not fixed by Article X, Section 8.
3. Option A is the verbatim constitutional rule.

Common Trap: Thinking local officials have 4-year terms; all local elective officials (Governors, Mayors, Councilors) have 3-year terms, capped at 3 consecutive terms.
Exam Tip: Local Elective Officials = 3-year term, maximum 3 consecutive terms (Voluntary renunciation does NOT interrupt continuity).","Correct. Survives elimination because Article X, Section 8 explicitly fixes the term of elective local officials (except barangay officials) at three years, with a strict cap of not more than three consecutive terms.","Eliminated because the 1987 Constitution established 3-year terms for local officials, not 4-year terms.","Eliminated because unlimited consecutive terms are barred by the three-consecutive-term limit.","Eliminated because 5-year terms do not apply to Philippine local elective governance.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"In the landmark ruling of League of Cities of the Philippines v. Commission on Elections (G.R. No. 176951, April 12, 2011), what was the final en banc decision regarding the validity of the '16 CITYHOOD LAWS' that exempted certain municipalities from the increased income requirement of RA 9009?","The 16 Cityhood Laws were declared CONSTITUTIONAL because Congress validly intended to exempt pending conversion bills that had already complied with the pre-amendment criteria of the Local Government Code.","The 16 Cityhood Laws were permanently struck down as void for violating the Equal Protection Clause.","The Supreme Court ordered the abolition of all 16 cities and their reversion to barangays.","The Supreme Court ruled that only the President can create cities through administrative orders.","A","Step-by-Step Solution:
1. Landmark Case History: League of Cities of the Philippines (LCP) v. COMELEC:
   - Background: In 2001, Congress passed Republic Act No. 9009 amending Section 450 of the Local Government Code, raising the locally generated income requirement for cityhood from PHP 20 million to PHP 100 million.
   - Congress subsequently passed 16 individual Cityhood Laws (e.g., Baybay, Bogo, Catbalogan, Tandag, etc.) converting municipalities that met the old PHP 20M requirement into cities, exempting them from RA 9009's PHP 100M threshold.
   - The case went through historic flip-flops (struck down, then upheld, struck down, then ultimately UPHELD).
2. Final En Banc Ruling (April 12, 2011 & June 28, 2011, penned by Justice Lucas Bersamin):
   - The 16 Cityhood Laws are CONSTITUTIONAL.
   - Congress, in enacting RA 9009, expressly intended to exempt the 16 municipalities whose conversion bills were already pending prior to the passage of RA 9009.
   - The exemption was based on a valid and reasonable classification and did not violate the Equal Protection Clause or Article X, Section 10.
3. Option A is the definitive, final legal status of the 16 Cityhood Laws.

Common Trap: Remembering earlier interim rulings that struck down the cityhood laws; the FINAL, definitive, and executory 2011 ruling UPHELD the 16 Cityhood Laws as constitutional.
Exam Tip: League of Cities v. COMELEC (Final 2011 Ruling) = The 16 Cityhood Laws are CONSTITUTIONAL.","Correct. Survives elimination because the Supreme Court's final en banc resolution in League of Cities v. COMELEC definitively upheld the 16 Cityhood Laws as constitutional, affirming Congress's power to exempt pending municipalities from RA 9009.","Eliminated because the earlier rulings striking down the cityhood laws were reversed by the Court's final 2011 resolution.","Eliminated because the 16 municipalities were successfully and permanently converted into component cities.","Eliminated because cities can only be created by an Act of Congress ratified in a plebiscite, not by presidential order.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"Under Article X, Section 5 of the 1987 Constitution, what is the nature and constitutional scope of the LOCAL TAXATION POWER granted to Local Government Units?","Each local government unit shall have the power to create its own sources of revenues and to levy taxes, fees, and charges subject to such guidelines and limitations as the Congress may provide, consistent with the basic policy of local autonomy; such taxes, fees, and charges shall accrue exclusively to the local governments.","LGUs have no inherent power of taxation and must remit all local collections to the national treasury.","LGUs can only collect parking fees and have no power to levy business or real property taxes.","LGUs can impose customs tariffs on goods imported from foreign nations.","A","Step-by-Step Solution:
1. Constitutional Text: Article X, Section 5 states:
   'Each local government unit shall have the power to create its own sources of revenues and to levy taxes, fees, and charges subject to such guidelines and limitations as the Congress may provide, consistent with the basic policy of local autonomy. Such taxes, fees, and charges shall accrue exclusively to the local governments.'
2. Landmark Legal Principles (Ferrer v. Bautista, G.R. No. 210551, 2015; Mactan Cebu International Airport Authority v. Marcos):
   - Under the 1987 Constitution, the power of local taxation is a DIRECT CONSTITUTIONAL GRANT (no longer a mere delegated statutory power from the legislature).
   - However, it is subject to statutory guidelines and limitations set by Congress in the Local Government Code (Book II of RA 7160).
   - Exclusive Accrual: Local tax revenues ACCRUE EXCLUSIVELY to the LGU that collected them; the national government cannot siphon or divert local tax proceeds.
3. Option A is the verbatim constitutional rule.

Common Trap: Believing local taxation power is absolute; it is a direct constitutional grant, but remains subject to statutory limits established by Congress.
Exam Tip: Article X, Section 5 = Direct constitutional grant of local taxation; proceeds ACCRUE EXCLUSIVELY to the LGU.","Correct. Survives elimination because Article X, Section 5 confers a direct constitutional power on LGUs to create revenue sources and levy local taxes/fees consistent with local autonomy, with revenues accruing exclusively to the local government.","Eliminated because under the 1987 Constitution, local taxation is directly granted by fundamental law and local revenues do not remit to the national treasury.","Eliminated because LGUs possess broad statutory authority to levy local real property taxes, business taxes, and regulatory fees.","Eliminated because customs duties and foreign import tariffs are exclusively national taxes under the national government (Article VI, Section 24).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"In Pimentel v. Aguirre (G.R. No. 132988, July 19, 2000), what did the Supreme Court rule regarding the President's withholding of 5% of the Internal Revenue Allotment (IRA) through Administrative Order No. 372?","The withholding of 5% of the IRA was UNCONSTITUTIONAL because Article X, Section 6 mandates that the local governments' share in national taxes shall be AUTOMATICALLY RELEASED, prohibiting the President from withholding or imposing conditions on IRA disbursements.","The withholding was valid as an exercise of the President's plenary power of control over local governance budgets.","The President can indefinitely withhold LGU funds whenever the national deficit exceeds statutory targets.","The Supreme Court ruled that local governments have no right to question presidential spending freezes.","A","Step-by-Step Solution:
1. Landmark Case: Pimentel v. Aguirre (336 SCRA 201, 2000), penned by Justice Artemio Panganiban.
2. Facts: In 1997, President Ramos issued Administrative Order No. 372 directing government agencies and LGUs to reduce expenditures by 25%, and authorized the DBM to withhold 5% of the internal revenue allotment (IRA) of LGUs. Former Senator Aquilino Pimentel, Jr. challenged the AO.
3. Supreme Court Ruling (En Banc):
   - 1. The 5% withholding of the IRA was UNCONSTITUTIONAL.
   - 2. Article X, Section 6 of the 1987 Constitution explicitly commands that the just share of LGUs 'SHALL BE AUTOMATICALLY RELEASED.'
   - 3. 'Automatic release' means the funds must be disbursed directly, regularly, and without the need for any further executive authorization, condition, or withholding.
   - 4. The President exercises only supervision, not control, over LGUs and cannot impound or withhold statutory allotments due to local governments.
4. Option A is the precise legal holding of Pimentel v. Aguirre.

Common Trap: Believing the President's general budgetary powers allow across-the-board freezes on LGU funds; the constitutional 'automatic release' mandate protects LGU shares from executive withholding.
Exam Tip: Pimentel v. Aguirre = IRA / National Tax Allotment MUST BE AUTOMATICALLY RELEASED; Executive withholding or impoundment is UNCONSTITUTIONAL.","Correct. Survives elimination because Pimentel v. Aguirre firmly established that Article X, Section 6 mandates the automatic release of LGU tax shares, rendering presidential administrative withholding unconstitutional.","Eliminated because the President possesses only supervision, not control, over local governments.","Eliminated because national economic deficits cannot override the constitutional command of automatic LGU allotment releases.","Eliminated because LGUs and citizens have clear legal standing to challenge unconstitutional executive impoundment of local funds.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"Under Article X, Section 15 of the 1987 Constitution, which TWO regions in the Philippines are constitutionally authorized to establish AUTONOMOUS REGIONS?","Muslim Mindanao and the Cordilleras.","The National Capital Region and Central Luzon.","The Ilocos Region and Bicol Region.","Western Visayas and Eastern Visayas.","A","Step-by-Step Solution:
1. Constitutional Text: Article X, Section 15 states:
   'There shall be created autonomous regions in Muslim Mindanao and in the Cordilleras consisting of provinces, cities, municipalities, and geographical areas sharing common and distinctive historical and cultural heritage, economic and social structures, and other relevant characteristics within the framework of this Constitution and the national sovereignty as well as territorial integrity of the Republic of the Philippines.'
2. Two Authorized Autonomous Regions:
   - 1. Muslim Mindanao (currently organized as the Bangsamoro Autonomous Region in Muslim Mindanao / BARMM under RA 11054 / Bangsamoro Organic Law).
   - 2. The Cordilleras (currently organized as the Cordillera Administrative Region / CAR under EO 220, pending ratification of an organic act).
3. Option A is the verbatim constitutional list of authorized autonomous regions.

Common Trap: Confusing administrative regions (e.g., Region I, Region VII, NCR) with constitutionally authorized AUTONOMOUS REGIONS (Muslim Mindanao and Cordilleras).
Exam Tip: Constitutional Autonomous Regions = (1) Muslim Mindanao (BARMM) and (2) The Cordilleras (CAR).","Correct. Survives elimination because Article X, Section 15 explicitly singles out Muslim Mindanao and the Cordilleras as the two regions constitutionally authorized to establish autonomous regional governance.","Eliminated because NCR and Central Luzon are standard administrative subdivisions, not constitutional autonomous regions.","Eliminated because Ilocos and Bicol are ordinary administrative regions.","Eliminated because the Visayas island group does not contain constitutional autonomous regional frameworks.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"Under Article X, Section 18 of the 1987 Constitution, how does an ORGANIC ACT creating an autonomous region take effect and become legally operational?","It must be enacted by Congress and approved by a majority of the votes cast by the constituent units in a PLEBISCITE called for the purpose; only provinces, cities, and geographic areas voting favorably in such plebiscite shall be included in the autonomous region.","It takes effect immediately upon signature of the President without needing any plebiscite.","It must be ratified by a nationwide plebiscite across all 82 provinces of the Philippines.","It takes effect upon approval by the United Nations General Assembly.","A","Step-by-Step Solution:
1. Constitutional Text: Article X, Section 18, second paragraph:
   'The creation of the autonomous region shall be effective when approved by majority of the votes cast by the constituent units in a plebiscite called for the purpose, PROVIDED THAT ONLY PROVINCES, CITIES, AND GEOGRAPHIC AREAS VOTING FAVORABLY IN SUCH PLEBISCITE SHALL BE INCLUDED IN THE AUTONOMOUS REGION.'
2. Meaning of the Single-Unit Plebiscite Rule (Abbas v. COMELEC, 179 SCRA 287; Sema v. COMELEC):
   - The creation of an autonomous region does not require a nationwide vote.
   - It is voted on ONLY by the constituent provinces and cities proposed for inclusion.
   - Crucial Rule: In the plebiscite, if Province A votes 'YES' and Province B votes 'NO', only Province A joins the autonomous region. Province B remains an ordinary province under the national government.
3. Option A is the verbatim constitutional requirement and rule.

Common Trap: Believing if the majority of the entire region votes yes, all provinces are forced to join; Section 18 contains the strict proviso that ONLY units voting FAVORABLY shall be included.
Exam Tip: Autonomous Region Plebiscite: Only provinces/cities that vote FAVORABLY are included in the autonomous region.","Correct. Survives elimination because Article X, Section 18 mandates that an organic act becomes effective only when approved in a local plebiscite, and strictly limits inclusion in the autonomous region to provinces and cities that vote favorably.","Eliminated because presidential signature alone cannot create an autonomous region without a statutory organic act and a popular plebiscite.","Eliminated because the plebiscite is held exclusively in the constituent units proposed for inclusion, not nationwide.","Eliminated because the creation of domestic autonomous regions is an internal sovereign constitutional process independent of UN voting.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
"In the landmark decision of Limbona v. Mangelin (G.R. No. 80391, February 28, 1989), how did the Supreme Court distinguish DECENTRALIZATION OF ADMINISTRATION from DECENTRALIZATION OF POWER?","Decentralization of administration involves the delegation of administrative execution to local agencies under the control of the national executive, whereas decentralization of power involves the abdication of political power to autonomous local bodies who are free to chart their own destination with minimal state intervention.","Decentralization of power applies only to the military, while decentralization of administration applies to private corporations.","Decentralization of administration is unconstitutional, while decentralization of power is mandatory for every barangay.","The two terms are legally identical and denote federalism under a parliamentary government.","A","Step-by-Step Solution:
1. Landmark Case: Limbona v. Mangelin (170 SCRA 786, 1989), penned by Justice Isagani Cruz.
2. The Two Forms of Decentralization in Constitutional Law:
   - 1. DECENTRALIZATION OF ADMINISTRATION (Administrative Decentralization / Deconcentration):
     - Applies to ordinary local government units (provinces, cities, municipalities, barangays).
     - Central government delegates administrative powers to local political subdivisions to make governance more responsive and effective.
     - The national government remains unitary and retains sovereign political authority; the President exercises general supervision.
   - 2. DECENTRALIZATION OF POWER (Political Decentralization / Devolution):
     - Applies specifically to AUTONOMOUS REGIONS (Article X, Section 15).
     - The central government abdicates or transfers real political legislative powers to regional assemblies, allowing the region to chart its own socio-economic and cultural destination with minimal interference from the national government, within the framework of national sovereignty and territorial integrity.
3. Option A is the precise jurisprudential formulation of Limbona v. Mangelin.

Common Trap: Assuming ordinary cities/provinces have 'decentralization of power'; ordinary LGUs enjoy decentralization of administration, while only autonomous regions possess decentralization of power.
Exam Tip: Limbona v. Mangelin: Ordinary LGUs = Decentralization of Administration. Autonomous Regions = Decentralization of Power.","Correct. Survives elimination because Limbona v. Mangelin established that decentralization of administration delegates operational execution while preserving central supervision, whereas decentralization of power grants genuine political autonomy to autonomous regions.","Eliminated because decentralization doctrines govern civilian governmental administration and local autonomy, not military hierarchy.","Eliminated because decentralization of administration is the bedrock constitutional principle governing all 82 provinces and thousands of municipalities under Article X.","Eliminated because the Philippines is a unitary republic where decentralization of administration and decentralization of power represent two distinct legal tiers of local autonomy.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Local Government | Very Difficult | Batch 135"
