"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Choose the sentence that adheres strictly to the rules of subject-verb agreement in formal administrative English.","The director, together with his regional deputies and legal consultants, is attending the emergency inter-agency meeting.","The director, together with his regional deputies and legal consultants, are attending the emergency inter-agency meeting.","The director, together with his regional deputies and legal consultants, were attending the emergency inter-agency meeting.","The director, together with his regional deputies and legal consultants, have been attending the emergency inter-agency meeting.","A","Step-by-Step Solution:
1. Identify the true grammatical subject: 'The director' (singular).
2. Analyze intervening parenthetical phrases: 'together with his regional deputies and legal consultants' is an intervening prepositional/parenthetical modifier and does NOT alter the number of the main subject.
3. Determine verb number: Singular subject 'director' requires the singular verb 'is attending'.
4. Option A is grammatically correct. Options B, C, and D commit proximity errors by erroneously agreeing with the plural objects in the modifier.

Common Trap: Matching the verb with the nearest plural nouns ('deputies', 'consultants') rather than the true head subject ('director').
Exam Tip: Intervening phrases introduced by 'together with', 'along with', 'as well as', 'in addition to', and 'accompanied by' never change the subject's number.","Correct. 'The director' is singular, and the intervening phrase 'together with...' does not affect the singular verb 'is attending'.","Eliminated because 'are attending' incorrectly treats the parenthetical phrase as a compound subject.","Eliminated because 'were attending' uses a plural past verb with a singular subject.","Eliminated because 'have been attending' is plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Select the sentence with the correct verb form for correlative conjunctions: 'Neither the department secretary nor the division chiefs _____ able to justify the sudden spike in operational expenses.'","were","was","is","has been","A","Step-by-Step Solution:
1. Rule for 'neither... nor': When two subjects are connected by 'neither... nor', the verb must agree in number and person with the closer subject (the principle of proximity).
2. Identify subjects: 'department secretary' (singular) and 'division chiefs' (plural).
3. The subject nearest to the verb is 'division chiefs' (plural).
4. Select the plural past verb: 'were' (Option A).

Common Trap: Defaulting to a singular verb because 'neither' sounds singular.
Exam Tip: In 'neither... nor' and 'either... or', look exclusively at the subject right next to the verb slot.","Correct. Under the rule of proximity for 'neither... nor', the verb agrees with the closer plural subject 'division chiefs', requiring 'were'.","Eliminated because 'was' incorrectly agrees with the distant singular subject 'secretary'.","Eliminated because 'is' is singular present, violating agreement with 'chiefs'.","Eliminated because 'has been' is singular.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Choose the sentence that correctly applies subject-verb agreement to indefinite pronouns.","Each of the newly appointed revenue examiners is required to undergo a comprehensive background check.","Each of the newly appointed revenue examiners are required to undergo a comprehensive background check.","Each of the newly appointed revenue examiners were required to undergo a comprehensive background check.","Each of the newly appointed revenue examiners have been required to undergo a comprehensive background check.","A","Step-by-Step Solution:
1. Identify the subject: 'Each' (an indefinite singular pronoun).
2. Analyze the prepositional phrase: 'of the newly appointed revenue examiners' modifies 'Each' and contains a plural object, but the subject remains 'Each'.
3. Determine verb agreement: Singular pronoun 'Each' takes singular verb 'is required'.
4. Option A is correct.

Common Trap: Looking at the plural noun 'examiners' right before the verb and choosing 'are'.
Exam Tip: 'Each', 'everyone', 'everybody', 'anyone', 'anybody', 'someone', 'somebody', 'no one', and 'nobody' are strictly singular.","Correct. 'Each' is a singular indefinite pronoun requiring the singular verb 'is required', unaffected by the plural prepositional object 'examiners'.","Eliminated because 'are required' incorrectly agrees with the plural noun inside the prepositional phrase.","Eliminated because 'were required' is plural.","Eliminated because 'have been required' is plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Select the sentence with proper subject-verb agreement involving fractional expressions and percentages.","Seventy percent of the national budget was allocated to social protection and infrastructure projects.","Seventy percent of the national budget were allocated to social protection and infrastructure projects.","Seventy percent of the national budget are allocated to social protection and infrastructure projects.","Seventy percent of the national budget have been allocated to social protection and infrastructure projects.","A","Step-by-Step Solution:
1. Rule for fractions and percentages: With expressions like 'percent of' or 'fraction of', the verb agrees with the noun in the 'of' prepositional phrase (the object of the preposition).
2. Identify the object: 'the national budget' is a singular collective mass noun.
3. Determine verb: Singular object 'budget' takes singular verb 'was allocated'.
4. Option A is correct.

Common Trap: Assuming percentages are always plural numbers.
Exam Tip: If the object of the preposition is singular/uncountable (budget, rice, water), use a singular verb; if plural (students, projects), use a plural verb.","Correct. With percentages, verb number is determined by the object of 'of' ('national budget', singular), requiring the singular verb 'was allocated'.","Eliminated because 'were allocated' incorrectly assumes percentages are automatically plural.","Eliminated because 'are allocated' is plural.","Eliminated because 'have been allocated' is plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Choose the sentence that correctly handles inverted sentence structures.","Beneath the historical facade of the heritage buildings lies the newly renovated administrative archives.","Beneath the historical facade of the heritage buildings lie the newly renovated administrative archives.","Beneath the historical facade of the heritage buildings is lying the newly renovated administrative archives.","Beneath the historical facade of the heritage buildings was the newly renovated administrative archives.","B","Step-by-Step Solution:
1. Identify inverted structure: The sentence begins with a prepositional phrase of location ('Beneath the historical facade...').
2. Locate the true subject: The subject follows the verb: 'the newly renovated administrative archives' (plural).
3. Determine verb agreement: Plural subject 'archives' takes the plural base verb 'lie'.
4. Option B ('lie') is correct.

Common Trap: Treating 'facade' or 'buildings' as the subject and choosing singular 'lies'.
Exam Tip: When a sentence begins with a prepositional phrase of place ('In the drawer...', 'Beneath the stairs...'), look AFTER the verb to find the true subject.","Correct. In inverted sentences, the subject follows the verb. The plural subject 'archives' requires the plural verb 'lie'.","Eliminated because 'lies' is a singular verb, which creates an agreement error with the plural subject 'archives'.","Eliminated because 'is lying' is singular.","Eliminated because 'was' is singular.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Select the sentence with correct subject-verb agreement for relative pronoun clauses: 'She is one of those dedicated civil servants who _____ consistently exceeded performance benchmarks.'","have","has","was","is","A","Step-by-Step Solution:
1. Analyze the construction: 'one of those [plural noun] who [verb]'.
2. Relative pronoun antecedent: 'who' refers back to the plural noun 'dedicated civil servants', NOT 'one'.
3. Determine verb: Plural antecedent 'civil servants' requires the plural verb 'have exceeded'.
4. Option A is correct.

Common Trap: Blindly matching 'who' with 'one' and choosing 'has'. (Note: Only 'the ONLY one of those who...' takes a singular verb).
Exam Tip: In 'one of those X who...', the relative pronoun 'who' always modifies the plural noun X, requiring a plural verb.","Correct. In the construction 'one of those [plural noun] who', the relative pronoun 'who' refers to the plural antecedent 'civil servants', requiring the plural verb 'have'.","Eliminated because 'has' mistakenly treats 'one' as the antecedent instead of 'civil servants'.","Eliminated because 'was' is singular.","Eliminated because 'is' is singular.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Choose the sentence with correct agreement for collective nouns acting as a unified entity.","The committee has submitted its final recommendation to the Office of the President.","The committee have submitted their final recommendation to the Office of the President.","The committee are submitting its final recommendation to the Office of the President.","The committee were submitting its final recommendation to the Office of the President.","A","Step-by-Step Solution:
1. Identify subject: 'The committee' (a collective noun).
2. Context analysis: The committee is acting as a single, unified body producing one recommendation.
3. Determine verb and pronoun: Singular verb 'has submitted' and singular possessive pronoun 'its'.
4. Option A is grammatically and stylistically correct.

Common Trap: Inconsistently pairing a plural verb with a singular pronoun (e.g., 'The committee have submitted its...').
Exam Tip: When a collective noun acts as a unit, keep both the verb and pronouns singular ('committee has... its').","Correct. Collective nouns acting as a single unit take singular verbs ('has submitted') and singular pronouns ('its').","Eliminated because 'have submitted their' treats the body as divided individuals without context justifying plural action.","Eliminated because 'are submitting its' is an ungrammatical mismatch of plural verb and singular pronoun.","Eliminated because 'were submitting its' mixes plural verb with singular pronoun.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Select the sentence that correctly applies subject-verb agreement to compound subjects expressing a single idea.","Bread and butter is the staple breakfast provided in the evacuation center.","Bread and butter are the staple breakfast provided in the evacuation center.","Bread and butter were the staple breakfast provided in the evacuation center.","Bread and butter have been the staple breakfast provided in the evacuation center.","A","Step-by-Step Solution:
1. Rule for compound subjects: Two nouns joined by 'and' that represent a single, unified entity or concept (e.g., 'bread and butter', 'law and order', 'rice and fish') take a singular verb.
2. Context: 'Bread and butter' represents a single meal concept ('the staple breakfast').
3. Determine verb: Singular verb 'is'.
4. Option A is correct.

Common Trap: Automatically making any subject joined by 'and' plural.
Exam Tip: If two items joined by 'and' refer to a single dish, person, or unified concept, the verb is singular.","Correct. Compound subjects representing a single unified concept or dish ('bread and butter' = one breakfast unit) take a singular verb 'is'.","Eliminated because 'are' treats the combination as two disconnected separate items rather than a unified meal.","Eliminated because 'were' is plural.","Eliminated because 'have been' is plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Choose the sentence that correctly handles subjects modified by 'a number of' versus 'the number of'.","The number of registered examinees has increased by fifteen percent compared to last year's cohort.","The number of registered examinees have increased by fifteen percent compared to last year's cohort.","The number of registered examinees are increasing by fifteen percent compared to last year's cohort.","The number of registered examinees were increasing by fifteen percent compared to last year's cohort.","A","Step-by-Step Solution:
1. Distinguish rules:
 - 'The number of...' refers to the single statistical figure and is strictly SINGULAR.
 - 'A number of...' means 'many/several' and is strictly PLURAL.
2. Identify phrase: 'The number of registered examinees' -> requires a singular verb.
3. Determine verb: Singular verb 'has increased'.
4. Option A is correct.

Common Trap: Confusing 'the number' (singular) with 'a number' (plural).
Exam Tip: 'THE number' = Singular ('THE figure is...'); 'A number' = Plural ('A number are...').","Correct. 'The number of' denotes a singular mathematical figure, taking the singular verb 'has increased'.","Eliminated because 'have increased' confuses 'the number' with the plural 'a number'.","Eliminated because 'are increasing' is plural.","Eliminated because 'were increasing' is plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
"Select the sentence with correct subject-verb agreement involving units of measurement and sums of money.","Five hundred thousand pesos was allocated for the procurement of emergency disaster medical kits.","Five hundred thousand pesos were allocated for the procurement of emergency disaster medical kits.","Five hundred thousand pesos are allocated for the procurement of emergency disaster medical kits.","Five hundred thousand pesos have been allocated for the procurement of emergency disaster medical kits.","A","Step-by-Step Solution:
1. Rule for sums of money, time, and distance: Expressions indicating a total Σ, period of time, or measurement of distance are treated as singular quantities.
2. Subject: 'Five hundred thousand pesos' represents a single lu∓ Σ of funding.
3. Determine verb: Singular verb 'was allocated'.
4. Option A is correct.

Common Trap: Treating 'pesos' as a plural subject because it ends in 's'.
Exam Tip: Specific sums of money (10,000, 500,000 pesos) and periods of time (five years, ten hours) take singular verbs when considered as a single total.","Correct. Sums of money considered as a single lu∓ total take a singular verb ('was allocated').","Eliminated because 'were allocated' treats individual currency units separately rather than as a single lu∓ budget Σ.","Eliminated because 'are allocated' is plural.","Eliminated because 'have been allocated' is plural.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Subject-verb agreement | Difficult | Batch VA-007"
