"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4 of Republic Act No. 6713 (Code of Conduct and Ethical Standards for Public Officials and Employees), what are the EIGHT (8) MANDATORY NORMS OF CONDUCT that every public official and employee must observe in the performance of official duties?","(1) Commitment to public interest, (2) Professionalism, (3) Justness and sincerity, (4) Political neutrality, (5) Responsiveness to the public, (6) Nationalism and patriotism, (7) Commitment to democracy, and (8) Simple living.","(1) Financial profitability, (2) Corporate loyalty, (3) Strict secrecy, (4) Partisan activism, (5) Seniority privilege, (6) Personal branding, (7) Hierarchical obedience, and (8) Commercial marketing.","(1) Absolute immunity, (2) Judicial deference, (3) Budget maximization, (4) Political patronage, (5) Discretionary spending, (6) Foreign alignment, (7) Executive privilege, and (8) Public relations.","(1) Punctuality, (2) Physical fitness, (3) Digital literacy, (4) Uniform compliance, (5) Social media presence, (6) English fluency, (7) Overtime availability, and (8) Union solidarity.","A","Step-by-Step Solution:
1. Statutory Text: Republic Act No. 6713, Section 4:
 'Norms of Conduct of Public Officials and Employees. — (A) Every public official and employee shall observe the following as standards of personal conduct in the discharge and execution of official duties:
 (a) Commitment to public interest
 (b) Professionalism
 (c) Justness and sincerity
 (d) Political neutrality
 (e) Responsiveness to the public
 (f) Nationalism and patriotism
 (g) Commitment to democracy
 (h) Simple living.'
2. Meaning and Breadth:
 - These eight norms constitute the core ethical compass of the Philippine Civil Service.
 - Enforced by the Civil Service Commission (CSC) and the Office of the Ombudsman under RA 6713, Rule X of its IRR, and the Uniform Rules on Administrative Cases in the Civil Service (RACCS).
3. Option A is the verbatim, exact enumeration of the 8 statutory norms.

Common Trap: Confusing general workplace virtues (punctuality, uniform compliance, digital literacy) with the 8 ENACTED STATUTORY NORMS OF CONDUCT in RA 6713.
Exam Tip: Memorize the 8 Norms of Conduct: Public Interest, Professionalism, Justness/Sincerity, Political Neutrality, Responsiveness, Nationalism/Patriotism, Democracy, Simple Living.","Correct. Survives elimination because Section 4 of Republic Act No. 6713 explicitly establishes these eight specific norms of personal and professional conduct for all public officers and civil service employees.","Eliminated because financial profit, corporate loyalty, and partisan activism directly contradict the public-interest and neutrality principles of civil service ethics.","Eliminated because political patronage and unbridled discretionary spending are prohibited practices under civil service laws.","Eliminated because while punctuality and fitness are admirable employee traits, they do not constitute the eight statutory norms codified in Section 4 of RA 6713.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(a) of RA 6713, which norm of conduct commands public servants to ALWAYS UPHOLD THE PUBLIC INTEREST OVER AND ABOVE PERSONAL INTEREST, and dictates that government resources must be used efficiently, effectively, and economically?","Commitment to public interest.","Political neutrality.","Simple living.","Nationalism and patriotism.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(a):
 'Commitment to public interest. — Public officials and employees shall always uphold the public interest over and above personal interest. All government resources and powers of their respective offices must be employed and used efficiently, effectively, honestly and economically, particularly to avoid wastage in public funds and revenues.'
2. Key Operational Benchmarks:
 - 1. Primacy of Public Welfare: Personal, family, or corporate interests must yield entirely to the common good.
 - 2. Stewardship of State Assets: Public property (vehicles, office supplies, computers) cannot be converted to personal use.
 - 3. Prevention of Waste: Avoiding wastage, extravagance, or inefficient expenditures of public revenues.
3. Option A matches the statutory definition verbatim.

Common Trap: Confusing Commitment to Public Interest with Simple Living; while simple living focuses on modest lifestyle and living within one's means, Commitment to Public Interest dictates the efficient, honest use of public resources over personal interest.
Exam Tip: RA 6713, Sec. 4(A)(a) = COMMITMENT TO PUBLIC INTEREST (Public interest over personal interest + avoiding wastage of public funds).","Correct. Survives elimination because Section 4(A)(a) of RA 6713 specifically defines 'Commitment to public interest' as the duty to prioritize public welfare over personal interest and ensure all government resources are used honestly, efficiently, and economically.","Eliminated because Political Neutrality (Sec. 4[A][d]) governs non-partisanship and fair service regardless of political party affiliations.","Eliminated because Simple Living (Sec. 4[A][h]) focuses on maintaining a modest personal lifestyle commensurate with civil service income.","Eliminated because Nationalism and Patriotism (Sec. 4[A][f]) centers on loyalty to the Republic, national sovereignty, and local goods.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(b) of RA 6713, how is 'PROFESSIONALISM' defined as a statutory norm of conduct in the Philippine Civil Service?","Public officials and employees shall perform and discharge their duties with the highest ° of excellence, professionalism, intelligence, and skill; enter public service with utmost devotion and dedication to duty; and endeavor to discourage wrong perceptions of the civil service as an arena of snobbish and haughty employees.","Professionalism means wearing expensive designer business suits and refusing to interact with indigent walk-in clients.","Professionalism allows civil service employees to subcontract their daily desk duties to private third-party agencies.","Professionalism guarantees that public servants may charge private consultation fees to citizens during regular office hours.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(b):
 'Professionalism. — Public officials and employees shall perform and discharge their duties with the HIGHEST DEGREE OF EXCELLENCE, PROFESSIONALISM, INTELLIGENCE AND SKILL. They shall enter public service with utmost devotion and dedication to duty. They shall endeavor to discourage wrong perceptions of the roles of dispensing justice and delivering public services and avoid haughty or discourteous behavior.'
2. Core Standards of Professionalism:
 - 1. Highest ° of excellence, competence, and skill.
 - 2. Complete devotion and dedication to public service.
 - 3. Courteous, humble, and polite behavior towards all citizens, actively dispelling the perception of civil servants as haughty, arrogant, or dismissive.
3. Option A is the verbatim statutory definition.

Common Trap: Equating professionalism with elitism or haughtiness; the statute explicitly commands civil servants to discourage perceptions of being snobbish or haughty.
Exam Tip: RA 6713, Sec. 4(A)(b) = PROFESSIONALISM (Highest ° of excellence, intelligence, skill, devotion + Courteous, humble, non-haughty service).","Correct. Survives elimination because Section 4(A)(b) of RA 6713 explicitly defines Professionalism as performing duties with the highest excellence, intelligence, and skill, with total dedication while avoiding arrogant, discourteous behavior.","Eliminated because wearing expensive designer attire and turning away indigent clients violates both Professionalism and Simple Living.","Eliminated because delegating official functions to unauthorized private subcontractors is an unlawful abdication of public duty.","Eliminated because charging private consultation fees during public work hours constitutes illegal extortion and graft under RA 3019.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(c) of RA 6713, which norm of conduct dictates that public servants must REMAIN TRUE TO THE PEOPLE AT ALL TIMES, act with fairness and honesty, not discriminate against anyone especially the poor and underprivileged, and not dispense undue favors to relatives?","Justness and sincerity.","Responsiveness to the public.","Commitment to democracy.","Professionalism.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(c):
 'Justness and sincerity. — Public officials and employees shall remain true to the people at all ×. They must act with justness and sincerity and shall not discriminate against anyone, especially the poor and the underprivileged. They shall at all × respect the rights of others, and shall refrain from doing acts contrary to law, good morals, good customs, public policy, public order, public safety and public interest. They shall not dispense or extend undue favors on account of their office to their relatives whether by consanguinity or affinity except with respect to appointments of such relatives to positions considered strictly confidential or as personal staff within the limits of the law.'
2. Key Pillars of Justness and Sincerity:
 - 1. Truth and honesty in public dealings.
 - 2. Non-discrimination, especially protective care toward the poor, marginalized, and PWDs.
 - 3. Strict prohibition on NEPOTISM and dispensing undue favors to relatives.
3. Option A matches the statutory definition verbatim.

Common Trap: Confusing Justness and Sincerity with Responsiveness to the Public; Justness and Sincerity focuses on moral fairness, honesty, non-discrimination, and anti-favoritism/nepotism.
Exam Tip: RA 6713, Sec. 4(A)(c) = JUSTNESS AND SINCERITY (Fairness, honesty, non-discrimination against the poor, NO undue favors to relatives/nepotism).","Correct. Survives elimination because Section 4(A)(c) of RA 6713 explicitly defines 'Justness and sincerity' as the norm requiring public servants to be honest, non-discriminatory towards the poor, and strictly free from extending undue favors or nepotism to relatives.","Eliminated because Responsiveness to the Public (Sec. 4[A][e]) focuses on prompt, courteous, and efficient processing of documents and public requests.","Eliminated because Commitment to Democracy (Sec. 4[A][g]) focuses on upholding constitutional democracy, civilian supremacy, and democratic institutions.","Eliminated because Professionalism (Sec. 4[A][b]) centers on technical excellence, skill, and dedication to duty.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(d) of RA 6713, how is 'POLITICAL NEUTRALITY' operationalized across the Philippine Civil Service?","Public officials and employees shall provide service to everyone without unfair discrimination and regardless of party affiliation or preference, and shall not engage in partisan political activities or use public resources to campaign for or against any candidate.","Political neutrality requires civil servants to join the political party of the sitting President within thirty days of appointment.","Political neutrality permits division chiefs to distribute election campaign leaflets inside government offices during lunch breaks.","Political neutrality mandates that government employees are stripped of their right to vote in national elections.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(d):
 'Political neutrality. — Public officials and employees shall provide service to everyone without unfair discrimination and regardless of party affiliation or preference.'
2. Constitutional & Civil Service Alignment:
 - Article IX-B, Section 2(4) of the 1987 Constitution: 'No officer or employee in the civil service shall engage, directly or indirectly, in any electioneering or partisan political campaign.'
 - Section 55, Subtitle A, Title I, Book V of EO 292 (Administrative Code of 1987).
 - CSC-COMELEC Jo∫ Circular No. 001, Series of 2016.
3. Core Rules of Political Neutrality:
 - 1. Impartial Service: Public services, permits, social aid, and licenses must be provided equally to all citizens regardless of their political party or political stance.
 - 2. No Partisan Political Campaigning: Civil service personnel cannot campaign, solicit votes, distribute campaign materials, wear campaign shirts/pins, or use government vehicles/facilities for electioneering.
 - 3. Expressing a personal preference and voting are FULLY PROTECTED rights, but active partisan campaigning is strictly BANNED.
4. Option A is the complete, accurate statutory and constitutional rule.

Common Trap: Believing civil servants cannot vote; civil servants RETAIN the constitutional right to vote—what is banned is ACTIVE PARTISAN ELECTIONEERING.
Exam Tip: RA 6713, Sec. 4(A)(d) = POLITICAL NEUTRALITY (Service without party discrimination + NO partisan political campaigning).","Correct. Survives elimination because Section 4(A)(d) of RA 6713 and the Constitution mandate political neutrality, requiring civil servants to serve the public impartially regardless of political affiliation and refrain from partisan campaigning.","Eliminated because forcing civil servants to join a specific political party violates the Merit and Fitness principle and Article IX-B of the Constitution.","Eliminated because distributing campaign materials inside government premises is an illegal partisan political activity punishable by administrative dismissal.","Eliminated because public servants retain their fundamental constitutional right of suffrage to cast their vote secretly on election day.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(e) of RA 6713, what specific standards govern the norm of 'RESPONSIVENESS TO THE PUBLIC'?","Public officials and employees shall extend prompt, courteous, and adequate service to the public; provide information on their policies and procedures in clear and understandable language; ensure openness of information; and encourage public participation.","Public officials may ignore written letters from citizens unless the sender pays a VIP processing fee.","Responsiveness to the public allows government offices to process simple requests over a mandatory six-month waiting period.","Responsiveness to the public requires government agencies to keep all public transaction rules secret to prevent public scrutiny.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(e):
 'Responsiveness to the public. — Public officials and employees shall extend PROMPT, COURTEOUS, AND ADEQUATE SERVICE TO THE PUBLIC. Unless otherwise provided by law or when needed by the public interest, public officials and employees shall provide information of their policies and procedures in clear and understandable language, ensure openness of information, public consultations and hearings whenever appropriate, encourage suggestions, simplify and systematize policy, rules and procedures, avoid red tape and develop an understanding and appreciation of the socio-economic conditions prevailing in the country, especially in the depressed rural and urban areas.'
2. Companion Statutory Mandate (Section 5[a] of RA 6713 & RA 11032 / Ease of Doing Business Act):
 - All public officials must act promptly on letters and requests within 15 WORKING DAYS from receipt.
 - Clear, accessible information (Citizen's Charter).
 - Zero tolerance for red tape and bureaucratic delays.
3. Option A is the verbatim statutory definition.

Common Trap: Thinking responsiveness is only being polite; Responsiveness to the Public encompasses PROMPTNESS, COURTESY, SIMPLIFYING PROCEDURES, OPENNESS OF INFORMATION, and CITIZEN CONSULTATION.
Exam Tip: RA 6713, Sec. 4(A)(e) = RESPONSIVENESS TO THE PUBLIC (Prompt, courteous, adequate service + Openness of information + Eliminating red tape).","Correct. Survives elimination because Section 4(A)(e) of RA 6713 explicitly defines 'Responsiveness to the public' as providing prompt, courteous, and adequate service, ensuring transparent communication, eliminating red tape, and fostering citizen engagement.","Eliminated because ignoring citizen communications and charging unauthorized VIP fees violates RA 6713 and RA 11032.","Eliminated because simple government transactions must be resolved within strict statutory timelines (3 to 7 working days under RA 11032), not six months.","Eliminated because transparency and the Citizen's Charter require public display of all processing steps and requirements.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(f) of RA 6713, what are the core obligations embodied in the norm of 'NATIONALISM AND PATRIOTISM'?","Public officials and employees shall at all × be loyal to the Republic and to the Filipino people, promote the use of locally produced goods, resources, and technology, encourage appreciation of Filipino heritage, and uphold national sovereignty over foreign interests.","Nationalism and patriotism requires all public servants to surrender their private salaries to foreign defense contractors.","Nationalism and patriotism mandates that civil service personnel must purchase exclusively imported luxury goods.","Nationalism and patriotism allows local government mayors to establish independent foreign diplomatic embassies abroad.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(f):
 'Nationalism and patriotism. — Public officials and employees shall at all × be LOYAL TO THE REPUBLIC AND TO THE FILIPINO PEOPLE, promote the use of locally produced goods, resources and technology and encourage appreciation and pride of country and people. They shall endeavor to maintain and defend Philippine sovereignty against foreign intrusion.'
2. Key Elements:
 - 1. Unwavering loyalty to the Constitution, Republic, and sovereign Filipino people (not to a foreign master or private clan).
 - 2. Buy-Filipino & Local Economic Promotion: Prioritizing local goods, services, Filipino innovation, and domestic resources in government procurement and personal choice.
 - 3. Cultural Pride & Heritage.
 - 4. Defense of Philippine Sovereignty and Territorial Integrity.
3. Option A matches the statutory text and concepts verbatim.

Common Trap: Viewing nationalism as mere flag-raising; Section 4(A)(f) explicitly commands the promotion of LOCALLY PRODUCED GOODS, resources, technology, and national sovereignty.
Exam Tip: RA 6713, Sec. 4(A)(f) = NATIONALISM AND PATRIOTISM (Loyalty to Republic/people + Promoting local goods/technology + Defending national sovereignty).","Correct. Survives elimination because Section 4(A)(f) of RA 6713 explicitly defines Nationalism and Patriotism as maintaining loyalty to the Republic, promoting local Filipino goods, technology, and cultural pride, and defending national sovereignty.","Eliminated because surrendering public funds to foreign contractors contradicts national loyalty and economic stewardship.","Eliminated because the statute explicitly commands public servants to promote and patronize locally produced Filipino goods over foreign imports.","Eliminated because foreign diplomatic representation is the exclusive constitutional prerogative of the National Executive under Article VII.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(g) of RA 6713, what principles define the norm of 'COMMITMENT TO DEMOCRACY'?","Public officials and employees shall commit themselves to the democratic way of life and values, maintain the principle of public accountability, manifest by deeds the supremacy of civilian authority over the military, and uphold the Constitution at all ×.","Commitment to democracy allows civil service directors to overturn Supreme Court decisions by holding an office straw poll.","Commitment to democracy requires that all criminal suspects be tried by an online public popularity vote.","Commitment to democracy permits military officers to take over civilian administrative agencies during political rallies.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(g):
 'Commitment to democracy. — Public officials and employees shall commit themselves to the DEMOCRATIC WAY OF LIFE AND VALUES, maintain the principle of PUBLIC ACCOUNTABILITY, and manifest by deeds the SUPREMACY OF CIVILIAN AUTHORITY OVER THE MILITARY. They shall at all × uphold the Constitution and put loyalty to country above loyalty to persons or party.'
2. Fundamental Principles of Section 4(A)(g):
 - 1. Democratic Values: Respect for human rights, civil liberties, rule of law, and institutional checks and balances.
 - 2. Public Accountability: Public office is a public trust (Article XI, Section 1).
 - 3. Civilian Supremacy: Absolute civilian control over the armed forces and police (Article II, Section 3).
 - 4. Constitutional Supremacy: Loyalty to the Constitution and the country over loyalty to a political party, benefactor, or president.
3. Option A is the verbatim statutory definition.

Common Trap: Confusing commitment to democracy with mob rule or office popularity votes; Commitment to Democracy means upholding CONSTITUTIONAL DEMOCRACY, CIVILIAN SUPREMACY, and PUBLIC ACCOUNTABILITY.
Exam Tip: RA 6713, Sec. 4(A)(g) = COMMITMENT TO DEMOCRACY (Democratic values + Public accountability + Civilian supremacy over military + Loyalty to Constitution).","Correct. Survives elimination because Section 4(A)(g) of RA 6713 explicitly defines 'Commitment to democracy' as dedication to democratic values, public accountability, upholding civilian supremacy over the military, and maintaining loyalty to the Constitution over political factions.","Eliminated because judicial rulings cannot be overruled by informal staff voting; the Constitution establishes the Judiciary as the final legal arbiter.","Eliminated because criminal trials are governed by the Bill of Rights and judicial rules of evidence, not public popularity contests.","Eliminated because the military is strictly subordinate to civilian authority under Article II, Section 3 and Section 4(A)(g).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"Under Section 4(A)(h) of RA 6713, what are the strict behavioral expectations established under the norm of 'SIMPLE LIVING'?","Public officials and employees and their families shall lead modest lives appropriate to their positions and income; they shall not indulge in extravagant or ostentatious display of wealth in any form, and must avoid ostentatious lifestyle displays on social media and in public.","Simple living mandates that public officials must live in makeshift shanties and refuse to purchase basic food and clothing.","Simple living permits civil servants to accept luxury sports cars as gifts from government suppliers as long as they are driven only on weekends.","Simple living allows high-ranking officials to borrow millions from regulated gambling operators without declaring it.","A","Step-by-Step Solution:
1. Statutory Definition: RA 6713, Section 4(A)(h):
 'Simple living. — Public officials and employees and their families shall LEAD MODEST LIVES APPROPRIATE TO THEIR POSITIONS AND INCOME. They shall not indulge in EXTRAVAGANT OR OSTENTATIOUS DISPLAY OF WEALTH IN ANY FORM.'
2. Constitutional Alignment:
 - Article XI, Section 1: Public officials must 'lead modest lives.'
3. Operational Rules & Jurisprudence (Office of the Ombudsman v. Racho, 641 SCRA 555; CSC Resolution No. 06-0538):
 - Modest Lifestyle: Living within the lawful civil service salary and declared legitimate assets.
 - Ban on Ostentation: Prohibiting extravagant luxury cars, excessive jewelry, lavish private parties funded by public contractors, and ostentatious displays of unexplained wealth.
 - Family Coverage: Explicitly extends the expectation to the public servant's IMMEDIATE FAMILY to prevent hiding ill-gotten wealth under family names.
4. Option A is the verbatim statutory definition.

Common Trap: Believing simple living requires destitution; the statute requires MODEST LIVES APPROPRIATE TO POSITIONS AND INCOME, banning extravagant and ostentatious displays of wealth.
Exam Tip: RA 6713, Sec. 4(A)(h) = SIMPLE LIVING (Modest lives appropriate to income + NO extravagant or ostentatious display of wealth by official and family).","Correct. Survives elimination because Section 4(A)(h) of RA 6713 and Article XI, Section 1 command public servants and their families to lead modest lives appropriate to their income and strictly avoid extravagant, ostentatious displays of wealth.","Eliminated because simple living requires dignified modesty within lawful income, not extreme destitution or deprivation of basic necessities.","Eliminated because accepting luxury vehicles from government contractors constitutes unlawful gift solicitation and graft under Section 7 of RA 6713.","Eliminated because taking undisclosed loans from regulated gambling operators is a prohibited conflict of interest and graft offense.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
"What is the statutory PENALTY under Section 11 of RA 6713 for a public official or employee who commits a serious breach of any of the Eight Norms of Conduct or engages in prohibited acts under the Code?","Administrative penalties of fine not exceeding six months' salary, suspension not exceeding one year, or DISMISSAL FROM SERVICE with forfeiture of retirement benefits and perpetual disqualification from public office, without prejudice to criminal prosecution carrying imprisonment of up to five (5) years.","A mandatory transfer to a different regional office with an automatic 20% salary increase.","A verbal apology delivered during the annual Christmas party without any official record in the 201 file.","Immediate revocation of the official's civil birth certificate and permanent exile.","A","Step-by-Step Solution:
1. Statutory Penalties: Section 11 of Republic Act No. 6713:
 - (a) Administrative Sanctions:
 - Any public official or employee, regardless of whether or not they hold office or employment in a casual, temporary, holdover, permanent, or regular capacity, committing any violation of the Act shall, after due notice and hearing by the appropriate body or agency, be punished with:
 1. FINE not exceeding six (6) months' salary; OR
 2. SUSPENSION not exceeding one (1) year; OR
 3. REMOVAL / DISMISSAL FROM SERVICE (carrying administrative accessory penalties of forfeiture of retirement benefits, cancellation of civil service eligibility, and PERPETUAL DISQUALIFICATION from holding public office).
 - (b) Criminal Penalties:
 - Violations of Sections 7, 8, or 9 shall be punishable with IMPRISONMENT NOT EXCEEDING FIVE (5) YEARS, or a fine not exceeding PHP 5,000, or both, and disqualification to hold public office.
2. Option A is the complete, accurate statement of the administrative and criminal liabilities.

Common Trap: Believing ethical violations result only in minor verbal warnings; grave ethical breaches under RA 6713 carry MANDATORY DISMISSAL FROM PUBLIC SERVICE, forfeiture of retirement benefits, and up to 5 years imprisonment.
Exam Tip: Penalties under RA 6713 (Sec. 11): Administrative = Fine (up to 6 mos salary), Suspension (up to 1 yr), or DISMISSAL (with perpetual disqualification); Criminal = Imprisonment up to 5 YEARS.","Correct. Survives elimination because Section 11 of RA 6713 establishes rigorous administrative sanctions—ranging from suspension to dismissal with forfeiture of benefits and perpetual disqualification—alongside criminal imprisonment of up to five years.","Eliminated because erring civil servants cannot be rewarded with salary increases or promotional transfers.","Eliminated because grave ethical infractions are formally docketed in the employee's 201 file and carry statutory punitive penalties beyond informal apologies.","Eliminated because cancellation of birth records and exile are not statutory penalties in Philippine administrative or criminal law.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Eight norms of conduct | Very Difficult | Batch 153"
