"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article VII, Section 2 of the 1987 Constitution, what are the mandatory constitutional qualifications to be elected as PRESIDENT of the Philippines?","Natural-born citizen of the Philippines, a registered voter, able to read and write, at least forty years of age on the day of the election, and a resident of the Philippines for at least ten years immediately preceding such election.","Natural-born citizen, at least thirty-five years of age on election day, a college graduate, and a resident of the Philippines for five years.","Citizen of the Philippines by naturalization or birth, at least forty-five years of age, and a resident for fifteen years.","Natural-born citizen, at least thirty years of age, registered voter in the National Capital Region, and a resident for two years.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 2 states:
   'No person may be elected President unless he is a natural-born citizen of the Philippines, a registered voter, able to read and write, at least forty years of age on the day of the election, and a resident of the Philippines for at least ten years immediately preceding such election.'
2. Qualifications for President & Vice-President (Article VII, Section 3: Vice-President has identical qualifications):
   - 1. Natural-born citizen of the Philippines
   - 2. Registered voter
   - 3. Able to read and write
   - 4. At least 40 years of age on election day
   - 5. Resident of the Philippines for at least 10 years immediately preceding the election
3. Option A matches the constitutional text verbatim.

Common Trap: Confusing Presidential qualifications (age 40, 10 years residency) with Senator qualifications (age 35, 2 years residency) or House qualifications (age 25, 1 year district residency).
Exam Tip: President & VP = 40 years old on election day + 10 years national residency.","Correct. Survives elimination because Article VII, Section 2 explicitly prescribes natural-born citizenship, voter registration, basic literacy, minimum age of 40 on election day, and at least 10 years of Philippine residency immediately prior to the election.","Eliminated because age 35 and 2 years residency apply to Senators (Article VI, Section 3), and college degrees are not constitutionally mandated.","Eliminated because the President must be a natural-born citizen (naturalized citizens are disqualified), and the age minimum is 40 (not 45).","Eliminated because age 30 and 2 years residency are incorrect thresholds.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"Under Article VII, Section 4 of the 1987 Constitution, what is the term of office of the President, and what is the absolute constitutional rule regarding REELECTION?","The President shall be elected for a term of six years and shall not be eligible for any reelection.","The President shall be elected for a term of four years and may be reelected for one additional consecutive term.","The President shall be elected for a term of six years and may run for reelection after a mandatory six-year hiatus.","The President shall serve for an indefinite term subject to annual confidence votes in the Senate.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 4, first paragraph:
   'The President shall be elected by direct vote of the people for a term of six years which shall begin at noon on the thirtieth day of June next following the day of the election and shall end at noon of the same date six years later. The President shall not be eligible for any reelection. No person who has succeeded as President and has served as such for more than four years shall be qualified for election to the same office at any time.'
2. Core Legal Rules:
   - Term = 6 years (June 30 noon to June 30 noon).
   - Reelection Ban = Absolute ('shall not be eligible for ANY reelection').
   - Four-Year Rule: Any successor (e.g., Vice President who succeeds upon death/resignation) who serves for MORE THAN 4 YEARS of the unexpired term cannot ever run for President (e.g., Gloria Macapagal-Arroyo served less than 4 years of Estrada's term, so she was eligible to run in 2004).
3. Option A is the verbatim constitutional rule.

Common Trap: Assuming a President can run again after skipping an election cycle; the 1987 Constitution bans ANY reelection (unlike the 1935 charter which allowed non-consecutive reelection).
Exam Tip: President = 6-year term + ABSOLUTE BAN ON ANY REELECTION.","Correct. Survives elimination because Article VII, Section 4 establishes a single, non-renewable 6-year term for the President and creates an absolute constitutional bar against any reelection.","Eliminated because a 4-year renewable term was the rule under the 1935 Constitution, which was replaced in the 1987 charter.","Eliminated because the 1987 Constitution prohibits 'any reelection,' barring both consecutive and non-consecutive presidential re-runs.","Eliminated because the Philippines operates under a fixed-term presidential republic, not a parliamentary confidence system.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"What is the constitutional line of PRESIDENTIAL SUCCESSION under Article VII, Sections 7 and 8 of the 1987 Constitution in the event of the death, permanent disability, removal from office, or resignation of the President?","Vice-President -> President of the Senate -> Speaker of the House of Representatives.","Vice-President -> Chief Justice of the Supreme Court -> Senate President.","Vice-President -> Executive Secretary -> Secretary of National Defense.","Vice-President -> Ombudsman -> Senior Associate Justice of the Supreme Court.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 8:
   'In case of the death, permanent disability, removal from office, or resignation of the President, the Vice-President shall become the President to serve the unexpired term. In case of the death, permanent disability, removal from office, or resignation of both the President and Vice-President, the President of the Senate or, in case of his inability, the Speaker of the House of Representatives, shall then act as President until the President or Vice-President shall have been elected and qualified.'
2. Hierarchy of Succession:
   - 1st in line: Vice-President (becomes President for unexpired term).
   - 2nd in line: Senate President (acts as President).
   - 3rd in line: Speaker of the House of Representatives (acts as President).
   - If all four are unavailable: Congress shall enact a law providing for the manner of selecting an Acting President (Art. VII, Sec. 10).
3. Option A is the precise constitutional succession line.

Common Trap: Inserting the Chief Justice or Executive Secretary into the succession line; the constitutional succession hierarchy is strictly legislative (Senate President, then House Speaker).
Exam Tip: Presidential Succession: VP -> Senate President -> Speaker of the House.","Correct. Survives elimination because Article VII, Section 8 establishes that after the Vice-President, the line of succession passes to the President of the Senate, and in the latter's inability, to the Speaker of the House of Representatives.","Eliminated because the Chief Justice is the head of the Judiciary and has no constitutional role in the executive line of succession.","Eliminated because Cabinet secretaries (Executive Secretary, Defense Secretary) are appointed officials who do not appear in the constitutional succession hierarchy.","Eliminated because the Ombudsman and Associate Justices are outside the constitutional line of presidential succession.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"In Philippine administrative and constitutional law, what is the 'DOCTRINE OF QUALIFIED POLITICAL AGENCY' (or the 'Alter Ego Doctrine'), as established in Villena v. Secretary of the Interior?","The acts of department secretaries performed in the regular course of business are presumptively the acts of the Chief Executive, unless disapproved or reprobated by the President.","Department secretaries possess independent legislative powers to amend statutes without congressional approval.","The President is legally bound by the decisions of cabinet secretaries and cannot reverse their administrative rulings.","Cabinet secretaries are personally liable for all civil debts incurred by their executive departments.","A","Step-by-Step Solution:
1. Landmark Case: Villena v. Secretary of the Interior (67 Phil. 451, 1939), penned by Justice Jose P. Laurel:
   - Established the Doctrine of Qualified Political Agency (Alter Ego Doctrine).
   - Principle: The President of the Philippines cannot be expected to personally attend to all the multifarious details of executive governance.
   - The various executive departments are assistants and instrumentalities of the Chief Executive.
   - Therefore, the acts of Department Secretaries performed in the regular course of business are PRESUMPTIVELY THE ACTS OF THE PRESIDENT, unless disapproved, altered, or reversed by the President.
2. Constitutional Basis: Article VII, Section 17 ('The President shall have control of all the executive departments, bureaus, and offices').
3. Option A is the classic legal definition of the Alter Ego Doctrine.

Common Trap: Thinking a cabinet secretary's act is completely independent; their act is legally presumed to be the President's own act unless the President disowns it.
Exam Tip: Villena v. Secretary of the Interior = Alter Ego Doctrine / Doctrine of Qualified Political Agency (Cabinet Secretary acts = President's acts, unless reprobated).","Correct. Survives elimination because Villena v. Secretary of the Interior established that department secretaries are the alter egos of the President, meaning their official acts are presumptively the acts of the Chief Executive unless disapproved.","Eliminated because department secretaries have no legislative authority to amend or repeal statutes passed by Congress.","Eliminated because the President retains plenary constitutional power of control under Article VII, Section 17 to modify, reverse, or set aside any secretary's ruling.","Eliminated because official administrative acts do not impose personal liability for corporate state debts.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"Under Article VII, Section 18 of the 1987 Constitution, what are the ONLY TWO CONSTITUTIONAL GROUNDS for the President to suspend the privilege of the writ of habeas corpus or declare martial law, and for what maximum initial period?","Invasion or Rebellion, when the public safety requires it; for a period not exceeding sixty (60) days.","Imminent danger of invasion or widespread economic inflation; for a period not exceeding six months.","Severe national natural calamities or general labor strikes; for a period of one hundred twenty days.","Terrorism or maritime border disputes; for an indefinite period subject to judicial approval.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 18, first paragraph:
   'The President shall be the Commander-in-Chief of all armed forces of the Philippines and whenever it becomes necessary, he may call out such armed forces to prevent or suppress lawless violence, invasion or rebellion. In case of invasion or rebellion, when the public safety requires it, he may, for a period not exceeding sixty days, suspend the privilege of the writ of habeas corpus or place the Philippines or any part thereof under martial law.'
2. Crucial Constitutional Limits in Section 18:
   - 1. Ground 1: INVASION
   - 2. Ground 2: REBELLION
   - 3. Concurring Requisite: When PUBLIC SAFETY REQUIRES IT.
   - Note: 'Imminent danger' of invasion/rebellion (which was present in the 1935 and 1973 charters) was DELIBERATELY DELETED in the 1987 Constitution to prevent premature or pretextual declarations.
   - Initial Duration: NOT EXCEEDING 60 DAYS.
3. Option A verbatim captures the grounds and time limitation.

Common Trap: Including 'imminent danger' or 'lawless violence'; lawless violence only justifies 'calling out' the armed forces, NOT declaring martial law or suspending the writ.
Exam Tip: Martial Law & Writ Suspension grounds = INVASION or REBELLION only + Public safety requires it + Maximum 60 DAYS.","Correct. Survives elimination because Article VII, Section 18 limits the declaration of martial law or suspension of the writ strictly to cases of actual invasion or rebellion where public safety requires it, capped at an initial maximum of 60 days.","Eliminated because 'imminent danger' was intentionally deleted from the 1987 Constitution to prevent abuse, and inflation is an economic issue, not a martial law ground.","Eliminated because natural calamities justify states of calamity under statutory law, not military martial law under Article VII.","Eliminated because martial law cannot be declared indefinitely, and grounds are restricted to invasion or rebellion.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"What are the mandatory constitutional checks exercised by CONGRESS and the SUPREME COURT following a presidential proclamation of martial law or suspension of the writ under Article VII, Section 18?","Congress may revoke the proclamation by a majority vote of all its members voting jointly, which revocation cannot be set aside by presidential veto; the Supreme Court may review the factual basis in an appropriate proceeding filed by any citizen and must promulgate its decision within 30 days.","Congress must approve the declaration by a three-fourths vote of each House voting separately before it can take effect.","The Supreme Court automatically becomes the military commander of the armed forces for the duration of martial law.","The Senate President can unilaterally declare martial law void within 24 hours without consulting the House of Representatives.","A","Step-by-Step Solution:
1. Constitutional Checks on Martial Law (Article VII, Section 18):
   - A. Congressional Oversight (Lagman v. Medialdea, Fortun v. Arroyo):
     1. President must report in person or in writing to Congress within 48 HOURS of proclamation.
     2. Congress, voting JOINTLY, by a vote of at least a MAJORITY of all its Members in regular or special session, may REVOKE the proclamation, which revocation SHALL NOT BE SET ASIDE BY THE PRESIDENT (no presidential veto).
     3. Congress may EXTEND the proclamation upon the initiative of the President for a period determined by Congress.
   - B. Judicial Review:
     1. The Supreme Court may review, in an appropriate proceeding filed by ANY CITIZEN, the SUFFICIENCY OF THE FACTUAL BASIS of the proclamation or suspension.
     2. The Supreme Court MUST promulgate its decision within THIRTY (30) DAYS from filing.
2. Option A is the complete, accurate statement of both checks.

Common Trap: Thinking Congress votes separately on martial law revocation; Article VII, Section 18 is one of the rare instances where Congress votes JOINTLY.
Exam Tip: Martial Law Checks: Congress votes JOINTLY by majority to revoke (no veto) + Supreme Court decides factual basis within 30 DAYS on petition by ANY citizen.","Correct. Survives elimination because Article VII, Section 18 empowers Congress to revoke martial law by a majority vote voting jointly (immune from presidential veto) and mandates that the Supreme Court review the factual sufficiency upon citizen petition within 30 days.","Eliminated because Congress votes jointly (not separately) by simple majority (not three-fourths) to revoke martial law.","Eliminated because the Supreme Court remains a judicial body and does not assume military command.","Eliminated because the Senate President has no unilateral power to revoke martial law outside a joint congressional vote.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"Under Article VII, Section 19 of the 1987 Constitution, what are the constitutional rules governing the President's power of EXECUTIVE CLEMENCY (pardon, reprieve, commutation)?","Executive clemency can be granted only after conviction by final judgment, does not extend to cases of impeachment, and requires the favorable recommendation of the Commission on Elections for violations of election laws.","Executive clemency can be granted at any stage of criminal investigation prior to the filing of charges in court.","Executive clemency requires the mandatory concurrence of a two-thirds vote of the Senate in every individual case.","Executive clemency automatically erases all civil liabilities owed to private victims of the crime.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 19 states:
   'Except in cases of impeachment, or as otherwise provided in this Constitution, the President may grant reprieves, commutations, and pardons, and remit fines and forfeitures, after conviction by final judgment. He shall also have the power to grant amnesty with the concurrence of a majority of all the Members of the Congress.'
2. Constitutional Limitations on Pardons/Clemency:
   - 1. Final Judgment Rule: Pardons, reprieves, and commutations can ONLY be granted AFTER CONVICTION BY FINAL JUDGMENT (no pre-conviction or conditional trial pardons; People v. Salle).
   - 2. Impeachment Exception: Clemency CANNOT be granted in cases of impeachment.
   - 3. Election Offenses: Under Article IX-C, Section 5, no pardon for violation of election laws may be granted without the FAVORABLE RECOMMENDATION OF THE COMELEC.
   - 4. Civil Liability: Pardon erases criminal liability but DOES NOT extinguish civil liability to the private offended party (Monsanto v. Factoran).
3. Option A is the complete and exact constitutional statement.

Common Trap: Believing the President can pardon someone during trial before conviction; the 1987 Constitution strictly requires conviction by FINAL JUDGMENT.
Exam Tip: Pardon = After FINAL JUDGMENT + No Impeachment + Favorable COMELEC recommendation for election offenses.","Correct. Survives elimination because Article VII, Section 19 and Article IX-C, Section 5 dictate that executive clemency requires a final judgment of conviction, cannot apply to impeachment, and requires COMELEC recommendation for election offenses.","Eliminated because pre-conviction pardons are unconstitutional under the 1987 Constitution (conviction by final judgment is mandatory).","Eliminated because individual pardons do not require congressional concurrence (only Amnesty requires majority concurrence of Congress).","Eliminated because a presidential pardon does not extinguish civil indemnity awarded to private victims (Monsanto v. Factoran).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"How does an AMNESTY granted by the President differ from a PARDON under Article VII, Section 19 of the 1987 Constitution and settled jurisprudence (Barrioquinto v. Fernandez)?","Amnesty is a public act that looks backward and abolishes the offense itself, applies generally to classes of persons for political offenses, and requires congressional concurrence; a pardon is an act of executive grace that remits punishment after final conviction without erasing the fact of guilt, and applies individually without congressional concurrence.","Amnesty requires a two-thirds vote of the Supreme Court, whereas pardon requires a plebiscite.","Amnesty applies exclusively to private civil contract breaches, whereas pardon applies to international treaties.","Amnesty and pardon are legally identical in all procedures, requirements, and legal effects.","A","Step-by-Step Solution:
1. Classic Legal Distinction (Barrioquinto v. Fernandez, 82 Phil. 642; People v. Patriarca, 341 SCRA 464):
   - AMNESTY:
     1. Granted to classes of persons (groups) usually for political offenses (rebellion, sedition, coup d'état).
     2. A public act of which courts take judicial notice.
     3. Looks BACKWARD and abolishes/erases the offense itself (as if no crime was committed).
     4. May be granted BEFORE or after conviction.
     5. REQUIRES CONCURRENCE of a majority of all Members of Congress (Art. VII, Sec. 19).
   - PARDON:
     1. Granted to individuals for ordinary common crimes.
     2. A private act of grace that must be pleaded and proved in court.
     3. Looks FORWARD and remits punishment/penalty, but does NOT erase the historical fact of the commission of the crime.
     4. Can ONLY be granted AFTER CONVICTION by final judgment.
     5. Does NOT require congressional concurrence.
2. Option A is the definitive jurisprudential comparison.

Common Trap: Believing amnesty requires a 2/3 vote; Article VII, Section 19 requires a MAJORITY OF ALL MEMBERS OF CONGRESS for amnesty concurrence.
Exam Tip: Amnesty = Political offenses + Erases offense + Requires MAJORITY CONCURRENCE of Congress. Pardon = Common crimes + After final judgment + No congressional concurrence.","Correct. Survives elimination because Barrioquinto v. Fernandez establishes that amnesty is a public act for political crimes requiring congressional concurrence that erases the offense entirely, whereas pardon is an individual act of clemency after final conviction remitting penalties without congressional concurrence.","Eliminated because the Supreme Court does not vote on amnesties; Congress concurs by majority vote.","Eliminated because both amnesty and pardon pertain to criminal/penal liabilities, not civil contract disputes.","Eliminated because the Constitution and jurisprudence establish sharp distinctions between amnesty and pardon in scope, timing, and approval mechanisms.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"Under Article VII, Section 21 of the 1987 Constitution, what is the mandatory requirement for an international TREATY or international agreement to be valid and effective in the Republic of the Philippines?","No treaty or international agreement shall be valid and effective unless concurred in by at least two-thirds of all the Members of the Senate.","It must be ratified by a majority vote of the House of Representatives and approved by the Supreme Court.","It must be approved in a nationwide plebiscite held within ninety days of diplomatic signing.","It takes effect immediately upon presidential signature without any legislative review.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 21 states:
   'No treaty or international agreement shall be valid and effective unless concurred in by at least two-thirds of all the Members of the Senate.'
2. Key Constitutional Rules on Treaties (Pimentel v. Executive Secretary, 462 SCRA 622; Saguisag v. Ochoa / EDCA, 2016):
   - The President is the sole organ and chief architect of foreign relations and negotiates/signs treaties.
   - However, for a formal TREATY to become legally binding and effective in Philippine domestic law, it REQUIRES CONCURRENCE of AT LEAST TWO-THIRDS (2/3) OF ALL MEMBERS OF THE SENATE (16 out of 24 Senators).
   - Executive Agreements (administrative arrangements implementing existing treaties or statutes) do not require Senate concurrence, but formal treaties establishing new foreign policy obligations do (Saguisag v. Ochoa).
3. Option A is verbatim Article VII, Section 21.

Common Trap: Thinking treaties require approval by both the Senate and the House; treaty concurrence is the EXCLUSIVE prerogative of the SENATE (2/3 vote).
Exam Tip: Treaty ratification = Concurrence by AT LEAST TWO-THIRDS (2/3) OF ALL MEMBERS OF THE SENATE.","Correct. Survives elimination because Article VII, Section 21 explicitly mandates that no treaty or international agreement shall be valid and effective unless concurred in by at least two-thirds of all the Members of the Senate.","Eliminated because the House of Representatives has no constitutional role in treaty concurrence under Article VII, Section 21.","Eliminated because nationwide plebiscites are not required for international treaty ratifications (plebiscites apply to constitutional amendments and LGU creations).","Eliminated because presidential signature alone cannot enforce a formal treaty without the mandatory 2/3 Senate concurrence.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
"Under Article VII, Section 15 of the 1987 Constitution, what is the constitutional rule on 'MIDNIGHT APPOINTMENTS,' and what are the strict exceptions to this prohibition?","Two months immediately before the next presidential election and up to the end of his term, a President shall not make appointments, except temporary appointments to executive positions when continued vacancies therein will prejudice public service or endanger public safety.","The President is prohibited from making any appointments during the entire six years of the presidential term.","The President may appoint permanent trial judges at any time up to midnight of the last day in office without exception.","Midnight appointments are fully valid provided the Commission on Appointments confirms them within 24 hours.","A","Step-by-Step Solution:
1. Constitutional Text: Article VII, Section 15 states:
   'Two months immediately before the next presidential election and up to the end of his term, a President or Acting President shall not make appointments, except temporary appointments to executive positions when continued vacancies therein will prejudice public service or endanger public safety.'
2. Scope & Parameters of the Midnight Appointments Ban:
   - Window: Begins 2 months before the second Monday of May in an election year (usually around March 8-10) until June 30 noon.
   - Purpose: Prevent the outgoing President from packing the civil service and executive agencies with political protégés (Aytona v. Castillo).
   - Exception: TEMPORARY appointments to EXECUTIVE positions ONLY, when:
     (1) Continued vacancies will prejudice public service, OR
     (2) Endanger public safety.
   - Judicial Exception Debate (De Castro v. Judicial and Bar Council, G.R. No. 191002, 2010): The Supreme Court ruled by majority that the Section 15 ban applies to executive appointments and does not extend to appointments to the Supreme Court under Article VIII, Section 4(1).
3. Option A is the verbatim constitutional provision.

Common Trap: Believing permanent executive appointments can be made under the exception; the exception allows ONLY TEMPORARY appointments to prevent emergency disruptions.
Exam Tip: Midnight Appointments Ban = 2 months before election until end of term; Exception = TEMPORARY executive appointments to prevent prejudice to public service/safety.","Correct. Survives elimination because Article VII, Section 15 expressly prohibits presidential appointments during the two months preceding a presidential election until term end, permitting only temporary executive appointments to avert public service disruption or danger.","Eliminated because the appointment prohibition applies only during the designated 2-month pre-election window and transition period, not the entire 6-year term.","Eliminated because permanent executive appointments are strictly banned during the midnight period (Aytona v. Castillo).","Eliminated because confirmation by the Commission on Appointments cannot legalize an appointment made in direct violation of the Article VII, Section 15 constitutional ban.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Executive Department | Very Difficult | Batch 131"
