"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Find the 10th term of the Lucas sequence where L₁ = 2 and L₂ = 1, following the additive rule Lₙ = Lₙ₋₁ + Lₙ₋₂:

2, 1, 3, 4, 7, 11, 18, 29, 47, ?","76","74","80","71","A","Step-by-Step Solution:
1. Trace the Lucas additive progression step-by-step:
 - L₁ = 2
 - L₂ = 1
 - L₃ = 2 + 1 = 3
 - L₄ = 1 + 3 = 4
 - L₅ = 3 + 4 = 7
 - L₆ = 4 + 7 = 11
 - L₇ = 7 + 11 = 18
 - L₈ = 11 + 18 = 29
 - L₉ = 18 + 29 = 47.
2. Compute the 10th term (L₁₀):
 - L₁₀ = L₈ + L₉ = 29 + 47 = 76.

Common Trap: Adding 18 + 47 = 65 or arithmetic error in addition (29 + 47 = 74, Option B).
Exam Tip: The Lucas sequence is closely related to Fibonacci numbers (Lₙ = Fₙ₋₁ + Fₙ₊₁). For n = 10, F₉ + F₁₁ = 34 + 89 implies check L₁₀ = 76.","Correct. Survives elimination because 29 + 47 = 76.","Eliminated because addition error yields 74.","Eliminated because adding 33 yields 80.","Eliminated because arithmetic error gives 71.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"Find the 8th term in the Tribonacci sequence where each term is the Σ of the three preceding terms:

0, 1, 1, 2, 4, 7, 13, ?","24","26","20","28","A","Step-by-Step Solution:
1. Identify the 3-term additive recurrence: Tₙ = Tₙ₋₁ + Tₙ₋₂ + Tₙ₋₃.
2. Verify initial terms:
 - T₄ = 0 + 1 + 1 = 2
 - T₅ = 1 + 1 + 2 = 4
 - T₆ = 1 + 2 + 4 = 7
 - T₇ = 2 + 4 + 7 = 13.
3. Compute the 8th term (T₈):
 - T₈ = T₅ + T₆ + T₇ = 4 + 7 + 13.
 - 4 + 7 = 11.
 - 11 + 13 = 24.

Common Trap: Adding only the previous two terms (7 + 13 = 20, Option C), treating it as a standard 2-term Fibonacci sequence.
Exam Tip: In Tribonacci sequences, ALWAYS Σ exactly THREE prior numbers (4 + 7 + 13 = 24).","Correct. Survives elimination because the Tribonacci recurrence sums the last three terms (4 + 7 + 13 = 24).","Eliminated because arithmetic error gives 26.","Eliminated because 20 is 7 + 13 (Σ of only two prior terms).","Eliminated because adding 15 yields 28.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"What is the 7th term in the generalized linear recurrence sequence where T₁ = 3, T₂ = 5, and Tₙ = 2 Tₙ₋₁ + Tₙ₋₂ for n ≥ 3:

3, 5, 13, 31, 75, 181, ?","437","432","441","412","A","Step-by-Step Solution:
1. Verify the recursive transitions:
 - T₃ = 2(5) + 3 = 10 + 3 = 13
 - T₄ = 2(13) + 5 = 26 + 5 = 31
 - T₅ = 2(31) + 13 = 62 + 13 = 75
 - T₆ = 2(75) + 31 = 150 + 31 = 181.
2. Compute the 7th term (T₇):
 - T₇ = 2(T₆) + T₅ = 2(181) + 75.
 - 2 × 181 = 362.
 - 362 + 75 = 437.

Common Trap: Adding without doubling the previous term (181 + 75 = 256) or arithmetic error (362 + 75 = 432, Option B).
Exam Tip: Track the multiplier 2 on the immediate predecessor (2 × 181) before adding the second predecessor (75).","Correct. Survives elimination because 2 * 181 + 75 = 362 + 75 = 437.","Eliminated because arithmetic error in the Σ yields 432.","Eliminated because addition error yields 441.","Eliminated because doubling 75 instead of 181 yields 412.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"Identify the next number in the Fibonacci-style sequence:

1, 4, 5, 9, 14, 23, 37, ?","60","58","64","61","A","Step-by-Step Solution:
1. Identify the additive recurrence:
 - 1 + 4 = 5
 - 4 + 5 = 9
 - 5 + 9 = 14
 - 9 + 14 = 23
 - 14 + 23 = 37.
2. Each term is the Σ of the two preceding terms: Tₙ = Tₙ₋₁ + Tₙ₋₂.
3. Compute the 8th term (T₈):
 - T₈ = T₆ + T₇ = 23 + 37 = 60.

Common Trap: Adding 14 + 37 = 51 or arithmetic slip resulting in 58 (Option B).
Exam Tip: Sum the last two visible terms: 23 + 37 = 60.","Correct. Survives elimination because 23 + 37 = 60.","Eliminated because arithmetic error yields 58.","Eliminated because adding 27 yields 64.","Eliminated because adding 24 yields 61.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"Find the exact Σ of the first 10 terms of the standard Fibonacci sequence (F₁ = 1, F₂ = 1, F₃ = 2,...):","143","144","142","138","A","Step-by-Step Solution:
1. Apply the fundamental Fibonacci summation identity:
 - Σₖ₌₁ⁿ Fₖ = Fₙ₊₂ - 1.
2. For n = 10, the Σ is S₁₀ = F₁₂ - 1.
3. List Fibonacci numbers up to F₁₂:
 - F₁ = 1, F₂ = 1, F₃ = 2, F₄ = 3, F₅ = 5, F₆ = 8, F₇ = 13, F₈ = 21, F₉ = 34, F₁₀ = 55, F₁₁ = 89, F₁₂ = 144.
4. Calculate Σ:
 - S₁₀ = F₁₂ - 1 = 144 - 1 = 143.
 - (Verification via manual Σ: 1+1+2+3+5+8+13+21+34+55 = 143).

Common Trap: Answering F₁₂ = 144 (Option B), forgetting to subtract 1.
Exam Tip: The Σ of any first n Fibonacci numbers is always 1 less than Fₙ₊₂.","Correct. Survives elimination because the Σ is F12 - 1 = 144 - 1 = 143.","Eliminated because 144 is F12 without subtracting 1.","Eliminated because subtracting 2 yields 142.","Eliminated because Σ calculation error yields 138.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"What is the 8th term in the multiplicative Fibonacci sequence:

1, 2, 2, 4, 8, 32, 256, ?","8,192","4,096","16,384","6,144","A","Step-by-Step Solution:
1. Identify the multiplicative recurrence:
 - Each term is the product of the previous two terms: Tₙ = Tₙ₋₁ × Tₙ₋₂.
2. Express in powers of 2:
 - T₁ = 2⁰ = 1
 - T₂ = 2¹ = 2
 - T₃ = 2¹ = 2
 - T₄ = 2² = 4
 - T₅ = 2³ = 8
 - T₆ = 2⁵ = 32
 - T₇ = 2⁸ = 256.
 - (Note that the exponents follow the Fibonacci sequence: 0, 1, 1, 2, 3, 5, 8, 13).
3. Compute the 8th term (T₈):
 - T₈ = T₆ × T₇ = 32 × 256 = 2⁵ × 2⁸ = 2¹³.
4. Evaluate 2¹³:
 - 2¹³ = 8,192.

Common Trap: Multiplying 256 × 16 = 4,096 (Option B) or squaring 256² = 65,536.
Exam Tip: Exponents add when multiplying powers of the same base (5 + 8 = 13 implies 2¹³ = 8,192).","Correct. Survives elimination because 32 * 256 = 2¹3 = 8,192.","Eliminated because 4,096 is 2¹2.","Eliminated because 16,384 is 2¹4.","Eliminated because arithmetic error gives 6,144.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"Determine the next number in the absolute difference sequence:

100, 62, 38, 24, 14, 10, 4, 6, ?","2","4","0","1","A","Step-by-Step Solution:
1. Trace the subtractive Euclidean recurrence:
 - Each term is the absolute difference of the two preceding terms: Tₙ = |Tₙ₋₂ - Tₙ₋₁|.
2. Verify transitions:
 - |100 - 62| = 38
 - |62 - 38| = 24
 - |38 - 24| = 14
 - |24 - 14| = 10
 - |14 - 10| = 4
 - |10 - 4| = 6.
3. Compute the 9th term (T₉):
 - T₉ = |T₇ - T₈| = |4 - 6| = |-2| = 2.

Common Trap: Subtracting 6 - 4 = 2 and assigning a negative sign, or guessing 0 (Option C).
Exam Tip: Absolute difference guarantees all terms remain non-negative real integers (|-2| = 2).","Correct. Survives elimination because |4 - 6| = |-2| = 2.","Eliminated because 4 is T7.","Eliminated because the difference is 2, not 0.","Eliminated because 1 is not the difference between 4 and 6.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"In the recursive squaring sequence where T₁ = 1, T₂ = 1, and Tₙ = (Tₙ₋₁ + Tₙ₋₂)² for n ≥ 3, what is the 5th term (T₅)?","841","729","961","625","A","Step-by-Step Solution:
1. Apply the recursive rule sequentially:
 - T₁ = 1
 - T₂ = 1
 - T₃ = (T₂ + T₁)² = (1 + 1)² = 2² = 4
 - T₄ = (T₃ + T₂)² = (4 + 1)² = 5² = 25.
2. Compute the 5th term (T₅):
 - T₅ = (T₄ + T₃)² = (25 + 4)² = 29².
3. Evaluate 29²:
 - 29² = (30 - 1)² = 900 - 60 + 1 = 841.

Common Trap: Squaring 27² = 729 (Option B) or 31² = 961 (Option C) due to arithmetic error in summing 25 + 4.
Exam Tip: (30 - 1)² = 900 - 60 + 1 = 841.","Correct. Survives elimination because (25 + 4)² = 29² = 841.","Eliminated because 729 is 27².","Eliminated because 961 is 31².","Eliminated because 625 is 25².","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"What is the exact numerical value of Cassini's identity expression Fₙ₊₁ Fₙ₋₁ - Fₙ² for the 9th Fibonacci number (n = 9)?","-1","1","0","-2","A","Step-by-Step Solution:
1. State Cassini's Identity for Fibonacci numbers:
 - Fₙ₊₁ Fₙ₋₁ - Fₙ² = (-1)ⁿ.
2. For n = 9 (an odd integer):
 - (-1)⁹ = -1.
3. Verify directly using standard Fibonacci values:
 - F₈ = 21
 - F₉ = 34
 - F₁₀ = 55.
4. Substitute values:
 - F₁₀ · F₈ - F₉² = 55 × 21 - 34².
 - 55 × 21 = 1,155.
 - 34² = 1,156.
 - 1,155 - 1,156 = -1.

Common Trap: Answering +1 (Option B) by assuming all square difference identities evaluate to positive unity.
Exam Tip: Cassini's identity alternates signs: +1 for even n, and -1 for odd n.","Correct. Survives elimination because (-1)⁹ = -1 (and 55 * 21 - 34² = 1,155 - 1,156 = -1).","Eliminated because +1 is the identity value for even n (e.g. n = 8 or 10).","Eliminated because the expression never evaluates to 0 for non-trivial terms.","Eliminated because difference is strictly unitary magnitude (+/- 1).","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
"In the combined linear sequence defined by Tₙ = 3 Fₙ + 2 Lₙ (where Fₙ is the n-th Fibonacci number and Lₙ is the n-th Lucas number), what is the exact value of the 6th term (T₆)?","46","44","48","52","A","Step-by-Step Solution:
1. Identify the 6th Fibonacci number (F₆):
 - F₁=1, F₂=1, F₃=2, F₄=3, F₅=5, F₆=8.
2. Identify the 6th Lucas number (L₆):
 - L₁=2, L₂=1, L₃=3, L₄=4, L₅=7, L₆=11.
3. Substitute into the defined linear combination:
 - T₆ = 3 F₆ + 2 L₆.
 - T₆ = 3(8) + 2(11).
 - 3 × 8 = 24.
 - 2 × 11 = 22.
4. Sum the components:
 - T₆ = 24 + 22 = 46.

Common Trap: Swapping coefficients (2 F₆ + 3 L₆ = 16 + 33 = 49) or misidentifying L₆ as 12.
Exam Tip: F₆ = 8 and L₆ = 11 are foundational benchmarks.","Correct. Survives elimination because T6 = 3(8) + 2(11) = 24 + 22 = 46.","Eliminated because arithmetic error in the Σ yields 44.","Eliminated because using F6 = 8, L6 = 12 yields 48.","Eliminated because calculation slip gives 52.","Numerical Ability","Numerical Ability | Number Sequence | Special Sequences | Fibonacci-like patterns | Very Difficult | Batch 027"
