"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 4(A)(g) of Republic Act No. 6713, what are the four foundational principles that define the norm of 'COMMITMENT TO DEMOCRACY'?","(1) Committing to the DEMOCRATIC WAY OF LIFE AND VALUES, (2) Maintaining the principle of PUBLIC ACCOUNTABILITY, (3) Manifesting by deeds the SUPREMACY OF CIVILIAN AUTHORITY OVER THE MILITARY, and (4) Upholding the CONSTITUTION at all times and putting loyalty to country above loyalty to persons or party.","(1) Establishing military juntas, (2) Suspending the Bill of Rights permanently, (3) Granting lifetime tenure to local politicians, and (4) Censoring all public criticism.","(1) Prioritizing personal clan loyalty, (2) Subverting congressional oversight, (3) Privatizing municipal courts, and (4) Abolishing civil elections.","(1) Maximizing discretionary executive decrees, (2) Bypassing the Commission on Audit, (3) Appointing party loyalists without qualifications, and (4) Restricting freedom of speech.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 4(A)(g):
   'Commitment to democracy. — Public officials and employees shall commit themselves to the DEMOCRATIC WAY OF LIFE AND VALUES, maintain the principle of PUBLIC ACCOUNTABILITY, and manifest by deeds the SUPREMACY OF CIVILIAN AUTHORITY OVER THE MILITARY. They shall at all times uphold the Constitution and PUT LOYALTY TO COUNTRY ABOVE LOYALTY TO PERSONS OR PARTY.'
2. The Four Bedrock Pillars of Section 4(A)(g):
   - 1. Democratic Values: Preserving civil liberties, human dignity, citizen voice, and the rule of law.
   - 2. Public Accountability: Constant openness to public scrutiny, auditing, and performance review (Article XI, Section 1).
   - 3. Civilian Supremacy: Absolute civilian control over the armed forces and security apparatus (Article II, Section 3).
   - 4. Constitutional Supremacy: Loyalty to the sovereign Republic and the Constitution above any individual politician, boss, patron, or political party.
3. Option A matches the statutory mandate verbatim.

Common Trap: Viewing democracy as mere election voting; Commitment to Democracy requires DAILY institutional respect for CIVILIAN SUPREMACY, PUBLIC ACCOUNTABILITY, and CONSTITUTIONAL SUPREMACY.
Exam Tip: RA 6713, Sec. 4(A)(g) = COMMITMENT TO DEMOCRACY: Democratic values + Public accountability + Civilian supremacy over military + Loyalty to country above persons/party.","Correct. Survives elimination because Section 4(A)(g) of RA 6713 explicitly establishes the four core tenets: dedication to democratic values, public accountability, civilian supremacy over the military, and unwavering loyalty to the Constitution above persons or party.","Eliminated because military juntas and suspending the Bill of Rights destroy constitutional democracy.","Eliminated because clan loyalty and subverting legislative oversight directly undermine democratic accountability and rule of law.","Eliminated because bypassing constitutional audit bodies and stifling free speech violates democratic principles.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"Under Article II, Section 3 of the 1987 Constitution and Section 4(A)(g) of RA 6713, what is the principle of 'CIVILIAN SUPREMACY OVER THE MILITARY'?","CIVILIAN AUTHORITY IS, AT ALL TIMES, SUPREME OVER THE MILITARY; the Armed Forces of the Philippines is the protector of the people and the State, and military officers are strictly subordinate to the civilian President as Commander-in-Chief and to civilian constitutional institutions.","The military command has the constitutional authority to abolish the civilian Supreme Court whenever national economic growth slows down.","Military generals are authorized to take over municipal city councils without presidential approval.","The military is supreme over civilian authority during routine annual budget hearings.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 3:
   'Civilian authority is, at all times, supreme over the military. The Armed Forces of the Philippines is the protector of the people and the State. Its goal is to secure the sovereignty of the State and the integrity of the national territory.'
2. Statutory Reinforcement: Section 4(A)(g), RA 6713:
   'Public officials and employees shall... manifest by deeds the SUPREMACY OF CIVILIAN AUTHORITY OVER THE MILITARY.'
3. Constitutional Architecture of Civilian Supremacy:
   - 1. Civilian Commander-in-Chief: The President of the Philippines, an elected civilian official, is the Commander-in-Chief of all armed forces (Article VII, Section 18).
   - 2. Civilian Department Head: The Secretary of National Defense (DND) is a civilian cabinet secretary exercising civilian policy control over the military.
   - 3. Legislative Control: Congress exercises civilian purse control over military appropriations and confirms senior military promotions through the Commission on Appointments (Article VI & VII).
   - 4. Non-Partisan Role: The military is strictly professional and dedicated to protecting the sovereign people and national territory, not meddling in political governance.
4. Option A is the verbatim constitutional doctrine.

Common Trap: Thinking martial law makes the military supreme over civilians; even under martial law, the civilian courts and civilian legislature CONTINUE TO FUNCTION (Art. VII, Sec. 18). Civilian authority remains supreme AT ALL TIMES.
Exam Tip: Article II, Section 3 = Civilian authority is, AT ALL TIMES, supreme over the military (AFP is protector of people and State).","Correct. Survives elimination because Article II, Section 3 and Section 4(A)(g) explicitly enshrine the perpetual supremacy of civilian authority over the armed forces, establishing the military as the protector of the people under civilian leadership.","Eliminated because the military has zero authority to dissolve constitutional courts.","Eliminated because military takeover of civilian local governments violates the Constitution and local autonomy.","Eliminated because Congress exercises civilian legislative control over all military budget allocations.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"A department director orders a subordinate engineer to sign a falsified infrastructure accomplishment report that releases millions to a private contractor for an unbuilt bridge, telling the engineer: 'You owe your job to me, your loyalty is to me, not the rules!' Guided by the norm of 'Commitment to Democracy' under Section 4(A)(g) of RA 6713, what must the engineer do?","The engineer must REFUSE to sign the falsified report, because public servants are legally obligated to put LOYALTY TO THE COUNTRY AND THE CONSTITUTION ABOVE LOYALTY TO PERSONS OR PARTY, and following illegal orders from a superior is never a valid defense.","The engineer should sign the falsified report immediately because personal obedience to one's boss overrides all national laws.","The engineer should sign the report provided the director promises to share 50% of the contractor's kickback.","The engineer can sign the falsified report as long as they write 'signed under protest' in invisible ink.","A","Step-by-Step Solution:
1. Statutory Command: RA 6713, Section 4(A)(g):
   'They shall at all times uphold the Constitution and PUT LOYALTY TO COUNTRY ABOVE LOYALTY TO PERSONS OR PARTY.'
2. Civil Service & Criminal Law Principles (Arias v. Sandiganbayan; People v. Beronilla):
   - 1. Loyalty to the Constitution Trumps Personal Patronage: In a democracy, civil servants are not personal vassals or private mercenaries of their department heads. Their supreme loyalty belongs to the Republic, the rule of law, and the Filipino people.
   - 2. No Immunity for Obeying Manifestly Unlawful Orders: An employee who knowingly signs a forged or falsified official document to release funds for a non-existent ghost project commits Falsification of Public Documents (Art. 171, RPC), Malversation (Art. 217), and Graft (RA 3019).
   - 3. Invoking 'superior orders' is NOT a legal defense when the order is manifestly illegal and criminal.
   - 4. The engineer has the affirmative legal and moral duty to REFUSE to participate in the fraud.
3. Option A is the only correct, lawful response.

Common Trap: Believing subordinates must obey all orders of their boss; subordinates must ONLY obey LAWFUL orders. When an order is illegal, loyalty to the Constitution and country MUST PREVAIL.
Exam Tip: RA 6713, Sec. 4(A)(g) = PUT LOYALTY TO COUNTRY ABOVE LOYALTY TO PERSONS OR PARTY (Never obey illegal orders).","Correct. Survives elimination because Section 4(A)(g) mandates that loyalty to the country and Constitution must always prevail over personal loyalty to superiors, requiring the engineer to refuse to execute fraudulent and illegal orders.","Eliminated because blind personal obedience to illegal orders is rejected under civil service and criminal law.","Eliminated because sharing kickbacks converts the act into criminal conspiracy for plunder and graft.","Eliminated because signing a falsified public document remains criminal falsification regardless of secret informal notations.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"In constitutional jurisprudence (e.g., Angara v. Electoral Commission, Ople v. Torres), why is institutional respect for the 'SEPARATION OF POWERS' and 'CHECKS AND BALANCES' an essential component of Commitment to Democracy?","To prevent the arbitrary concentration and abuse of governmental power in any single branch or official, ensuring that the Executive, Legislative, and Judiciary operate within their constitutional spheres to protect individual liberties.","To ensure that the President can unilaterally abolish Congress whenever laws are debated too slowly.","To permit the Judiciary to levy and collect national income taxes directly from citizens.","To allow the Legislature to conduct criminal jury trials inside the Senate session hall.","A","Step-by-Step Solution:
1. Constitutional Philosophy (Angara v. Electoral Commission, 63 Phil. 139, penned by Justice Jose P. Laurel):
   - 'The separation of powers is a fundamental principle in our system of government. It obtains not through express provision by any single clause of the Constitution, but by actual division in the frame of government.'
2. The Democratic Function of Separation of Powers:
   - 1. Diffusion of State Power: Allocating Executive power to the President (Art. VII), Legislative power to Congress (Art. VI), and Judicial power to the Supreme Court and lower courts (Art. VIII).
   - 2. System of Checks and Balances: Veto powers, impeachment, judicial review, treaty concurrence, and budget appropriations prevent any single branch from degenerating into tyranny or dictatorship.
   - 3. Commitment to Democracy (RA 6713, Sec. 4[A][g]): Civil servants and public officials must respect institutional boundaries and statutory mandates, rejecting authoritarian overreach.
3. Option A is the definitive, established constitutional rationale.

Common Trap: Believing separation of powers creates absolute hostility; separation of powers creates INTERDEPENDENCE and MUTUAL CHECKS to prevent autocracy.
Exam Tip: Separation of Powers & Checks and Balances = Prevents concentration and tyranny of power, preserving democratic liberties.","Correct. Survives elimination because settled constitutional doctrine (Angara v. Electoral Commission) establishes that separation of powers and checks and balances prevent authoritarian overreach and safeguard individual liberties within a constitutional democracy.","Eliminated because the Executive has no power to abolish the constitutionally established Congress.","Eliminated because the taxing power is exclusively legislative and cannot be usurped by the Judiciary.","Eliminated because criminal trials are exclusive judicial functions that cannot be conducted by the Legislature.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"Under Section 4(A)(g) of RA 6713, how does 'Commitment to Democracy' govern a public official's response to CITIZEN PROTESTS, peaceful assemblies, and public criticism of government policies?","Public officials must respect, uphold, and protect the constitutional rights of citizens to PEACEABLY ASSEMBLE and petition the government for redress of grievances, treating public feedback and criticism with tolerance, openness, and constructive dialogue.","Public officials are authorized to deploy water cannons immediately against any peaceful assembly held in a designated freedom park.","Public officials may order the arrest of all citizens who post critical comments on the official agency Facebook page.","Public employees can revoke the driver's licenses of any motorist who honks in support of a labor union protest.","A","Step-by-Step Solution:
1. Constitutional & Statutory Synergy:
   - Article III, Section 4: '...or the right of the people peaceably to assemble and petition the government for redress of grievances.'
   - Batas Pambansa Blg. 880 (The Public Assembly Act of 1985 / Maximum Tolerance Policy; Bayan v. Ermita).
   - Section 4(A)(g), RA 6713 (Commitment to Democracy).
2. The Democratic Mandate:
   - 1. Freedom to Criticize: In a robust democracy, public officials must not be thin-skinned. Citizen dissent, peaceful demonstrations, and public critique are essential democratic feedback mechanisms.
   - 2. Policy of Maximum Tolerance: Law enforcement and public officials must exercise highest restraint and respect the rights of peaceful assembly in designated freedom parks or public roads.
   - 3. Constructive Engagement: Listening to public concerns, conducting public consultations, and addressing administrative grievances peacefully.
3. Option A captures this vital democratic standard accurately.

Common Trap: Assuming government officials can ban all protests; peaceful assembly in freedom parks requires NO permit, and public officials must observe MAXIMUM TOLERANCE.
Exam Tip: Commitment to Democracy = Respect for peaceable assembly, citizen petition for redress, public criticism, and MAXIMUM TOLERANCE (BP 880 / Bayan v. Ermita).","Correct. Survives elimination because Section 4(A)(g) and Article III, Section 4 obligate public servants to uphold democratic rights by respecting peaceful assembly and engaging with public dissent through tolerance and constructive dialogue.","Eliminated because violent suppression of peaceful assemblies in freedom parks violates BP 880 and constitutional due process.","Eliminated because arresting citizens for peaceful online political critique violates freedom of speech under Article III, Section 4.","Eliminated because administrative retaliation against citizens exercising assembly rights is an illegal abuse of authority.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 158"
"In the landmark ruling of Bayan v. Ermita (G.R. No. 169838, April 25, 2006), why did the Supreme Court strike down the Executive's 'CALIBRATED LIBERAL ADULT (CLA) / CALIBRATED PREEMPTIVE RESPONSE (CPR)' policy against public rallies as UNCONSTITUTIONAL?","The CPR policy permitted arbitrary police dispersal of peaceful rallies and was fundamentally incompatible with Batas Pambansa Blg. 880 (The Public Assembly Act), which strictly mandates the statutory policy of MAXIMUM TOLERANCE in protecting the democratic right to peaceably assemble.","The Supreme Court held that all police forces in Metro Manila must be disbanded during political demonstrations.","The Supreme Court ruled that public streets can never be used for any vehicular traffic.","The policy was struck down because the President is legally forbidden from issuing any executive guidelines on national security.","A","Step-by-Step Solution:
1. Landmark Case: Bayan v. Ermita (488 SCRA 226, 2006), penned by Justice Adolfo Azcuna:
   - Facts: The Executive Branch adopted the 'Calibrated Preemptive Response' (CPR) policy to immediately block, disrupt, and disperse anti-government street demonstrations. Various civil society organizations challenged the CPR policy.
   - Supreme Court Ruling (En Banc):
     - 1. STATUTORY SUPREMACY OF BP 880: Batas Pambansa Blg. 880 expressly embodies the policy of 'MAXIMUM TOLERANCE' — the highest degree of restraint that police officers must observe during public assemblies.
     - 2. CPR IS VOID: The CPR policy, by authorizing preemptive dispersal of peaceful assemblies, directly violated BP 880 and Article III, Section 4 of the Constitution.
     - 3. FREEDOM PARKS MANDATE: Every city and municipality is required by law to establish designated 'Freedom Parks' where rallies can be held without needing any local government permit.
     - 4. The Court declared the CPR policy NULL AND VOID.
2. Option A is the precise legal holding of Bayan v. Ermita.

Common Trap: Confusing CPR (unconstitutional preemptive dispersal) with Maximum Tolerance (the lawful statutory standard under BP 880); Maximum Tolerance is the MANDATORY rule.
Exam Tip: Bayan v. Ermita = Calibrated Preemptive Response (CPR) is UNCONSTITUTIONAL; Police must adhere strictly to MAXIMUM TOLERANCE under BP 880.","Correct. Survives elimination because Bayan v. Ermita declared the Calibrated Preemptive Response policy unconstitutional for violating the statutory mandate of maximum tolerance under BP 880 and infringing upon the democratic right to peaceful assembly.","Eliminated because police forces maintain legitimate authority to preserve public safety under the maximum tolerance standard.","Eliminated because public roads remain dedicated to vehicular traffic, balanced with reasonable time, place, and manner rally permits.","Eliminated because the President may issue security guidelines provided they conform strictly to the Constitution and statutes.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"Under Section 4(A)(g) of RA 6713, why is 'PUBLIC ACCOUNTABILITY' a non-negotiable cornerstone of Commitment to Democracy?","Because in a representative democracy, sovereignty resides in the people and all government authority emanates from them; therefore, public servants are mere trustees who must be transparent, subject to regular audit, and answerable to the people for all actions and expenditures.","Because public accountability allows public officials to conduct closed-door auctions of public parks to the highest bidder.","Because public accountability requires civil servants to surrender their private salaries to foreign commercial corporations.","Because public accountability permits agency directors to hide all budget disbursements behind executive privilege.","A","Step-by-Step Solution:
1. Constitutional & Statutory Synthesis:
   - Article II, Section 1: 'Sovereignty resides in the people and all government authority emanates from them.'
   - Article XI, Section 1: 'Public office is a public trust. Public officers and employees must at all times be accountable to the people...'
   - Section 4(A)(g), RA 6713: 'Public officials and employees shall... MAINTAIN THE PRINCIPLE OF PUBLIC ACCOUNTABILITY...'
2. The Democratic Logic of Public Accountability:
   - 1. Public Servants are Stewards, Not Masters: Government officials hold power temporarily as delegated fiduciaries of the sovereign Filipino people.
   - 2. Obligation to Justify & Explain: Every government decision, contract award, policy change, and peso spent must be documented, transparent, and defensible before the public, Congress, the Ombudsman, and the Commission on Audit.
   - 3. Non-Negotiable Pillar: Without accountability, democracy collapses into unaccountable autocracy and kleptocracy.
3. Option A captures this foundational democratic doctrine accurately.

Common Trap: Thinking accountability applies only during elections; public accountability is a CONTINUOUS, DAILY LEGAL OBLIGATION of every public servant.
Exam Tip: Public Accountability = Derived from Popular Sovereignty (Art. II, Sec. 1) + Public Office is a Public Trust (Art. XI, Sec. 1); Civil servants are answerable to the people at all times.","Correct. Survives elimination because popular sovereignty (Article II, Section 1) and public trust (Article XI, Section 1) dictate that public servants are fiduciaries answerable to the people through continuous transparency, audit, and legal accountability.","Eliminated because selling public domain parks to private commercial interests violates national patrimony and public trust.","Eliminated because public accountability governs official state funds, not the surrender of lawful personal salaries to foreign entities.","Eliminated because hiding general budget disbursements behind executive privilege violates public transparency and Article XI accountability.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"In the context of civil service ethics, how does 'Commitment to Democracy' condemn the practice of VIGILANTE JUSTICE, extrajudicial punishments, or kangaroo courts conducted by public officers?","Democratic governance is founded on the RULE OF LAW and CONSTITUTIONAL DUE PROCESS; public officials are strictly bound to respect judicial processes and cannot execute extrajudicial punishments or bypass the courts of law.","Vigilante justice is recognized as an authorized cost-saving measure to expedite criminal dockets.","Public officials may execute criminal suspects on the spot if the suspect fails a lie detector test.","Extrajudicial punishment is legal provided the local barangay council votes unanimously in favor of it.","A","Step-by-Step Solution:
1. Foundational Constitutional Principles:
   - Article III, Section 1: 'No person shall be deprived of life, liberty, or property without due process of law...'
   - Article III, Section 14: Presumption of innocence, right to counsel, right to a fair and impartial trial.
   - Section 4(A)(g), RA 6713 (Commitment to Democracy & Rule of Law).
2. Ethical & Legal Analysis of Extrajudicial Actions:
   - 1. The Rule of Law: In a constitutional democracy, NO PUBLIC OFFICIAL (whether mayor, police commander, or president) is above the law.
   - 2. Absolute Ban on Extrajudicial Violence: Extrajudicial killings (EJKs), arbitrary torture, summary executions, and vigilante hit squads are heinous crimes against humanity, murder, and total betrayals of democratic governance.
   - 3. Mandatory Judicial Process: All accused persons must be brought before the independent Judiciary for formal trial under the Rules of Court.
3. Option A is the definitive, correct legal statement.

Common Trap: Believing summary justice is effective governance; extrajudicial violence destroys the rule of law and constitutes grave criminal murder and tyranny.
Exam Tip: Commitment to Democracy = Absolute fidelity to the RULE OF LAW and DUE PROCESS (Strict rejection of vigilante justice and extrajudicial punishments).","Correct. Survives elimination because constitutional democracy and Section 4(A)(g) are anchored on the rule of law and due process under Article III, Section 1, strictly barring extrajudicial punishments, summary killings, and vigilante operations.","Eliminated because extrajudicial killings are heinous capital crimes, not authorized judicial mechanisms.","Eliminated because lie detector tests lack conclusive legal validity and summary execution violates the right to life.","Eliminated because local councils have no judicial power to authorize extrajudicial punishments.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"Under Section 4(A)(g) of RA 6713, why are military coups, mutinies, and unauthorized armed takeovers by uniformed personnel a flagrant violation of civil service and constitutional ethics?","Because armed mutinies and coups subvert the constitutional order, violate the supreme principle of CIVILIAN SUPREMACY OVER THE MILITARY, and betray the armed forces' sacred mandate as the protector of the people and the State under Article II, Section 3.","Because military coups are permitted only if approved by the Department of Budget and Management.","Because military mutinies are considered ordinary labor union strikes protected by the Department of Labor and Employment.","Because military takeovers are recognized as lawful methods for junior officers to receive automatic salary grade promotions.","A","Step-by-Step Solution:
1. Constitutional & Statutory Text:
   - Article II, Section 3: 'Civilian authority is, at all times, supreme over the military. The Armed Forces of the Philippines is the protector of the people and the State.'
   - Article 134-A, Revised Penal Code (Coup d'État, inserted by RA 6968).
   - Section 4(A)(g), RA 6713 (Commitment to Democracy: manifesting civilian supremacy over the military).
2. Legal & Ethical Analysis:
   - 1. Crime of Coup d'État: Seizing or taking over public buildings, radio stations, or military camps to seize state power is a non-bailable capital crime under the Revised Penal Code.
   - 2. Subversion of Democracy: An armed military revolt against the civilian government destroys constitutional order, democracy, and popular sovereignty.
   - 3. Sacred Duty of Armed Forces: Uniformed personnel are bound by their sworn oath to protect the Constitution and the civilian Republic against all domestic and foreign threats.
3. Option A is the comprehensive, accurate constitutional evaluation.

Common Trap: Viewing a military coup as an internal military dispute; a coup is a GRAVE ATTACK on constitutional democracy and a crime under Article 134-A of the RPC.
Exam Tip: Military Coups / Mutiny = Subverts CIVILIAN SUPREMACY (Art. II, Sec. 3) + Crime of Coup d'État (Art. 134-A, RPC) + Flagrant breach of Commitment to Democracy.","Correct. Survives elimination because military mutinies and coups directly subvert constitutional order and violate the fundamental mandate of civilian supremacy over the military enshrined in Article II, Section 3 and Section 4(A)(g).","Eliminated because military coups are criminal offenses that can never be authorized by budget agencies.","Eliminated because military personnel are strictly prohibited from staging strikes or mutinies under the Articles of War and civil service laws.","Eliminated because participating in a coup d'état results in court martial, criminal imprisonment, and dishonorable discharge, not promotions.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
"In the daily routine of a government office, how can a frontline civil service worker practically demonstrate 'Commitment to Democracy'?","By treating every transacting citizen with equal dignity and respect regardless of their social status, upholding transparency, following established legal procedures honestly, and listening attentively to citizen feedback and complaints.","By demanding that citizens recite the political party slogan of the sitting mayor before being handed an application form.","By refusing to accept applications from citizens who do not own registered motor vehicles.","By selling fast-track queue numbers to the highest bidders in the morning line.","A","Step-by-Step Solution:
1. Practical Operationalization of Democratic Values (RA 6713, Sec. 4[A][g]):
   - 1. Equality Before the Law: Treating every citizen—whether a rich businessman or an illiterate laborer—with identical dignity, patience, and professional fairness.
   - 2. Transparency & Procedural Due Process: Adhering to the published Citizen's Charter; explaining requirements clearly without deceit or arbitrary roadblocks.
   - 3. Active Receptiveness: Viewing citizen feedback, comments, and complaints not as personal insults, but as legitimate democratic exercises of citizen oversight and empowerment.
2. Option A represents the textbook, practical embodiment of democratic ethics in frontline service.
3. Options B, C, and D are unlawful, discriminatory, and corrupt practices.

Common Trap: Thinking democracy is practiced only in the halls of Congress; everyday frontline civil servants LIVE DEMOCRACY DAILY by treating citizens with equal respect, transparency, and fairness.
Exam Tip: Daily Democratic Ethics in Civil Service = Equal dignity for all citizens, transparent adherence to rules, and attentive, respectful handling of public feedback.","Correct. Survives elimination because practicing commitment to democracy at the frontline level requires delivering equal, dignified, and transparent service to all citizens and actively respecting public feedback and administrative due process.","Eliminated because coercing citizens to recite political party slogans is an unlawful partisan abuse of office.","Eliminated because conditioning public service on vehicle ownership is an arbitrary and unconstitutional wealth discrimination.","Eliminated because selling queue numbers constitutes illegal fixing and extortion under RA 11032.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Commitment to democracy | Very Difficult | Batch 160"
