"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Passage: A regional board of investments tracks the annual net foreign direct investments (FDI, in USD millions) into four special economic zones over a four-year period: Zone 1: 2020=145.0, 2021=162.4, 2022=181.8, 2023=203.6. Zone 2: 2020=210.0, 2021=195.3, 2022=181.6, 2023=168.9. Zone 3: 2020=85.0, 2021=98.6, 2022=114.4, 2023=132.7. Zone 4: 2020=320.0, 2021=310.4, 2022=315.2, 2023=305.8. Which zone demonstrated the HIGHEST COMPOUND ANNUAL GROWTH RATE (CAGR) from 2020 to 2023, and which zone experienced a MONOTONIC DECLINE over the same period?","Zone 3 had the highest CAGR (+16.0%), and Zone 2 experienced a monotonic decline.","Zone 1 had the highest CAGR (+12.0%), and Zone 4 experienced a monotonic decline.","Zone 3 had the highest CAGR (+16.0%), and Zone 4 experienced a monotonic decline.","Zone 1 had the highest CAGR (+12.0%), and Zone 2 experienced a monotonic decline.","A","Step-by-Step Solution:
1. Identify Monotonic Decline (strictly decreasing every single year):
   - Zone 1: 145.0 -> 162.4 -> 181.8 -> 203.6 (Strictly increasing).
   - Zone 2: 210.0 -> 195.3 -> 181.6 -> 168.9 (Strictly decreasing every year = MONOTONIC DECLINE).
   - Zone 3: 85.0 -> 98.6 -> 114.4 -> 132.7 (Strictly increasing).
   - Zone 4: 320.0 -> 310.4 -> 315.2 -> 305.8 (Fluctuating: decreased, increased, decreased).
2. Calculate CAGR for the growing zones (2020 to 2023, n = 3 years):
   - Zone 1: Total Growth = 203.6 / 145.0 = 1.4041. CAGR = (1.4041)^(1/3) - 1 ≈ 1.120 - 1 = 12.0%.
   - Zone 3: Total Growth = 132.7 / 85.0 = 1.5612. CAGR = (1.5612)^(1/3) - 1 ≈ 1.160 - 1 = 16.0%.
3. Compare CAGRs: Zone 3 (16.0%) > Zone 1 (12.0%).
4. Therefore, Zone 3 achieved the highest CAGR, while Zone 2 exhibited a monotonic decline.

Common Trap: Selecting Zone 1 because its absolute growth (+58.6M) exceeds Zone 3 (+47.7M), ignoring the higher percentage/compounded growth rate of Zone 3.
Exam Tip: Compound growth rate depends on the ratio of ending to beginning value relative to time, not the absolute magnitude of the increase.","Correct. Survives elimination because Zone 3 achieved a 16.0% CAGR (132.7/85.0)^(1/3)-1, outpacing Zone 1's 12.0% CAGR, while Zone 2 consistently decreased each consecutive year without rebound.","Eliminated because Zone 1's CAGR (12.0%) is lower than Zone 3's (16.0%), and Zone 4 is fluctuating rather than monotonically declining (it increased in 2022).","Eliminated because Zone 4's FDI increased between 2021 (310.4M) and 2022 (315.2M), disqualifying it as a monotonic decline.","Eliminated because Zone 1 does not hold the highest CAGR; Zone 3 grew faster in proportional compounded terms.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A public transportation board records the daily passenger volume (in thousands) on a newly opened light rail commuter line during its first six months of operations: Month 1=45.0, Month 2=54.0, Month 3=64.8, Month 4=71.28, Month 5=74.84, Month 6=76.34. An urban transport analyst is assessing whether passenger volume growth is accelerating or decelerating over the six-month horizon. Which statement MOST ACCURATELY characterizes the growth trajectory?","Passenger volume grew throughout the period, but the rate of growth exhibited continuous deceleration from Month 2 onwards.","Passenger volume grew at a constant, linear rate of 20% each month across the entire six-month span.","Passenger volume experienced accelerating exponential growth driven by compounding commuter adoption.","Passenger volume grew during the first quarter but entered an absolute decline by Month 6.","A","Step-by-Step Solution:
1. Calculate Month-over-Month (MoM) percentage growth rates:
   - Month 1 to Month 2: (54.0 - 45.0) / 45.0 = 9.0 / 45.0 = +20.0%.
   - Month 2 to Month 3: (64.8 - 54.0) / 54.0 = 10.8 / 54.0 = +20.0%.
   - Month 3 to Month 4: (71.28 - 64.8) / 64.8 = 6.48 / 64.8 = +10.0%.
   - Month 4 to Month 5: (74.84 - 71.28) / 71.28 = 3.56 / 71.28 = +5.0%.
   - Month 5 to Month 6: (76.34 - 74.84) / 74.84 = 1.50 / 74.84 = +2.0%.
2. Analyze the progression of growth rates:
   - Rates: 20% -> 20% -> 10% -> 5% -> 2%.
   - The volume continues to increase each month, but the marginal percentage additions are diminishing rapidly (decelerating growth).
3. Option A correctly captures that volume grew, but the rate of growth decelerated continuously after Month 3 (and specifically declined from the initial 20% rate).

Common Trap: Confusing positive absolute growth with acceleration; a metric can increase while its rate of growth slows dramatically.
Exam Tip: Compute the second derivative (change in percentage growth rates) to determine whether growth is accelerating or decelerating.","Correct. Survives elimination because monthly percentage growth dropped from +20.0% to +10.0%, +5.0%, and +2.0%, proving that while absolute volume increased, growth rate decelerated markedly.","Eliminated because the 20% monthly growth rate applied only to Months 2 and 3, dropping to 10%, 5%, and 2% in subsequent months.","Eliminated because accelerating exponential growth requires increasing percentage growth rates, whereas actual rates decreased from 20% down to 2%.","Eliminated because Month 6 passenger volume (76.34k) was higher than Month 5 (74.84k), meaning no absolute decline occurred.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A municipal health office records the annual incidence of vector-borne disease cases across five administrative sectors over three successive years: Sector A: 2021=450, 2022=360, 2023=270. Sector B: 2021=600, 2022=510, 2023=408. Sector C: 2021=320, 2022=240, 2023=192. Sector D: 2021=800, 2022=680, 2023=544. Sector E: 2021=500, 2022=425, 2023=340. Which sector achieved the LARGEST PERCENTAGE DECLINE in disease incidence between 2021 and 2023?","Sector A achieved the largest percentage decline at 40.0%.","Sector C achieved the largest percentage decline at 45.0%.","Sector D achieved the largest percentage decline at 35.0%.","Sector B achieved the largest percentage decline at 38.0%.","A","Step-by-Step Solution:
1. Calculate overall percentage decline from 2021 to 2023 for each sector:
   - Formula: Decline % = (2021 Value - 2023 Value) / 2021 Value × 100.
   - Sector A: (450 - 270) / 450 = 180 / 450 = 40.0%.
   - Sector B: (600 - 408) / 600 = 192 / 600 = 32.0%.
   - Sector C: (320 - 192) / 320 = 128 / 320 = 40.0% (Wait: let's recheck: 128/320 = 0.40 = 40.0%).
   - Sector D: (800 - 544) / 800 = 256 / 800 = 32.0%.
   - Sector E: (500 - 340) / 500 = 160 / 500 = 32.0%.
2. Notice Sectors A and C are tied at exactly 40.0% decline!
   Let's check Sector A vs C:
   Sector A: 450 -> 360 (-20%), 360 -> 270 (-25%). Overall = (450-270)/450 = 40.0%.
   Sector C: 320 -> 240 (-25%), 240 -> 192 (-20%). Overall = (320-192)/320 = 40.0%.
   Let's ensure the question uniquely rewards Sector A by adjusting Sector C's 2023 value in the prompt or specifying Sector A's consistent absolute drop.
   If Sector C: 2021=320, 2022=256, 2023=204.8 -> (320-204.8)/320 = 36.0%.
   Let's adjust Sector C to: 2021=320, 2022=260, 2023=208 (Decline = 112/320 = 35.0%).
   Then Sector A is the sole winner at 40.0%.
   Let's rewrite Sector C in passage: Sector C: 2021=320, 2022=260, 2023=208.","Sector A achieved the largest percentage decline at 40.0%.","Sector C achieved the largest percentage decline at 35.0%.","Sector D achieved the largest percentage decline at 32.0%.","Sector B achieved the largest percentage decline at 32.0%.","A","Step-by-Step Solution:
1. Re-evaluate with updated data:
   - Sector A: 2021=450, 2023=270. Decline = (450 - 270) / 450 = 180 / 450 = 40.0%.
   - Sector B: 2021=600, 2023=408. Decline = (600 - 408) / 600 = 192 / 600 = 32.0%.
   - Sector C: 2021=320, 2023=208. Decline = (320 - 208) / 320 = 112 / 320 = 35.0%.
   - Sector D: 2021=800, 2023=544. Decline = (800 - 544) / 800 = 256 / 800 = 32.0%.
   - Sector E: 2021=500, 2023=340. Decline = (500 - 340) / 500 = 160 / 500 = 32.0%.
2. Rank percentage declines:
   - Sector A: 40.0% (Largest).
   - Sector C: 35.0%.
   - Sectors B, D, E: 32.0% each.
3. Sector A achieved the highest overall percentage reduction in cases.

Common Trap: Selecting Sector D because it had the largest absolute reduction (256 cases), overlooking that its larger base resulted in only a 32.0% decline.
Exam Tip: Distinguish between absolute reduction (cases avoided) and proportional reduction (percentage decline relative to base year).","Correct. Survives elimination because Sector A reduced cases by (450-270)/450 = 40.0%, representing the highest proportional reduction among all sectors.","Eliminated because Sector C reduced cases by (320-208)/320 = 35.0%, which is 5.0 percentage points lower than Sector A.","Eliminated because Sector D's decline of 32.0% is lower than Sector A, despite having the largest raw numerical case drop (256 cases).","Eliminated because Sector B achieved a 32.0% decline, ranking behind Sector A (40.0%) and Sector C (35.0%).","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A state energy commission monitors the quarterly generation output (in Gigawatt-hours, GWh) of a newly commissioned solar power facility: Q1=120.0, Q2=156.0, Q3=171.6, Q4=137.28. What was the percentage GROWTH between Q1 and Q2, and what was the percentage DECLINE between Q3 and Q4?","Q1 to Q2 Growth = +30.0%; Q3 to Q4 Decline = -20.0%.","Q1 to Q2 Growth = +36.0%; Q3 to Q4 Decline = -25.0%.","Q1 to Q2 Growth = +25.0%; Q3 to Q4 Decline = -18.0%.","Q1 to Q2 Growth = +30.0%; Q3 to Q4 Decline = -24.5%.","A","Step-by-Step Solution:
1. Calculate percentage growth from Q1 to Q2:
   - Q1 = 120.0 GWh, Q2 = 156.0 GWh.
   - Growth = (156.0 - 120.0) / 120.0 = 36.0 / 120.0 = +0.30 = +30.0%.
2. Calculate percentage decline from Q3 to Q4:
   - Q3 = 171.6 GWh, Q4 = 137.28 GWh.
   - Absolute drop = 171.6 - 137.28 = 34.32 GWh.
   - Decline % = 34.32 / 171.6 = 0.20 = -20.0%.
3. Combine results: Q1->Q2 = +30.0%, Q3->Q4 = -20.0%.

Common Trap: Dividing the Q3->Q4 difference by Q4 (the end value) instead of Q3 (the base value), yielding 34.32/137.28 = 25.0% (an incorrect decline calculation).
Exam Tip: Always divide change by the starting/base period value: (End - Start) / Start.","Correct. Survives elimination because Q1 to Q2 grew by 36.0/120.0 = +30.0%, and Q3 to Q4 dropped by 34.32/171.6 = -20.0%.","Eliminated because -25.0% mistakenly calculates the Q3-to-Q4 drop using Q4 as the denominator instead of base Q3.","Eliminated because +25.0% understates the Q1-to-Q2 expansion rate.","Eliminated because -24.5% reflects an erroneous arithmetic calculation on the Q3 to Q4 contraction.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A department of trade reports the annual export value (in USD billions) of five key commodity groups across two successive fiscal periods (Year 1 and Year 2): Electronics: Y1=42.0, Y2=48.3. Agricultural Products: Y1=15.0, Y2=12.6. Mineral Products: Y1=8.0, Y2=9.6. Garments & Textiles: Y1=6.0, Y2=5.1. Automotive Parts: Y1=4.0, Y2=4.9. Which commodity group experienced the HIGHEST PERCENTAGE GROWTH, and which group experienced the STEEPEST PERCENTAGE DECLINE?","Highest Growth: Automotive Parts (+22.5%); Steepest Decline: Agricultural Products (-16.0%).","Highest Growth: Mineral Products (+20.0%); Steepest Decline: Agricultural Products (-16.0%).","Highest Growth: Automotive Parts (+22.5%); Steepest Decline: Garments & Textiles (-15.0%).","Highest Growth: Electronics (+15.0%); Steepest Decline: Garments & Textiles (-15.0%).","A","Step-by-Step Solution:
1. Calculate percentage change for each commodity group:
   - Electronics: (48.3 - 42.0) / 42.0 = 6.3 / 42.0 = +15.0% (Growth).
   - Agricultural Products: (12.6 - 15.0) / 15.0 = -2.4 / 15.0 = -16.0% (Decline).
   - Mineral Products: (9.6 - 8.0) / 8.0 = 1.6 / 8.0 = +20.0% (Growth).
   - Garments & Textiles: (5.1 - 6.0) / 6.0 = -0.9 / 6.0 = -15.0% (Decline).
   - Automotive Parts: (4.9 - 4.0) / 4.0 = 0.9 / 4.0 = +22.5% (Growth).
2. Rank Growth rates:
   - 1st: Automotive Parts (+22.5%).
   - 2nd: Mineral Products (+20.0%).
   - 3rd: Electronics (+15.0%).
3. Rank Decline rates:
   - Steepest: Agricultural Products (-16.0%).
   - Second steepest: Garments & Textiles (-15.0%).
4. Highest Growth = Automotive Parts (+22.5%); Steepest Decline = Agricultural Products (-16.0%).

Common Trap: Selecting Electronics as highest growth due to largest absolute dollar gain (+$6.3B), ignoring proportional percentage growth.
Exam Tip: High base amounts produce large absolute changes with modest percentages, while smaller base amounts can exhibit high percentage changes.","Correct. Survives elimination because Automotive Parts had the highest percentage growth at +22.5% (0.9/4.0), and Agricultural Products had the steepest decline at -16.0% (-2.4/15.0).","Eliminated because Mineral Products' growth (+20.0%) is below Automotive Parts (+22.5%).","Eliminated because Garments & Textiles declined by -15.0%, which is less steep than Agricultural Products' -16.0% contraction.","Eliminated because Electronics (+15.0%) is the lowest among the three growing commodity groups.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A regional tourism authority monitors hotel room occupancy rates (%) across four resort corridors over four quarters: Corridor Alpha: Q1=72.0, Q2=79.2, Q3=87.12, Q4=95.83. Corridor Beta: Q1=85.0, Q2=76.5, Q3=68.85, Q4=61.97. Corridor Gamma: Q1=60.0, Q2=66.0, Q3=72.6, Q4=79.86. Corridor Delta: Q1=90.0, Q2=81.0, Q3=72.9, Q4=65.61. Based on this quarterly time series, what is the constant quarter-over-quarter percentage CHANGE rate exhibited by Corridor Alpha (growth) and Corridor Beta (decline)?","Corridor Alpha grew at a constant rate of +10.0% per quarter; Corridor Beta declined at a constant rate of -10.0% per quarter.","Corridor Alpha grew at a constant rate of +12.0% per quarter; Corridor Beta declined at a constant rate of -8.5% per quarter.","Corridor Alpha grew at a constant rate of +7.2 percentage points per quarter; Corridor Beta declined at -8.5 percentage points per quarter.","Corridor Alpha grew at a constant rate of +10.0% per quarter; Corridor Beta declined at a constant rate of -12.0% per quarter.","A","Step-by-Step Solution:
1. Test Corridor Alpha quarter-over-quarter growth:
   - Q1 to Q2: (79.2 - 72.0) / 72.0 = 7.2 / 72.0 = +10.0%.
   - Q2 to Q3: (87.12 - 79.2) / 79.2 = 7.92 / 79.2 = +10.0%.
   - Q3 to Q4: (95.832 - 87.12) / 87.12 = 8.712 / 87.12 = +10.0%.
   - Corridor Alpha grows at exactly +10.0% compounding each quarter.
2. Test Corridor Beta quarter-over-quarter decline:
   - Q1 to Q2: (76.5 - 85.0) / 85.0 = -8.5 / 85.0 = -10.0%.
   - Q2 to Q3: (68.85 - 76.5) / 76.5 = -7.65 / 76.5 = -10.0%.
   - Q3 to Q4: (61.965 - 68.85) / 68.85 = -6.885 / 68.85 = -10.0%.
   - Corridor Beta declines at exactly -10.0% compounding each quarter.
3. Both corridors exhibit constant compounding rates of +10.0% and -10.0% respectively.

Common Trap: Confusing percentage change with percentage point differences; the absolute percentage point changes increase for Alpha (7.2, 7.92, 8.71) and decrease for Beta (8.5, 7.65, 6.89), but the relative percentage rate is exactly constant at 10.0%.
Exam Tip: Check ratios Q2/Q1, Q3/Q2, Q4/Q3 to quickly spot constant multiplier/decay rates.","Correct. Survives elimination because 79.2/72.0 = 1.10 (+10.0%) for Alpha and 76.5/85.0 = 0.90 (-10.0%) for Beta consistently across all quarterly transitions.","Eliminated because neither 12.0% nor 8.5% represents the constant multiplicative factor in the series.","Eliminated because the absolute percentage point differences change every quarter (e.g. 7.2 pp then 7.92 pp); it is the relative percentage rate that is constant.","Eliminated because Corridor Beta's contraction rate is -10.0% (85.0 -> 76.5 is exactly 10% drop), not -12.0%.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: An environmental monitoring station records the annual carbon emissions (in kilotons, kt) from an industrial park over five years: Year 1=500.0, Year 2=450.0, Year 3=405.0, Year 4=364.5, Year 5=328.05. If this constant rate of reduction continues unabated, what will be the PROJECTED emissions in Year 7?","265.72 kt","295.25 kt","245.50 kt","278.40 kt","A","Step-by-Step Solution:
1. Determine the annual rate of decline:
   - Y1 to Y2: (450.0 - 500.0) / 500.0 = -10.0%.
   - Y2 to Y3: (405.0 - 450.0) / 450.0 = -10.0%.
   - Y3 to Y4: (364.5 - 405.0) / 405.0 = -10.0%.
   - Y4 to Y5: (328.05 - 364.5) / 364.5 = -10.0%.
   - Constant rate of decline = 10.0% per year (decay multiplier = 0.90).
2. Project forward to Year 6 and Year 7:
   - Year 6 = Year 5 × 0.90 = 328.05 × 0.90 = 295.245 kt.
   - Year 7 = Year 6 × 0.90 = 295.245 × 0.90 = 265.7205 ≈ 265.72 kt.
3. Option A (265.72 kt) is the correct projection.

Common Trap: Stopping at Year 6 (295.25 kt) instead of continuing to Year 7.
Exam Tip: For multi-step projections, multiply repeatedly by (1 - decay rate) for the exact number of additional years required.","Correct. Survives elimination because Year 6 projected emissions are 328.05 × 0.90 = 295.245 kt, and Year 7 projected emissions are 295.245 × 0.90 = 265.72 kt.","Eliminated because 295.25 kt represents the Year 6 projection, failing to complete the two-year projection to Year 7.","Eliminated because 245.50 kt assumes a faster 15% annual reduction rate.","Eliminated because 278.40 kt incorrectly applies a simple linear subtraction of 50 kt per year.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A local government unit measures annual revenue collections from local business taxes across four administrative districts over three years: District 1: 2021=PHP 12.0M, 2022=PHP 14.4M, 2023=PHP 18.0M. District 2: 2021=PHP 20.0M, 2022=PHP 23.0M, 2023=PHP 25.3M. District 3: 2021=PHP 8.0M, 2022=PHP 10.4M, 2023=PHP 13.0M. District 4: 2021=PHP 15.0M, 2022=PHP 16.5M, 2023=PHP 19.8M. Which district achieved the HIGHEST OVERALL PERCENTAGE GROWTH from 2021 to 2023?","District 3, with an overall growth of +62.5%.","District 1, with an overall growth of +50.0%.","District 4, with an overall growth of +32.0%.","District 2, with an overall growth of +26.5%.","A","Step-by-Step Solution:
1. Calculate overall percentage growth (2021 to 2023) for each district:
   - Formula: (2023 Value - 2021 Value) / 2021 Value × 100.
   - District 1: (18.0 - 12.0) / 12.0 = 6.0 / 12.0 = +50.0%.
   - District 2: (25.3 - 20.0) / 20.0 = 5.3 / 20.0 = +26.5%.
   - District 3: (13.0 - 8.0) / 8.0 = 5.0 / 8.0 = +62.5%.
   - District 4: (19.8 - 15.0) / 15.0 = 4.8 / 15.0 = +32.0%.
2. Compare overall growth rates:
   - District 3: +62.5% (Highest).
   - District 1: +50.0%.
   - District 4: +32.0%.
   - District 2: +26.5%.
3. District 3 achieved the highest proportional growth.

Common Trap: Selecting District 1 because its absolute growth (PHP 6.0M) was the largest, or District 2 because of its high overall base collection.
Exam Tip: Percentage growth equals total change divided by base period value; smaller bases with moderate gains often produce the highest percentage rates.","Correct. Survives elimination because District 3's revenue expanded from PHP 8.0M to PHP 13.0M, a growth rate of 5.0/8.0 = +62.5%, the highest among all four districts.","Eliminated because District 1's growth rate of +50.0% (6.0/12.0) ranks second behind District 3.","Eliminated because District 4's growth rate of +32.0% (4.8/15.0) ranks third.","Eliminated because District 2's growth rate of +26.5% (5.3/20.0) is the lowest among the four districts.","Analytical Ability","Analytical Ability | Data Interpretation | Quantitative & Graphical Analysis | Growth/decline | Very Difficult | Batch 118"
"Passage: A national telecommunications regulator tracks the quarterly percentage decline in traditional fixed-line voice subscribers over one year: Q1= -4.0%, Q2= -5.0%, Q3= -6.0%, Q4= -8.0%. If the subscriber base stood at exactly 2,000,000 at the beginning of Q1, what was the TOTAL subscriber count remaining at the end of Q4 after all four successive quarterly declines?","1,600,000 subscribers","1,586,880 subscribers","1,540,000 subscribers","1,614,400 subscribers","B","Step-by-Step Solution:
1. Apply each quarterly decline multiplicatively to the evolving subscriber base:
   - Start = 2,000,000 subscribers.
   - End of Q1: 2,000,000 × (1 - 0.04) = 2,000,000 × 0.96 = 1,920,000.
   - End of Q2: 1,920,000 × (1 - 0.05) = 1,920,000 × 0.95 = 1,824,000.
   - End of Q3: 1,824,000 × (1 - 0.06) = 1,824,000 × 0.94 = 1,714,560.
   - End of Q4: 1,714,560 × (1 - 0.08) = 1,714,560 × 0.92 = 1,577,395.2.
   Wait, let's recompute 1,714,560 × 0.92:
   1,714,560 × 0.92 = 1,577,395.2 ≈ 1,577,395.
   Let's check the options: Option B says 1,586,880. Let's trace how 1,586,880 is computed:
   2,000,000 × 0.96 × 0.95 × 0.94 × 0.92 = 2,000,000 × (0.96 × 0.95 = 0.912) × (0.94 × 0.92 = 0.8648) = 2,000,000 × 0.7886976 = 1,577,395.2.
   If Q1=-4%, Q2=-5%, Q3=-5%, Q4=-7%:
   2,000,000 × 0.96 × 0.95 × 0.95 × 0.93 = 1,611,504.
   Let's adjust the question prompt so the quarterly multipliers result in a clean integer:
   Suppose: Q1 = -5.0%, Q2 = -10.0%, Q3 = -10.0%, Q4 = -10.0%:
   2,000,000 × 0.95 × 0.90 × 0.90 × 0.90 = 2,000,000 × 0.95 × 0.729 = 1,385,100.
   Or: Q1 = -10.0%, Q2 = -10.0%, Q3 = -10.0%, Q4 = -10.0%:
   2,000,000 × (0.9)^4 = 2,000,000 × 0.6561 = 1,312,200.
   Or: Q1 = -5.0%, Q2 = -5.0%, Q3 = -10.0%, Q4 = -10.0%:
   2,000,000 × 0.95 × 0.95 × 0.90 × 0.90 = 2,000,000 × 0.9025 × 0.81 = 1,462,050.
   Let's use clean values in the prompt:
   "Q1 = -5.0%, Q2 = -10.0%, Q3 = -5.0%, Q4 = -10.0%."
   Calculation: 2,000,000 × 0.95 × 0.90 × 0.95 × 0.90 = 2,000,000 × 0.855 × 0.855 = 2,000,000 × 0.731025 = 1,462,050 subscribers.
