"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In the landmark en banc ruling of Cariño v. Commission on Human Rights (G.R. No. 96681, December 2, 1991), what was the Supreme Court's definitive ruling regarding the NATURE OF POWERS of the Commission on Human Rights (CHR)?","The CHR is an INVESTIGATIVE AND FACT-FINDING BODY that does NOT possess adjudicative or quasi-judicial powers; it has no legal authority to try and decide cases on the merits, issue permanent injunctions, or convict and penalize human rights offenders.","The CHR is a supreme criminal court possessing the power to sentence human rights violators to death.","The CHR has the power to dissolve Congress whenever a human rights bill is rejected.","The CHR is an executive military brigade under the direct operational command of the Armed Forces of the Philippines.","A","Step-by-Step Solution:
1. Constitutional Anchor: Article XIII, Section 17 & 18 of the 1987 Constitution.
2. Landmark Case: Cariño v. Commission on Human Rights (204 SCRA 483, 1991), penned by Justice Andres Narvasa:
   - Facts: Public school teachers staged mass walkouts and strikes. DepEd Secretary Isidro Cariño suspended and dismissed striking teachers. The teachers filed a complaint with the CHR. The CHR issued orders directing Cariño to appear and threatened him with contempt, asserting it had adjudicative power to hear and decide whether human rights were violated.
   - Supreme Court Ruling (En Banc):
     - 1. INVESTIGATIVE ONLY: The CHR was created as an INVESTIGATORY and FACT-FINDING institution.
     - 2. NO ADJUDICATIVE POWER: The CHR has NO POWER to adjudicate, try, or decide cases on the merits. It is NOT a court of justice or quasi-judicial tribunal.
     - 3. NO INJUNCTIVE POWER: The CHR cannot issue writ of injunctions, restraining orders, or final executable judgments (EPZA v. CHR, 208 SCRA 125).
     - 4. REMEDY: After investigating, the CHR submits its findings and recommendations to the public prosecutor (DOJ) or the Office of the Ombudsman for formal criminal and administrative prosecution.
3. Option A is the precise legal holding of Cariño v. CHR.

Common Trap: Assuming the CHR can judge and jail human rights abusers; the CHR CANNOT convict or punish; it INVESTIGATES and refers findings to prosecutors and courts.
Exam Tip: Cariño v. CHR = CHR is an INVESTIGATIVE and FACT-FINDING body, NOT an adjudicative or judicial court (No power to try/decide cases or issue injunctions).","Correct. Survives elimination because Cariño v. CHR established that the Commission on Human Rights is strictly an investigatory and fact-finding body without adjudicative, injunctive, or judicial sentencing powers.","Eliminated because the CHR is not a criminal court and cannot impose penal imprisonment or capital punishment.","Eliminated because the CHR has zero constitutional authority over the existence of the legislative branch.","Eliminated because the CHR is an independent civilian constitutional office, completely separate from the military.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"Under Article XIII, Section 18(1) of the 1987 Constitution and settled jurisprudence (Simon v. CHR), what is the specific JURISDICTIONAL SCOPE of the CHR's investigatory authority?","Investigate, on its own or on complaint by any party, all forms of human rights violations involving CIVIL AND POLITICAL RIGHTS.","Adjudicate private commercial contract disputes between multinational software corporations.","Regulate national foreign exchange rates and interest rate policies of universal banks.","Collect municipal real estate taxes and issue municipal business permits.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(1):
   'The Commission on Human Rights shall have the following powers and functions:
   (1) Investigate, on its own or on complaint by any party, all forms of human rights violations involving CIVIL AND POLITICAL RIGHTS;'
2. Landmark Jurisprudence: Simon v. Commission on Human Rights (229 SCRA 117, 1994), penned by Justice Jose Vitug:
   - Facts: The CHR attempted to investigate the demolition of market vendors' illegal stalls on public sidewalks ordered by Quezon City Mayor Brigido Simon, Jr., claiming it was a human rights violation.
   - Supreme Court Ruling (En Banc):
     - The CHR's investigatory jurisdiction is explicitly CONFINED to violations of CIVIL AND POLITICAL RIGHTS (e.g., extrajudicial killings, enforced disappearances, torture, arbitrary detention, political persecution, police brutality).
     - It does NOT cover pure socio-economic property disputes, eviction of illegal sidewalk vendors, or ordinary municipal zoning enforcements.
3. Option A is the verbatim constitutional text and jurisprudential scope.

Common Trap: Believing CHR investigates all economic or civil contract problems; CHR's constitutional investigative power is focused specifically on CIVIL AND POLITICAL RIGHTS.
Exam Tip: CHR Investigative Jurisdiction (Art. XIII, Sec. 18[1]) = Investigates all forms of human rights violations involving CIVIL AND POLITICAL RIGHTS.","Correct. Survives elimination because Article XIII, Section 18(1) and Simon v. CHR restrict the CHR's core investigative jurisdiction to human rights violations involving civil and political rights.","Eliminated because private commercial contracts are adjudicated by regular civil trial courts under the Rules of Court.","Eliminated because monetary and foreign exchange policies belong to the Bangko Sentral ng Pilipinas under Article XII, Section 20.","Eliminated because municipal tax collection and business licensing are local government functions under RA 7160.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"Under Article XIII, Section 17(2) of the 1987 Constitution, what are the QUALIFICATIONS and COMPOSITION of the Commission on Human Rights?","The Commission shall be composed of a CHAIRMAN AND FOUR (4) MEMBERS who must be NATURAL-BORN CITIZENS of the Philippines, and a MAJORITY OF WHOM SHALL BE MEMBERS OF THE PHILIPPINE BAR.","Composed of fifty military generals appointed by foreign defense treaties.","Composed of three municipal mayors chosen by random lottery every month.","Composed of one hundred corporate accountants appointed by the Securities and Exchange Commission.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 17(2):
   'The Commission shall be composed of a CHAIRMAN AND FOUR (4) MEMBERS who must be NATURAL-BORN CITIZENS of the Philippines and a MAJORITY OF WHOM SHALL BE MEMBERS OF THE PHILIPPINE BAR. The term of office and other qualifications and disabilities of the Members of the Commission shall be provided by law.'
2. Key Structural Features:
   - 1. Composition: Exactly Five (5) Members (1 Chairman + 4 Commissioners).
   - 2. Citizenship: Natural-born Filipino citizens.
   - 3. Legal Qualification: A MAJORITY (at least 3 out of 5) must be licensed lawyers (Members of the Philippine Bar).
   - 4. Independence: Operates as an independent constitutional human rights institution with fiscal autonomy.
3. Option A matches the constitutional text and composition verbatim.

Common Trap: Confusing CHR composition (5 members: 1 Chair + 4 Commissioners) with COMELEC (7 members) or CSC/COA (3 members); CHR HAS 5 MEMBERS.
Exam Tip: CHR Composition (Art. XIII, Sec. 17[2]) = Chairman + 4 Members (Total: 5); Natural-born citizens; MAJORITY must be Members of the Philippine Bar.","Correct. Survives elimination because Article XIII, Section 17(2) explicitly establishes that the CHR is composed of a Chairman and four Members who are natural-born citizens, with a majority required to be members of the Philippine Bar.","Eliminated because the CHR is an independent civilian human rights body, not a military commission.","Eliminated because CHR commissioners are presidential appointees meeting constitutional qualifications, not random local mayors.","Eliminated because the Commission is composed of five members, the majority of whom are lawyers.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Universal Declaration of Human Rights | Very Difficult | Batch 174"
"Under Article XIII, Section 18(4) of the 1987 Constitution, what is the CHR's 'VISITORIAL POWER', and where may it be exercised?","The CHR has the power to exercise VISITORIAL POWERS OVER JAILS, PRISONS, OR DETENTION FACILITIES to inspect detention conditions, verify inmate welfare, and ensure freedom from torture or inhumane treatment.","The power to inspect foreign diplomatic embassies without international notice.","The power to visit private commercial banks to audit personal checking accounts.","The power to inspect private residential bedrooms during national holidays.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(4):
   'The Commission on Human Rights shall have the following powers and functions:
   (4) Exercise VISITORIAL POWERS OVER JAILS, PRISONS, OR DETENTION FACILITIES;'
2. Companion Human Rights Statutes:
   - Republic Act No. 9745 (Anti-Torture Act of 2009).
   - Republic Act No. 10353 (Anti-Enforced or Involuntary Disappearance Act of 2012).
3. Operational Application of Visitorial Power:
   - 1. Unannounced Inspections: CHR commissioners, regional directors, and medical teams have the constitutional authority to conduct UNANNOUNCED, ON-SITE VISITS to:
     - BJMP municipal/city jails;
     - BuCor national penitentiaries (e.g., Bilibid, CIW);
     - Police station lock-up cells and custodial centers;
     - Military detention barracks and holding centers.
   - 2. Purpose: Inspecting sanitary conditions, checking for secret holding cells / safehouses (which are banned by Art. III, Sec. 12[2]), examining inmates for torture marks, and verifying access to counsel and medical care.
4. Option A is the verbatim constitutional provision and operational scope.

Common Trap: Thinking prison wardens can block CHR inspections; the Constitution GRANTS CHR ABSOLUTE VISITORIAL POWER over all jails and detention facilities.
Exam Tip: CHR Visitorial Power (Art. XIII, Sec. 18[4]) = Constitutional right to inspect all JAILS, PRISONS, AND DETENTION FACILITIES to safeguard inmate human rights against torture.","Correct. Survives elimination because Article XIII, Section 18(4) explicitly empowers the CHR to exercise visitorial powers over all jails, prisons, and detention facilities to monitor conditions and prevent human rights abuses.","Eliminated because foreign embassies enjoy diplomatic inviolability under the Vienna Convention on Diplomatic Relations.","Eliminated because auditing private bank deposits requires judicial orders under bank secrecy laws (RA 1405).","Eliminated because private homes are protected by the search warrant requirement of Article III, Section 2.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"Under Article XIII, Section 18(8) of the 1987 Constitution, what extraordinary investigative authority is granted to the Commission on Human Rights regarding WITNESSES in human rights cases?","The power to GRANT IMMUNITY FROM PROSECUTION to any person whose testimony or possession of documents or other evidence is necessary or convenient to determine the truth in any human rights investigation conducted by it.","The power to execute criminal witnesses who refuse to answer questions.","The power to grant automatic presidential pardons to convicted murderers.","The power to force witnesses to forfeit all their private real estate to the CHR.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(8):
   'The Commission on Human Rights shall have the following powers and functions:
   (8) GRANT IMMUNITY FROM PROSECUTION TO ANY PERSON whose testimony or whose possession of documents or other evidence is necessary or convenient to determine the truth in any investigation conducted by it or under its authority;'
2. Strategic Anti-Impunity Purpose:
   - 1. Breaking the Code of Silence: Serious human rights atrocities (extrajudicial executions, enforced disappearances, torture) are often committed in secret by police/military units operating under a pact of silence.
   - 2. State Witness Protection: To convince junior officers, whistleblowers, or accomplices to break their silence and provide vital testimony against top commanding officers, the CHR is constitutionally empowered to grant them IMMUNITY FROM PROSECUTION.
3. Option A is the verbatim constitutional text.

Common Trap: Thinking only the Department of Justice can grant immunity; the CONSTITUTION DIRECTLY EMPOWERS THE CHR to grant immunity from prosecution in human rights investigations.
Exam Tip: CHR Power (Art. XIII, Sec. 18[8]) = Can GRANT IMMUNITY FROM PROSECUTION to witnesses whose testimony is necessary to uncover the truth.","Correct. Survives elimination because Article XIII, Section 18(8) explicitly authorizes the CHR to grant immunity from prosecution to individuals whose testimony or evidence is necessary to determine the truth in human rights investigations.","Eliminated because executing witnesses is an egregious capital crime and human rights violation.","Eliminated because granting pardons is an exclusive constitutional executive power of the President under Article VII, Section 19.","Eliminated because the CHR has no legal authority to confiscate private real estate from witnesses.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"In the landmark ruling of Export Processing Zone Authority (EPZA) v. Commission on Human Rights (G.R. No. 101476, April 14, 1992), why did the Supreme Court NULLIFY the 'Order to Desist' (injunction) issued by the CHR against EPZA?","The CHR has NO JURISDICTION OR POWER TO ISSUE TEMPORARY RESTRAINING ORDERS OR INJUNCTIONS, as the power to issue protective writs and restraining orders is an inherently judicial power reserved exclusively to the courts of law.","The order was nullified because EPZA is an agency of the United Nations.","The order was void because industrial factories are exempt from the Philippine Constitution.","The order was struck down because the CHR is legally forbidden from conducting investigations during daytime.","A","Step-by-Step Solution:
1. Landmark Case: Export Processing Zone Authority (EPZA) v. Commission on Human Rights (208 SCRA 125, 1992), penned by Justice Isagani Cruz:
   - Facts: EPZA demolished certain squatter structures on government industrial land. The affected occupants filed a complaint with the CHR. The CHR issued an 'Order to Desist' commanding EPZA, its engineers, and police escorts to stop the demolition. EPZA challenged the CHR order before the Supreme Court.
   - Supreme Court Ruling (En Banc):
     - 1. REITERATION OF CARIÑO DOCTRINE: The CHR is NOT a court and possesses NO judicial or quasi-judicial injunctive power.
     - 2. NO POWER TO ISSUE INJUNCTIONS: The power to issue Orders to Desist, Temporary Restraining Orders (TROs), or Writs of Preliminary Injunction is an exclusively JUDICIAL POWER belonging to regular courts of law under Article VIII.
     - 3. The CHR's 'Order to Desist' was declared NULL AND VOID for lack of jurisdiction.
2. Option A is the precise legal holding of EPZA v. CHR.

Common Trap: Believing CHR can issue a cease-and-desist order to stop a demolition; CHR CANNOT issue injunctions or restraining orders—only COURTS can issue injunctions.
Exam Tip: EPZA v. CHR = CHR CANNOT issue Temporary Restraining Orders (TROs) or Orders to Desist (Injunctive relief is purely JUDICIAL).","Correct. Survives elimination because EPZA v. CHR firmly established that the CHR lacks constitutional and statutory authority to issue restraining orders or injunctions, which are exclusively judicial remedies exercised by courts of law.","Eliminated because EPZA (now PEZA) is a domestic Philippine government agency, not a UN body.","Eliminated because industrial zones and state corporations are fully bound by constitutional and human rights laws.","Eliminated because the ruling was grounded on the strict judicial nature of injunctive relief, not time-of-day restrictions.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"Under Article XIII, Section 18(7) of the 1987 Constitution, what is the CHR's international monitoring mandate?","MONITOR THE PHILIPPINE GOVERNMENT'S COMPLIANCE WITH INTERNATIONAL TREATY OBLIGATIONS ON HUMAN RIGHTS (such as the ICCPR, ICESCR, CEDAW, CRC, and UNCAT), submitting independent reports to domestic bodies and United Nations treaty mechanisms.","Represent the Philippine Armed Forces in international naval war games.","Negotiate foreign commercial oil import contracts for private utility conglomerates.","Issue Philippine entry visas to foreign tourist backpackers.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(7):
   'The Commission on Human Rights shall have the following powers and functions:
   (7) MONITOR THE PHILIPPINE GOVERNMENT'S COMPLIANCE WITH INTERNATIONAL TREATY OBLIGATIONS ON HUMAN RIGHTS;'
2. The National Human Rights Institution (NHRI) Role:
   - 1. Status under the Paris Principles: The CHR is recognized internationally as an 'A-Status' National Human Rights Institution complying with the Paris Principles of the United Nations.
   - 2. Treaty Monitoring: Monitoring compliance with:
     - ICCPR (Civil and Political Rights);
     - ICESCR (Economic, Social and Cultural Rights);
     - CEDAW (Elimination of Discrimination Against Women);
     - CRC (Convention on the Rights of the Child);
     - UNCAT (Convention Against Torture);
     - CRPD (Rights of Persons with Disabilities).
   - 3. Independent Shadow Reports: Submitting independent, objective human rights monitoring reports to UN Human Rights Council mechanisms (e.g., Universal Periodic Review / UPR).
3. Option A is the verbatim constitutional mandate.

Common Trap: Assuming only the Department of Foreign Affairs handles UN treaties; the CONSTITUTION SPECIFICALLY MANDATES THE CHR to independently monitor compliance with human rights treaties.
Exam Tip: CHR Treaty Mandate (Art. XIII, Sec. 18[7]) = Monitor the Philippine Government's compliance with INTERNATIONAL HUMAN RIGHTS TREATY OBLIGATIONS.","Correct. Survives elimination because Article XIII, Section 18(7) explicitly tasks the CHR with monitoring the Philippine Government's compliance with international human rights treaties and international reporting mechanisms.","Eliminated because military war games are organized by the Department of National Defense, not the human rights commission.","Eliminated because commercial oil trading falls under the Department of Energy, not the CHR.","Eliminated because issuing foreign travel visas is the statutory function of the Bureau of Immigration and DFA.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"Under Article XIII, Section 18(6) of the Constitution and Republic Act No. 10368 (Human Rights Victims Reparation and Recognition Act), what is the CHR's role regarding VICTIMS OF HUMAN RIGHTS VIOLATIONS?","Recommend to Congress effective measures to promote human rights and PROVIDE FOR COMPENSATION TO VICTIMS OF VIOLATIONS OF HUMAN RIGHTS OR THEIR FAMILIES, as well as providing financial assistance and psychosocial support.","Require human rights victims to pay an annual investigation fee to the Commission.","Prohibit human rights victims from filing civil damages lawsuits in court.","Force victims of torture to surrender their personal savings to state authorities.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(6):
   'The Commission on Human Rights shall have the following powers and functions:
   (6) Recommend to the Congress effective measures to promote human rights and to PROVIDE FOR COMPENSATION TO VICTIMS OF VIOLATIONS OF HUMAN RIGHTS, OR THEIR FAMILIES;'
2. Companion Human Rights Reparation Laws:
   - Republic Act No. 10368 (Human Rights Victims Reparation and Recognition Act of 2013).
   - CHR Financial Assistance Program (providing immediate administrative financial aid, medical assistance, and burial subsidies to indigent victims of human rights violations).
   - Human Rights Violations Victims' Memorial Commission (attached to CHR).
3. Option A is the verbatim constitutional mandate and statutory application.

Common Trap: Believing CHR only handles investigations; the CHR has an explicit constitutional duty to ADVOCATE FOR AND PROVIDE COMPENSATION/ASSISTANCE TO VICTIMS of human rights abuses.
Exam Tip: CHR Victim Support (Art. XIII, Sec. 18[6]) = Recommends measures to Congress + Provides COMPENSATION AND FINANCIAL ASSISTANCE to victims of human rights violations and their families.","Correct. Survives elimination because Article XIII, Section 18(6) explicitly mandates the CHR to recommend legislative measures and provide for compensation and financial assistance to victims of human rights violations and their families.","Eliminated because CHR services, investigations, and victim assistance are provided free of charge without fees.","Eliminated because human rights victims retain their full constitutional right to file independent civil actions for damages under Article 32 of the Civil Code.","Eliminated because seizing victims' assets violates private property rights and human rights protections.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"In the landmark case of Simon, Jr. v. Commission on Human Rights (G.R. No. 100150, January 5, 1994), what did the Supreme Court establish regarding the CHR's CONTEMPT POWER?","The CHR's contempt power is an operational power to cite for contempt in accordance with the Rules of Court persons who violate its lawful investigative subpoenas and procedural rules, but this contempt power does NOT transform the CHR into a judicial court of law.","The CHR may immediately sentence anyone who criticizes it to twenty years in the national penitentiary.","The CHR has no power to issue subpoenas or require witness attendance.","The CHR contempt power can only be exercised if approved by the local municipal police chief.","A","Step-by-Step Solution:
1. Constitutional Text & Case Law:
   - Article XIII, Section 18(2): 'Adopt its operational guidelines and rules of procedure, and CITE FOR CONTEMPT FOR VIOLATIONS THEREOF IN ACCORDANCE WITH THE RULES OF COURT;'
   - Simon, Jr. v. Commission on Human Rights (229 SCRA 117, 1994), penned by Justice Jose Vitug:
     - The Court clarified that while the CHR is NOT a court of justice (and cannot adjudicate civil/criminal cases), the Constitution expressly equipped it with the power to CITE FOR CONTEMPT in accordance with Rule 71 of the Rules of Court.
     - Scope: To compel the attendance of witnesses, enforce its Subpoena Ad Testificandum / Subpoena Duces Tecum, and punish contumacious refusal to obey its lawful investigatory processes.
     - Execution: CHR exercises this power pursuant to standard procedural due process under Rule 71.
2. Option A is the precise legal holding of Simon v. CHR.

Common Trap: Assuming lack of judicial power means CHR has no contempt power; the Constitution EXPLICITLY GRANTS CHR CONTEMPT POWER to enforce its subpoenas in accordance with the Rules of Court.
Exam Tip: CHR Contempt Power (Art. XIII, Sec. 18[2]) = Has power to CITE FOR CONTEMPT in accordance with the Rules of Court to enforce its lawful investigative orders.","Correct. Survives elimination because Article XIII, Section 18(2) and Simon v. CHR confirm that the CHR possesses the power to cite for contempt in accordance with Rule 71 of the Rules of Court to enforce its investigative subpoenas, without converting it into a judicial court.","Eliminated because the CHR cannot impose criminal prison sentences of 20 years for contempt outside Rule 71 procedures.","Eliminated because the CHR possesses explicit constitutional power to issue subpoenas and compel witness attendance.","Eliminated because the CHR is an independent constitutional body that does not require police clearance to exercise its contempt powers.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
"Under Article XIII, Section 18(5) of the Constitution, what is the CHR's educational mandate?","Establish a CONTINUING PROGRAM OF RESEARCH, EDUCATION, AND INFORMATION TO ENHANCE RESPECT FOR THE PRIMACY OF HUMAN RIGHTS across schools, civil service departments, police and military academies, and the general public.","Conduct military flight simulator training for commercial airline pilots.","Teach private commercial marketing techniques to corporate sales executives.","Publish annual fashion catalogues for private clothing retail stores.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIII, Section 18(5):
   'The Commission on Human Rights shall have the following powers and functions:
   (5) Establish a CONTINUING PROGRAM OF RESEARCH, EDUCATION, AND INFORMATION TO ENHANCE RESPECT FOR THE PRIMACY OF HUMAN RIGHTS;'
2. Educational Initiatives of the CHR:
   - 1. Human Rights Education (HRE): Conducting mandatory human rights seminars for the Philippine National Police (PNP), Armed Forces of the Philippines (AFP), and BJMP jail wardens.
   - 2. Academic Integration: Partnering with DepEd, CHED, and law schools to develop human rights teaching modules, research centers, and textbooks.
   - 3. Public Awareness Campaigns: Educating vulnerable communities, indigenous peoples, and women about their legal rights and mechanisms for justice.
3. Option A is the verbatim constitutional provision.

Common Trap: Viewing CHR as purely an investigation agency; HUMAN RIGHTS EDUCATION AND RESEARCH is a core, permanent constitutional pillar of the CHR under Section 18(5).
Exam Tip: CHR Education Mandate (Art. XIII, Sec. 18[5]) = Establish a continuing program of RESEARCH, EDUCATION, AND INFORMATION to enhance respect for human rights.","Correct. Survives elimination because Article XIII, Section 18(5) explicitly directs the CHR to maintain a continuing program of research, education, and public information to foster universal respect for the primacy of human rights.","Eliminated because aviation simulation training is managed by civil aviation authorities (CAAP), not human rights bodies.","Eliminated because commercial sales training is private corporate marketing unrelated to constitutional human rights education.","Eliminated because fashion publishing is completely irrelevant to the statutory human rights mandate of the CHR.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Commission on Human Rights mandate | Very Difficult | Batch 174"
