"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article III, Section 2 of the 1987 Constitution, what are the FOUR MANDATORY REQUISITES for the issuance of a valid SEARCH WARRANT?","(1) Probable cause is present, (2) Determined PERSONALLY by the judge, (3) After examination under oath or affirmation of the complainant and the witnesses he may produce, and (4) PARTICULARITY OF DESCRIPTION of the place to be searched and the persons or things to be seized.","(1) Signed approval of the Chief of Police, (2) Payment of filing fees, (3) A search conducted after midnight, and (4) Presence of three barangay tanods.","(1) A jo∫ resolution of the city council, (2) Endorsement by the Department of the Interior, (3) Absence of defense lawyers, and (4) An open-ended search across an entire municipality.","(1) An anonymous phone tip, (2) Issuance by a public prosecutor, (3) General authorization to seize all papers, and (4) Execution within thirty days.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 2 states:
 'The right of the people to be secure in their persons, houses, papers, and effects against unreasonable searches and seizures of whatever nature and for any purpose shall be inviolable, and NO SEARCH WARRANT OR WARRANT OF ARREST SHALL ISSUE EXCEPT:
 (1) Upon PROBABLE CAUSE;
 (2) To be DETERMINED PERSONALLY BY THE JUDGE;
 (3) After EXAMINATION UNDER OATH OR AFFIRMATION OF THE COMPLAINANT AND THE WITNESSES he may produce; and
 (4) PARTICULARLY DESCRIBING THE PLACE TO BE SEARCHED AND THE PERSONS OR THINGS TO BE SEIZED.'
2. The Four Indispensable Requisites:
 - 1. Probable Cause: Sufficient facts and circumstances that would lead a reasonably discreet and prudent man to believe that an offense has been committed.
 - 2. Determined Personally by the Judge: The judge cannot delegate this task to a clerk of court or prosecutor.
 - 3. Examination Under Oath: The judge must conduct searching questions and answers in writing and under oath of the applicant and witnesses.
 - 4. Particularity of Description: The warrant must specifically identify the place and items, preventing fishing expeditions and general warrants.
3. Option A is the verbatim constitutional requirement.

Common Trap: Believing a public prosecutor can issue a search warrant; ONLY A JUDGE possesses the constitutional authority to issue search warrants and arrest warrants.
Exam Tip: Search Warrant Requisites: (1) Probable Cause, (2) Personally determined by Judge, (3) Examination under oath, (4) Particularity of description.","Correct. Survives elimination because Article III, Section 2 explicitly prescribes these four mandatory requisites: probable cause, personal determination by a judge, examination under oath, and particularity of description of place and items.","Eliminated because police chiefs have no constitutional power to issue search warrants; only judges can issue warrants.","Eliminated because city councils cannot issue search warrants, and open-ended general warrants are unconstitutional.","Eliminated because prosecutors cannot issue warrants, anonymous tips alone do not establish probable cause, and general warrants are void.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"In the classic landmark case of Stonehill v. Diokno (G.R. No. L-19550, June 19, 1967), why were the 42 search warrants issued against Harry Stonehill and his corporations declared UNCONSTITUTIONAL as void 'GENERAL WARRANTS'?","The warrants failed to satisfy the particularity requirement and the single-offense rule by authorizing the sweeping seizure of all corporate books, records, and documents pertaining to unspecified violations of numerous general statutes.","The warrants were unconstitutional because foreigners are completely exempt from Philippine search warrants.","The warrants were void because they were served by military officers rather than municipal sheriffs.","The warrants were invalid because search warrants can only be executed during national elections.","A","Step-by-Step Solution:
1. Landmark Case: Stonehill v. Diokno (20 SCRA 383, 1967), penned by Chief Justice Roberto Concepcion:
 - Facts: Judges issued 42 search warrants against Harry Stonehill and various corporations, authorizing police to search offices and homes to seize 'books of accounts, financial records, vouchers, and documents showing all business transactions... in violation of Central Bank Laws, Tariff and Customs Laws, NIRC, and the Revised Penal Code.'
 - Supreme Court Ruling (En Banc):
 - 1. GENERAL WARRANTS ARE VOID: The warrants were classic 'General Warrants' or 'Scatter-shot Warrants.'
 - 2. THE SINGLE-OFFENSE RULE: A search warrant must be issued in connection with ONE SPECIFIC OFFENSE (Rule 126, Section 4). Warrants issued for multiple, unspecified violations of broad codes give searching officers unbridled discretion to seize anything they want.
 - 3. LACK OF PARTICULARITY: A description authorizing the seizure of 'all books and records' without specifying particular transactions is fatally general.
 - 4. ADOPTION OF EXCLUSIONARY RULE: Overturned the old Moncado doctrine; declared that evidence seized under void general warrants is INADMISSIBLE in evidence (now codified in Art. III, Sec. 3[2]).
2. Option A is the precise legal holding of Stonehill v. Diokno.

Common Trap: Assuming a warrant can cover multiple crimes at once; a warrant can ONLY BE ISSUED FOR ONE SPECIFIC OFFENSE to prevent scatter-shot general searches.
Exam Tip: Stonehill v. Diokno = General / Scatter-shot warrants are VOID (Warrant must be for ONE SPECIFIC OFFENSE + PARTICULAR DESCRIPTION).","Correct. Survives elimination because Stonehill v. Diokno outlawed general warrants, ruling that search warrants must be for a single specific offense and must describe the items to be seized with particularity to prevent arbitrary fishing expeditions.","Eliminated because foreign nationals residing in the Philippines are subject to lawful search warrants.","Eliminated because law enforcement agents may validly execute search warrants regardless of military background if deputized.","Eliminated because search warrants may be executed on any day of the year within their 10-day statutory validity period.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"What is the 'EXCLUSIONARY RULE' (or the 'Fruit of the Poisonous Tree Doctrine') under Article III, Section 3(2) of the 1987 Constitution?","Any evidence obtained in violation of the right against unreasonable searches and seizures (Section 2) or the right to privacy of communication (Section 3) shall be INADMISSIBLE FOR ANY PURPOSE IN ANY PROCEEDING.","Evidence obtained illegally can be admitted in court provided the police officer pays a nominal fine.","Illegally seized evidence is admissible if the trial judge determines that the defendant is guilty beyond reasonable doubt.","The Exclusionary Rule applies only to traffic fines and does not apply to criminal felony trials.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 3(2) states:
 'Any evidence obtained in violation of this or the preceding section shall be inadmissible for any purpose in any proceeding.'
2. Meaning of the Exclusionary Rule & Fruit of the Poisonous Tree Doctrine:
 - 1. THE EXCLUSIONARY RULE: Evidence obtained through an unconstitutional search or warrantless seizure without an applicable exception is NULL AND VOID and completely INADMISSIBLE in court.
 - 2. FRUIT OF THE POISONOUS TREE DOCTRINE (Silverthorne Lumber Co. v. US; Nardone v. US; People v. Alicando, 251 SCRA 293):
 - If the root source (the tree) of the evidence is tainted by an illegal search or coerced confession, all subsequent evidence, derivative leads, and secondary items (the fruit) obtained therefrom are likewise tainted and inadmissible.
 - 3. TOTAL INADMISSIBILITY: 'Inadmissible for ANY purpose in ANY proceeding' (cannot be used in criminal, civil, or administrative trials).
3. Option A is the verbatim constitutional rule.

Common Trap: Believing courts can make exceptions if the seized item is clearly contraband (e.g., illegal drugs or unlicensed guns); if the search was illegal, the contraband CANNOT be admitted in evidence and the case must be dismissed (People v. Cogaed, People v. Aruta).
Exam Tip: Article III, Section 3(2) = EXCLUSIONARY RULE (Illegally obtained evidence is INADMISSIBLE FOR ANY PURPOSE IN ANY PROCEEDING).","Correct. Survives elimination because Article III, Section 3(2) explicitly commands that any evidence obtained through unconstitutional searches or privacy violations is strictly inadmissible for any purpose in any judicial or administrative proceeding.","Eliminated because paying an administrative fine cannot cure or legalize unconstitutionally seized evidence.","Eliminated because judicial belief of guilt cannot override the absolute constitutional bar of the Exclusionary Rule.","Eliminated because the Exclusionary Rule applies with full force to all criminal felony prosecutions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"Under Rule 113, Section 5 of the Revised Rules of Criminal Procedure and constitutional doctrine, which of the following is ONE of the THREE RECOGNIZED GROUNDS for a lawful WARRANTLESS ARREST?","IN FLAGRANTE DELICTO ARREST: When, in the presence of the arresting officer, the person to be arrested has committed, is actually committing, or is attempting to commit an offense.","When the arresting officer receives an anonymous tip from an unverified informant.","When the suspect looks nervous while walking down a public sidewalk during daytime.","When the suspect was acquitted of an unrelated theft charge five years earlier.","A","Step-by-Step Solution:
1. Procedural Rule: Rule 113, Section 5, Revised Rules of Criminal Procedure:
 - A peace officer or a private person may, without a warrant, arrest a person:
 1. IN FLAGRANTE DELICTO (Sec. 5[a]): When, in his presence, the person to be arrested has committed, is actually committing, or is attempting to commit an offense.
 2. HOT PURSUIT (Sec. 5[b]): When an offense has JUST BEEN COMMITTED, and the officer has PROBABLE CAUSE based on PERSONAL KNOWLEDGE of facts or circumstances that the person to be arrested has committed it (Pestilos v. Generoso).
 3. ESCAPED PRISONER (Sec. 5[c]): When the person to be arrested is a prisoner who has escaped from a penal establishment or place of confinement.
2. In Flagrante Delicto Requisites:
 - (1) The person to be arrested must execute an OVERT ACT indicating that they have just committed, are committing, or are attempting to commit a crime;
 - (2) Such overt act is done IN THE PRESENCE OR WITHIN THE VIEW of the arresting officer (People v. Cogaed, People v. Molina).
3. Option A is the verbatim rule for in flagrante delicto warrantless arrest.

Common Trap: Believing an anonymous tip justifies an immediate warrantless arrest; an unverified tip without an observable overt crime DOES NOT justify a warrantless in flagrante delicto arrest (People v. Cogaed).
Exam Tip: The 3 Lawful Warrantless Arrests (Rule 113, Sec. 5): (1) In Flagrante Delicto (in presence), (2) Hot Pursuit (personal knowledge + just committed), (3) Escaped Prisoner.","Correct. Survives elimination because Rule 113, Section 5(a) explicitly authorizes a warrantless arrest in flagrante delicto when the suspect is caught in the act of committing or attempting an offense in the officer's presence.","Eliminated because an anonymous tip without observable overt criminal conduct cannot justify a warrantless arrest (People v. Cogaed).","Eliminated because nervousness in public is not an overt criminal act justifying a warrantless arrest.","Eliminated because prior acquittals do not establish probable cause for a warrantless arrest.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"In the landmark ruling of People v. Cogaed (G.R. No. 200334, July 30, 2014), why did the Supreme Court ACQUIT Victor Cogaed and declare the warrantless search and seizure of marijuana from his bag UNCONSTITUTIONAL?","An anonymous text tip from an unverified police informant did not constitute probable cause to conduct a warrantless search, and Cogaed was not committing any overt criminal act in the presence of the police to justify a warrantless arrest or incidental search.","The Supreme Court held that transportation of illegal narcotics is a constitutionally protected commercial activity.","The search was unconstitutional solely because the police officers were wearing civilian clothes.","The Supreme Court ruled that checkpoints on national highways are unconstitutional under all circumstances.","A","Step-by-Step Solution:
1. Landmark Case: People v. Cogaed (731 SCRA 427, 2014), penned by Justice Marvic Leonen:
 - Facts: Police received an anonymous text message that a passenger carrying marijuana would arrive at a checkpo∫. Police stopped a passenger jeepney, pointed out 20-year-old Victor Cogaed (who was merely carrying a travel bag), ordered him to open his bag, and found bricks of marijuana.
 - Supreme Court Ruling (En Banc):
 - 1. NO OVERT ACT / NO IN FLAGRANTE DELICTO: Cogaed was merely sitting inside a public jeepney. He exhibited no overt act indicating the commission of a crime.
 - 2. ANONYMOUS TIPS DO NOT EQUAL PROBABLE CAUSE: An unverified tip from an unnamed informant does NOT create probable cause to conduct an intrusive warrantless search of a person's bag.
 - 3. NOT A VALID STOP-AND-FRISK: Stop-and-frisk is a limited pat-down of outer clothing for concealed weapons based on suspicious behavior, not an extensive search inside closed luggage.
 - 4. EXCLUSIONARY RULE: The search was unconstitutional. The seized marijuana was inadmissible under Article III, Section 3(2). Cogaed was ACQUITTED.
2. Option A is the precise legal holding of People v. Cogaed.

Common Trap: Assuming police can search anyone based on an anonymous text tip; the Supreme Court strictly ruled that an anonymous tip ALONE does NOT justify a warrantless search.
Exam Tip: People v. Cogaed = Anonymous text tips DO NOT justify warrantless searches; without an overt criminal act, seized drugs are INADMISSIBLE.","Correct. Survives elimination because People v. Cogaed firmly established that an anonymous tip without any observable overt criminal act does not constitute probable cause for a warrantless search, rendering the seized narcotics inadmissible.","Eliminated because the possession and transport of illegal drugs remain prohibited statutory crimes under RA 9165.","Eliminated because police officers may conduct lawful operations in civilian attire if properly authorized.","Eliminated because visual, non-intrusive routine vehicular checkpoints are constitutional, but intrusive searches require probable cause.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"What are the mandatory elements that must concur for the 'PLAIN VIEW DOCTRINE' to justify a warrantless seizure of evidence under Philippine jurisprudence (e.g., People v. Musa, People v. Doria)?","(1) A prior valid intrusion based on a valid warrantless arrest or other lawful ground, (2) The evidence was inadvertently discovered by the police, (3) The illicit character of the item was immediately apparent, and (4) The item was seized without further search.","(1) The police used night-vision binoculars to peer into a locked bedroom from across the street, (2) The homeowner was asleep, and (3) The evidence was hidden under the floorboards.","(1) The police forced open a locked steel safe during a routine traffic stop, and (2) The safe contained unregistered corporate receipts.","(1) The police entered a private house without a warrant based on an anonymous rumor, and (2) The items were discovered after tearing down a bedroom wall.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - People v. Musa (217 SCRA 597, 1993), penned by Justice Florenz Regalado.
 - People v. Doria (301 SCRA 668, 1999), penned by Justice Reynato Puno.
 - United Laboratories, Inc. v. Isip (461 SCRA 574).
2. The Four Requisites of the Plain View Doctrine:
 - 1. PRIOR VALID INTRUSION: The law enforcement officer must have a prior valid justification for being in the position to view the evidence (e.g., executing a valid search warrant for another item, or executing a lawful warrantless arrest).
 - 2. INADVERTENT DISCOVERY: The discovery of the evidence in plain view was inadvertent (not planned or anticipated).
 - 3. IMMEDIATELY APPARENT: It must be immediately apparent to the officer without further close examination that the item seen in plain sight is contraband, evidence of a crime, or stolen property.
 - 4. WITHOUT FURTHER SEARCH: Plain view applies only to what is in OPEN SIGHT; it does NOT justify opening closed drawers, searching inside closed luggage, or tearing down walls.
3. Option A is the classic four-part test of the Plain View Doctrine.

Common Trap: Believing plain view allows police to search inside cabinets or locked safes; if the officer has to OPEN or MOVE items to find the evidence, it is NOT in plain view.
Exam Tip: Plain View Doctrine Requisites: (1) Prior valid intrusion, (2) Inadvertent discovery, (3) Immediately apparent contraband, (4) Seized without further search.","Correct. Survives elimination because People v. Musa and People v. Doria establish the four strict requisites for the Plain View Doctrine: prior valid intrusion, inadvertent discovery, immediately apparent illegality, and seizure in open sight without further searching.","Eliminated because peering into locked private bedrooms with intrusive optical equipment violates the reasonable expectation of privacy and is not in plain view.","Eliminated because opening a locked safe is an intrusive search that defeats the open-sight requirement of plain view.","Eliminated because warrantless entry based on rumors is an invalid intrusion, and tearing down walls is an extensive, prohibited search.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"In the seminal ruling of Malacat v. Court of Appeals (G.R. No. 123595, December 12, 1997) and Manalili v. Court of Appeals (280 SCRA 400), what are the strict limitations and purpose of a 'STOP-AND-FRISK' search?","A stop-and-frisk is a limited protective pat-down of outer clothing for concealed weapons conducted by an officer who observes unusual and suspicious conduct leading him reasonably to conclude that criminal activity may be afoot and the person may be armed and dangerous.","A stop-and-frisk allows police officers to strip-search any pedestrian on a public street at their complete whim.","A stop-and-frisk permits police to force open and search all locked personal luggage carried by passengers.","A stop-and-frisk is an unlimited general exploratory search designed to discover evidence of any past uncharged crime.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - Terry v. Ohio (392 U.S. 1, 1968), US Supreme Court.
 - Manalili v. Court of Appeals (280 SCRA 400, 1997), penned by Justice Artemio Panganiban.
 - Malacat v. Court of Appeals (283 SCRA 159, 1997), penned by Justice Hilario Davide, Jr.
 - People v. Cogaed (731 SCRA 427, 2014).
2. The Definition and Limitations of Stop-and-Frisk (Terry Search):
 - 1. TWO DUAL PHASES:
 (a) THE STOP: An officer temporarily stops and accosts a person whose suspicious behavior, based on specific and articulable observable facts, reasonably indicates criminal activity may be afoot.
 (b) THE FRISK: A limited, external protective PAT-DOWN OF OUTER CLOTHING.
 - 2. STRICT PURPOSE: PROTECTING THE OFFICER'S SAFETY by neutralizing concealed weapons.
 - 3. PROHIBITIONS IN STOP-AND-FRISK:
 - It is NOT an exploratory search for evidence or drugs.
 - The officer CANNOT reach inside pockets or open closed bags unless the outer pat-down reveals an object reasonably believed to be a weapon.
3. Option A is the precise legal definition and limitation of a stop-and-frisk search.

Common Trap: Believing stop-and-frisk allows police to search inside backpacks or wallets; stop-and-frisk is strictly a CAREFUL PAT-DOWN OF OUTER CLOTHING for WEAPONS.
Exam Tip: Stop-and-Frisk (Terry Search) = Limited pat-down of OUTER CLOTHING for WEAPONS based on observable suspicious behavior (Not an exploratory search).","Correct. Survives elimination because Malacat v. CA and Manalili v. CA define stop-and-frisk as a limited protective outer-clothing pat-down for weapons based on reasonable suspicion of dangerousness, strictly barring full exploratory searches.","Eliminated because strip-searches in public violate due process and the right against unreasonable searches.","Eliminated because searching inside locked personal luggage exceeds the limited scope of an outer-clothing pat-down.","Eliminated because stop-and-frisk cannot be used as a general fishing expedition for evidence.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"In the landmark ruling of Soliven v. Makasiar (G.R. No. 82585, November 14, 1988), how did the Supreme Court clarify the requirement in Article III, Section 2 that probable cause for a WARRANT OF ARREST must be 'DETERMINED PERSONALLY BY THE JUDGE'?","The judge is not required to personally examine the complainant and witnesses in an oral question-and-answer session; the judge fulfills the constitutional requirement by PERSONALLY EVALUATING the prosecutor's resolution and supporting evidence/affidavits to determine if probable cause exists to issue a warrant of arrest.","The judge must conduct a full mini-trial with direct and cross-examination before issuing an arrest warrant.","The judge can rubber-sta∓ the prosecutor's recommendation without looking at the attached affidavits.","The judge must personally visit the crime scene before issuing an arrest warrant.","A","Step-by-Step Solution:
1. Landmark Case: Soliven v. Makasiar (167 SCRA 393, 1988), penned by the Court En Banc (Resolution):
 - Facts: Maximo Soliven and Luis Beltran challenged the arrest warrant issued against them in a libel case filed by President Corazon Aquino, arguing that the judge (Judge Makasiar) did not personally examine President Aquino under oath before issuing the warrant of arrest.
 - Supreme Court Ruling (En Banc):
 - 1. DISTINCTION BETWEEN SEARCH WARRANT AND WARRANT OF ARREST:
 - Search Warrant: Article III, Section 2 requires the judge to conduct personal, searching questions and answers under oath of the complainant and witnesses in writing.
 - Warrant of Arrest: The Constitution does NOT require the judge to personally examine the complainant and witnesses in a formal question-and-answer hearing.
 - 2. Meaning of 'Personally Determined by the Judge' for Arrest Warrants:
 - The judge must PERSONALLY EVALUATE the report, preliminary investigation resolution, and supporting affidavits submitted by the public prosecutor.
 - If the judge finds the documents sufficient, he may issue the warrant. If not satisfied, he may require additional affidavits or personally examine the witnesses.
 - The judge CANNOT blindly rely on the prosecutor's certification without reviewing the supporting record (Lim, Sr. v. Felix, 194 SCRA 292).
2. Option A is the precise legal holding of Soliven v. Makasiar.

Common Trap: Confusing arrest warrants with search warrants; for arrest warrants, the judge personally reviews the prosecutor's case record and affidavits (an oral examination of witnesses is not mandatory).
Exam Tip: Soliven v. Makasiar = Judge fulfills 'personal determination' for ARREST WARRANT by personally evaluating the prosecutor's record and supporting evidence.","Correct. Survives elimination because Soliven v. Makasiar established that for warrants of arrest, the judge satisfies the constitutional requirement by personally reviewing and evaluating the prosecutor's findings and supporting affidavits, rather than conducting an oral examination of witnesses.","Eliminated because a mini-trial is not required at the ex parte warrant-issuance stage of criminal proceedings.","Eliminated because blindly rubber-stamping the prosecutor's certification without reviewing supporting affidavits is unconstitutional (Lim, Sr. v. Felix).","Eliminated because personal crime scene visits are not required for issuing arrest warrants.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"What are the recognized constitutional requisites for a valid CONSENTED WARRANTLESS SEARCH (Voluntary Waiver of Search Rights), as established in People v. Burgos and Caballes v. Court of Appeals?","(1) The right exists, (2) The person involved had knowledge, actual or constructive, of the existence of such right, and (3) The person had an actual intention to relinquish the right, given FREELY, VOLUNTARILY, AND UNEQUIVOCALLY without intimidation or coercion.","The suspect smiled while police pointed loaded assault rifles at his chest.","The suspect remained completely silent and paralyzed with fear during an armed midnight raid.","The police officer claimed that anyone in a public place has automatically waived all privacy rights.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - People v. Burgos (144 SCRA 1, 1986).
 - Caballes v. Court of Appeals (373 SCRA 221, 2002), penned by Justice Antonio Carpio.
 - People v. Cogaed (731 SCRA 427, 2014).
2. Requisites for a Valid Consented Search (Waiver of Constitutional Right):
 - 1. The constitutional right against unreasonable search exists.
 - 2. The person had knowledge of the existence of the 
 - 3. The waiver was INTENTIONAL, CLEAR, UNEQUIVOCAL, and GIVEN FREELY AND VOLUNTARILY.
3. Crucial Rules on Consent:
 - Mere passive submission to the authority of armed police officers (coercive environment) is NOT voluntary consent; it is mere submission to perceived force (Caballes v. CA).
 - Consent must be affirmative, intelligent, and uncoerced.
4. Option A is the classic three-part test for valid constitutional waiver.

Common Trap: Confusing passive submission under gunpo∫ with voluntary consent; yielding to armed police authority is NOT a valid consented search.
Exam Tip: Consented Warrantless Search = Must be FREELY, VOLUNTARILY, AND UNEQUIVOCALLY GIVEN (Mere passive submission to armed authority is NOT consent).","Correct. Survives elimination because settled doctrine (Caballes v. CA) dictates that a valid waiver of search rights requires actual knowledge of the right and a free, voluntary, and unequivocal intention to relinquish it, free from coercion.","Eliminated because smiling under the intimidation of loaded firearms is mere submission to coercion, not voluntary consent.","Eliminated because silence and paralysis in a coercive police raid do not constitute valid affirmative waiver.","Eliminated because presence in public does not extinguish constitutional protections against unreasonable searches.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
"In the landmark ruling of Pestilos v. Generoso (G.R. No. 182601, November 10, 2014), how did the Supreme Court define the 'HOT PURSUIT' warrantless arrest exception under Rule 113, Section 5(b) of the Rules of Court?","An offense has JUST BEEN COMMITTED, and the arresting officer has PROBABLE CAUSE based on PERSONAL KNOWLEDGE of facts or circumstances that the person to be arrested has committed it, requiring a close temporal proximity between the crime and the arrest.","An officer can arrest a suspect two years after the crime based on an unverified rumor.","An officer can arrest a suspect without a warrant whenever the complainant pays an investigation fee.","The police can conduct a warrantless hot pursuit arrest even if no crime was ever committed.","A","Step-by-Step Solution:
1. Landmark Case: Pestilos v. Generoso (740 SCRA 337, 2014), penned by Justice Arturo Brion:
 - Facts: Following a violent stabbing altercation at an apartment, police officers arrived at the scene within minutes, interviewed eyewitnesses, observed the bloodied scene and injuries, and immediately arrested the suspects who had fled to an adjacent house. The suspects challenged the warrantless arrest.
 - Supreme Court Ruling (En Banc):
 - 1. REQUISITES OF 'HOT PURSUIT' (Section 5[b]):
 (a) An offense has 'JUST BEEN COMMITTED' (Close temporal proximity—a matter of minutes or hours, not days or weeks).
 (b) The arresting officer has PROBABLE CAUSE based on PERSONAL KNOWLEDGE of facts or circumstances indicating that the person to be arrested committed it.
 - 2. Meaning of 'Personal Knowledge': The officer does NOT need to witness the crime being committed (which is in flagrante delicto under Sec. 5[a]); but the officer must have personal knowledge of raw facts gathered at the scene immediately after the crime (e.g., eyewitness accounts, bloodstains, immediate identification).
 - 3. The warrantless arrest in Pestilos was UPHELD as a valid hot pursuit arrest.
2. Option A is the precise legal formulation of the Hot Pursuit exception.

Common Trap: Believing hot pursuit allows arrests days or weeks later; hot pursuit strictly requires CLOSE TEMPORAL PROXIMITY ('has just been committed').
Exam Tip: Pestilos v. Generoso (Hot Pursuit Arrest) = Crime has JUST BEEN COMMITTED + Officer has PROBABLE CAUSE based on PERSONAL KNOWLEDGE of facts.","Correct. Survives elimination because Pestilos v. Generoso established that a valid hot pursuit warrantless arrest requires that the crime has just been committed and the arresting officer has probable cause based on personal knowledge of fresh facts gathered at the scene.","Eliminated because an arrest made years later without a judicial warrant is unconstitutional and outside the hot pursuit exception.","Eliminated because payment of fees has zero bearing on the legality of a criminal warrantless arrest.","Eliminated because the actual commission of an offense is an indispensable predicate for a hot pursuit arrest.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Search and seizure | Very Difficult | Batch 149"
