"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article II, Section 1 of the 1987 Philippine Constitution, what is the fundamental character of the Philippine State, and where does all government authority emanate from?","The Philippines is a democratic and republican State. Sovereignty resides in the people and all government authority emanates from them.","The Philippines is a parliamentary and federal State. Sovereignty resides in the National Assembly.","The Philippines is a constitutional monarchy. Sovereignty resides in the Council of State.","The Philippines is a direct democracy. Sovereignty resides exclusively in the judicial branch.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 1 of the 1987 Constitution states:
   'The Philippines is a democratic and republican State. Sovereignty resides in the people and all government authority emanates from them.'
2. Key Legal Elements:
   - 'Democratic and republican State': Republican means a government of the people, by the people, and for the people through representatives; 'democratic' was added in 1987 to emphasize direct popular participation (plebiscites, initiatives, referenda, people's power).
   - 'Sovereignty resides in the people': The people are the ultimate repository of political sovereignty.
3. Option A is the verbatim constitutional provision and established legal doctrine.

Common Trap: Confusing the Philippine system with a parliamentary or federal structure; the 1987 Constitution establishes a unitary presidential republic with democratic mechanisms.
Exam Tip: Article II, Section 1 defines two essential descriptors: 'democratic' and 'republican', with sovereignty residing in the Filipino people.","Correct. Survives elimination because Article II, Section 1 verbatim establishes that the Philippines is a democratic and republican State where sovereignty resides in the people, from whom all governmental authority emanates.","Eliminated because the Philippines is a unitary presidential republic, not a parliamentary or federal system.","Eliminated because the Philippines has never been a constitutional monarchy under any modern charter.","Eliminated because sovereignty resides in the sovereign people, not in the judiciary or any single branch of government.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"What is the core meaning of the principle of 'REPUBLICANISM' as embodied in Article II, Section 1 of the 1987 Constitution?","It is a government of the people, where sovereign power is exercised through representatives chosen directly or indirectly by the people.","It is a system of absolute direct democracy where all laws must be voted on by all citizens in weekly referenda.","It is a governance structure where the head of state inherits sovereign authority by hereditary succession.","It is an administrative apparatus where military officers possess supreme decision-making power over elected civilians.","A","Step-by-Step Solution:
1. Definition of a Republic / Republican Government:
   - A representative government where the powers of government are derived from and held by the people, and exercised by elected public officials acting as agents and trustees of the sovereign people.
   - Essential features of Republicanism:
     1. Representation (government by chosen delegates)
     2. Rule of Law (not of men)
     3. Accountability of public officers
     4. Separation of powers and checks and balances
2. Evaluate Option A:
   - Accurately captures the essence of republicanism: a government by representatives chosen by the sovereign people.
3. Other options:
   - Option B describes pure direct democracy.
   - Option C describes a hereditary monarchy.
   - Option D describes a military dictatorship (contradicting civil supremacy in Art. II, Sec. 3).

Common Trap: Thinking republicanism means pure direct democracy; republicanism specifically implies representative governance.
Exam Tip: Republicanism = Representative Government + Rule of Law + Popular Sovereignty.","Correct. Survives elimination because republicanism fundamentally denotes a representative democracy where sovereign authority belongs to the people but is administered through elected representatives.","Eliminated because a system requiring weekly universal referenda describes pure direct democracy, not a representative republic.","Eliminated because hereditary succession is the defining feature of a monarchy, the antithesis of republicanism.","Eliminated because military governance violates both republicanism and the civilian supremacy mandate of Article II, Section 3.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"Under Article II, Section 2 of the 1987 Constitution, what is the Philippine State's official policy regarding WAR, and what is the DOCTRINE OF INCORPORATION?","The Philippines renounces war as an instrument of national policy, adopts the generally accepted principles of international law as part of the law of the land, and adheres to the policy of peace, equality, justice, freedom, cooperation, and amity with all nations.","The Philippines renounces all forms of war, including defensive warfare to repel foreign aggression, and bans armed forces.","The Philippines recognizes international treaties as automatically superior to the Constitution without need for legislative ratification.","The Philippines adopts an aggressive forward posture authorizing offensive military campaigns to acquire foreign territories.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 2 states:
   'The Philippines renounces war as an instrument of national policy, adopts the generally accepted principles of international law as part of the law of the land and adheres to the policy of peace, equality, justice, freedom, cooperation, and amity with all nations.'
2. Two Major Constitutional Doctrines in Section 2:
   - A. Renunciation of War: Renounces AGGRESSIVE / OFFENSIVE war as an instrument of national policy (defensive war to resist aggression is preserved under Art. II, Sec. 4 and Art. VI, Sec. 23).
   - B. Doctrine of Incorporation: Generally accepted principles of international law (customary international law, jus cogens) automatically become part of the Philippine legal system without need for an express statutory enactment (Mejoff v. Director of Prisons, Kuroda v. Jalandoni).
3. Option A is the complete, accurate constitutional text and doctrine.

Common Trap: Believing the Philippines renounces DEFENSIVE war; the state only renounces aggressive/offensive war (it retains the inherent right of self-defense).
Exam Tip: Article II, Section 2 contains the Doctrine of Incorporation and the Renunciation of Aggressive War (modeled on the 1928 Kellogg-Briand Pact).","Correct. Survives elimination because Article II, Section 2 explicitly renounces aggressive war, enshrines the Doctrine of Incorporation of international law, and declares a foreign policy of amity and cooperation with all nations.","Eliminated because the Philippines retains the sovereign right to wage defensive war to protect its territorial integrity and repel armed invasion.","Eliminated because under domestic constitutional supremacy, international treaties cannot override the Constitution itself (Secretary of Justice v. Lantion).","Eliminated because aggressive or expansionist warfare is strictly renounced by the constitutional text.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"In Philippine constitutional jurisprudence (e.g., Kuroda v. Jalandoni, Mejoff v. Director of Prisons), how does the 'DOCTRINE OF INCORPORATION' operate?","Generally accepted principles of international law, including rules of customary international law and international humanitarian law, automatically become part of domestic Philippine law without the necessity of an implementing statutory enactment.","International law only becomes binding in the Philippines if Congress enacts an identical verbatim statute passed by a two-thirds vote of both Houses.","The President can unilaterally incorporate foreign laws into the domestic legal system through administrative memorandums.","The Supreme Court must issue an en banc resolution approving each foreign rule before it can be applied in Philippine territory.","A","Step-by-Step Solution:
1. Doctrine of Incorporation (Art. II, Sec. 2):
   - Rules of customary international law and generally accepted principles of international law (e.g., prohibition against torture, universal humanitarian rules in armed conflict, right to alien deportation bail/humane treatment) are deemed automatically incorporated into Philippine law.
   - Distinguished from the 'Doctrine of Transformation,' which applies to specific international treaties/conventions that require domestic legislative concurrence or implementing statutes to acquire domestic legal effect.
2. Case Law Applications:
   - Kuroda v. Jalandoni (1949): Rules of Hague and Geneva Conventions on war crimes apply in the Philippines even if the country was not a formal signatory at the time, because they are generally accepted principles of international law.
   - Mejoff v. Director of Prisons (1951): The Universal Declaration of Human Rights principles are incorporated into domestic law, limiting indefinite detention of stateless deportees.
3. Option A is the precise legal definition of the Doctrine of Incorporation.

Common Trap: Confusing Incorporation (automatic for customary international law) with Transformation (requires congressional concurrence/statute for treaties).
Exam Tip: Doctrine of Incorporation = Automatic domestic application of generally accepted principles of international law.","Correct. Survives elimination because the Doctrine of Incorporation (Article II, Section 2) makes generally accepted principles of international law automatically part of the law of the land without needing an implementing Act of Congress.","Eliminated because requiring an enabling statute describes the Doctrine of Transformation, not the automatic Doctrine of Incorporation.","Eliminated because presidential memorandums are not the mechanism for incorporating customary international law.","Eliminated because incorporation operates as a constitutional rule of law, not through case-by-case judicial rulemaking resolutions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"Under Article II, Section 3 of the 1987 Constitution, what is the constitutional relationship between civilian authority and the military, and what is the primary mandate of the Armed Forces of the Philippines (AFP)?","Civilian authority is, at all times, supreme over the military. The Armed Forces of the Philippines is the protector of the people and the State.","The military possesses co-equal authority with the civilian executive during times of declared emergencies.","The military command structure is legally supreme over civilian courts in the administration of national security zones.","Civilian authority is subordinate to the military whenever Congress fails to pass the national budget.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 3 states:
   'Civilian authority is, at all times, supreme over the military. The Armed Forces of the Philippines is the protector of the people and the State. Its goal is to secure the sovereignty of the State and the integrity of the national territory.'
2. Key Legal Doctrines:
   - 'Civilian supremacy at all times': There is never a situation—even during martial law or war—where military authority supersedes constitutional civilian authority. The President (a civilian) is the Commander-in-Chief (Art. VII, Sec. 18).
   - 'Protector of the people and the State': The AFP's loyalty is to the Constitution and the people, not to any individual ruler or partisan group.
3. Option A verbatim captures the twin constitutional mandates of Section 3.

Common Trap: Believing military authority can become supreme over civilian authority during martial law; Article VII, Section 18 expressly states that martial law does not supplant civilian courts or civilian government.
Exam Tip: Civilian authority is supreme AT ALL TIMES—there are zero constitutional exceptions.","Correct. Survives elimination because Article II, Section 3 commands that civilian supremacy over the military is absolute and perpetual ('at all times'), and establishes the AFP as the protector of the people and the State.","Eliminated because military authority is never co-equal with civilian authority; the President as civilian Commander-in-Chief remains supreme even in emergencies.","Eliminated because civilian courts retain full constitutional jurisdiction and are not subordinate to military commands (Article VII, Section 18).","Eliminated because budget delays do not alter the constitutional hierarchy of civilian supremacy.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"According to Article II, Section 4 of the 1987 Constitution, what is the prime duty of the Government, and what may the Government require of its citizens in fulfilling this duty?","The prime duty of the Government is to serve and protect the people. The Government may call upon the people to defend the State, and all citizens may be required, under conditions provided by law, to render personal, military or civil service.","The prime duty of the Government is to generate commercial profits. The Government may require citizens to purchase sovereign bonds.","The prime duty of the Government is to maintain diplomatic neutrality. Citizens can never be compelled to render military service.","The prime duty of the Government is to expand national territory. Citizens are required to perform foreign colonial service.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 4 states:
   'The prime duty of the Government is to serve and protect the people. The Government may call upon the people to defend the State and, in the fulfillment thereof, all citizens may be required, under conditions provided by law, to render personal, military or civil service.'
2. Key Elements:
   - Prime duty = To serve and protect the people (the purpose of government existence).
   - Citizen obligation = In defense of the State, citizens can be required by law to render PERSONAL military or civil service (e.g., military conscription, emergency rescue service).
   - Note the word 'personal'—a citizen cannot send a proxy or pay a fee to avoid compulsory defense service (People v. Lagman).
3. Option A is the exact constitutional statement.

Common Trap: Thinking citizens can hire a substitute or pay money in lieu of military service; the Constitution specifies 'personal' service.
Exam Tip: Prime duty of Government = serve and protect the people; Citizen duty = render personal military or civil service to defend the State.","Correct. Survives elimination because Article II, Section 4 specifies that the prime duty of Government is to serve and protect the people, and authorizes the state to compel citizens to render personal military or civil service for defense.","Eliminated because generating commercial profit is not the constitutional purpose or prime duty of sovereign government.","Eliminated because the Constitution explicitly permits compulsory military service in defense of the State (People v. Lagman).","Eliminated because offensive territorial expansion is strictly prohibited and contradicted by Article II, Section 2.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"Under Article II, Section 5 of the 1987 Constitution, what conditions are declared essential for the enjoyment by all the people of the blessings of democracy?","The maintenance of peace and order, the protection of life, liberty, and property, and the promotion of the general welfare.","The achievement of universal industrial automation and total economic central planning.","The unrestricted privatization of all natural resources and public utilities.","The elimination of all political opposition parties and centralization of media.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 5 states:
   'The maintenance of peace and order, the protection of life, liberty, and property, and the promotion of the general welfare are essential for the enjoyment by all the people of the blessings of democracy.'
2. Core Components:
   - 1. Maintenance of peace and order
   - 2. Protection of life, liberty, and property
   - 3. Promotion of the general welfare
3. These three pillars form the bedrock enabling environment for democratic life.
4. Option A is verbatim Article II, Section 5.

Common Trap: Confusing the Section 5 essential conditions with general police power goals.
Exam Tip: Three essentials in Section 5: (1) Peace and order, (2) Life, liberty, property protection, and (3) General welfare.","Correct. Survives elimination because Article II, Section 5 explicitly enumerates the maintenance of peace and order, protection of life, liberty, and property, and promotion of general welfare as the essential prerequisites for the blessings of democracy.","Eliminated because industrial automation and economic central planning are not constitutional prerequisites in Section 5.","Eliminated because unrestricted privatization is not a declared constitutional foundation of democracy.","Eliminated because political pluralism is protected under democratic republicanism, and one-party dominance violates constitutional principles.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"Article II, Section 6 of the 1987 Constitution declares: 'The separation of Church and State shall be inviolable.' Which constitutional doctrine governs the Philippine interpretation of this clause, as affirmed in Estrada v. Escritor?","The doctrine of Benevolent Neutrality / Accommodation, which recognizes the religious nature of the Filipino people while prohibiting state establishment of religion and protecting free exercise.","The doctrine of Strict Separation / Hostile Secularism, which completely bans any religious manifestation from public life.","The doctrine of Theocratic Supremacy, where religious dogmas override constitutional statutes in court proceedings.","The doctrine of State Religion, which allows the government to establish an official national church.","A","Step-by-Step Solution:
1. Constitutional Reference: Article II, Section 6 ('The separation of Church and State shall be inviolable') read with Article III, Section 5 (Non-Establishment Clause and Free Exercise Clause).
2. Landmark Case: Estrada v. Escritor (A.M. No. P-02-1651, August 4, 2003 & June 22, 2006):
   - The Supreme Court en banc, through Justice Puno, extensively analyzed the models of Church-State separation:
     1. Strict Separation (French Laïcité / Lemon test)
     2. Strict Neutrality
     3. Benevolent Neutrality / Accommodation
   - The Court ruled that Philippine constitutional history, text, and jurisprudence embrace BENEVOLENT NEUTRALITY.
   - Under Benevolent Neutrality, the State accommodates religious beliefs and practices, giving room for religious exercise to the fullest extent possible without establishing a religion or violating compelling state interests.
3. Option A accurately defines the doctrine of Benevolent Neutrality established in Estrada v. Escritor.

Common Trap: Assuming Philippine Church-State separation means hostile secularism / strict separation like France; Philippine constitutionalism explicitly follows Benevolent Neutrality.
Exam Tip: Estrada v. Escritor = Philippine standard for Church-State separation is BENEVOLENT NEUTRALITY / ACCOMMODATION.","Correct. Survives elimination because the Supreme Court in Estrada v. Escritor definitively held that the Philippine Constitution follows the doctrine of Benevolent Neutrality, which accommodates religious conscience while upholding non-establishment.","Eliminated because the Supreme Court explicitly rejected strict separation/hostile secularism as contrary to Philippine constitutional values and tradition.","Eliminated because theocratic supremacy directly violates the non-establishment clause and the inviolability of Church-State separation.","Eliminated because establishing an official state church is explicitly prohibited by Article III, Section 5.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"What is the legal effect of the Declaration of Principles in Article II when invoked by a citizen as the SOLE legal basis for a judicial cause of action, as ruled in Kilosbayan v. Morato and Basco v. PAGCOR?","Provisions in Article II are generally non-self-executing statements of state policy that serve as guideposts for the legislature and executive, and do not confer self-standing judicially enforceable rights without an implementing statute.","Provisions in Article II are supreme self-executing statutory rights that automatically invalidate any contradictory contractual agreement in court.","Provisions in Article II can only be enforced by filing criminal charges before the International Criminal Court.","Provisions in Article II are null and void unless re-enacted annually in the General Appropriations Act.","A","Step-by-Step Solution:
1. Legal Character of Article II Provisions (Basco v. PAGCOR, 197 SCRA 52; Kilosbayan v. Morato, 246 SCRA 540; Tondo Medical Center v. Court of Appeals, 2007):
   - Unlike the Bill of Rights (Article III), the provisions of Article II (Declaration of Principles and State Policies) are generally not self-executing.
   - They do not embody self-contained judicial causes of action upon which a lawsuit can stand alone.
   - Instead, they are guides for the legislature in enacting laws and for the executive in implementing policy.
   - Exception: A rare exception was recognized in Oposa v. Factoran regarding Article II, Section 16 (Right to a Balanced and Healthful Ecology), which was held to be self-executing due to its fundamental nature.
2. Evaluate Option A:
   - Accurately states the general doctrine: Article II provisions are generally non-self-executing guidelines for governance, not independent judicial causes of action. Correct.
3. Other options are legal mischaracterizations.

Common Trap: Believing every sentence in the Constitution gives an individual citizen the right to sue in court; Article II principles generally require enabling legislation.
Exam Tip: General Rule: Article II provisions are NON-SELF-EXECUTING principles/policies guiding lawmakers, not standalone causes of action (except Art. II, Sec. 16 in Oposa v. Factoran).","Correct. Survives elimination because standard jurisprudence (Basco v. PAGCOR, Kilosbayan v. Morato) holds that Article II provisions are generally non-self-executing guidelines for governance that require enabling legislation to be judicially enforceable.","Eliminated because Article II provisions are generally not self-executing standalone rights (with the unique exception of Section 16 in Oposa v. Factoran).","Eliminated because domestic constitutional principles are interpreted by Philippine courts, not the ICC.","Eliminated because constitutional provisions do not require annual statutory re-enactment to maintain validity.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
"Which landmark Supreme Court decision recognized an EXCEPTION to the general rule on Article II provisions by declaring that Article II, Section 16 (the Right to a Balanced and Healthful Ecology) is a SELF-EXECUTING right capable of grounding a direct judicial cause of action?","Oposa v. Factoran, Jr. (G.R. No. 101083, July 30, 1993)","Basco v. Philippine Amusements and Gaming Corporation (PAGCOR)","Kilosbayan, Inc. v. Morato","Tondo Medical Center Employees Association v. Court of Appeals","A","Step-by-Step Solution:
1. Case Reference: Oposa v. Factoran, Jr. (224 SCRA 792, July 30, 1993), penned by Justice Hilario G. Davide, Jr.
2. Major Legal Breakthroughs in Oposa v. Factoran:
   - A. Article II, Section 16 ('The State shall protect and advance the right of the people to a balanced and healthful ecology in accord with the rhythm and harmony of nature') is SELF-EXECUTING and does not need legislative implementation to be judicially enforceable.
   - B. Doctrine of Intergenerational Responsibility: The petitioners (minors) had legal standing (locus standi) to sue not only for themselves but on behalf of generations yet unborn to prevent the deforestation of the country's virgin rainforests.
3. Option A is the exact landmark ruling.
4. Other cases:
   - Basco v. PAGCOR: Held Art. II gambling policy was non-self-executing.
   - Kilosbayan v. Morato: Addressed PCSO lotto lease standing and non-self-executing principles.
   - Tondo Medical: Reaffirmed that Art. II, Sec. 15 (Health) is a general guideline, not self-executing.

Common Trap: Confusing Oposa v. Factoran with Basco v. PAGCOR; Oposa created the historic exception for the right to ecology (Section 16).
Exam Tip: Oposa v. Factoran = Art. II, Sec. 16 (Balanced and Healthful Ecology) is SELF-EXECUTING + Doctrine of Intergenerational Responsibility.","Correct. Survives elimination because Oposa v. Factoran famously held that the right to a balanced and healthful ecology under Article II, Section 16 is a self-executing right of highest magnitude, giving minors legal standing to sue on behalf of future generations.","Eliminated because Basco v. PAGCOR held that Article II social justice principles were non-self-executing guidelines for the legislature.","Eliminated because Kilosbayan v. Morato involved PCSO lotto contracts and did not establish the self-executing nature of environmental rights.","Eliminated because Tondo Medical Center affirmed that Article II health provisions are general guidelines, not self-executing causes of action.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Fundamental principles | Very Difficult | Batch 125"
