"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XI, Section 1 of the 1987 Constitution and Section 2 of RA 6713, what is the supreme constitutional doctrine defining the relationship between the sovereign people and all public servants?","PUBLIC OFFICE IS A PUBLIC TRUST; public officers and employees must at all × be ACCOUNTABLE TO THE PEOPLE, serve them with utmost responsibility, integrity, loyalty, and efficiency, act with patriotism and justice, and lead modest lives.","Public office is a private business franchise owned exclusively by the sitting President's political party.","Public servants are sovereign masters who possess absolute immunity from all citizen complaints and audits.","Public office is a private hereditary property title that can be inherited by a public official's eldest child.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 1:
 'Public office is a public trust. Public officers and employees must at all × be accountable to the people, serve them with utmost responsibility, integrity, loyalty, and efficiency, act with patriotism and justice, and lead modest lives.'
2. Statutory Text: RA 6713, Section 2 (Declaration of Policies):
 'It is the policy of the State to promote a high standard of ethics in public service. Public officials and employees shall at all × be accountable to the people, serve them with utmost responsibility, integrity, loyalty, and efficiency, act with patriotism and justice, lead modest lives, and uphold public interest over personal interest.'
3. The Three Bedrock Implications of 'Public Trust':
 - 1. Fiduciary Duty: Power is not owned by the official; it is delegated in trust by the sovereign Filipino people.
 - 2. Total Accountability: Every public action, decision, and peso spent is subject to citizen scrutiny, auditing, and legal review.
 - 3. Rejection of Hereditary / Proprietary Claims: A public office cannot be bought, sold, leased, or inherited.
4. Option A is the verbatim constitutional and statutory cornerstone.

Common Trap: Viewing public office as personal property or an elite privilege; Philippine constitutional law establishes that PUBLIC OFFICE IS A PUBLIC TRUST.
Exam Tip: Article XI, Section 1 = PUBLIC OFFICE IS A PUBLIC TRUST (Accountable to the people, responsibility, integrity, loyalty, efficiency, patriotism, justice, modest lives).","Correct. Survives elimination because Article XI, Section 1 of the Constitution and Section 2 of RA 6713 enshrine the foundational principle that public office is a public trust, demanding continuous accountability, integrity, and modest living.","Eliminated because public office is a sacred public trust, not a private partisan commercial franchise.","Eliminated because public servants are delegated trustees of the people, not unaccountable sovereign masters.","Eliminated because public office is not private hereditary property and cannot be transferred through inheritance.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Article XI, Section 13 of the 1987 Constitution and Republic Act No. 6770 (The Ombudsman Act of 1989), what is the extent of the ADMINISTRATIVE DISCIPLINARY AUTHORITY of the Office of the Ombudsman over elective and appointive public officials?","The Ombudsman possesses DIRECT AND FULL ADMINISTRATIVE DISCIPLINARY AUTHORITY to investigate, try, and directly impose administrative penalties—including suspension, fine, demotion, and DISMISSAL FROM PUBLIC SERVICE—on all appointive and elective public officials (except impeachable officers).","The Ombudsman possesses only advisory powers and can only write polite suggestion letters to corrupt officials.","The Ombudsman's authority is limited strictly to issuing parking violation tickets in Metro Manila.","The Ombudsman has no disciplinary power over any government employee outside the City of Manila.","A","Step-by-Step Solution:
1. Constitutional & Statutory Authority:
 - Article XI, Section 13(3) of the 1987 Constitution.
 - Section 15 & 21, Republic Act No. 6770 (The Ombudsman Act of 1989).
2. Landmark Jurisprudence (Office of the Ombudsman v. Court of Appeals & Santos, 491 SCRA 439; Ombudsman v. Apolonio, 667 SCRA 583; Ombudsman v. Morales, 792 SCRA 451):
 - 1. Direct Disciplinary Power: The Supreme Court en banc firmly ruled that the administrative disciplinary authority of the Ombudsman is NOT merely advisory or recommendatory.
 - 2. Full Punitive Power: The Ombudsman has direct statutory power to CONDUCT ADMINISTRATIVE PROCEEDINGS and DIRECTLY IMPOSE ADMINISTRATIVE PENALTIES (Reprimand, Suspension, Fine, Demotion, and DISMISSAL FROM SERVICE with perpetual disqualification).
 - 3. Scope of Jurisdiction: Covers all appointive and elective public officials across national agencies, LGUs, GOCCs, and state universities (excluding only the 8 impeachable officers during their tenure).
3. Option A is the precise, established legal doctrine.

Common Trap: Believing the Ombudsman can only 'recommend' penalties; the Supreme Court has repeatedly affirmed that the Ombudsman's administrative disciplinary decisions are DIRECTLY BINDING AND EXECUTORY.
Exam Tip: Ombudsman Disciplinary Authority (RA 6770) = DIRECT, FULL ADMINISTRATIVE POWER to impose penalties including SUSPENSION and DISMISSAL FROM SERVICE.","Correct. Survives elimination because RA 6770 and settled Supreme Court jurisprudence establish that the Ombudsman has direct, binding administrative authority to discipline public officers and directly enforce dismissal and suspension penalties.","Eliminated because the Supreme Court explicitly overturned older notions that the Ombudsman possessed only recommendatory powers.","Eliminated because the Ombudsman is the constitutional champion of the people against graft, not a municipal parking agency.","Eliminated because the Ombudsman exercises nationwide jurisdiction across all Philippine regions and local governments.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Presidential Decree No. 1606 (as amended by Republic Act No. 10660), what is the JURISDICTIONAL THRESHOLD of the SANDIGANBAYAN in criminal cases involving violations of RA 3019 (Anti-Graft Act) and Title VII, Book II of the Revised Penal Code?","The Sandiganbayan has EXCLUSIVE ORIGINAL JURISDICTION over public officials occupying positions classified as SALARY GRADE 27 (SG 27) AND HIGHER (such as Regional Directors, Department Secretaries, Governors, Mayors, and Military Colonels/Generals), and over lower-salary officials when charged in CONSPIRACY with an SG 27 official.","The Sandiganbayan handles only traffic infractions committed by public utility jeepneys.","The Sandiganbayan exercises jurisdiction exclusively over private retail corporations with zero public employees.","The Sandiganbayan is a temporary military tribunal that meets once every ten years.","A","Step-by-Step Solution:
1. Constitutional & Statutory Framework:
 - Article XI, Section 4 of the 1987 Constitution: 'The present anti-graft court known as the Sandiganbayan shall continue to function and exercise its jurisdiction as now or hereafter may be provided by law.'
 - Presidential Decree No. 1606, as amended by Republic Act No. 7975, RA 8249, and Republic Act No. 10660 (An Act Strengthening the Functional and Structural Organization of the Sandiganbayan).
2. The Salary Grade 27 (SG 27) Jurisdictional Rule:
 - 1. Covered Officials (SG 27 & Above):
 - Executive: Department Secretaries, Undersecretaries, Assistant Secretaries, Bureau Directors, Regional Directors (SG 28), Provincial Governors (SG 30), Vice-Governors, City Mayors (SG 30), Municipal Mayors (SG 27).
 - Legislative: Senators, Members of the House of Representatives.
 - Judiciary: Justices and Judges (for criminal offenses).
 - Military/Police: Officers of the rank of Colonel or higher in the AFP, and Police Colonel or higher in the PNP.
 - 2. Lower Salary Grade Officials (SG 26 and below):
 - Tried by the regular REGIONAL TRIAL COURTS (RTC).
 - EXCEPT when charged as CO-PRINCIPALS, ACCOMPLICES, OR ACCESSORIES IN CONSPIRACY with an SG 27 (or higher) official, in which case the Sandiganbayan exercises exclusive jurisdiction over all of them.
3. Option A is the precise statutory jurisdictional rule.

Common Trap: Confusing Sandiganbayan jurisdiction with RTC jurisdiction; Sandiganbayan handles SG 27 AND ABOVE (and lower officials charged in conspiracy with SG 27+).
Exam Tip: Sandiganbayan Jurisdiction = Public officials SALARY GRADE 27 AND HIGHER (and lower officials in conspiracy with SG 27+).","Correct. Survives elimination because RA 10660 and PD 1606 define the Sandiganbayan's exclusive original jurisdiction over graft and corruption felonies committed by public officials occupying Salary Grade 27 and above, and co-conspirators.","Eliminated because traffic violations are handled by municipal trial courts and local traffic adjudications.","Eliminated because the Sandiganbayan is a specialized anti-graft court trying public officers and their private co-conspirators in graft cases.","Eliminated because the Sandiganbayan is a permanent constitutional collegiate court composed of seven divisions.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Republic Act No. 7080 (The Anti-Plunder Act, as amended by RA 7659), what are the mandatory statutory elements of the capital crime of 'PLUNDER'?","A public officer who, by himself or in connivance with members of his family, relatives, or associates, amasses, accumulates, or acquires ILL-GOTTEN WEALTH through a combination or series of overt criminal acts in the aggregate amount or total value of AT LEAST FIFTY MILLION PESOS (PHP 50,000,000.00).","A public officer who arrives ten minutes late to work for two consecutive days.","An employee who forgets to turn off the office air conditioning unit during lunch break.","A public servant who borrows one hundred pesos from a colleague to buy lunch.","A","Step-by-Step Solution:
1. Statutory Text: Section 2, Republic Act No. 7080 (An Act Defining and Penalizing the Crime of Plunder, as amended by RA 7659):
 'Definition of the Crime of Plunder; Penalty. — Any public officer who, by himself or in connivance with members of his family, relatives by affinity or consanguinity, business associates, subordinates or other persons, amasses, accumulates or acquires ill-gotten wealth through a COMBINATION OR SERIES OF OVERT OR CRIMINAL ACTS... IN THE AGGREGATE AMOUNT OR TOTAL VALUE OF AT LEAST FIFTY MILLION PESOS (P50,000,000.00) shall be guilty of the crime of PLUNDER and shall be punished by RECLUSION PERPETUA TO DEATH.'
2. Core Elements of Plunder:
 - 1. Offender: A public officer (acting alone or in connivance with family, cronies, or private individuals).
 - 2. Method: Accumulating ill-gotten wealth through a COMBINATION OR SERIES of overt criminal acts (e.g., misappropriating public funds, receiving kickbacks/commissions from contracts, fraudulent conversion of state assets, illegal monopolies/cartels).
 - 3. Monetary Threshold: AT LEAST FIFTY MILLION PESOS (PHP 50,000,000.00).
 - 4. Non-Bailable: Capital offense punishable by Reclusion Perpetua (with life imprisonment) and absolute forfeiture of all ill-gotten assets.
3. Option A is the verbatim statutory definition and monetary threshold.

Common Trap: Forgetting the monetary threshold; Plunder STRICTLY REQUIRES at least FIFTY MILLION PESOS (PHP 50,000,000.00) accumulated through a combination or series of criminal acts.
Exam Tip: Crime of Plunder (RA 7080) = Public officer + Series/combination of corrupt acts + AT LEAST PHP 50,000,000 accumulated = RECLUSION PERPETUA + Asset Forfeiture.","Correct. Survives elimination because Section 2 of RA 7080 explicitly defines Plunder as the accumulation of ill-gotten wealth through a combination or series of corrupt acts reaching the statutory threshold of at least Fifty Million Pesos (PHP 50,000,000.00).","Eliminated because minor tardiness is an administrative attendance infraction, not criminal plunder.","Eliminated because leaving air conditioning on is an office administrative irregularity.","Eliminated because minor peer lunch loans are informal personal transactions far below the PHP 50M plunder threshold.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"In the landmark en banc case of Carpio-Morales v. Court of Appeals (G.R. Nos. 217126-27, November 10, 2015), what historic ruling did the Supreme Court make regarding the 'CONDONATION DOCTRINE' (Aguinaldo Doctrine)?","The Supreme Court completely ABANDONED AND OVERRULED THE CONDONATION DOCTRINE for having no constitutional or statutory basis, establishing that an elective official's re-election NO LONGER CONDONES, extinguishes, or forgives administrative liability for misconduct committed during a prior term.","The Supreme Court ruled that all elective mayors are immune from criminal prosecution forever.","The Supreme Court held that re-election automatically doubles an official's salary grade.","The Supreme Court declared that administrative cases can only be filed against deceased officials.","A","Step-by-Step Solution:
1. Landmark Case: Conchita Carpio-Morales v. Court of Appeals and Jejomar Erwin S. Binay, Jr. (774 SCRA 431, November 10, 2015), penned by Justice Estela Perlas-Bernabe:
 - History of the Condonation Doctrine (Pascual v. Provincial Board of Nueva Ecija, 106 Phil. 466 [1959]; Aguinaldo v. Santos, 212 SCRA 768):
 - The old doctrine held that an elective official's re-election operated as a 'condonation' (forgiveness) by the electorate of all administrative offenses committed during the prior term.
 - Supreme Court Ruling (En Banc):
 - 1. CONDONATION DOCTRINE IS COMPLETELY ABANDONED: The Court held that the Condonation Doctrine is a dangerous American jurisprudential import with ZERO basis in the 1987 Philippine Constitution or statutes.
 - 2. RE-ELECTION DOES NOT FORGIVE CORRUPTION: Elective office is a public trust under Article XI, Section 1. Voters cannot 'forgive' statutory crimes or grave administrative misconduct through a ballot.
 - 3. PROSPECTIVE ABANDONMENT: Elective public officials can now be formally investigated, tried, suspended, and DISMISSED FROM PUBLIC SERVICE for administrative offenses committed during prior terms, regardless of subsequent re-election.
2. Option A is the precise legal holding of Carpio-Morales v. Court of Appeals.

Common Trap: Believing re-election still forgives past corruption; the Condonation Doctrine was PERMANENTLY ABANDONED by the Supreme Court in 2015.
Exam Tip: Carpio-Morales v. CA (2015) = ABANDONED THE CONDONATION DOCTRINE (Re-election DOES NOT wipe out administrative liability for past corruption).","Correct. Survives elimination because Carpio-Morales v. Court of Appeals definitively abandoned the Condonation Doctrine, ruling that re-election does not absolve elective officials from administrative liability for misconduct in prior terms.","Eliminated because public officials enjoy no immunity from administrative or criminal accountability for corrupt acts.","Eliminated because re-election has no automatic effect on statutory salary grades under the Salary Standardization Law.","Eliminated because administrative proceedings are directed against living, incumbent, or separated public officers.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Section 3(e) of Republic Act No. 3019 (The Anti-Graft and Corrupt Practices Act), what are the THREE (3) ESSENTIAL ELEMENTS of the most commonly prosecuted graft offense in the Philippines?","(1) The accused is a public officer discharging official functions (or private co-conspirator), (2) The officer acted with MANIFEST PARTIALITY, EVIDENT BAD FAITH, OR GROSS INEXCUSABLE NEGLIGENCE, and (3) The act caused UNDUE INJURY TO ANY PARTY (including the Government) or gave any private party UNWARRANTED BENEFITS, ADVANTAGE, OR PREFERENCE.","(1) The officer wore an unapproved necktie, (2) The officer ate lunch at a local cafeteria, and (3) The officer walked across a pedestrian crossing.","(1) The officer retired after forty years of service, (2) The officer submitted an annual SALN, and (3) The officer received a legitimate government pension.","(1) The transaction occurred during a thunderstorm, (2) The contractor was a foreigner, and (3) The project was completed under budget.","A","Step-by-Step Solution:
1. Statutory Text: Section 3(e), Republic Act No. 3019 (Anti-Graft and Corrupt Practices Act):
 'Corrupt practices of public officers. — In addition to existing laws, the following shall constitute corrupt practices of any public officer and are hereby declared to be unlawful:
 (e) Causing any undue injury to any party, including the Government, or giving any private party any unwarranted benefits, advantage or preference in the discharge of his official administrative or judicial functions through manifest partiality, evident bad faith or gross inexcusable negligence.'
2. The 3 Indispensable Elements of Section 3(e):
 - Element 1: The accused is a public officer discharging administrative, judicial, or official functions (or a private individual acting in conspiracy).
 - Element 2: The accused acted with one of the 3 statutory mental modalities:
 (a) Manifest Partiality (clear, notorious bias);
 (b) Evident Bad Faith (dishonest purpose, moral obliquity, or conscious wrongdoing); OR
 (c) Gross Inexcusable Negligence (want of even slight care, callous indifference).
 - Element 3: The act resulted in:
 (a) CAUSING UNDUE INJURY to any party (including the State); OR
 (b) GIVING UNWARRANTED BENEFITS, advantage, or preference to any private party.
3. Penalty (Section 9): Imprisonment of SIX (6) YEARS AND ONE MONTH TO FIFTEEN (15) YEARS, perpetual disqualification from public office, and confiscation of ill-gotten gains.
4. Option A is the verbatim statutory formula.

Common Trap: Thinking graft requires personal financial profit; Section 3(e) is consummated by merely GIVING UNWARRANTED ADVANTAGE TO A THIRD PARTY or CAUSING UNDUE INJURY TO THE STATE.
Exam Tip: RA 3019, Sec. 3(e) Elements = (1) Public officer, (2) Manifest partiality / Evident bad faith / Gross inexcusable negligence, (3) Undue injury to Government OR Unwarranted benefits to a private party.","Correct. Survives elimination because Section 3(e) of RA 3019 establishes these three essential elements: public officer status, acting with manifest partiality/evident bad faith/gross inexcusable negligence, and causing undue injury or conferring unwarranted benefits.","Eliminated because necktie infractions and pedestrian crossings are non-criminal daily activities.","Eliminated because receiving lawful pensions upon retirement is a legitimate statutory entitlement, not a corrupt practice.","Eliminated because completing projects under budget in compliance with law is an exemplary practice, not graft.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Article XI, Section 2 of the 1987 Constitution, who are the ONLY EIGHT (8) IMPEACHABLE PUBLIC OFFICERS who can be removed from office EXCLUSIVELY through the constitutional process of IMPEACHMENT?","(1) The PRESIDENT, (2) The VICE-PRESIDENT, (3) The MEMBERS OF THE SUPREME COURT, (4) The MEMBERS OF THE CONSTITUTIONAL COMMISSIONS (CSC, COMELEC, COA), and (5) The OMBUDSMAN.","Cabinet Secretaries, Undersecretaries, Bureau Directors, and Provincial Governors.","Senators and Members of the House of Representatives.","The Chief of Staff of the AFP and the Chief of the PNP.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 2:
 'The President, the Vice-President, the Members of the Supreme Court, the Members of the Constitutional Commissions, and the Ombudsman may be removed from office on impeachment for, and conviction of, culpable violation of the Constitution, treason, bribery, graft and corruption, other high crimes, or betrayal of public trust.'
2. The Exclusive Roster of Impeachable Officers:
 - 1. The President of the Philippines
 - 2. The Vice-President of the Philippines
 - 3. The Chief Justice and Associate Justices of the Supreme Court (15 Members)
 - 4. The Chairman and Commissioners of the Civil Service Commission (3 Members)
 - 5. The Chairman and Commissioners of the Commission on Elections (7 Members)
 - 6. The Chairman and Commissioners of the Commission on Audit (3 Members)
 - 7. The Ombudsman
 (Total: 8 institutional offices / constitutional categories).
3. Non-Impeachable Officials:
 - Cabinet Secretaries & Governors (disciplined by President / Ombudsman).
 - Senators & Congressmen (disciplined by their respective Houses under Art. VI, Sec. 16[3]).
 - Military/Police Chiefs (disciplined by President / DND / DILG / Ombudsman).
4. Option A is the exact constitutional enumeration.

Common Trap: Believing Senators or Cabinet Secretaries are impeachable; Senators are disciplined by the Senate (suspension/expulsion), and Cabinet Secretaries are alter egos removable by the President.
Exam Tip: The ONLY Impeachable Officers (Art. XI, Sec. 2) = President, Vice-President, Supreme Court Justices, Constitutional Commissioners (CSC, COMELEC, COA), and the OMBUDSMAN.","Correct. Survives elimination because Article XI, Section 2 of the Constitution explicitly lists the President, Vice-President, Members of the Supreme Court, Members of the Constitutional Commissions (CSC, COMELEC, COA), and the Ombudsman as the exclusive impeachable officers.","Eliminated because Cabinet Secretaries and Governors are executive appointive/elective officials removable through administrative or executive disciplinary proceedings.","Eliminated because Members of Congress are disciplined and expelled by a two-thirds vote of their respective legislative chambers under Article VI, Section 16(3).","Eliminated because military and police commanders are subordinate executive officers subject to civilian administrative discipline and courts-martial.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Article XI, Section 2 of the Constitution, what are the SIX (6) EXCLUSIVE CONSTITUTIONAL GROUNDS for the IMPEACHMENT of an impeachable public officer?","(1) Culpable violation of the Constitution, (2) Treason, (3) Bribery, (4) Graft and corruption, (5) Other high crimes, and (6) Betrayal of public trust.","(1) Habitual tardiness, (2) Poor public speaking voice, (3) Failure to wear a suit, (4) Reading foreign books, (5) Eating fast food, and (6) Losing a tennis match.","(1) Failure to balance the national foreign trade deficit within thirty days, and (2) Appointing a licensed civil engineer.","(1) Retiring at age 65, (2) Receiving an honorary doctorate, and (3) Filing an annual income tax return.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 2:
 '...may be removed from office on impeachment for, and conviction of:
 (1) CULPABLE VIOLATION OF THE CONSTITUTION;
 (2) TREASON;
 (3) BRIBERY;
 (4) GRAFT AND CORRUPTION;
 (5) OTHER HIGH CRIMES; OR
 (6) BETRAYAL OF PUBLIC TRUST.'
2. Definitions & Meaning:
 - 1. Culpable Violation of the Constitution: Intentional, willful, and deliberate disregard of constitutional provisions.
 - 2. Treason: Levying war against the Philippines or adhering to its enemies (Art. 114, RPC).
 - 3. Bribery: Direct or Indirect Bribery under the Revised Penal Code.
 - 4. Graft and Corruption: Violations of RA 3019, RA 6713, and related anti-graft statutes.
 - 5. Other High Crimes: Crimes of equal gravity and enormity to treason and bribery striking at the existence of the State.
 - 6. Betrayal of Public Trust: Catch-all ground covering gross, inexcusable breach of public confidence, tyrannical abuse of power, or behavior showing utter unfitness for high office (Francisco v. House of Representatives).
3. Option A is the verbatim constitutional list of the 6 impeachment grounds.

Common Trap: Forgetting 'Betrayal of Public Trust'; this is the critical constitutional ground that covers non-criminal but grave abuses of authority.
Exam Tip: The 6 Impeachment Grounds (Art. XI, Sec. 2) = (1) Culpable Violation of Constitution, (2) Treason, (3) Bribery, (4) Graft & Corruption, (5) Other High Crimes, (6) Betrayal of Public Trust.","Correct. Survives elimination because Article XI, Section 2 explicitly enumerates culpable violation of the Constitution, treason, bribery, graft and corruption, other high crimes, and betrayal of public trust as the exclusive constitutional grounds for impeachment.","Eliminated because minor personal habits and tardiness do not meet the gravity of constitutional impeachment thresholds.","Eliminated because macroeconomic trade variations are policy challenges, not grounds for constitutional removal.","Eliminated because lawful retirement, academic honors, and tax filings are legitimate civic actions.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"Under Article XI, Section 3 of the 1987 Constitution, what is the division of power between the HOUSE OF REPRESENTATIVES and the SENATE in the impeachment process?","The House of Representatives has the EXCLUSIVE POWER TO INITIATE all cases of impeachment, while the Senate has the SOLE POWER TO TRY AND DECIDE all cases of impeachment, requiring a vote of TWO-THIRDS (2/3) OF ALL ITS MEMBERS to convict.","The Senate initiates impeachment cases, while the Supreme Court decides them by unanimous vote.","The Civil Service Commission prosecutes impeachment cases before the Court of Appeals.","The House of Representatives initiates and convicts by simple majority without the Senate.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 3:
 - Paragraph (1): 'The HOUSE OF REPRESENTATIVES SHALL HAVE THE EXCLUSIVE POWER TO INITIATE ALL CASES OF IMPEACHMENT.'
 - Paragraph (6): 'The SENATE SHALL HAVE THE SOLE POWER TO TRY AND DECIDE ALL CASES OF IMPEACHMENT. When sitting for that purpose, the Senators shall be on oath or affirmation. When the President of the Philippines is on trial, the Chief Justice of the Supreme Court shall preside, but shall not vote. NO PERSON SHALL BE CONVICTED WITHOUT THE CONCURRENCE OF TWO-THIRDS OF ALL THE MEMBERS OF THE SENATE.'
 - Paragraph (7): 'Judgment in cases of impeachment SHALL NOT EXTEND FURTHER THAN REMOVAL FROM OFFICE AND DISQUALIFICATION TO HOLD ANY OFFICE... but the party convicted shall nevertheless be liable and subject to prosecution, trial, and punishment, according to law.'
2. The Respective Roles:
 - House of Representatives: Acts as the Grand Jury / Prosecutor (files Articles of Impeachment upon 1/3 vote of all House members).
 - Senate: Acts as the Impeachment Court / Jury (conducts formal trial; convicts upon 2/3 vote of all Senators = 16 out of 24 Senators).
3. Option A is the precise, complete constitutional allocation of power.

Common Trap: Inverting the roles of the House and Senate; the HOUSE INITIATES, and the SENATE TRIES AND DECIDES (requiring a 2/3 vote to convict).
Exam Tip: Impeachment Mechanics (Art. XI, Sec. 3) = House of Reps INITIATES (Exclusive) | Senate TRIES & DECIDES (Sole power; 2/3 vote to convict).","Correct. Survives elimination because Article XI, Section 3 explicitly allocates the exclusive power to initiate impeachment to the House of Representatives, and the sole power to try and decide to the Senate, requiring a two-thirds supermajority to convict.","Eliminated because the Senate does not initiate impeachment complaints, and the Supreme Court does not try impeachment trials.","Eliminated because the CSC has no jurisdiction over constitutional impeachment proceedings.","Eliminated because the House of Representatives cannot unilaterally convict; conviction is the exclusive constitutional prerogative of the Senate.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
"In the historic civil service jurisprudence of Estrada v. Desierto (G.R. Nos. 146710-15, March 2, 2001), what was the Supreme Court's definitive ruling regarding presidential IMMUNITY FROM SUIT AFTER RESIGNATION OR RELINQUISHMENT OF OFFICE?","A non-sitting former President who has resigned or vacated the presidency DOES NOT ENJOY IMMUNITY FROM SUIT for criminal or corrupt acts committed during his incumbency, because public accountability requires that no public official is above the law.","Former presidents enjoy absolute lifetime immunity from all criminal prosecutions for any crimes committed on earth.","Former presidents are immune from civil lawsuits provided they purchase a private newspaper company.","A former president can only be prosecuted if approved by a unanimous vote of the United Nations Security Council.","A","Step-by-Step Solution:
1. Landmark Case: Joseph E. Estrada v. Aniano Desierto (Ombudsman) & Gloria Macapagal-Arroyo (353 SCRA 452, March 2, 2001), penned by Justice Reynato Puno:
 - Facts: Following the EDSA II uprising and his construct of constructive resignation from the presidency, former President Joseph Estrada faced multiple criminal complaints for Plunder, Graft, and Perjury before the Ombudsman and Sandiganbayan. Estrada argued that as President, he enjoyed absolute immunity from suit, which extended even after leaving office for acts done during his term.
 - Supreme Court Ruling (En Banc):
 - 1. SCOPE OF PRESIDENTIAL IMMUNITY: The President enjoys immunity from suit ONLY DURING HIS INCUMBENCY (while actively sitting as Chief Executive) to prevent official governance from being disrupted.
 - 2. TERMINATION OF IMMUNITY UPON VACATING OFFICE: The moment a President resigns, is impeached and convicted, or his term ends, PRESIDENTIAL IMMUNITY CEASES COMPLETELY.
 - 3. NO IMMUNITY FOR CRIMES: Immunity from suit was never intended to shield criminal felonies, plunder, or corrupt enrichment.
 - 4. A non-sitting former President stands on equal footing with every ordinary Filipino citizen before the criminal justice system and CAN BE PROSECUTED for crimes committed during incumbency.
2. Option A is the precise legal holding and doctrine of Estrada v. Desierto.

Common Trap: Thinking presidential immunity lasts for life; presidential immunity applies ONLY DURING ACTIVE INCUMBENCY and terminates immediately upon vacating office.
Exam Tip: Estrada v. Desierto = Presidential Immunity from suit applies ONLY DURING INCUMBENCY; Former Presidents CAN BE PROSECUTED for crimes committed during their term.","Correct. Survives elimination because Estrada v. Desierto established that presidential immunity from suit is limited strictly to active incumbency, meaning a former president enjoys no immunity from criminal prosecution for acts committed during his presidency.","Eliminated because the Supreme Court firmly rejected lifetime presidential immunity as incompatible with public accountability and Article XI, Section 1.","Eliminated because private media ownership confers zero legal immunity from criminal prosecution.","Eliminated because domestic criminal prosecutions of former public officials are sovereign judicial actions requiring no UN approval.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Accountability | Very Difficult | Batch 171"
