"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"The Philippine Competition Commission (PCC) enforces Republic Act No. 10667 (The Philippine Competition Act) to prevent anti-competitive agreements, abuses of dominant position, and anti-competitive mergers. Under mandatory merger notification rules, merging entities exceeding statutory size-of-party (₱7.8 billion) and size-of-transaction (₱3.2 billion) thresholds must notify the PCC within 30 days of definitive agreement signing and observe a 30-day Phase 1 review moratorium. If the PCC identifies significant anti-competitive market concentration, the review enters a 60-day Phase 2 detailed economic inquiry. During Phase 2, merging parties may offer structural commitments (such as asset divestitures) or behavioral remedies (such as non-discriminatory pricing covenants). However, the PCC does not penalize monopoly status per se; it sanctions only the unlawful acquisition or willful abuse of dominant market power to foreclose competitors.

Based on the passage, which of the following statements is NOT supported by the text?","The PCC automatically imposes criminal sanctions on any corporate entity solely because it achieves a monopoly market share.","Merging entities exceeding the size-of-party and size-of-transaction thresholds are subject to a mandatory 30-day Phase 1 review moratorium.","Phase 2 detailed inquiries allow merging parties to propose structural commitments such as asset divestitures to resolve competition concerns.","The Philippine Competition Act distinguishes between holding a dominant position and actively abusing that dominance to exclude competitors.","A","Step-by-Step Solution: The passage explicitly states: 'the PCC does not penalize monopoly status per se; it sanctions only the unlawful acquisition or willful abuse of dominant market power to foreclose competitors.' Therefore, Statement A (which claims the PCC automatically imposes criminal sanctions solely for having a monopoly) is directly contradicted and NOT supported by the text.

Common Trap: Assuming antitrust laws make monopolies illegal per se, ignoring the statutory distinction between mere dominance and unlawful abuse.
Exam Tip: In 'NOT supported' questions, look for extreme absolute words like 'automatically', 'solely', or 'completely' that distort nuanced statutory rules.","Correct. Survives elimination because it is false and contradicted by the text (monopoly status per se is not penalized).","Eliminated because it is supported (the text mentions mandatory notification and 30-day Phase 1 review).","Eliminated because it is supported (Phase 2 explicitly allows structural commitments like asset divestitures).","Eliminated because it is supported (the law targets abuse of dominance, not mere dominance).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"In reforming public land administration, the Department of Environment and Natural Resources (DENR) introduced the Rapid Land Titling (RLT) program under the Free Patent Act (RA 10023). RLT digitized ancestral cadastral index maps and decentralized public land surveying to municipal agricultural teams, accelerating the processing of residential free patents from an average of six years to four months. Between 2015 and 2022, over 450,000 residential patents were issued across 80 provinces. However, rural development sociologists observed that because women were listed solely as secondary spouses rather than co-owners in 68% of land titles, female heads of households encountered legal roadblocks when applying for agricultural collateral loans from rural banks upon the death or overseas deployment of their husbands.

Which of the following statements is NOT supported by the passage?","The Rapid Land Titling program reduced the average duration of residential free patent processing from six years to four months.","Over 450,000 residential land patents were issued across 80 provinces through the RLT initiative between 2015 and 2022.","Commercial and rural banks unconditionally accepted secondary spousal listings as sufficient legal authorization for mortgage loan approvals.","Cadastral map digitization and surveying decentralization were key components of the administrative streamlining under the RLT.","C","Step-by-Step Solution: The passage explicitly notes that because women were listed only as secondary spouses, they 'encountered legal roadblocks when applying for agricultural collateral loans from rural banks,' proving that banks did not unconditionally accept secondary listings. Thus, Statement C is NOT supported and contradicted.

Common Trap: Selecting Statement D, which accurately summarizes the procedural mechanisms described in the text.
Exam Tip: Verify whether banking or institutional practices described in the options match the real-world obstacles highlighted in the passage.","Eliminated because it is supported (processing time fell from 6 years to 4 months).","Eliminated because it is supported (over 450,000 patents issued across 80 provinces).","Correct. Survives elimination because it is contradicted by the text (women faced legal roadblocks in loan applications).","Eliminated because it is supported (digitization and surveying decentralization are cited in the first sentence).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"The Bangko Sentral ng Pilipinas (BSP) regulates open-market monetary operations through the Interest Rate Corridor (IRC) framework, anchored by the Overnight Reverse Repurchase (RRP) facility rate. The IRC features two standing liquidity facilities: the Overnight Lending Facility (OLF) forming the ceiling, and the Overnight Deposit Facility (ODF) forming the floor. By conducting daily RRP auctions, the BSP manages the supply of bank reserves to ensure short-term interbank money market rates stay closely aligned with the target policy rate. When structural domestic liquidity surpluses persist, the BSP issues its own negotiable BSP Securities (bills and bonds) to absorb excess funds from the financial system and reinforce monetary transmission without distorting private credit flows.

Which statement is NOT supported by the description of the BSP's monetary operations?","The Overnight Lending Facility establishes the upper boundary or ceiling of the Interest Rate Corridor.","The BSP is legally prohibited from issuing its own tradable bills and securities to mop up excess domestic banking liquidity.","The Overnight Deposit Facility serves as the floor of the Interest Rate Corridor framework.","Daily RRP auctions are used by the central bank to guide interbank money market rates toward the target policy rate.","B","Step-by-Step Solution: The passage explicitly states: 'the BSP issues its own negotiable BSP Securities (bills and bonds) to absorb excess funds from the financial system,' which directly refutes Statement B (which claims the BSP is prohibited from issuing bills). Thus, Statement B is NOT supported.

Common Trap: Confusing open-market instruments or assuming central banks can never issue bills.
Exam Tip: The correct answer to a 'NOT supported' question often contradicts an explicit operational power stated in the text.","Eliminated because it is supported (OLF forms the ceiling).","Correct. Survives elimination because it is directly contradicted by the text (BSP actively issues its own securities).","Eliminated because it is supported (ODF forms the floor).","Eliminated because it is supported (daily RRP auctions align interbank rates with the policy rate).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"In public water resource management, the Laguna Lake Development Authority (LLDA) implements an environmental user fee system (EUFS) applying the 'Polluter-Pays Principle' to industrial and commercial effluents discharged into the lake basin. The fee comprises a fixed administrative cost and a variable fee proportional to the total biochemical oxygen demand (BOD) load discharged in kilograms. Compliance monitoring revealed that between 2005 and 2020, industrial BOD discharges into the lake fell by 64% as factories installed wastewater treatment plants. However, total lake water quality failed to reach Class C standards because non-po∫ agricultural runoff (carrying synthetic nitrogen and phosphorus from upstream farms) and untreated domestic municipal sewage continued to discharge into tributaries unregulated by the EUFS framework.

Which of the following statements is NOT supported by the passage?","The EUFS fee structure includes a variable component tied directly to the total kilogram load of biochemical oxygen demand.","Industrial BOD discharges into Laguna Lake decreased by 64% as factories constructed wastewater treatment facilities.","The implementation of the EUFS successfully brought overall Laguna Lake water quality into full compliance with Class C environmental standards.","Untreated domestic sewage and non-po∫ agricultural runoff remained largely unregulated by the industrial EUFS framework.","C","Step-by-Step Solution: The passage explicitly states: 'However, total lake water quality failed to reach Class C standards because non-po∫ agricultural runoff... and untreated domestic municipal sewage continued to discharge.' Thus, Statement C (which claims the lake achieved full Class C compliance) is contradicted and NOT supported.

Common Trap: Confusing industrial discharge reduction (-64%) with overall lake water quality attainment.
Exam Tip: Distinguish between intermediate policy achievements (reduced factory pollution) and final ecosystem outcomes (overall water classification).","Eliminated because it is supported (variable fee proportional to BOD load in kg).","Eliminated because it is supported (industrial BOD fell by 64% due to treatment plants).","Correct. Survives elimination because the text explicitly states lake water quality failed to reach Class C standards.","Eliminated because it is supported (agricultural runoff and domestic sewage were unregulated by the EUFS).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"The Governance Commission for GOCCs (GCG) enforces Performance Evaluation Systems (PES) under Republic Act No. 10149 to oversee government-owned or controlled corporations. Under the PES framework, each GOCC signs an annual Performance Agreement containing weighted breakthrough strategic targets covering financial viability, customer satisfaction, internal process optimization, and organizational development. To qualify for the Performance-Based Bonus (PBB), a GOCC must achieve a composite score of at least 90% and secure an unqualified or qualified audit opinion from the Commission on Audit. GOCCs that fail to meet baseline fiscal sustainability targets or incur unliquidated audit disallowances are barred from granting performance bonuses to corporate executives and rank-and-file employees alike.

According to the passage, which statement is NOT supported regarding the GCG performance evaluation system?","A GOCC must achieve a composite score of at least 90% and satisfy COA audit opinion criteria to qualify for PBB.","GOCCs are allowed to distribute Performance-Based Bonuses to senior executives even if they fail baseline fiscal sustainability targets.","Annual Performance Agreements incorporate weighted targets spanning financial viability and internal process optimization.","The Governance Commission for GOCCs derives its statutory mandate from Republic Act No. 10149.","B","Step-by-Step Solution: The text states: 'GOCCs that fail to meet baseline fiscal sustainability targets or incur unliquidated audit disallowances are barred from granting performance bonuses to corporate executives and rank-and-file employees alike.' Thus, Statement B (which claims bonuses can be given despite failing fiscal targets) is contradicted and NOT supported.

Common Trap: Assuming bonus restrictions apply only to rank-and-file employees rather than both executives and staff.
Exam Tip: Watch out for options that create unauthorized exemptions to strict statutory prohibitions.","Eliminated because it is supported (90% score and COA audit opinion required).","Correct. Survives elimination because it directly contradicts the text's explicit ban on bonuses when fiscal targets fail.","Eliminated because it is supported (targets cover financial viability, internal processes, etc.).","Eliminated because it is supported (mandated under RA 10149).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"In public school infrastructure procurement, the Department of Education implemented the Public-Private Partnership for School Infrastructure Project (PSIP) to construct disaster-resilient classrooms across typhoon-prone provinces. Under the Build-Lease-Transfer (BLT) modality, private concessionaires financed, designed, and constructed 9,300 standardized two-story classrooms, while the national government paid annual lease payments over a 10-year period, after which ownership transferred to DepEd. An engineering assessment revealed that 98% of PSIP classrooms withstood Category 5 Typhoon Rai (Odette) in 2021 without structural frame failure. However, post-occupancy surveys highlighted that because the concession contracts excluded routine non-structural maintenance (such as repainting, window louver replacements, and roof sealant reapplications), local parent-teacher associations were left to self-fund maintenance costs through voluntary contributions.

Which statement is NOT supported by the passage regarding the PSIP school infrastructure project?","Ninety-eight percent of PSIP classrooms survived Category 5 Typhoon Rai without structural frame failure.","Private concessionaire contracts included full financial coverage for routine non-structural maintenance throughout the 10-year lease term.","The Build-Lease-Transfer modality transferred ownership of constructed classrooms to DepEd following the 10-year lease period.","Private concessionaires financed and constructed 9,300 standardized two-story classrooms under the partnership.","B","Step-by-Step Solution: The passage explicitly states: 'the concession contracts excluded routine non-structural maintenance (such as repainting, window louver replacements, and roof sealant reapplications),' forcing PTAs to self-fund repairs. Thus, Statement B (which claims the contracts covered routine maintenance) is directly contradicted and NOT supported.

Common Trap: Assuming public-private partnerships automatically cover all downstream operational maintenance costs.
Exam Tip: Pay close attention to contract scope boundaries (structural warranty vs. non-structural routine maintenance).","Eliminated because it is supported (98% survived Typhoon Rai without structural failure).","Correct. Survives elimination because it contradicts the text (non-structural maintenance was explicitly excluded).","Eliminated because it is supported (BLT ownership transfer after 10 years).","Eliminated because it is supported (9,300 classrooms constructed).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"The implementation of the Philippine Identification System (PhilSys) under Republic Act No. 11055 established a foundational digital identity framework for all citizens and resident aliens. PhilSys assigns a randomized, non-transferable PhilSys Number (PSN) paired with biometric authentication (iris scan, fingerprints, and facial photograph). By providing a verifiable digital credential, PhilSys enabled 8.4 million previously unbanked adults to open basic transactional bank accounts with Land Bank of the Philippines during registration. Nevertheless, cybersecurity auditors noted that because third-party service providers handled peripheral demographic data capture in field registration centers, strict cryptographic encryption of biometric templates at the po∫ of capture was essential to prevent unauthorized data cloning and identity theft.

Which of the following assertions is NOT supported by the passage?","The PhilSys ID system incorporates iris scanning, fingerprinting, and facial photography for biometric authentication.","Over eight million previously unbanked adults opened transactional bank accounts in conjunction with PhilSys registration.","PhilSys assigns a sequential identification number directly derived from an individual's date of birth and residential zip code.","The Philippine Identification System is established by law under Republic Act No. 11055.","C","Step-by-Step Solution: The text states that PhilSys assigns a 'randomized, non-transferable PhilSys Number (PSN),' which directly contradicts Statement C (which claims the number is sequential and derived from birthdate/zip code). Therefore, Statement C is NOT supported.

Common Trap: Confusing legacy ID generation logic with modern privacy-preserving randomized identity numbering.
Exam Tip: In technology and identity governance passages, look for privacy-by-design principles like randomization.","Eliminated because it is supported (iris, fingerprints, facial photos used).","Eliminated because it is supported (8.4 million unbanked adults opened accounts).","Correct. Survives elimination because the text specifies the PSN is randomized, not derived from birthdates or zip codes.","Eliminated because it is supported (established under RA 11055).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"Under the Clean Water Act (RA 9275), the DENR designates Water Quality Management Areas (WQMAs) to manage watershed basins exhibiting similar hydrogeological conditions and pollution pressures. A multi-sectoral Governing Board—chaired by the DENR Regional Director and comprising provincial governors, city mayors, water concessionaires, and NGO representatives—formulates a 10-year WQMA Action Plan. While WQMA boards successfully established localized water quality sampling networks in 40 major river basins, an institutional review revealed that 65% of municipal LGUs failed to enact localized septage management ordinances or allocate matching local funds for communal sewage treatment, severely impeding the attainment of dissolved oxygen standards.

Which statement is NOT supported by the review of WQMA implementation?","WQMA Governing Boards are multi-sectoral bodies chaired by the DENR Regional Director.","All municipal local government units within WQMAs fully enacted local septage ordinances and funded sewage facilities on schedule.","Water Quality Management Areas are established to protect watershed basins sharing similar hydrogeological and pollution characteristics.","Localized water quality sampling networks were successfully set up across 40 major river basins.","B","Step-by-Step Solution: The passage states: 'an institutional review revealed that 65% of municipal LGUs failed to enact localized septage management ordinances or allocate matching local funds,' which directly contradicts Statement B (which claims all LGUs enacted ordinances and funded facilities). Thus, Statement B is NOT supported.

Common Trap: Selecting Statement D, which is fully supported by the text (sampling networks established in 40 basins).
Exam Tip: Beware of absolute words like 'All' in options describing public sector compliance rates.","Eliminated because it is supported (multi-sectoral board chaired by DENR Regional Director).","Correct. Survives elimination because it is contradicted by the 65% LGU non-compliance rate documented in the text.","Eliminated because it is supported (WQMAs manage basins with similar conditions).","Eliminated because it is supported (sampling networks established in 40 river basins).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"In public agricultural insurance, the Philippine Crop Insurance Corporation (PCIC) provides index-based and indemnity-based insurance coverage to smallholder farmers cultivating palay, corn, and high-value crops. Under the standard indemnity-based insurance policy, PCIC indemnifies farmers against yield losses exceeding 10% resulting from natural disasters (typhoons, floods, droughts) and pest infestations, provided that farmers submit a formal Notice of Loss within 48 hours of occurrence and obtain certification from the municipal agricultural officer. Although the national government fully subsidizes insurance premiums for farmers listed in the Registry System for Basic Sectors in Agriculture (RSBSA), claims processing audits revealed that payout disbursements averaged 75 days, forcing distressed farmers to borrow from informal moneylenders at exorbitant interest rates during immediate post-calamity replanting.

According to the passage, which statement is NOT supported regarding the PCIC crop insurance program?","The national government fully subsidizes PCIC insurance premiums for farmers registered in the RSBSA.","Indemnity-based insurance covers yield losses exceeding 10% caused by natural disasters and pest infestations upon timely notification.","PCIC disbursed insurance claim payments instantly within 24 hours of receiving a farmer's Notice of Loss.","Farmers must submit a formal Notice of Loss within 48 hours of calamity occurrence and secure certification from local agricultural officers.","C","Step-by-Step Solution: The text explicitly states: 'claims processing audits revealed that payout disbursements averaged 75 days,' which directly refutes Statement C (which claims instant payouts within 24 hours). Thus, Statement C is NOT supported.

Common Trap: Believing crop insurance claims are settled immediately, overlooking the 75-day administrative backlog stated in the text.
Exam Tip: Note operational latency bottlenecks highlighted in audit passages.","Eliminated because it is supported (premiums are fully subsidized for RSBSA farmers).","Eliminated because it is supported (covers losses exceeding 10% from disasters/pests).","Correct. Survives elimination because the text documents an average payout delay of 75 days, directly contradicting the 24-hour claim.","Eliminated because it is supported (notice required within 48 hours with municipal officer certification).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
"The Anti-Red Tape Authority (ARTA), created under RA 11032, oversees the implementation of the Citizen's Charter across all government agencies, requiring offices to display step-by-step transaction roadmaps, fee matrices, and maximum processing timelines (3 working days for simple transactions, 7 days for complex transactions, and 20 days for highly technical applications). Under ARTA's 'Automatic Approval' rule, if a government agency fails to act on a fully compliant application within the prescribed statutory period without issuing a formal written notice of disapproval, the application is deemed automatically approved by operation of law. However, administrative law experts clarify that automatic approval does not apply to applications involving public health, national security, public safety, or when statutory licenses require prior environmental or legislative clearances.

Which of the following statements is NOT supported by the provisions of RA 11032 and ARTA rules?","Simple government transactions must be processed within a maximum statutory period of 3 working days.","The Citizen's Charter requires government offices to publish comprehensive step-by-step transaction roadmaps and fee schedules.","The Automatic Approval rule applies unconditionally to all government applications, including those concerning national security and public safety.","Highly technical government applications are allocated a maximum processing period of 20 working days.","C","Step-by-Step Solution: The passage concludes: 'administrative law experts clarify that automatic approval does not apply to applications involving public health, national security, public safety, or when statutory licenses require prior environmental or legislative clearances.' Thus, Statement C (which claims automatic approval applies unconditionally to national security/public safety) is contradicted and NOT supported.

Common Trap: Assuming automatic approval has no statutory exceptions, missing the explicit public safety and national security exclusions.
Exam Tip: In legal and regulatory reading comprehension, legal exceptions are prime targets for 'NOT supported' test items.","Eliminated because it is supported (3 working days for simple transactions).","Eliminated because it is supported (Citizen's Charter mandates transaction roadmaps and fee matrices).","Correct. Survives elimination because the text explicitly lists exceptions where automatic approval does not apply.","Eliminated because it is supported (20 working days for highly technical applications).","Verbal Ability","Verbal Ability | Reading Comprehension | Core Reading Skills | Which statement is NOT supported | Very Difficult | Batch 006"
