"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Section 3(i) of Republic Act No. 6713, how is a 'CONFLICT OF INTEREST' statutorily defined in the Philippine Civil Service?","It arises when a public official or employee is a member of a board, an officer, or a substantial stockholder of a private corporation, or has a substantial interest in a business, and the interest of such business or corporation MAY BE OPPOSED TO OR AFFECTED BY THE FAITHFUL PERFORMANCE OF OFFICIAL DUTY.","It refers exclusively to a verbal disagreement between two civil service employees regarding air conditioning temperature.","It arises only when an official steals more than one hundred million pesos from the agency cash vault.","It is legally defined as an employee having more than two university academic degrees.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 3(i):
 'Conflict of interest. — 'Conflict of interest' arises when a public official or employee is a member of a board, an officer, or a substantial stockholder of a private corporation or owner or has a substantial interest in a business, and the interest of such corporation or business, or his rights or duties therein, MAY BE OPPOSED TO OR AFFECTED BY THE FAITHFUL PERFORMANCE OF OFFICIAL DUTY.'
2. Core Components of Statutory Conflict of Interest:
 - 1. Status/Interest: Board member, officer, substantial stockholder, owner, or substantial investor in a commercial business.
 - 2. Intersection with Public Duty: The private commercial interest or rights therein are in tension with, opposed to, or affected by the decisions, regulations, or official approvals made by the public official.
 - 3. Potential or Actual: The law states 'MAY BE OPPOSED TO' — an actual corrupt decision is not required; the mere potential compromise of impartiality creates the statutory conflict.
3. Option A is the verbatim statutory definition.

Common Trap: Confusing conflict of interest with actual graft or theft; Conflict of Interest is the SITUATION or RELATIONSHIP where private financial interest intersects with official duty, creating the potential for compromised integrity.
Exam Tip: RA 6713, Sec. 3(i) = CONFLICT OF INTEREST: Private corporate/business interest that MAY BE OPPOSED TO OR AFFECTED BY faithful performance of official duty.","Correct. Survives elimination because Section 3(i) of RA 6713 explicitly defines conflict of interest as the condition where a public officer's board membership, corporate role, or business interest may oppose or influence the faithful discharge of public duties.","Eliminated because interpersonal workplace disagreements are minor administrative friction, not statutory conflicts of interest.","Eliminated because stealing large sums of cash constitutes criminal plunder or malversation, not the definition of conflict of interest.","Eliminated because holding academic degrees is a professional qualification that does not create a conflict of interest.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"Under Section 3(j) of RA 6713, who is classified as a 'SUBSTANTIAL STOCKHOLDER' for the purpose of identifying conflicts of interest and mandatory divestment?","Any person who owns, directly or indirectly, shares of stock sufficient to elect at least ONE (1) MEMBER OF THE BOARD OF DIRECTORS of a corporation.","Any person who owns at least one single share of stock in any publicly listed company.","A person who owns exactly 100% of all corporate shares in the country.","A person who deposits fifty pesos into a commercial savings account.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 3(j):
 ''Substantial stockholder' means any person who owns, directly or indirectly, shares of stock SUFFICIENT TO ELECT AT LEAST ONE MEMBER OF THE BOARD OF DIRECTORS OF A CORPORATION, or at least twenty percent (20%) of the capital of a partnership or corporation.'
2. Key Operational Benchmarks:
 - 1. Cumulative Voting Calculation: Under Section 23 of the Revised Corporation Code (RA 11232), shareholders use cumulative voting. If a public official holds enough voting shares to elect at least 1 director, they are a 'SUBSTANTIAL STOCKHOLDER.'
 - 2. Direct or Indirect: Includes shares held through spouses, minor children, or corporate holding companies.
 - 3. Legal Consequence: If the corporation deals with or is regulated by the official's agency, it triggers MANDATORY DIVESTMENT under Section 9 of RA 6713.
3. Option A matches the statutory definition verbatim.

Common Trap: Thinking substantial stockholder means owning 51%; holding enough shares to ELECT AT LEAST ONE DIRECTOR makes an individual a 'substantial stockholder' under RA 6713.
Exam Tip: RA 6713, Sec. 3(j) = SUBSTANTIAL STOCKHOLDER: Holds shares sufficient to elect AT LEAST ONE (1) DIRECTOR (or >= 20% capital).","Correct. Survives elimination because Section 3(j) of RA 6713 defines a substantial stockholder as any person owning sufficient shares, directly or indirectly, to elect at least one member of the board of directors (or at least 20% capital).","Eliminated because holding a single nominal share without board voting power does not meet the substantial stockholder threshold.","Eliminated because 100% ownership is sole proprietorship/wholly-owned status, far exceeding the statutory threshold of electing one director.","Eliminated because bank deposits are debtor-creditor accounts, not corporate equity shares.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"When a conflict of interest arises between a public official's private business holdings and their new government regulatory duties, what are the TWO (2) MANDATORY STATUTORY ACTIONS and corresponding DEADLINES prescribed under Section 9 of RA 6713?","(1) RESIGN from any position in any private business enterprise within THIRTY (30) DAYS from assumption of office, and (2) DIVEST shareholdings or substantial interest within SIXTY (60) DAYS from assumption of office.","(1) Resign within 5 years, and (2) Divest within 10 years.","(1) Double their private corporate salary within 24 hours, and (2) Transfer all public files to the private corporation.","(1) Conceal all shares under an anonymous foreign trust, and (2) Refuse to file a SALN.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 9 (Divestment):
 'A public official or employee shall avoid conflicts of interest at all ×. When a conflict of interest arises, he shall:
 (1) RESIGN from his position in any private business enterprise within THIRTY (30) DAYS from his assumption of office; and/or
 (2) DIVEST himself of his shareholdings or interest within SIXTY (60) DAYS from such assumption.'
2. The Two Statutory Deadlines:
 - 1. RESIGNATION from private corporate posts (Director, President, Manager, Consultant): Within THIRTY (30) DAYS from taking the oath of public office.
 - 2. DIVESTMENT of corporate shares / business ownership: Within SIXTY (60) DAYS from assumption of office.
3. Crucial Rules on Divestment:
 - Cannot divest to spouse or relatives within the 4th ° of consanguinity/affinity (must be an arm's-length sale to a third party).
4. Option A is the verbatim statutory rule and timeline.

Common Trap: Confusing the 30-day and 60-day deadlines; RESIGNATION is within 30 DAYS, while DIVESTMENT OF SHARES is within 60 DAYS.
Exam Tip: RA 6713, Sec. 9 Deadlines = RESIGN from private post within 30 DAYS; DIVEST shares/interest within 60 DAYS from assumption of office.","Correct. Survives elimination because Section 9 of RA 6713 explicitly prescribes that an official must resign from private enterprise positions within 30 days and divest shareholdings or business interests within 60 days from assumption of office.","Eliminated because 5 and 10-year timelines violate the strict 30/60-day statutory deadlines of Section 9.","Eliminated because increasing private corporate roles during public incumbency is an illegal conflict of interest.","Eliminated because using offshore trusts to conceal assets constitutes criminal perjury and ill-gotten wealth accumulation.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"Under Section 9 of RA 6713 and its Implementing Rules, to whom is a public official STRICTLY FORBIDDEN from transferring or divesting their shares of stock to cure a conflict of interest?","To the official's SPOUSE OR RELATIVES WITHIN THE FOURTH CIVIL DEGREE of consanguinity or affinity.","To an independent third-party commercial investor through an arm's-length public stock exchange transaction.","To a registered public employee retirement trust fund.","To an unrelated private corporate buyer who pays fair market value.","A","Step-by-Step Solution:
1. Statutory Text & Rules: RA 6713, Section 9, 2nd paragraph & Rule IX, Section 2 of its IRR:
 'Divestment shall be to a person or persons other than his spouse and relatives within the fourth civil ° of consanguinity or affinity.'
2. Rationale Against Spousal / Familial Transfers:
 - 1. The Fiction of Sham Divestment: Transferring shares to one's husband, wife, children, parents, siblings, or first cousins is a sham/simulated divestment.
 - 2. Continued Financial Benefit: Because family finances and conjugal assets remain shared, the public official continues to benefit directly from the family company's profits and contracts.
 - 3. Mandatory Arm's-Length Divestment: The law requires a bona fide, complete, and irrevocable transfer of ownership to an INDEPENDENT THIRD PARTY outside the 4th ° of family relation.
3. Option A is the verbatim statutory prohibition.

Common Trap: Thinking an official can just transfer shares to their spouse; transferring shares to a SPOUSE or RELATIVES WITHIN THE 4TH DEGREE IS PROHIBITED AND VOID.
Exam Tip: Divestment Rule (RA 6713, Sec. 9) = CANNOT divest to SPOUSE or RELATIVES WITHIN THE 4TH CIVIL DEGREE (Must be an independent 3rd party).","Correct. Survives elimination because Section 9 of RA 6713 and Rule IX of its IRR explicitly prohibit divesting shares to a spouse or relatives within the fourth ° of consanguinity or affinity to prevent sham transfers.","Eliminated because selling shares to independent buyers through public stock exchanges is the lawful, intended method of divestment.","Eliminated because arm's-length sales to independent institutional funds cure the conflict of interest.","Eliminated because transferring to unrelated buyers at fair market value fulfills the statutory divestment mandate.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"A newly appointed Undersecretary of the Department of Agriculture owns a 60% controlling interest in a major commercial chemical fertilizer manufacturing corporation. The Department of Agriculture is preparing to award a PHP 500 Million fertilizer procurement contract. What is the Undersecretary's mandatory duty under Section 7(a) and Section 9 of RA 6713?","The Undersecretary must DIVEST his 60% controlling interest in the fertilizer company within 60 days of assuming office and MANDATORILY INHIBIT/RECUSE himself from all procurement deliberations, evaluations, and contract approvals involving fertilizer.","The Undersecretary may unilaterally award the PHP 500 Million contract to his own fertilizer company provided he offers a 2% rebate.","The Undersecretary should transfer the 60% shares to his wife and then sign the contract on behalf of the Department.","The Undersecretary is exempt from all ethical rules because fertilizer is an agricultural product.","A","Step-by-Step Solution:
1. Statutory Analysis:
 - Section 7(a), RA 6713: Ban on direct or indirect financial interest in transactions approved by office.
 - Section 9, RA 6713: Mandatory Divestment within 60 days to an independent third party.
 - Section 3(e) & (h), RA 3019 (Anti-Graft Act): Prohibits having direct or indirect financial interest in government contracts.
2. Mandatory Ethical Protocol:
 - 1. Divestment: Must completely sell off his 60% shareholding to an unrelated third party outside the 4th civil ° within 60 days of taking office.
 - 2. Total Recusal / Inhibition: Must formally recuse himself in writing from the Bids and Awards Committee (BAC) process, procurement planning, and contract approval.
 - 3. Prohibited Evasion: Transferring to his wife is EXPLICITLY BANNED by Section 9, and awarding the contract to his own firm is criminal PLUNDER / GRAFT.
3. Option A is the correct, definitive legal and ethical requirement.

Common Trap: Assuming recusal alone is enough for a 60% controlling owner; when an official holds substantial interest in an enterprise directly regulated or transacting with their office, DIVESTMENT IS MANDATORY.
Exam Tip: Substantial Business Interest in Agency Bidding = MANDATORY DIVESTMENT (within 60 days) + TOTAL RECUSAL/INHIBITION.","Correct. Survives elimination because Section 9 and Section 7(a) require the Undersecretary to divest his 60% controlling interest within 60 days to an independent third party and strictly recuse himself from all procurement decisions.","Eliminated because awarding government contracts to one's own company constitutes criminal plunder and graft under RA 3019.","Eliminated because transferring shares to a spouse is explicitly prohibited as a sham divestment under Section 9.","Eliminated because agricultural products are fully subject to national procurement and civil service conflict of interest statutes.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"In the landmark administrative case of Magno v. Commission on Elections (G.R. No. 147904, October 4, 2002), what did the Supreme Court rule regarding a public official who sits on a regulatory board while owning shares in a private transport utility regulated by that board?","The official operates under a blatant, unlawful CONFLICT OF INTEREST in violation of Section 7(a) of RA 6713 and the Anti-Graft and Corrupt Practices Act, as the official cannot impartially regulate an industry where their personal financial prosperity is directly at stake.","The official's action is valid because owning transport utilities gives the official valuable practical expertise.","The official is immune from administrative liability if the transport company operates only on weekends.","The official can eliminate the conflict by doubling the fares charged to public commuters.","A","Step-by-Step Solution:
1. Landmark Case Jurisprudence:
 - Magno v. Commission on Elections (390 SCRA 395, 2002); Teves v. Sandiganbayan (447 SCRA 309, 2004).
2. The Dual-Role Conflict:
 - 1. Regulatory Function: Regulating fares, routes, safety inspections, and franchising of public transport utilities.
 - 2. Private Financial Stake: Owning shares or bus fleets in the regulated transport industry.
 - 3. Incurable Conflict: An official cannot serve as the regulator (protecting the riding public) and the regulated commercial owner (maximizing private transport profits). Every official vote on fares, routes, or penalties directly affects the official's own pocketbook.
 - 4. Legal Holding: The dual role violates Section 7(a) and Section 7(b)(1) of RA 6713 and constitutes Grave Misconduct and Graft under Section 3(h) of RA 3019.
3. Option A is the precise legal holding and rationale.

Common Trap: Believing business 'expertise' excuses owning the business being regulated; REGULATING ONE'S OWN PRIVATE BUSINESS IS A GRAVE CRIME under Philippine anti-graft laws.
Exam Tip: Regulating a business in which one has financial interest = INHERENT CONFLICT OF INTEREST + GRAVE MISCONDUCT + Criminal Graft (RA 3019, Sec. 3[h]).","Correct. Survives elimination because Magno v. COMELEC and Section 7 of RA 6713 establish that sitting on a regulatory board while holding a financial stake in a regulated enterprise creates an intolerable conflict of interest and constitutes graft.","Eliminated because business experience cannot override the strict statutory ban against regulating one's own private commercial holdings.","Eliminated because weekend operations do not extinguish the continuous conflict of interest during regulatory franchising.","Eliminated because hiking commuter fares for private profit exacerbates the corrupt conflict of interest.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"What is the principle of 'MANDATORY RECUSAL OR INHIBITION' when an administrative adjudicator or regulatory officer is assigned a case involving a close personal friend or former business partner?","The officer must IMMEDIATELY DISCLOSE THE RELATIONSHIP AND VOLUNTARILY INHIBIT / RECUSE THEMSELVES from hearing, investigating, or deciding the case, referring the matter to an independent alternate officer to preserve the integrity and cold neutrality of the tribunal.","The officer must secretly expedite the case to ensure their friend wins with 100% certainty.","The officer may demand a 20% commission from the friend before writing the decision.","The officer is legally compelled to decide the case within ten minutes without reading the evidence.","A","Step-by-Step Solution:
1. Administrative & Ethical Doctrine (Rule 137, Rules of Court; Section 4[A][c], RA 6713; Marquez v. Ombudsman, 642 SCRA 472):
2. The Cold Neutrality of an Impartial Judge / Adjudicator:
 - 1. Due Process Requirement: A fair hearing before an IMPARTIAL, UNBIASED TRIBUNAL is the very essence of due process (Article III, Section 1).
 - 2. Voluntary Recusal: When an adjudicator, hearing officer, or examiner faces a matter involving close personal ties, former business partnerships, or intense hostility, they MUST VOLUNTARILY RECUSE THEMSELVES.
 - 3. Institutional Referral: The case docket is formally reassigned by raffle to another qualified, neutral officer.
 - 4. Preserving Public Confidence: Prevents suspicion of partiality, bias, or corrupt favor.
3. Option A is the verbatim administrative and ethical standard.

Common Trap: Believing an official can remain on the case if they 'promise to be fair'; when close personal/financial ties exist, RECUSAL IS MANDATORY to preserve institutional trust.
Exam Tip: Conflict of Interest in Adjudication = Immediate disclosure + VOLUNTARY RECUSAL/INHIBITION + Referral to an independent alternate officer.","Correct. Survives elimination because administrative due process and civil service ethics require an adjudicator to disclose relationships and voluntarily recuse themselves from cases involving close associates to maintain the cold neutrality of an impartial tribunal.","Eliminated because manipulating cases to favor friends constitutes gross partiality, grave misconduct, and criminal graft.","Eliminated because demanding commissions from litigants is criminal direct bribery and extortion.","Eliminated because issuing rushed decisions without examining evidence violates fundamental procedural due process.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"Under Section 7(a) of RA 6713 and Section 3(h) of RA 3019 (Anti-Graft Act), why is it unlawful for a Member of Congress or City Councilor to introduce and vote for an ordinance that provides a DIRECT FINANCIAL SUBSIDY exclusively to a private commercial corporation owned by that legislator?","Because using legislative power to confer direct financial enrichment upon one's own private corporation is a flagrant, corrupt conflict of interest and criminal graft under Section 3(h) of RA 3019 and Section 7(a) of RA 6713.","Because legislators are legally prohibited from speaking during legislative sessions.","Because local ordinances can only be enacted if approved by the International Monetary Fund.","Because private corporations are legally forbidden from paying corporate income taxes.","A","Step-by-Step Solution:
1. Constitutional & Statutory Basis:
 - Article VI, Section 12, 1987 Constitution: 'All Members of the Senate and the House of Representatives shall, upon assumption of office, make a full disclosure of their financial and business interests. THEY SHALL NOTIFY THE HOUSE CONCERNED OF A POTENTIAL CONFLICT OF INTEREST THAT MAY ARISE FROM THE FILING OF A PROPOSED MEASURE OF WHICH THEY ARE AUTHORS.'
 - Section 7(a), RA 6713: Prohibiting direct or indirect financial interest in transactions approved by office.
 - Section 3(h), RA 3019: 'Directly or indirectly having financial or pecuniary interest in any business, contract or transaction in connection with which he intervenes or takes part in his official capacity...'
2. Legal & Ethical Analysis:
 - Authoring, pushing, and voting for a law or ordinance that channels public taxpayer subsidies into one's own private corporation is a classic, corrupt pecuniary conflict of interest.
 - Offenses: Violation of RA 3019, Violation of RA 6713, and Unethical Conduct warranting expulsion or suspension from the legislative body.
3. Option A is the correct, definitive legal evaluation.

Common Trap: Believing legislators can vote on anything; legislators MUST DISCLOSE conflicts of interest and are prohibited from using legislative power for personal pecuniary enrichment.
Exam Tip: Legislator voting for direct subsidies to own business = Corrupt CONFLICT OF INTEREST + Criminal Graft under RA 3019, Sec. 3(h) and RA 6713, Sec. 7(a).","Correct. Survives elimination because using legislative authority to channel public funds into one's own private company constitutes an egregious conflict of interest and criminal graft under Section 3(h) of RA 3019 and Section 7(a) of RA 6713.","Eliminated because legislators have the constitutional right to debate public measures, but cannot use legislative power for personal financial enrichment.","Eliminated because local municipal legislation requires no approval from international monetary bodies.","Eliminated because private corporations are fully subject to national tax laws under the National Internal Revenue Code.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"How does a 'BLIND TRUST' operate in governance, and can it be used by high-ranking executive officials to manage potential conflicts of interest regarding investment portfolios?","A financial arrangement where the public official transfers full management and control of their investment assets to an independent corporate trustee, with the official having NO KNOWLEDGE OF AND NO POWER OVER how the assets are bought, sold, or managed during their public tenure.","A trust where the public official blindly signs blank withdrawal checks for political campaign operatives.","A trust that hides ill-gotten bank deposits from the Commission on Audit by changing account names daily.","A trust that automatically transfers 50% of government agency tax collections into private offshore cryptocurrency wallets.","A","Step-by-Step Solution:
1. Concept & Mechanism of a Blind Trust:
 - 1. Nature of Blind Trust: A recognized modern fiduciary mechanism used by high-ranking officials (e.g., Presidents, Cabinet Secretaries, Governors) holding complex diversified stock portfolios.
 - 2. Total Relinquishment of Control: The official conveys all investment assets to an independent licensed institutional trustee (e.g., trust department of a universal bank).
 - 3. 'Blind' Status: The trustee is granted COMPLETE, INDEPENDENT DISCRETION to buy, sell, trade, or liquidate assets. The public official receives only periodic profit/loss summary reports and is KEPT COMPLETELY UNAWARE of the specific underlying assets held in the trust.
 - 4. Result: Because the official does not know what stocks or assets are held, their official policy decisions cannot be influenced by personal portfolio movements, eliminating potential conflicts of interest.
2. Option A is the precise, standard definition of a Blind Trust.

Common Trap: Confusing a Blind Trust (a legitimate fiduciary tool) with anonymous offshore shell companies (money laundering tools); a Blind Trust is managed by a licensed trustee to PREVENT conflict of interest.
Exam Tip: Blind Trust = Independent trustee holds and manages assets with the public official having NO KNOWLEDGE or CONTROL over portfolio trading during incumbency.","Correct. Survives elimination because a blind trust is an established fiduciary arrangement where an independent trustee manages an official's investment portfolio without the official's knowledge or control, neutralizing potential conflicts of interest.","Eliminated because signing blank checks for campaign operatives is an illegal campaign practice, not a blind trust.","Eliminated because concealing ill-gotten wealth from COA is criminal money laundering and fraud.","Eliminated because diverting public tax revenues into private crypto wallets is criminal malversation and plunder.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
"A Municipal Planning and Development Coordinator secretly establishes a private architectural consulting firm registered under his childhood best friend's name, and requires all local commercial building applicants to hire this specific firm for architectural plans before the municipal zoning permit will be approved. What offenses under RA 6713 and RA 3019 were committed?","UNLAWFUL FINANCIAL INTEREST under Section 7(a) of RA 6713, PROHIBITED PRIVATE BUSINESS PRACTICE under Section 7(b), and CORRUPT PRACTICES / EXTORTION under Section 3(e) and 3(h) of RA 3019, carrying mandatory dismissal and criminal imprisonment.","A lawful promotional initiative to support local architectural design excellence.","A valid local government economic enterprise exempt from the Code of Conduct.","A minor clerical irregularity punishable by a five-minute verbal warning.","A","Step-by-Step Solution:
1. Comprehensive Legal Analysis:
 - 1. Sham Dummy Front: Registering a private firm under a friend's name while secretly owning and profiting from it is an unlawful indirect financial interest under Section 7(a) of RA 6713.
 - 2. Regulatory Coercion: Forcing building applicants to hire his private architectural firm as a precondition for approving public zoning permits constitutes illegal extortion, grave abuse of authority, and causing undue injury to applicants under Section 3(e) of RA 3019.
 - 3. Pecuniary Interest in Official Function: Direct violation of Section 3(h) of RA 3019.
 - 4. Penalties: MANDATORY DISMISSAL FROM SERVICE, cancellation of civil service eligibility, perpetual disqualification from public office, and CRIMINAL IMPRISONMENT of 6 to 10 years under RA 3019.
2. Option A is the correct, definitive legal evaluation.

Common Trap: Assuming using a friend's name protects the official; using dummy fronts to extract business from regulated clients constitutes GRAVE CORRUPTION and criminal graft.
Exam Tip: Channeling regulatory applicants to one's own dummy consulting firm = GRAVE CORRUPT CONFLICT OF INTEREST + Criminal Graft under RA 3019 (Sec. 3[e] & 3[h]) and RA 6713 (Sec. 7).","Correct. Survives elimination because establishing a dummy consulting firm and coercing permit applicants to hire it violates Section 7(a) and 7(b) of RA 6713 and constitutes criminal graft under Section 3(e) and 3(h) of RA 3019.","Eliminated because coercing clients into using a private dummy business is criminal extortion, not public architectural promotion.","Eliminated because private dummy firms are not lawful local government economic enterprises.","Eliminated because extortion and corrupt conflict of interest are grave criminal felonies, not minor clerical irregularities.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Conflict of interest | Very Difficult | Batch 165"
