"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"GASKET: SEALING:: DAMPER: ______","ATTENUATION","PROPULSION","AMPLIFICATION","COMBUSTION","A","Step-by-Step Solution:
1. Analyze the mechanical engineering purpose in the initial word pair (GASKET: SEALING):
 - A \""gasket\"" is a mechanical elastomeric or composite component whose dedicated PURPOSE is \""sealing\"" mating surfaces to prevent fluid leakage.
 - Relationship: Engineered object-to-intended operational OBJECT-TO-PURPOSE.
2. Determine the corresponding operational purpose of a mechanical \""DAMPER\"":
 - A \""damper\"" (such as a shock absorber or acoustic damper) is an engineered device whose dedicated purpose is the \""attenuation\"" or dissipation of kinetic oscillations, vibrations, and shock waves.
 - Therefore, DAMPER is to ATTENUATION as GASKET is to SEALING.
3. Evaluate incorrect alternatives:
 - Option B (Propulsion): Forward motive drive provided by an engine or propeller.
 - Option C (Amplification): The direct physical opposite of damping (increasing amplitude/magnitude).
 - Option D (Combustion): Exothermic reaction occurring inside a burner chamber.

Common Trap: Selecting amplification, which is the exact opposite of the vibration-reducing function of a damper.
Exam Tip: Gasket functions for Sealing; Damper functions for Attenuation.","Correct. Survives elimination because a gasket's intended purpose is sealing, while a damper's intended purpose is vibrational attenuation and kinetic dissipation.","Eliminated because propulsion is a motive drive purpose.","Eliminated because amplification is the direct opposite of damping.","Eliminated because combustion is a thermal burning process.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"CREDENZA: STORAGE:: DIARY: ______","CHRONICLING","FABRICATION","PROCLAMATION","RECTIFICATION","A","Step-by-Step Solution:
1. Analyze the functional purpose in the initial word pair (CREDENZA: STORAGE):
 - A \""credenza\"" is a specialized low sideboard cabinet whose primary utility PURPOSE is secure and organized \""storage\"".
 - Relationship: Artifact/object-to-primary utility PURPOSE.
2. Determine the corresponding dedicated purpose of a personal \""DIARY\"":
 - A \""diary\"" is a bound personal journal whose primary intended purpose is the systematic \""chronicling\"" of daily events, observations, and personal reflections over time.
 - Therefore, DIARY is to CHRONICLING as CREDENZA is to STORAGE.
3. Evaluate incorrect alternatives:
 - Option B (Fabrication): The act of inventing false statements or manufacturing goods.
 - Option C (Proclamation): A public formal announcement (contrary to a private personal diary).
 - Option D (Rectification): The formal correction of errors.

Common Trap: Selecting proclamation (public broadcast) when a diary's true nature is private chronicling.
Exam Tip: Credenza is built for Storage; Diary is written for Chronicling.","Correct. Survives elimination because a credenza's primary purpose is physical storage, just as a diary's primary purpose is temporal chronicling of events.","Eliminated because fabrication denotes creating falsehoods or industrial manufacturing.","Eliminated because proclamation is a public announcement.","Eliminated because rectification is corrective amendment.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"BUOY: NAVIGATION:: BEACON: ______","GUIDANCE","MOORING","DOCKING","ANCHORAGE","A","Step-by-Step Solution:
1. Analyze the maritime purpose in the initial word pair (BUOY: NAVIGATION):
 - A \""buoy\"" is a floating maritime marker whose primary systemic PURPOSE is assisting maritime \""navigation\"" and channel identification.
 - Relationship: Navigational installation-to-primary functional PURPOSE.
2. Determine the corresponding functional purpose of an illuminated \""BEACON\"":
 - A \""beacon\"" (such as a lighthouse lantern or radio transponder) is a conspicious signal apparatus whose primary purpose is optical/electromagnetic \""guidance\"" and course orientation.
 - Therefore, BEACON is to GUIDANCE as BUOY is to NAVIGATION.
3. Evaluate incorrect alternatives:
 - Option B (Mooring): The act of securing a vessel to a fixed structure.
 - Option C (Docking): Bringing a vessel alongside a pier or wharf.
 - Option D (Anchorage): Dropping a heavy anchor to hold stationary position.

Common Trap: Confusing navigational signaling fixtures (beacons) with securing fixtures (mooring/anchorage).
Exam Tip: Buoy serves Navigation; Beacon serves Guidance.","Correct. Survives elimination because a buoy is deployed for maritime navigation, while a beacon is operated for directional signal guidance.","Eliminated because mooring is the physical securing of a ship.","Eliminated because docking is a berthing maneuver.","Eliminated because anchorage is the holding action of an anchor.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"PROPHYLACTIC: PREVENTION:: REMEDY: ______","RESTORATION","INFECTION","PROVOCATION","COMPLICATION","A","Step-by-Step Solution:
1. Analyze the healthcare purpose in the initial word pair (PROPHYLACTIC: PREVENTION):
 - A \""prophylactic\"" is a medical treatment, vaccine, or barrier device whose primary therapeutic PURPOSE is disease \""prevention\"".
 - Relationship: Therapeutic intervention-to-primary clinical PURPOSE.
2. Determine the corresponding primary clinical purpose of a medical \""REMEDY\"":
 - A \""remedy\"" is a medicine, therapy, or treatment whose primary clinical purpose is health \""restoration\"" and the cure/relief of existing pathological conditions.
 - Therefore, REMEDY is to RESTORATION as PROPHYLACTIC is to PREVENTION.
3. Evaluate incorrect alternatives:
 - Option B (Infection): The disease condition being combated.
 - Option C (Provocation): The act of inciting an allergic or inflammatory response.
 - Option D (Complication): A secondary disease or unfavorable outcome.

Common Trap: Selecting infection or complication, which describe pathological problems rather than the therapeutic purpose (restoration).
Exam Tip: Prophylactic aims for Prevention; Remedy aims for Restoration.","Correct. Survives elimination because a prophylactic is intended for health disease prevention, while a remedy is intended for health restoration and relief.","Eliminated because infection is the disease state being treated.","Eliminated because provocation is the elicitation of symptoms.","Eliminated because complication is an adverse medical outcome.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"DIAPHRAGM: REGULATION:: FILTER: ______","PURIFICATION","SCATTERING","CONTAMINATION","ACCUMULATION","A","Step-by-Step Solution:
1. Analyze the optical/mechanical control purpose in the initial word pair (DIAPHRAGM: REGULATION):
 - A camera or optical \""diaphragm\"" is an adjustable iris mechanism whose primary PURPOSE is aperture \""regulation\"" (controlling the volume of light passing through).
 - Relationship: Control device-to-primary operating PURPOSE.
2. Determine the corresponding primary operating purpose of a \""FILTER\"":
 - A \""filter\"" is a porous or optical barrier device whose primary operating purpose is \""purification\"" and selective separation by capturing unwanted impurities and particulates.
 - Therefore, FILTER is to PURIFICATION as DIAPHRAGM is to REGULATION.
3. Evaluate incorrect alternatives:
 - Option B (Scattering): Diffuse radiation deflection (performed by a diffuser).
 - Option C (Contamination): The introduction of pollutants (the exact opposite of filter purpose).
 - Option D (Accumulation): The passive buildup of particulate matter.

Common Trap: Selecting contamination, which is the adverse condition a filter actively eliminates.
Exam Tip: Diaphragm exists for Regulation; Filter exists for Purification.","Correct. Survives elimination because a diaphragm's intended purpose is light/flow regulation, while a filter's intended purpose is fluid purification.","Eliminated because scattering is light diffusion.","Eliminated because contamination is the presence of impurities that filters remove.","Eliminated because accumulation is the byproduct buildup on filter media.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"TOWEL: DESICCATION:: BLANKET: ______","INSULATION","VENTILATION","REFRIGERATION","EXPOSURE","A","Step-by-Step Solution:
1. Analyze the physical purpose in the initial word pair (TOWEL: DESICCATION):
 - A \""towel\"" is an absorbent fabric article whose primary utility PURPOSE is moisture removal and surface \""desiccation\"" (drying).
 - Relationship: Utility textile-to-primary intended physical outcome/PURPOSE.
2. Determine the corresponding primary utility purpose of a \""BLANKET\"":
 - A \""blanket\"" is a woven textile covering whose primary utility purpose is thermal \""insulation\"" and body heat retention.
 - Therefore, BLANKET is to INSULATION as TOWEL is to DESICCATION.
3. Evaluate incorrect alternatives:
 - Option B (Ventilation): Facilitating the free circulation of cooling air.
 - Option C (Refrigeration): Active thermal chilling and cooling.
 - Option D (Exposure): Leaving something uncovered and vulnerable to ambient weather.

Common Trap: Confusing insulation (heat retention) with ventilation (cooling airflow).
Exam Tip: Towel provides Desiccation (drying); Blanket provides Insulation (warmth retention).","Correct. Survives elimination because a towel's intended purpose is desiccation, while a blanket's intended purpose is thermal insulation.","Eliminated because ventilation promotes air exchange and heat loss.","Eliminated because refrigeration is active mechanical chilling.","Eliminated because exposure is leaving bare.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"ARMOR: DEFENSE:: CATAPULT: ______","BOMBARDMENT","FORTIFICATION","RETREAT","RECONNAISSANCE","A","Step-by-Step Solution:
1. Analyze the military purpose in the initial word pair (ARMOR: DEFENSE):
 - \""Armor\"" is protective personal shielding whose primary military PURPOSE is physical \""defense\"" against enemy strikes.
 - Relationship: Military artifact-to-primary tactical PURPOSE.
2. Determine the corresponding primary tactical purpose of a siege \""CATAPULT\"":
 - A \""catapult\"" is a heavy mechanical ballistic siege engine whose primary tactical purpose is heavy projectile \""bombardment\"" against enemy defensive fortifications.
 - Therefore, CATAPULT is to BOMBARDMENT as ARMOR is to DEFENSE.
3. Evaluate incorrect alternatives:
 - Option B (Fortification): Building static defensive walls, trenches, and battlements.
 - Option C (Retreat): Tactical withdrawal away from hostile contact.
 - Option D (Reconnaissance): Military scouting and information gathering.

Common Trap: Selecting fortification (which is what catapults attack, not what they perform).
Exam Tip: Armor provides Defense; Catapult provides Bombardment.","Correct. Survives elimination because armor's tactical purpose is defense, while a catapult's tactical purpose is ballistic bombardment.","Eliminated because fortification is defensive military engineering.","Eliminated because retreat is military withdrawal.","Eliminated because reconnaissance is intelligence scouting.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"TURBINE: GENERATION:: CONDENSER: ______","LIQUEFACTION","EVAPORATION","COMBUSTION","EXPANSION","A","Step-by-Step Solution:
1. Analyze the thermodynamic powerplant purpose in the initial word pair (TURBINE: GENERATION):
 - A \""turbine\"" is a rotary kinetic machine whose primary thermodynamic PURPOSE is electric power \""generation\"" from fluid flow.
 - Relationship: Thermodynamic powerplant machine-to-primary operating PURPOSE.
2. Determine the corresponding thermodynamic purpose of a powerplant \""CONDENSER\"":
 - A \""condenser\"" is a specialized heat exchanger apparatus whose dedicated thermodynamic purpose is the cooling and phase-change \""liquefaction\"" of exhaust steam back into liquid water.
 - Therefore, CONDENSER is to LIQUEFACTION as TURBINE is to GENERATION.
3. Evaluate incorrect alternatives:
 - Option B (Evaporation): The boiling phase transition performed inside a boiler or evaporator.
 - Option C (Combustion): High-temperature chemical fuel oxidation.
 - Option D (Expansion): The volumetric gas expansion occurring across the turbine blades.

Common Trap: Selecting evaporation, which is the direct opposite phase change (performed in a boiler).
Exam Tip: Turbine drives Power Generation; Condenser accomplishes Vapor Liquefaction.","Correct. Survives elimination because a turbine's primary function is power generation, while a condenser's primary function is steam liquefaction.","Eliminated because evaporation is the vaporization process performed by a boiler.","Eliminated because combustion is a thermal fuel burning process.","Eliminated because expansion occurs during pressure drop in the turbine.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"SCAFFOLD: SUPPORT:: STENCIL: ______","REPLICATION","ERASURE","DIGESTION","ADHESION","A","Step-by-Step Solution:
1. Analyze the construction/technical purpose in the initial word pair (SCAFFOLD: SUPPORT):
 - A \""scaffold\"" is a temporary modular elevated framework whose dedicated structural PURPOSE is providing physical \""support\"" to workers and materials.
 - Relationship: Structural artifact-to-primary operational PURPOSE.
2. Determine the corresponding primary operational purpose of a \""STENCIL\"":
 - A \""stencil\"" is an impervious sheet template containing cutout shapes whose dedicated graphic purpose is the exact and rapid \""replication\"" of standardized markings and designs.
 - Therefore, STENCIL is to REPLICATION as SCAFFOLD is to SUPPORT.
3. Evaluate incorrect alternatives:
 - Option B (Erasure): The act of removing or rubbing out markings.
 - Option C (Digestion): Chemical decomposition of organic compounds.
 - Option D (Adhesion): The molecular attraction and sticking together of surfaces.

Common Trap: Selecting erasure or adhesion, which are unrelated drafting or chemical actions.
Exam Tip: Scaffold serves for Support; Stencil serves for Replication.","Correct. Survives elimination because a scaffold's intended purpose is physical support, while a stencil's intended purpose is graphic replication.","Eliminated because erasure is the deletion of pencil/ink marks.","Eliminated because digestion is chemical metabolic breakdown.","Eliminated because adhesion is surface bonding.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
"SEATBELT: RESTRAINT:: PARACHUTE: ______","DECELERATION","ACCELERATION","PROPULSION","ELEVATION","A","Step-by-Step Solution:
1. Analyze the kinetic safety purpose in the initial word pair (SEATBELT: RESTRAINT):
 - A \""seatbelt\"" is a vehicle safety harness whose primary protective PURPOSE is physical \""restra∫\"" of passengers against inertia during collisions.
 - Relationship: Mechanical safety device-to-primary kinetic PURPOSE.
2. Determine the corresponding aerodynamic safety purpose of a \""PARACHUTE\"":
 - A \""parachute\"" is an aerodynamic fabric canopy device whose primary safety purpose is aerodynamic drag \""deceleration\"" to slow a falling body to a survivable landing speed.
 - Therefore, PARACHUTE is to DECELERATION as SEATBELT is to RESTRAINT.
3. Evaluate incorrect alternatives:
 - Option B (Acceleration): The rate of increasing speed (the dangerous condition parachutes prevent).
 - Option C (Propulsion): The forward motive thrust provided by an aircraft engine.
 - Option D (Elevation): Gaining vertical altitude (provided by wings/hot air balloons).

Common Trap: Selecting propulsion or acceleration, which describe forward motive drive or speed increase.
Exam Tip: Seatbelt provides Kinetic Restra∫; Parachute provides Aerodynamic Deceleration.","Correct. Survives elimination because a seatbelt's safety purpose is passenger restra∫, while a parachute's safety purpose is aerodynamic descent deceleration.","Eliminated because acceleration is an increase in speed.","Eliminated because propulsion is forward engine thrust.","Eliminated because elevation is climbing altitude.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Object-purpose | Very Difficult | Batch 060"
