"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Philippine constitutional law and foundational jurisprudence (e.g., Angara v. Electoral Commission, 63 Phil. 139), what is the primary purpose and structural mechanism of the principle of SEPARATION OF POWERS?","To prevent the concentration of arbitrary, despotic authority in any single branch by dividing governmental power into three tripartite, co-equal, and coordinate branches—the Legislative to enact laws, the Executive to enforce laws, and the Judiciary to interpret and apply laws.","To establish the Executive branch as the supreme and unaccountable authority over all civilian courts.","To allow the Supreme Court to draft and enact national taxation and appropriation statutes.","To eliminate all forms of inter-branch checks so each department acts with absolute, unchecked isolation.","A","Step-by-Step Solution:
1. Foundational Jurisprudence: Angara v. Electoral Commission (63 Phil. 139, 1936), penned by Justice Jose P. Laurel:
 - 'The separation of powers is a fundamental principle in our system of government. It obtains not through express provision by any single provision thereof, but by actual division in our Constitution. Each department of the government has for its opposite the other two, so that each may proceed within the orbit marked out for it by the Constitution.'
2. Tripartite Division of Sovereign Power:
 - 1. Legislative Department (Article VI): Plenary power to MAKE, alter, and repeal laws and the power of the purse.
 - 2. Executive Department (Article VII): Power to ENFORCE, execute, and administer laws and commander-in-chief powers.
 - 3. Judicial Department (Article VIII): Power to INTERPRET, apply laws, adjudicate legal controversies, and exercise expanded judicial review.
3. Core Constitutional Goal: Prevent tyranny, concentration of unchecked power, and despotism by ensuring mutual independence and coordinate equality.
4. Option A is the classic jurisprudential definition.

Common Trap: Believing one branch is superior to the others; all three branches are co-equal, coordinate, and independent under the constitutional design.
Exam Tip: Angara v. Electoral Commission = Separation of Powers divides tripartite functions (Enact, Enforce, Interpret) among co-equal branches to prevent tyranny.","Correct. Survives elimination because Angara v. Electoral Commission establishes that separation of powers divides sovereign power among three co-equal and coordinate branches—Legislative, Executive, and Judicial—to prevent the concentration of tyrannical power.","Eliminated because the Executive is co-equal, not supreme, and is subject to judicial review and legislative oversight.","Eliminated because drafting and enacting tax laws is an exclusive legislative power of Congress under Article VI.","Eliminated because separation of powers operates in tandem with checks and balances, not absolute unchecked isolation.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"What are the TWO MANDATORY TESTS established by the Supreme Court (e.g., Pelaez v. Auditor General, Eastern Shipping Lines v. POEA) to determine whether a delegation of legislative power to an administrative agency is CONSTITUTIONAL and valid?","The COMPLETENESS TEST (the law must be complete in all its terms and conditions when it leaves the legislature) and the SUFFICIENT STANDARD TEST (the law must map out adequate guidelines or boundaries to channel administrative discretion).","The Sovereign Approval Test and the International Reciprocity Test.","The Unanimous Consent Test and the Fiscal Surplus Test.","The Judicial Confirmation Test and the Electoral Plebiscite Test.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - Pelaez v. Auditor General (15 SCRA 569, 1965), penned by Justice Roberto Concepcion.
 - Eastern Shipping Lines, Inc. v. POEA (166 SCRA 533, 1988), penned by Justice Isagani Cruz.
 - Abakada Guro Party List v. Purisima (562 SCRA 251, 2008).
2. The General Maxim: Potestas delegata non potest delegari (What has been delegated cannot be delegated).
3. The Twin Tests for Valid Administrative Delegation (Subordinate Legislation):
 - 1. COMPLETENESS TEST: The statute must be complete in itself, setting forth the policy to be executed, carried out, or implemented by the delegate, such that nothing is left to the judgment of the administrative agency except the execution of the law.
 - 2. SUFFICIENT STANDARD TEST: The statute must establish a sufficient standard—adequate boundaries, limitations, or guiding benchmarks (e.g., 'public interest,' 'fair and equitable,' 'public safety,' 'adequate and reasonable')—to define the limits of the delegate's authority and prevent arbitrary administrative discretion.
4. Both tests must concur for the delegation to be constitutional.
5. Option A accurately defines the two classic tests.

Common Trap: Thinking an agency can create new policies on its own; administrative rules (subordinate legislation) are valid ONLY if the enabling statute satisfies BOTH the Completeness and Sufficient Standard tests.
Exam Tip: Twin Tests of Valid Legislative Delegation: (1) COMPLETENESS TEST and (2) SUFFICIENT STANDARD TEST.","Correct. Survives elimination because Pelaez v. Auditor General and Eastern Shipping Lines v. POEA establish the Completeness Test and the Sufficient Standard Test as the twin indispensable requirements for valid statutory delegation of rule-making powers.","Eliminated because sovereign approval and international reciprocity are concepts of international treaty law, not administrative delegation.","Eliminated because unanimous consent and fiscal surplus are irrelevant to administrative law tests.","Eliminated because judicial pre-confirmation and plebiscites are not general prerequisites for administrative agency rule-making.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"In the landmark ruling of Araullo v. Aquino III (G.R. No. 209287, July 1, 2014 & February 3, 2015), what aspects of the DISBURSEMENT ACCELERATION PROGRAM (DAP) were declared UNCONSTITUTIONAL for violating the Separation of Powers and Section 25(5) of Article VI?","The withdrawal of unobligated allotments before the end of the fiscal year and declaring them as 'savings,' cross-border transfers of executive savings to fund projects outside the Executive branch, and funding projects not specified in the General Appropriations Act.","The allocation of public funds for national calamity relief and hospital modernization.","The President's exercise of the constitutional line-item veto on national tariff measures.","The enactment of annual national budget appropriations by Congress.","A","Step-by-Step Solution:
1. Landmark Case: Araullo v. Aquino III (728 SCRA 1, 2014 & 749 SCRA 287, 2015), penned by Justice Lucas Bersamin.
2. Constitutional Text: Article VI, Section 25(5):
 'No law shall be passed authorizing any transfer of appropriations; however, the President, the President of the Senate, the Speaker of the House of Representatives, the Chief Justice of the Supreme Court, and the heads of Constitutional Commissions may, by law, be authorized to AUGMENT ANY ITEM IN THE GENERAL APPROPRIATIONS LAW for their respective offices from SAVINGS in other items of their respective appropriations.'
3. Unconstitutional Acts under the DAP:
 - 1. Premature Declaration of Savings: Declaring unobligated allotments as 'savings' in the middle of the fiscal year before the completion/abandonment of projects was void.
 - 2. Cross-Border Transfers: Transferring Executive funds to augment the budgets of the Commission on Elections (COMELEC) or Congress violated the strict constitutional rule that savings can ONLY augment items WITHIN THE SAME BRANCH of government.
 - 3. Funding Unappropriated Projects: Using funds for programs, activities, and projects (PAPs) with NO corresponding line-item appropriation in the enacted GAA.
4. Option A is the precise legal holding of Araullo v. Aquino III.

Common Trap: Believing the President can transfer funds to the Judiciary or Congress; Section 25(5) strictly confines the transfer of savings WITHIN the respective constitutional branch (cross-border transfers violate Separation of Powers).
Exam Tip: Araullo v. Aquino (DAP ruling) = Cross-border fund transfers + Premature declaration of savings violate ART. VI, SEC. 25(5) and SEPARATION OF POWERS.","Correct. Survives elimination because Araullo v. Aquino III struck down key mechanisms of the DAP—including cross-border fund transfers outside the Executive, premature declaration of savings, and funding unappropriated items—for violating separation of powers and Article VI, Section 25(5).","Eliminated because regular statutory budget allocations for disaster relief are constitutional exercises of the power of the purse.","Eliminated because the line-item veto on tariff bills is an explicit constitutional power under Article VI, Section 27(2).","Eliminated because enacting the annual national budget is the primary constitutional duty of Congress under Article VI.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"Which of the following represents an EXPLICIT CONSTITUTIONAL EXCEPTION where the legislative power to fix tariffs and customs duties is delegated to the PRESIDENT under Article VI, Section 28(2) of the 1987 Constitution?","Congress may, by law, authorize the President to fix within specified limits, and subject to such limitations and restrictions as it may impose, tariff rates, import and export quotas, tonnage and wharfage dues, and other duties within the framework of the national development program.","The President can unilaterally enact a nationwide income tax code without congressional legislation.","The President possesses inherent constitutional authority to abolish the Bureau of Customs without statutory authority.","The President can impose local municipal real property taxes during national emergencies.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 28(2) states:
 'The Congress may, by law, authorize the President to fix within specified limits, and subject to such limitations and restrictions as it may impose, tariff rates, import and export quotas, tonnage and wharfage dues, and other duties or imposts within the framework of the national development program of the Government.'
2. Landmark Legal Principle (Garcia v. Executive Secretary, 211 SCRA 219):
 - General Rule: Taxation and tariff-fixing are purely LEGISLATIVE functions belonging to Congress under Article VI.
 - Constitutional Exception (Flexible Tariff Clause): Article VI, Section 28(2) explicitly authorizes Congress to delegate to the President the power to adjust tariff rates, import/export quotas, and customs duties.
 - Requisites:
 (1) Must be authorized BY LAW (e.g., Customs Modernization and Tariff Act / RA 10863);
 (2) Must be within SPECIFIED LIMITS;
 (3) Must be within the framework of the national development program.
3. Option A is the verbatim constitutional exception.

Common Trap: Believing the President can fix general income or excise taxes; Section 28(2) applies EXCLUSIVELY to tariffs, import/export quotas, and customs duties.
Exam Tip: Delegated Presidential Tariff Power (Art. VI, Sec. 28[2]) = President may fix tariff rates, quotas, and customs duties within limits set by Congress.","Correct. Survives elimination because Article VI, Section 28(2) is an explicit constitutional exception to the non-delegation doctrine, allowing Congress to delegate flexible tariff and customs quota adjustments to the President.","Eliminated because general internal revenue and income taxation powers cannot be delegated to the President.","Eliminated because creating or abolishing statutory administrative bureaus requires an act of Congress.","Eliminated because real property taxation is a local government power governed by Book II of the Local Government Code.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"In the seminal ruling of Abakada Guro Party List v. Purisima (G.R. No. 166715, August 14, 2008), what did the Supreme Court establish regarding LEGISLATIVE VETOES (Congressional Oversight Committees exercising post-enactment approval over administrative rules)?","Congressional oversight committees cannot exercise post-enactment approval, disapproval, or veto power over administrative implementing rules and regulations, because any post-enactment legislative intervention in the execution of the law violates the Separation of Powers.","Congressional committees possess supreme administrative control over all executive department secretaries.","Congress can unilaterally appo∫ cabinet undersecretaries through jo∫ congressional resolutions.","Administrative agencies are prohibited from drafting implementing rules without the signature of the Senate President.","A","Step-by-Step Solution:
1. Landmark Case: Abakada Guro Party List v. Purisima (562 SCRA 251, 2008), penned by Justice Renato Corona:
 - Facts: Republic Act No. 9335 (Attrition Act of 2005) created a system of rewards and incentives for BIR and BOC personnel. Section 12 created a Jo∫ Congressional Oversight Committee with the power to APPROVE the Implementing Rules and Regulations (IRR) drafted by the DOF, DBM, and CSC before the IRR could take effect.
 - Supreme Court Ruling (En Banc):
 - 1. The legislative veto provision requiring congressional approval of the IRR was UNCONSTITUTIONAL.
 - 2. Three Types of Valid Congressional Oversight: (a) Scrutiny (budget hearings, question hour), (b) Investigation / Inquiries in aid of legislation, (c) Supervision (requiring reports).
 - 3. LEGISLATIVE VETO UNCONSTITUTIONAL: Once a bill is signed into law, the legislative function is OVER. The execution of the law—including promulgating implementing regulations—belongs EXCLUSIVELY to the Executive branch.
 - 4. Retaining a post-enactment mechanism to approve or veto the Executive's IRR violates the SEPARATION OF POWERS.
2. Option A is the precise legal holding of Abakada Guro v. Purisima.

Common Trap: Assuming Congress can legally require its committees to sign off on administrative IRRs; the Supreme Court strictly outlawed post-enactment legislative vetoes over IRRs.
Exam Tip: Abakada Guro v. Purisima = Post-enactment LEGISLATIVE VETO over administrative IRRs violates SEPARATION OF POWERS.","Correct. Survives elimination because Abakada Guro v. Purisima held that congressional oversight committees cannot exercise post-enactment approval or veto authority over executive implementing rules, as such mechanisms violate the separation of powers.","Eliminated because the Executive branch holds exclusive power of control over its departments under Article VII, Section 17.","Eliminated because appointments of executive undersecretaries belong exclusively to the Executive branch.","Eliminated because executive agencies validly promulgate IRRs pursuant to delegated statutory authority without needing legislative leadership signatures.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"What is the doctrine of 'BLENDING OF POWERS' in Philippine constitutional law, and how does it coexist with the Principle of Separation of Powers?","Blending of powers occurs where the Constitution expressly assigns powers to two or more branches to act together or share authority over a single governmental action, such as the President preparing the budget while Congress enacts the appropriations law.","Blending of powers allows the President to unilaterally dissolve Congress and act as the sole legislative authority.","Blending of powers permits trial court judges to command military battalions during counter-insurgency operations.","Blending of powers merges the Judiciary and Executive into a single supreme council of state.","A","Step-by-Step Solution:
1. Foundational Constitutional Theory:
 - While Separation of Powers divides the core functions of government among the three branches, the Constitution recognizes that absolute, hermetic separation is impossible.
 - DOCTRINE OF BLENDING OF POWERS: Instances where different branches are constitutionally required to collaborate, share authority, or participate sequentially in the same governmental act to ensure balanced, harmonious governance.
2. Prominent Constitutional Examples of Blending of Powers:
 - 1. Lawmaking: Congress drafts and passes the bill; the President signs or vetoes it (Art. VI, Sec. 27).
 - 2. National Budget: The President (through DBM) prepares and submits the National Expenditure Program; Congress deliberates and enacts the General Appropriations Act (Art. VII, Sec. 22; Art. VI, Sec. 24).
 - 3. Treaties: The President negotiates and signs the treaty; the Senate ratifies by 2/3 concurrence (Art. VII, Sec. 21).
 - 4. Presidential Appointments: The President nominates; the Commission on Appointments confirms (Art. VII, Sec. 16).
 - 5. Amnesty: The President grants amnesty; Congress concurs by majority vote (Art. VII, Sec. 19).
3. Option A accurately defines the concept and provides the classic budgetary example.

Common Trap: Confusing 'blending of powers' (constitutional collaboration) with 'undue delegation of powers' (unconstitutional surrender of authority).
Exam Tip: Blending of Powers = Constitutionally mandated collaboration between branches (e.g., Budget: Executive prepares, Congress enacts; Treaties: President signs, Senate concurs).","Correct. Survives elimination because the doctrine of blending of powers describes constitutional instances where branches collaborate or share jo∫ authority—such as executive budget preparation followed by legislative appropriation—to ensure coordinated governance.","Eliminated because unilateral dissolution of Congress is an unconstitutional executive usurpation that destroys separation of powers.","Eliminated because civilian judges cannot exercise direct military field command under the Constitution.","Eliminated because the Judiciary and Executive maintain separate constitutional identities and independent powers under Articles VII and VIII.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"In the landmark ruling of Pelaez v. Auditor General (G.R. No. L-23825, December 24, 1965), why was Section 68 of the Revised Administrative Code declared UNCONSTITUTIONAL for violating the Non-Delegation of Legislative Power?","It delegated to the President the unguided, standardless authority to create new municipalities by executive order, failing to provide any sufficient statutory standard to channel executive discretion.","It required local government units to remit 100% of their local taxes to the national treasury.","It authorized the Supreme Court to appo∫ municipal councilors.","It gave the Armed Forces of the Philippines the power to audit local government accounts.","A","Step-by-Step Solution:
1. Landmark Case: Pelaez v. Auditor General (15 SCRA 569, 1965), penned by Justice Roberto Concepcion:
 - Facts: President Diosdado Macapagal issued executive orders creating 33 new municipalities pursuant to Section 68 of the Revised Administrative Code of 1917. Vice-President Emmanuel Pelaez challenged the EOs, asserting that Section 68 was an unconstitutional delegation of legislative power.
 - Supreme Court Ruling (En Banc):
 - 1. The creation of municipalities is an INHERENTLY LEGISLATIVE power belonging to Congress.
 - 2. Section 68 granted the President unrestricted, standardless discretion to create municipalities whenever he deemed it desirable, without specifying minimum population, income, or land area requirements.
 - 3. Because Section 68 failed the 'Sufficient Standard Test,' it was an UNCONSTITUTIONAL DELEGATION OF LEGISLATIVE POWER.
 - 4. (Note: Under Article X, Section 10 of the 1987 Constitution, LGUs can only be created by an Act of Congress complying with Local Government Code criteria and ratified in a plebiscite).
2. Option A is the precise legal holding of Pelaez v. Auditor General.

Common Trap: Believing the President can create municipalities by executive order; Pelaez settled that creating LGUs is an exclusive legislative power that cannot be delegated without strict standards.
Exam Tip: Pelaez v. Auditor General = Standardless delegation to President to create municipalities is UNCONSTITUTIONAL (Violates Sufficient Standard Test).","Correct. Survives elimination because Pelaez v. Auditor General struck down Section 68 of the Revised Administrative Code for granting the President standardless power to create municipalities, violating the non-delegation doctrine.","Eliminated because local tax remittance was not the legal issue in Pelaez; the case centered on the unconstitutional delegation of municipal creation powers.","Eliminated because judicial appointments of local councilors were not involved in the case.","Eliminated because COA auditing jurisdiction is governed by Article IX-D, not military authority.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"Under Article VI, Section 23(2) of the 1987 Constitution, what are the strict constitutional conditions for delegating EMERGENCY POWERS to the President?","In × of war or other national emergency, Congress may, by law, authorize the President, for a LIMITED PERIOD and subject to such RESTRICTIONS as it may prescribe, to exercise powers necessary and proper to carry out a declared national policy; such powers shall cease upon the next adjournment of Congress unless sooner withdrawn.","The President can declare emergency powers unilaterally without statutory authorization from Congress.","Emergency powers grant the President permanent authority to abolish all lower trial courts.","Emergency powers can be granted for an indefinite duration that survives the expiration of the presidential term.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 23(2) states:
 'In × of war or other national emergency, the Congress may, by law, authorize the President, for a limited period and subject to such restrictions as it may prescribe, to exercise powers necessary and proper to carry out a declared national policy. Unless sooner withdrawn by resolution of the Congress, such powers shall cease upon the next adjournment thereof.'
2. Five Mandatory Conditions for Valid Emergency Powers (David v. Arroyo, 489 SCRA 160; Rodriguez v. Gella):
 - 1. There must be a state of WAR or other NATIONAL EMERGENCY (e.g., pandemic, economic collapse).
 - 2. Must be authorized BY LAW passed by Congress (the President CANNOT unilaterally declare or assume emergency powers; David v. Arroyo).
 - 3. Must be for a LIMITED PERIOD only.
 - 4. Subject to such RESTRICTIONS as Congress may prescribe.
 - 5. Automatic Expiration: Ceases upon the NEXT ADJOURNMENT OF CONGRESS, unless sooner withdrawn by congressional resolution.
3. Option A is the verbatim constitutional rule.

Common Trap: Believing the President can assume emergency powers merely by declaring a state of national emergency; Congress MUST PASS A LAW explicitly delegating emergency powers (e.g., Bayanihan Acts during COVID-19).
Exam Tip: Emergency Powers (Art. VI, Sec. 23[2]): Authorized BY CONGRESS by law + Limited period + Ceases upon next adjournment of Congress.","Correct. Survives elimination because Article VI, Section 23(2) strictly restricts presidential emergency powers to those expressly delegated by an Act of Congress for a limited period, subject to legislative restrictions and expiring upon congressional adjournment.","Eliminated because the President cannot unilaterally declare or assume emergency legislative powers without an enabling statute (David v. Arroyo).","Eliminated because emergency powers cannot be used to abolish the Judiciary or dismantle constitutional bodies.","Eliminated because emergency powers are constitutionally confined to a limited duration and cannot be granted indefinitely.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"In the landmark ruling of David v. Macapagal-Arroyo (G.R. No. 171396, May 3, 2006), why did the Supreme Court declare unconstitutional the portion of Presidential Proclamation No. 1017 authorizing the President to issue decrees and take over private media and utilities?","The President has no inherent constitutional power to issue legislative decrees or take over private businesses and utilities during a national emergency without an express enabling statute enacted by Congress under Article VI, Section 23(2) and Article XII, Section 17.","The President is constitutionally prohibited from declaring a state of national emergency under any circumstances.","The Supreme Court ruled that all emergency proclamations must be signed by the Chief Justice.","Military officers possess independent statutory authority to seize private television stations without presidential authorization.","A","Step-by-Step Solution:
1. Landmark Case: David v. Macapagal-Arroyo (489 SCRA 160, 2006), penned by Justice Renato Corona:
 - Facts: President Gloria Macapagal-Arroyo issued Presidential Proclamation No. 1017 declaring a 'State of National Emergency' and General Order No. 5 directing the military to enforce laws, leading to warrantless raids on the Daily Tribune newspaper and arrests of opposition figures.
 - Supreme Court Ruling (En Banc):
 - 1. PP 1017's declaration of a state of emergency is CONSTITUTIONAL (an exercise of the President's calling out power under Art. VII, Sec. 18 to prevent lawless violence).
 - 2. HOWEVER, the provision authorizing the President to issue decrees, promulgate laws, or take over privately-owned utilities/businesses is UNCONSTITUTIONAL.
 - 3. Under Article XII, Section 17, the power of the State to temporarily take over privately-owned public utilities or businesses affected with public interest REQUIRES A PRIOR STATUTE PASSED BY CONGRESS. The President CANNOT take over private enterprises unilaterally without legislative authorization.
 - 4. Raids on newspapers and warrantless arrests of dissenters violated the Bill of Rights (freedom of speech, press, and due process).
2. Option A is the precise legal holding of David v. Arroyo.

Common Trap: Assuming emergency declarations give the President automatic power to take over private companies; taking over businesses requires PRIOR STATUTORY ENACTMENT by Congress under Article XII, Section 17.
Exam Tip: David v. Arroyo = President CANNOT take over private utilities or issue penal decrees during an emergency without an enabling law from Congress.","Correct. Survives elimination because David v. Arroyo established that presidential emergency declarations do not confer inherent legislative power or the authority to take over private utilities without an express enabling law passed by Congress under Article VI, Section 23(2) and Article XII, Section 17.","Eliminated because the President can validly declare a state of national emergency as an exercise of the Commander-in-Chief calling out power.","Eliminated because emergency proclamations are executive acts that do not require judicial co-signatures.","Eliminated because military seizures of private media without judicial warrants violate the Bill of Rights and the Constitution.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
"Which of the following is a classic example of an UNCONSTITUTIONAL ENCROACHMENT by the Judiciary into the exclusive domain of the Legislative branch?","A court issuing a writ of injunction to prevent Congress from debating or enacting a pending legislative bill.","The Supreme Court declaring an enacted statute unconstitutional under its expanded power of judicial review.","A trial court judge sentencing a convicted criminal to a prison term prescribed by the Revised Penal Code.","The Supreme Court dismissing a lower court judge for administrative gross misconduct.","A","Step-by-Step Solution:
1. Constitutional Separation of Powers Doctrine (Tolentino v. COMELEC; Montesclaros v. COMELEC, 384 SCRA 269):
 - Principle of Judicial Restra∫ & Separation of Powers:
 - The power to propose, debate, and pass bills is the EXCLUSIVE CONSTITUTIONAL PREROGATIVE of the Legislative Department under Article VI.
 - Courts CANNOT enjoin, prohibit, or interfere with Congress while it is engaged in the legislative process (deliberating, debating, or voting on a pending bill).
 - Courts have NO power to pass judgment on a mere BILL because a bill is not yet a law; it creates no binding legal rights, carries no concrete injury, and presents no ripe 'actual case or controversy.'
 - Judicial review attaches ONLY AFTER the bill is formally enacted into law and becomes operative.
2. Option A represents an unconstitutional judicial encroachment on legislative independence.
3. Options B, C, and D are standard, constitutional exercises of judicial power under Article VIII.

Common Trap: Thinking a citizen can sue in court to stop Congress from passing an unconstitutional bill; courts have NO jurisdiction to enjoin Congress from debating or passing bills (suit is premature until enacted).
Exam Tip: Courts CANNOT enjoin Congress from debating or passing pending bills (Unconstitutional Encroachment / Premature Judicial Review).","Correct. Survives elimination because judicial interference with pending legislative deliberations—such as enjoining Congress from debating a proposed bill—is an unconstitutional breach of separation of powers, as judicial review attaches only after a bill is enacted into law.","Eliminated because declaring an enacted statute unconstitutional upon proper petition is the core constitutional function of the Supreme Court under Article VIII, Section 1.","Eliminated because sentencing criminal convicts within statutory penalties is a routine judicial adjudicatory function.","Eliminated because disciplining and dismissing lower court judges is the exclusive administrative power of the Supreme Court En Banc under Article VIII, Section 11.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Separation of powers | Very Difficult | Batch 142"
