"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article V, Section 1 of the 1987 Philippine Constitution, which of the following is a MANDATORY constitutional qualification to exercise the right of suffrage?","Citizenship of the Philippines, at least eighteen years of age, and residence in the Philippines for at least one year and in the place wherein they propose to vote for at least six months immediately preceding the election.","Ownership of real estate property valued at not less than PHP 500,000 within the voting precinct.","Attainment of a college ° or passing a literacy examination administered by the Department of Education.","Payment of all outstanding national internal revenue taxes and municipal business licenses.","A","Step-by-Step Solution:
1. Constitutional Text: Article V, Section 1 states:
 'Suffrage may be exercised by all citizens of the Philippines not otherwise disqualified by law, who are at least eighteen years of age, and who shall have resided in the Philippines for at least one year and in the place wherein they propose to vote for at least six months immediately preceding the election. No literacy, property, or other substantive requirement shall be imposed on the exercise of suffrage.'
2. Constitutional Qualifications:
 - 1. Filipino citizenship
 - 2. Not disqualified by law (e.g., final conviction of rebellion, insurrection, or offense with penalty >= 1 year imprisonment without pardon/restoration)
 - 3. At least 18 years of age on election day
 - 4. Residence: At least 1 year in the Philippines AND at least 6 months in the city/municipality where voting is proposed
3. Negative Mandate: NO property, literacy, or tax requirements.
4. Option A is the complete, accurate constitutional standard.

Common Trap: Believing property ownership or tax payment can be required; the Constitution explicitly outlaws property and literacy tests.
Exam Tip: 18 years old + 1 year Philippine residence + 6 months local precinct residence + No property/literacy test.","Correct. Survives elimination because Article V, Section 1 explicitly establishes Filipino citizenship, age of at least 18 years, and the 1-year national / 6-month local residency requirement as the constitutional qualifications for suffrage.","Eliminated because the Constitution explicitly prohibits property requirements for voting ('No property requirement shall be imposed').","Eliminated because literacy tests are expressly barred by the second sentence of Article V, Section 1.","Eliminated because tax payments cannot be made a prerequisite for the exercise of the constitutional right of suffrage.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"What is the legal status and constitutional validity of imposing a PROPERTY QUALIFICATION (e.g., owning land or paying a minimum amount of taxes) as a condition for voting or running for public office, as affirmed in Maquera v. Borra?","It is strictly UNCONSTITUTIONAL, as Article V, Section 1 explicitly prohibits property, literacy, or other substantive requirements on the exercise of suffrage and democratic representation.","It is constitutionally required for national senatorial and presidential elections.","It is permissible at the discretion of local sanggunian councils in highly urbanized cities.","It is mandatory for all citizens casting votes on economic charter change plebiscites.","A","Step-by-Step Solution:
1. Constitutional Text: Article V, Section 1:
 'No literacy, property, or other substantive requirement shall be imposed on the exercise of suffrage.'
2. Landmark Case: Maquera v. Borra (15 SCRA 7, 1965):
 - The Supreme Court struck down a statutory provision requiring candidates to post a financial deposit of PHP 500, holding that property qualifications are inconsistent with republican democracy and social justice.
 - Sovereignty belongs to the people, not to wealth or property.
3. Option A is the established constitutional doctrine.

Common Trap: Confusing filing fees with property requirements; even large financial barriers for candidates violate the equal access principle and the ban on property requirements.
Exam Tip: The ban on property and literacy requirements for suffrage is ABSOLUTE in the Philippine Constitution.","Correct. Survives elimination because Article V, Section 1 explicitly commands that no property requirement shall ever be imposed on the exercise of suffrage, preserving egalitarian democratic participation.","Eliminated because property qualifications are banned across all elections, including national presidential and senatorial races.","Eliminated because local governments have no power to override the constitutional ban on property qualifications.","Eliminated because all qualified citizens possess equal voting rights in plebiscites regardless of property ownership.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"In the landmark constitutional decision of Macalintal v. Commission on Elections (G.R. No. 157013, July 10, 2003), how did the Supreme Court harmonize the RESIDENCY REQUIREMENT of Article V, Section 1 with the OVERSEAS ABSENTEE VOTING clause in Article V, Section 2?","Article V, Section 2 operates as an explicit constitutional exception to the strict physical residency requirement of Section 1, specifically authorizing Congress to provide a system for overseas absentee voting for qualified Filipinos abroad.","The Supreme Court declared the Overseas Absentee Voting Act unconstitutional because overseas Filipinos do not physically reside in the country.","The Supreme Court ruled that overseas Filipinos must return to the Philippines at least 30 days prior to election day to cast their ballots.","The Supreme Court held that only overseas contract workers, to the exclusion of permanent immigrants, may vote abroad.","A","Step-by-Step Solution:
1. Constitutional Friction:
 - Article V, Section 1 requires 1-year residency in the Philippines and 6-month local residency.
 - Article V, Section 2 mandates: 'The Congress shall provide a system for securing the secrecy and sanctity of the ballot as well as a system for absentee voting by qualified Filipinos abroad.'
2. Challenge to RA 9189 (Overseas Absentee Voting Act of 2003) in Macalintal v. COMELEC:
 - Petitioner argued that overseas Filipinos who live abroad do not meet the 1-year/6-month physical residency requirement of Section 1.
3. Supreme Court Ruling (En Banc):
 - Article V, Section 2 is an explicit constitutional exception to the residency requirement of Section 1.
 - If Section 1 physical residency were strictly applied to Section 2, the overseas absentee voting mandate would be rendered an absolute nullity.
 - Therefore, Congress acted well within its constitutional authority in enacting RA 9189 to enfranchise qualified Filipinos abroad.
4. Option A is the precise legal holding of Macalintal v. COMELEC.

Common Trap: Believing overseas absentee voting was struck down for violating Section 1 residency; the Court ruled Section 2 is an intentional constitutional exception.
Exam Tip: Macalintal v. COMELEC = Article V, Section 2 is an exception to the Article V, Section 1 physical residency rule, validating Overseas Absentee Voting.","Correct. Survives elimination because Macalintal v. COMELEC established that Article V, Section 2 is an express constitutional carve-out to the residency requirement of Section 1, empowering Congress to enact overseas absentee voting.","Eliminated because the Supreme Court upheld the constitutional validity of the Overseas Absentee Voting Act (RA 9189).","Eliminated because requiring physical return to the country would defeat the entire constitutional concept of absentee voting abroad.","Eliminated because the ruling affirmed that qualified permanent residents who execute an affidavit of intent to return may also register and vote under RA 9189.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"Under Republic Act No. 9189 (Overseas Absentee Voting Act), as amended by Republic Act No. 10590 (The Overseas Voting Act of 2013), which elective offices may qualified overseas Filipino voters vote for during Philippine national elections?","President, Vice-President, Senators, and Party-List Representative.","President, Vice-President, District Congressman, and Provincial Governor.","City Mayor, Vice-Mayor, District Representative, and Barangay Captain.","All national and local elective positions, including municipal councilors.","A","Step-by-Step Solution:
1. Scope of Overseas Absentee Voting (Section 4, RA 9189 / RA 10590):
 - Overseas absentee voters are enfranchised to vote exclusively for NATIONAL elective positions:
 1. President
 2. Vice-President
 3. Senators (12 seats per national election)
 4. Party-List Representative (national party-list system)
 - They do NOT vote for local elective positions (District Representatives, Governors, Mayors, Councilors, Barangay officials) because local governance representation requires local precinct domicile.
2. Option A correctly lists the four national positions available on the overseas absentee ballot.

Common Trap: Including District Representatives or Governors in overseas voting; overseas voters vote ONLY for national positions (President, VP, Senators, Party-List).
Exam Tip: Overseas Voting = National Positions ONLY: President, VP, Senators, and Party-List.","Correct. Survives elimination because overseas Filipino voters are constitutionally and statutorily authorized to vote only for national positions: President, Vice-President, Senators, and Party-List Representative.","Eliminated because District Representatives and Provincial Governors are local constituency positions not voted upon by overseas electors.","Eliminated because Mayors and Barangay Captains are municipal/barangay local officials excluded from overseas absentee voting ballots.","Eliminated because overseas voting does not extend to local sanggunian or municipal council offices.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"In Kabataan Party-List v. Commission on Elections (G.R. No. 221318, December 16, 2015), what was the Supreme Court's ruling regarding the constitutionality of the 'NO BIO, NO BOTO' policy under Republic Act No. 10367 (Mandatory Biometrics Voter Registration)?","Mandatory biometrics validation is a constitutional regulatory measure and not an improper substantive property or qualification requirement on the right of suffrage.","Mandatory biometrics validation is an unconstitutional infringement that violates the Bill of Rights.","The COMELEC cannot deactivate voters who fail to submit biometric data.","Biometrics validation can only be enforced in national presidential elections and is void in local elections.","A","Step-by-Step Solution:
1. Landmark Case: Kabataan Party-List v. COMELEC (777 SCRA 574, 2015):
 - Challenge: Petitioners claimed Republic Act No. 10367 (Mandatory Biometrics Registration Act) and COMELEC Resolution No. 9721 ('No Bio, No Boto' deactivation) imposed an unconstitutional qualification on the right of suffrage, disenfranchising over 3 million voters without biometrics.
2. Supreme Court Ruling (En Banc):
 - 1. Biometrics registration is NOT a new qualification; it is a valid REGULATORY REQUIREMENT / procedural measure to establish identity, cleanse the voter rolls of 'flying voters' and ghost electors, and protect the sanctity of the ballot under Article V, Section 2.
 - 2. The State has the legitimate police power to regulate the exercise of the right of suffrage to prevent electoral fraud.
 - 3. Deactivation of voters who failed to complete biometrics after two years of public notice and mobile registration does not violate due process.
3. Option A is the precise legal holding.

Common Trap: Viewing biometrics as an unconstitutional 'literacy or technical' test; the Supreme Court ruled it is a valid administrative regulation to verify identity and maintain ballot integrity.
Exam Tip: Kabataan Party-List v. COMELEC = 'No Bio, No Boto' / Biometrics registration is CONSTITUTIONAL as a reasonable regulation of suffrage.","Correct. Survives elimination because the Supreme Court in Kabataan Party-List v. COMELEC held that mandatory biometrics registration under RA 10367 is a valid, constitutional regulation aimed at preserving the purity of the ballot and cleansing voter registries.","Eliminated because the Supreme Court explicitly upheld the constitutionality of the biometrics requirement against Bill of Rights challenges.","Eliminated because the Court affirmed COMELEC's statutory power to deactivate voters who failed to complete biometric capture.","Eliminated because the biometrics validation requirement applies uniformly across all national and local elections.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"Under Philippine election law and jurisprudence (Yra v. Abaño, Asistio v. Aguirre), how is 'RESIDENCE' defined for the purposes of complying with the suffrage and candidacy qualifications of Article V, Section 1?","Residence is synonymous with 'DOMICILE,' denoting the permanent home, the place to which, whenever absent for business or pleasure, a person has the intention of returning (animus revertendi).","Residence means the physical hotel room where a citizen slept on the night immediately preceding the election.","Residence requires continuous physical presence in the municipality without stepping outside for 365 uninterrupted days.","Residence is determined exclusively by the location of a citizen's largest bank deposit account.","A","Step-by-Step Solution:
1. Election Law Doctrine on Residence (Gallego v. Verra, 73 Phil. 453; Romualdez v. COMELEC, 248 SCRA 400; Asistio v. Aguirre, 2010):
 - In election law, the term 'residence' is synonymous with 'DOMICILE.'
 - Domicile refers to the fixed permanent residence to which a person, whenever absent, has the intention of returning (animus revertendi) and from which there is no intention of permanent abandonment (animus non revertendi).
 - A person does not lose their domicile of origin simply by temporarily studying, working, or residing elsewhere, provided there is a continuous intention to return.
2. Three Requisites to Acquire a New Domicile of Choice:
 - 1. Residence or bodily presence in a new locality
 - 2. Intention to remain there (animus manendi)
 - 3. Intention to abandon the old domicile (animus non revertendi)
3. Option A is the precise legal definition.

Common Trap: Equating 'residence' with temporary physical dwelling; in election law, residence ALWAYS means legal DOMICILE.
Exam Tip: For election and suffrage purposes: Residence = Domicile (Physical presence + Animus Revertendi / Intention to return).","Correct. Survives elimination because established election jurisprudence consistently equates constitutional 'residence' with 'domicile'—the permanent home to which an individual intends to return whenever absent.","Eliminated because temporary physical lodging does not establish constitutional electoral domicile.","Eliminated because domicile does not require 365 days of uninterrupted physical presence; temporary absences for employment or study do not forfeit domicile.","Eliminated because banking or commercial asset locations have no bearing on legal electoral residence.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"In Akbayan-Youth v. Commission on Elections (G.R. No. 147066, March 26, 2001), what was the Supreme Court's ruling on the demand to extend voter registration beyond the statutory deadline?","The right of suffrage is not absolute and is subject to reasonable statutory regulation, including the enforcement of administrative deadlines necessary for the orderly preparation of voter registries.","The right to register as a voter is an absolute right that can be exercised up to midnight before election day.","COMELEC has no legal authority to establish voter registration deadlines.","Any citizen who reaches eighteen on election day is automatically registered without filing any application.","A","Step-by-Step Solution:
1. Case Reference: Akbayan-Youth v. COMELEC (355 SCRA 318, 2001):
 - Facts: Youth organizations petitioned the Supreme Court for a writ of mandamus to compel COMELEC to conduct a special two-day registration for youth voters who missed the statutory December 27, 2000 registration deadline for the May 2001 elections.
 - Supreme Court Ruling (En Banc):
 - 1. The right of suffrage is a constitutional right, but like all rights, it is not absolute and is subject to reasonable legislative regulation.
 - 2. Section 8 of Republic Act No. 8189 (Voter's Registration Act of 1996) expressly prohibits registration within 120 days before a regular election.
 - 3. The 120-day prohibition is designed to afford COMELEC adequate time to cleanse the voter lists, hear challenges/inclusion proceedings, and prepare certified computerized voter registries.
 - 4. Mandamus will not lie to compel COMELEC to violate a clear statutory prohibition.
2. Option A captures the exact constitutional holding.

Common Trap: Believing the fundamental nature of suffrage allows citizens to register at any time up to election day; the right is subject to non-extendable statutory cutoff windows (e.g., 120 days before election under RA 8189).
Exam Tip: Akbayan-Youth v. COMELEC = Right of suffrage is subject to reasonable administrative regulations and statutory registration deadlines.","Correct. Survives elimination because the Supreme Court in Akbayan-Youth v. COMELEC affirmed that the right of suffrage is subject to reasonable procedural regulations, upholding the statutory prohibition against registering voters within 120 days of an election.","Eliminated because the right to register is subject to statutory deadlines under RA 8189, rejecting same-day or last-minute registration.","Eliminated because COMELEC is constitutionally and statutorily empowered to enforce registration periods and deadlines.","Eliminated because voter registration requires an active, sworn application and biometric capture; it is not automatic.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"Under Article V, Section 2 of the 1987 Constitution, what specific mandate is imposed upon Congress regarding the voting procedures for ILLITERATES and PERSONS WITH DISABILITIES (PWDs)?","Congress shall design a procedure for the disabled and the illiterates to vote without the assistance of other persons; until then, they shall be allowed to vote under existing laws.","Illiterates and disabled citizens are constitutionally disqualified from voting until they pass a standardized literacy exam.","Disabled citizens may only vote if an accredited medical doctor accompanies them into the voting booth.","Illiterate citizens are prohibited from participating in plebiscites and referenda.","A","Step-by-Step Solution:
1. Constitutional Text: Article V, Section 2, second sentence:
 'Until Congress shall provide otherwise, they [the disabled and illiterates] shall be allowed to vote under existing laws and such rules as the Commission on Elections may promulgate to protect the secrecy of the ballot.'
 - The first part of Section 2 mandates Congress to: 'design a procedure for the disabled and the illiterates to vote without the assistance of other persons...'
2. Statutory Implementation:
 - Republic Act No. 10366 (An Act Authorizing the Commission on Elections to Establish Accessible Polling Places Exclusively for Persons with Disabilities and Senior Citizens).
 - Under existing rules, if unassisted voting technology is not yet available, an assistor (relative within 4th ° of consanguinity/affinity, or person of confidence, or election board member) may assist, provided the assistor takes an oath to respect ballot secrecy.
3. Option A verbatim reflects the constitutional text of Article V, Section 2.

Common Trap: Thinking illiterates or PWDs are barred from voting; the Constitution explicitly protects their right of suffrage and commands the creation of accessible, unassisted voting mechanisms.
Exam Tip: Article V, Section 2 commands Congress to design unassisted voting mechanisms for PWDs and illiterates while protecting ballot secrecy.","Correct. Survives elimination because Article V, Section 2 explicitly directs Congress to develop procedures enabling disabled and illiterate electors to vote without third-party assistance, while permitting assisted voting under existing laws in the interim.","Eliminated because the Constitution forbids disqualifying illiterates or PWDs from the exercise of suffrage.","Eliminated because medical doctors are not required to accompany PWD voters inside the voting booth.","Eliminated because illiterates possess full, unrestricted constitutional rights to vote in plebiscites and referenda.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"Under the Omnibus Election Code (Batas Pambansa Blg. 881, Section 118), which of the following grounds results in the STATUTORY DISQUALIFICATION of a person from voting in Philippine elections?","Any person who has been sentenced by final judgment to suffer imprisonment for not less than one year, such disability not having been removed by plenary pardon or granted amnesty.","Any person who has failed to vote in the immediately preceding barangay election.","Any person who is an active member of a registered political opposition party.","Any citizen who has filed an administrative compla∫ against a local elective official.","A","Step-by-Step Solution:
1. Statutory Grounds for Disqualification from Voting (OEC, Sec. 118; RA 8189, Sec. 11):
 - 1. Any person sentenced by final judgment to suffer imprisonment for NOT LESS THAN ONE (1) YEAR, unless granted a plenary pardon or amnesty. (Note: Right to vote is automatically reacquired upon the expiration of FIVE YEARS after service of sentence).
 - 2. Any person adjudged by final judgment of having committed any crime involving disloyalty to the government (rebellion, sedition, violation of anti-subversion, etc.), unless restored to full civil rights by pardon/amnesty. (Reacquired 5 years after service).
 - 3. Insane or incompetent persons declared as such by competent authority.
2. Evaluate Option A:
 - Accurately states the primary statutory disqualification: final conviction with sentence >= 1 year without pardon/amnesty.
3. Other options are legal absurdities.

Common Trap: Believing missing one election automatically disqualifies a person permanently; missing TWO CONSECUTIVE regular elections deactivates voter registration (subject to reactivation), but does not legally disqualify the person under Section 118.
Exam Tip: Disqualification: Final conviction with imprisonment >= 1 year (reacquired 5 years after sentence service or through pardon/amnesty).","Correct. Survives elimination because the Omnibus Election Code and RA 8189 explicitly disqualify any person convicted by final judgment of an offense punishable by at least one year of imprisonment, unless pardoned, amnestied, or 5 years have elapsed post-sentence.","Eliminated because missing a single barangay election does not result in statutory voter disqualification.","Eliminated because political party affiliation is a constitutionally protected exercise of association, not a disqualification.","Eliminated because filing an administrative compla∫ is an exercise of the right to petition government, not a ground for disenfranchisement.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
"What is the legal effect of a conditional pardon versus a PLENARY (ABSOLUTE) PARDON granted by the President on a convict's disqualified right to vote?","An absolute (plenary) pardon completely restores all civil and political rights, including the right of suffrage, whereas a conditional pardon only restores rights expressly specified in the pardon instrument.","A conditional pardon automatically restores suffrage even if the pardon document explicitly excludes political rights.","Neither absolute nor conditional pardons can ever restore the right to vote once a conviction is finalized.","Only a jo∫ resolution of Congress, and not a presidential pardon, can restore the right of suffrage to a convicted felon.","A","Step-by-Step Solution:
1. Constitutional Doctrine on Executive Clemency (Article VII, Section 19; Cristobal v. Labrador, 71 Phil. 34; Monsanto v. Factoran, 170 SCRA 190):
 - Absolute (Plenary) Pardon: Erases the penal consequences of conviction and fully restores all civil and political rights (including the right to vote and hold public office), unless the Constitution provides otherwise.
 - Conditional Pardon: A contract between the Chief Executive and the convict; it restores only those specific rights enumerated in the clemency grant and remains subject to the condition that the recipient does not violate the terms.
2. Option A is the precise jurisprudential distinction.

Common Trap: Thinking a conditional pardon automatically restores political rights; a conditional pardon only restores rights expressly stated in its text.
Exam Tip: Absolute Pardon = Full restoration of suffrage; Conditional Pardon = Limited to express terms of the grant.","Correct. Survives elimination because established jurisprudence holds that an absolute (plenary) presidential pardon restores full political rights including suffrage, while a conditional pardon is limited strictly to the conditions and rights stated in the executive grant.","Eliminated because a conditional pardon does not restore rights withheld or omitted in the executive clemency document.","Eliminated because absolute presidential pardon under Article VII, Section 19 has the direct legal effect of restoring the right of suffrage.","Eliminated because the President possesses constitutional executive clemency power to restore civil and political rights without needing a congressional resolution (except for Amnesty, which requires congressional concurrence).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Suffrage | Very Difficult | Batch 129"
