"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'OPERAHIN' at 'OPERAHAN'.","Nakatakdang operahin ng mga dalubhasang siruhano ang bukol sa kanyang dibdib, habang iooperahan naman ang pasyente sa Huwebes.","Nakatakdang operahan ng mga dalubhasang siruhano ang bukol sa kanyang dibdib, habang iooperahin naman ang pasyente sa Huwebes.","Nakatakdang operahan ang bukol at operahan din ang pasyente bukas.","Nakatakdang operahin ang bukol at operahin din ang pasyente bukas.","A","Step-by-Step Solution:
1. Tuntunin sa 'OPERAHIN' vs. 'OPERAHAN':
 - 'OPERAHIN' (hulaping -in): Ginagamit kapag ang tinutukoy ay ang TIYAK NA BAHAGI NG KATAWAN o ang sakit/bukol na tatanggalin o gagamutin ('operahin ang apendiks', 'operahin ang bukol', 'operahin ang mata').
 - 'OPERAHAN' (hulaping -an): Ginagamit kapag ang tinutukoy ay ang TAO o PASYENTE na sasailalim sa operasyon ('operahan ang pasyente', 'operahan si Juan').
2. Pagsusuri sa Option A:
 - 'operahin... ang bukol' -> TAMA (ang bahagi/sakit na aalisin).
 - 'iooperahan... ang pasyente' -> TAMA (ang taong ooperahan).
3. Option A ang 100% wasto.

Common Trap: Pagsasabi ng 'operahin ang tao' o 'operahan ang bukol'.
Exam Tip: Tandaan: Bahagi ng katawan/sakit? -> 'OPERAHIN'. Tao/Pasyente? -> 'OPERAHAN'.","Correct. 'Operahin' ay wastong ginamit para sa partikular na bukol, at 'operahan' para sa mismong tao o pasyente.","Eliminated dahil binaligtad ang tuntunin: ginamit ang operahan sa bukol at operahin sa pasyente.","Eliminated dahil mali ang 'operahan ang bukol'.","Eliminated dahil mali ang 'operahin ang pasyente'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Alin sa mga sumusunod na pangungusap ang may WASTONG GAMIT ng 'WALISIN' at 'WALISAN'?","Walisan mo ang maruming bakuran at walisin mo ang mga tuyong dahon na nagkalat.","Walisin mo ang maruming bakuran at walisan mo ang mga tuyong dahon na nagkalat.","Walisan mo ang mga tuyong dahon at walisin mo ang sahig ng tanggapan.","Walisin mo ang bakuran at walisan mo ang mga kalat.","A","Step-by-Step Solution:
1. Tuntunin sa 'WALISIN' vs. 'WALISAN':
 - 'WALISIN' (hulaping -in): Ginagamit kapag ang layon ay ang TANGING KALAT o dumi na aalisin o itatapon ('walisin ang mga dahon', 'walisin ang basura').
 - 'WALISAN' (hulaping -an): Ginagamit kapag ang layon ay ang LUGAR o pook na lilinisin ('walisan ang sahig', 'walisan ang bakuran', 'walisan ang kwarto').
2. Pagsusuri sa Option A:
 - 'Walisan... ang maruming bakuran' -> TAMA (ang lugar).
 - 'walisin... ang mga tuyong dahon' -> TAMA (ang partikular na kalat).
3. Option A ang may ganap na kawastuhan.

Common Trap: Pagsasabi ng 'walisin ang bakuran' o 'walisan ang basura'.
Exam Tip: Ang lugar ay 'WALISAN' (may hulaping -an para sa lokasyon). Ang kalat ay 'WALISIN' (may hulaping -in para sa layon).","Correct. 'Walisan' ay wastong ginamit para sa lugar (bakuran), at 'walisin' para sa partikular na kalat (mga tuyong dahon).","Eliminated dahil ginamit ang 'walisin' sa lugar at 'walisan' sa kalat.","Eliminated dahil mali ang 'walisan ang dahon' at 'walisin ang sahig'.","Eliminated dahil mali ang 'walisin ang bakuran'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'SUNDIN' at 'SUNDAN'.","Sundin mo ang mga umiiral na patakaran ng tanggapan at sundan mo ang yapak ng mga tapat na lingkod-bayan.","Sundan mo ang mga umiiral na patakaran ng tanggapan at sundin mo ang yapak ng mga tapat na lingkod-bayan.","Sundin mo ang kanyang yapak at sundan mo ang batas ng republika.","Sundan mo ang utos ng direktor at sundin mo ang kanyang mga hakbang.","A","Step-by-Step Solution:
1. Tuntunin sa 'SUNDIN' vs. 'SUNDAN':
 - 'SUNDIN' (to obey): Ginagamit sa pagtupad sa payo, utos, batas, regulasyon, o kahilingan ('sundin ang batas', 'sundin ang magulang').
 - 'SUNDAN' (to follow physically or emulate someone's path): Ginagamit sa pisikal na pagsunod sa yapak, tao, daan, o halimbawa ('sundan ang yapak', 'sundan ang sasakyan').
2. Pagsusuri sa Option A:
 - 'Sundin... ang mga umiiral na patakaran' -> TAMA (pagsunod sa batas/patakaran).
 - 'sundan... ang yapak' -> TAMA (pagsunod sa bakas/halimbawa).
3. Option A ang tumpak.

Common Trap: Pagkakamali sa paggamit ng 'sundan ang batas' (dapat 'sundin') o 'sundin ang sasakyan' (dapat 'sundan').
Exam Tip: Batas, payo, o utos? -> 'SUNDIN'. Tao, yapak, bakas, o daan? -> 'SUNDAN'.","Correct. 'Sundin' ay tumutukoy sa pagtalima sa patakaran (obey), samantalang ang 'sundan' ay pagsunod sa yapak o halimbawa (follow/emulate).","Eliminated dahil ang patakaran ay sinusunod (sundin), hindi sinusundan.","Eliminated dahil ang yapak ay sinusundan, hindi sinusunod.","Eliminated dahil ang utos ay dapat 'sundin', hindi sundan.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Alin sa mga sumusunod ang may WASTONG GAMIT ng 'IWAN' at 'IWANAN'?","Iwan mo ang iyong bag sa security desk ngunit huwag mong iwanan ng utang ang iyong pamilya.","Iwanan mo ang iyong bag sa security desk ngunit huwag mong iwan ng utang ang iyong pamilya.","Iwan mo ng pera ang iyong kapatid bago umalis.","Iwanan mo ang cellphone sa bahay upang hindi makagulo.","A","Step-by-Step Solution:
1. Tuntunin sa 'IWAN' vs. 'IWANAN':
 - 'IWAN' (to leave something behind): Ginagamit kapag ang tinutukoy ay ang mismong bagay o tao na inilalapag, iniiwan, o hindi isinasama ('iwan ang bag', 'iwan ang kotse').
 - 'IWANAN' (to leave something TO or FOR someone): Ginagamit kapag binibigyan o pinag-iiwanan ng isang bagay ang isang tao o lugar ('iwanan ng pera ang kapatid', 'iwanan ng mana').
2. Pagsusuri sa Option A:
 - 'Iwan... ang iyong bag' -> TAMA (ang bagay na iniiwan).
 - 'iwanan ng utang ang iyong pamilya' -> TAMA (ang taong pinag-iiwanan ng bagay).
3. Option A ang 100% wasto.

Common Trap: Paggamit ng 'iwanan ang susi' kapag ang ibig sabihin ay simpleng pag-iwan lamang sa bagay ('iwan ang susi').
Exam Tip: May pinag-iiwanang tao o benepisyaryo? -> 'IWANAN' (iwanan siya ng pagkain). Ang mismong bagay na inilalapag? -> 'IWAN' (iwan ang payong).","Correct. 'Iwan' ay wastong ginamit para sa bagay na inilalagak (bag), at 'iwanan' para sa taong binibigyan o pinag-iiwanan (pamilya).","Eliminated dahil mali ang 'iwanan ang bag' at 'iwan ng utang ang pamilya'.","Eliminated dahil ang pag-iiwan ng pera sa tao ay dapat 'iwanan ng pera'.","Eliminated dahil ang pag-iiwan ng gamit sa bahay ay dapat 'iwan ang cellphone'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'ABUTIN' at 'ABUTAN'.","Abutin mo ang mataas na librong iyon sa estante at abutan mo ng tulong ang mahihirap nating kababayan.","Abutan mo ang mataas na librong iyon sa estante at abutin mo ng tulong ang mahihirap nating kababayan.","Abutin mo ng pera ang drayber ng dyip.","Abutan mo ang pinakamataas na pangarap sa buhay.","A","Step-by-Step Solution:
1. Tuntunin sa 'ABUTIN' vs. 'ABUTAN':
 - 'ABUTIN' (to reach for/grasp a distant object): Ginagamit sa pagkuha ng bagay na malayo o mataas, o pag-abot sa pangarap/layunin ('abutin ang libro', 'abutin ang pangarap').
 - 'ABUTAN' (to hand something to someone): Ginagamit sa pagbibigay o pag-aabot ng isang bagay sa isang tao ('abutan ng bayad ang drayber', 'abutan ng tulong ang kapwa').
2. Pagsusuri sa Option A:
 - 'Abutin... ang mataas na libro' -> TAMA (pag-abot sa mataas na bagay).
 - 'abutan ng tulong ang kababayan' -> TAMA (pag-aabot o pagbibigay sa kapwa).
3. Option A ang tumpak.

Common Trap: Pagsasabi ng 'abutin mo siya ng pera' (dapat 'abutan mo siya ng pera').
Exam Tip: Pag-abot sa mataas/malayong bagay? -> 'ABUTIN'. Pagbibigay sa kapwa? -> 'ABUTAN'.","Correct. 'Abutin' ay para sa pagkuha ng mataas o malayong bagay (libro), at 'abutan' para sa pagbibigay sa tao (tulong sa kababayan).","Eliminated dahil binaligtad ang gamit ng abutin at abutan.","Eliminated dahil ang pagbibigay ng pera sa tao ay dapat 'abutan'.","Eliminated dahil ang pangarap ay inaabot (abutin), hindi inabutan.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Alin sa mga sumusunod na pangungusap ang may WASTONG GAMIT ng 'TUNGTONG', 'TUNTONG', at 'TUNTON'?","Maglagay ka ng tungtong sa palayok, huwag kang tumuntong sa mesa, at tuntunin mo ang tamang landas.","Maglagay ka ng tuntong sa palayok, huwag kang tumungtong sa mesa, at tuntunin mo ang tamang landas.","Maglagay ka ng tungtong sa palayok, huwag kang tumuntunin sa mesa, at tuntongin mo ang landas.","Maglagay ka ng tuntunin sa palayok, huwag kang tumuntong sa mesa, at tungtongin mo ang landas.","A","Step-by-Step Solution:
1. Tuntunin sa tatlong salita:
 - 'TUNGTONG': Ang takip ng palayok o kawa.
 - 'TUNTONG' (tumuntong): Ang pagtayo, pag-apak, o pagsampa sa isang bagay ('tumuntong sa upuan').
 - 'TUNTON' (tuntunin): Ang paghanap, pagbakas, pagsubaybay, o pagsunod sa bakas o simulain ('tuntunin ang bakas').
2. Pagsusuri sa Option A:
 - 'tungtong sa palayok' -> TAMA (takip).
 - 'tumuntong sa mesa' -> TAMA (pag-apak/pagtayo).
 - 'tuntunin mo ang tamang landas' -> TAMA (pagsubaybay/pagsunod).
3. Option A ang 100% wasto.

Common Trap: Pagpapalitan ng baybay ng 'tungtong' (takip) at 'tuntong' (pagtapak).
Exam Tip: Tandaan: May 'G' sa gitna (tungtong) = takip ng palayok. Walang 'G' sa gitna (tuntong) = pagtapak. 'Tunton' = pagbakas.","Correct. 'Tungtong' ay takip ng palayok, 'tumuntong' ay pag-apak, at 'tuntunin' ay pagbakas o pagsunod sa landas.","Eliminated dahil mali ang baybay ng takip (dapat tungtong) at pag-apak (dapat tuntong).","Eliminated dahil mali ang balangkas ng mga pandiwa.","Eliminated dahil ang tuntunin ay regulasyon o pagbakas, hindi takip ng palayok.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'KAY' at 'KINA'.","Ibinigay ng punong lungsod ang plake ng pagkilala kay Dr. Santos at ang sertipiko kina Dr. Santos at Dr. Garcia.","Ibinigay ng punong lungsod ang plake ng pagkilala kina Dr. Santos at ang sertipiko kay Dr. Santos at Dr. Garcia.","Ibinigay ng punong lungsod ang plake kay Dr. Santos at ang sertipiko kay Dr. Santos at Dr. Garcia.","Ibinigay ng punong lungsod ang plake kina Dr. Santos at ang sertipiko kina Dr. Santos.","A","Step-by-Step Solution:
1. Tuntunin:
 - 'KAY': Isahang pantukoy na paukol sa ngalan ng tao ('kay Dr. Santos').
 - 'KINA': Maramihang pantukoy na paukol sa ngalan ng mga tao ('kina Dr. Santos at Dr. Garcia').
2. Pagsusuri sa Option A:
 - 'kay Dr. Santos' (isahan) -> TAMA.
 - 'kina Dr. Santos at Dr. Garcia' (maramihan) -> TAMA.
3. Option A ang tumpak.

Common Trap: Paggamit ng 'kina' sa isang tao lamang o 'kay' sa dalawang tao.
Exam Tip: Isang tao? -> 'KAY'. Dalawa o higit pa? -> 'KINA'.","Correct. 'Kay' ay wastong ginamit para sa iisang tao, at 'kina' para sa dalawang pinangalanang doktor.","Eliminated dahil ginamit ang 'kina' sa iisang tao at 'kay' sa dalawang tao.","Eliminated dahil mali ang 'kay Dr. Santos at Dr. Garcia' (dapat kina).","Eliminated dahil mali ang 'kina Dr. Santos' para sa iisang tao.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Alin sa mga sumusunod na pangungusap ang may WASTONG GAMIT ng 'TIGBALANGKAS' at mga hulaπ sa pandiwa?","Ipinaalam ng direktor sa lahat ng pinuno ng dibisyon ang bagong mekanismo ng pagsusuri.","Ipinag-alam ng direktor sa lahat ng pinuno ng dibisyon ang bagong mekanismo ng pagsusuri.","Ipina-alam ng direktor sa lahat ng pinuno ng dibisyon ang bagong mekanismo ng pagsusuri.","Ipinaalam nang direktor sa lahat ng pinuno ang bagong mekanismo.","A","Step-by-Step Solution:
1. Tuntunin sa 'IPINAALAM':
 - Ang salitang-ugat ay 'alam'. Kapag kinabitan ng unlaping 'ipa-' sa aspektong perpektibo, ito ay nagiging 'ipinaalam' (nang walang gitling dahil walang pag-uulit o katinig-patinig clash).
 - Ang 'ipinag-alam' ay hindi likas o pormal sa Balarila.
2. Pantukoy ng aktor: 'ng direktor' (TAMA).
3. Option A ang pormal at wasto.

Common Trap: Paggamit ng gitling sa 'ipina-alam' o paggamit ng maling unlaπ ('ipinag-alam').
Exam Tip: Huwag maglagay ng gitling sa mga unlaping nagtatapos sa patinig kapag ang salitang-ugat ay nagsisimula sa patinig kung likas itong pinagsasama (hal. ipinaalam, ipinaabot, ipinadala).","Correct. 'Ipinaalam' ay may wastong anyo at paglalaπ nang walang maling gitling, at 'ng direktor' ay wastong tagaganap.","Eliminated dahil ang 'ipinag-alam' ay maling paglalaπ.","Eliminated dahil mali ang paglalagay ng gitling sa 'ipina-alam'.","Eliminated dahil mali ang 'nang direktor' (dapat 'ng' bilang tagaganap).","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Piliin ang pangungusap na may WASTONG GAMIT ng 'HATIIN' at 'HATIAN'.","Hatiin mo sa apat na pantay na bahagi ang keyk at hatian mo ng isang piraso ang iyong katrabaho.","Hatian mo sa apat na pantay na bahagi ang keyk at hatiin mo ng isang piraso ang iyong katrabaho.","Hatiin mo ng keyk ang iyong bisita.","Hatian mo ang buong keyk bago ihain sa mesa.","A","Step-by-Step Solution:
1. Tuntunin sa 'HATIIN' vs. 'HATIAN':
 - 'HATIIN' (to divide/partition an object): Ginagamit kapag ang mismong bagay ang binibiyak o pinaghihiwa-hiwalay sa mga bahagi ('hatiin ang keyk', 'hatiin ang lupa').
 - 'HATIAN' (to share a portion WITH someone): Ginagamit kapag binibigyan ng bahagi ang isang tao ('hatian ng pagkain ang kaibigan', 'hatian siya ng kinitang pondo').
2. Pagsusuri sa Option A:
 - 'Hatiin... ang keyk' -> TAMA (ang bagay na pinuputol/hinahati).
 - 'hatian... ang iyong katrabaho' -> TAMA (ang taong binibigyan ng bahagi).
3. Option A ang tumpak.

Common Trap: Pagsasabi ng 'hatian ang keyk' (dapat hatiin) o 'hatiin ang tao' (dapat hatian).
Exam Tip: Ang bagay na binibiyak = 'HATIIN'. Ang taong binibigyan ng bahagi = 'HATIAN'.","Correct. 'Hatiin' ay wastong ginamit para sa paghahati ng bagay (keyk), at 'hatian' para sa pagbibigay ng bahagi sa kapwa (katrabaho).","Eliminated dahil binaligtad ang gamit ng hatiin at hatian.","Eliminated dahil ang pagbibigay sa tao ay dapat 'hatian'.","Eliminated dahil ang paghahati sa buong bagay ay dapat 'hatiin'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
"Alin sa mga sumusunod na pangungusap ang nagpapakita ng WASTONG GAMIT ng 'NAPATAY' at 'PINATAY'?","Napatay sa engkwentro ang pinuno ng mga rebelde matapos lumaban sa mga awtoridad, habang pinatay naman ng salarin ang walang kalabang-labang bantay.","Pinatay sa aksidente ang drayber nang bumangga ang kanyang sasakyan sa pader.","Napatay ng magnanakaw ang may-ari ng bahay gamit ang matalim na kutsilyo.","Napatay ng berdugo ang bilanggo alinsunod sa utos ng hukuman.","A","Step-by-Step Solution:
1. Tuntunin sa 'NAPATAY' vs. 'PINATAY':
 - 'NAPATAY' (unintentional or circumstantial death / killed in action without direct premeditated murder focus): Nagpapahiwatig ng pagkamatay dulot ng aksidente, labanan, o hindi sinasadyang pangyayari.
 - 'PINATAY' (intentional killing / murder): Nagpapahiwatig ng may tiyak na taong sadyang kumitil sa buhay ng kapwa (premeditated or intentional homicide/assassination).
2. Pagsusuri sa Option A:
 - 'Napatay sa engkwentro' -> TAMA (namatay sa labanan).
 - 'pinatay... ng salarin ang bantay' -> TAMA (sinadyang patayin ng salarin).
3. Option A ang may 100% wastong paglalapat ng diwa.

Common Trap: Pagsasabi ng 'pinatay sa lindol o aksidente' (dapat 'napatay' o 'namatay') o 'napatay ng mamamatay-tao' kung ito ay sadyang krimen.
Exam Tip: May sadyang pumatay? -> 'PINATAY'. Resulta ng aksidente o engkwentro? -> 'NAPATAY'.","Correct. 'Napatay' ay wastong ginamit para sa kamatayan sa labanan/engkwentro, at 'pinatay' para sa sinadyang pagpatay ng salarin sa biktima.","Eliminated dahil ang kamatayan sa aksidente ay 'napatay' o 'namatay', hindi sinadyang 'pinatay'.","Eliminated dahil ang sadyang pananaksak ng magnanakaw ay 'pinatay', hindi napatay.","Eliminated dahil ang sadyang pagbitay ng berdugo ay 'pinatay'.","Verbal Ability","Verbal Ability | Grammar and Correct Usage | Structural Grammar and Balarila | Wastong gamit ng pandiwa at pang-uri sa Filipino | Difficult | Batch VA-014"
