QuestionID,Field,OriginalValue,CorrectedValue,Reason,SecondPassVerified,AuditedAt
cmstkgdw100r520u1w0j8rx4l,prompt,"Passage: A regional energy assessment observed that in provinces where rooftop solar adoption grew by more than 30% between 2021 and 2024, peak daytime grid electricity demand dropped by an average of 18%. In contrast, in provinces where rooftop solar adoption grew by less than 5%, peak daytime grid demand rose by an average of 12% over the same period. Which inference is most strongly supported by the observations?","A regional energy assessment observed that in provinces where rooftop solar adoption grew by more than 30% between 2021 and 2024, peak daytime grid electricity demand dropped by an average of 18%. In contrast, in provinces where rooftop solar adoption grew by less than 5%, peak daytime grid demand rose by an average of 12% over the same period. Which inference is most strongly supported by the observations?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:07.952Z
cmstkgdw000ph20u16bqwr6m3,prompt,"Passage: A metropolitan council proposes imposing a peak-hour congestion charge on private automobiles entering the central financial district. Councilors assert that this charge will significantly increase daily ridership on the city's municipal bus rapid transit network. The council's argument relies on which of the following ASSUMPTIONS?","A metropolitan council proposes imposing a peak-hour congestion charge on private automobiles entering the central financial district. Councilors assert that this charge will significantly increase daily ridership on the city's municipal bus rapid transit network. The council's argument relies on which of the following ASSUMPTIONS?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.131Z
cmstkgdw000pf20u1pvjvijxf,prompt,"Passage: An agency study observed that departments submitting their Annual Procurement Plans (APPs) six months in advance recorded 40% fewer year-end budget surrenders. The agency head concluded that mandating all departments to submit their APPs six months in advance will eliminate year-end fund underspending across the entire agency. Which of the following is a NECESSARY ASSUMPTION in the reasoning above?","An agency study observed that departments submitting their Annual Procurement Plans (APPs) six months in advance recorded 40% fewer year-end budget surrenders. The agency head concluded that mandating all departments to submit their APPs six months in advance will eliminate year-end fund underspending across the entire agency. Which of the following is a NECESSARY ASSUMPTION in the reasoning above?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.231Z
cmstkgdw000ps20u1mu2y1lh3,prompt,"Passage: A municipal water district deployed smart digital meters that broadcast hourly consumption data to consumer smartphone apps. The board concluded that providing hourly data visibility will cause a 25% reduction in total residential water consumption across the municipality. The board's conclusion rests on which of the following ASSUMPTIONS?","A municipal water district deployed smart digital meters that broadcast hourly consumption data to consumer smartphone apps. The board concluded that providing hourly data visibility will cause a 25% reduction in total residential water consumption across the municipality. The board's conclusion rests on which of the following ASSUMPTIONS?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.332Z
cmstkgdw000pq20u13pdm0nrs,prompt,"Passage: An anti-corruption body recommends requiring all public procurement bidding sessions to be live-streamed in real time on official social media channels. The body claims that public live-streaming will completely prevent collusion among participating government contractors. The claim DEPENDS on which of the following assumptions?","An anti-corruption body recommends requiring all public procurement bidding sessions to be live-streamed in real time on official social media channels. The body claims that public live-streaming will completely prevent collusion among participating government contractors. The claim DEPENDS on which of the following assumptions?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.449Z
cmstkgdw000pz20u1mhngrf97,prompt,"Passage: A city health office announced that all municipal employees will receive free annual medical examinations and subsidized fitness gym memberships. The city mayor claimed that this initiative will directly reduce total paid sick leave expenditures by at least 30% during the next fiscal year. The mayor's claim relies on which implicit HIDDEN ASSUMPTION?","A city health office announced that all municipal employees will receive free annual medical examinations and subsidized fitness gym memberships. The city mayor claimed that this initiative will directly reduce total paid sick leave expenditures by at least 30% during the next fiscal year. The mayor's claim relies on which implicit HIDDEN ASSUMPTION?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.566Z
cmstkgdw000q320u1ekgbhcwd,prompt,"Passage: The Department of Transportation installed automatic license plate recognition (ALPR) cameras along designated dedicated busway corridors. Transport planners concluded that this automated surveillance network will completely eliminate unauthorized private vehicle incursions into the busway. Which of the following is a HIDDEN ASSUMPTION of the transport planners?","The Department of Transportation installed automatic license plate recognition (ALPR) cameras along designated dedicated busway corridors. Transport planners concluded that this automated surveillance network will completely eliminate unauthorized private vehicle incursions into the busway. Which of the following is a HIDDEN ASSUMPTION of the transport planners?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.682Z
cmstkgdw000q920u1sn6b5jj6,prompt,"Passage: To reduce plastic waste across regional offices, an agency prohibited single-use plastic beverage bottles in all its facilities and distributed reusable stainless-steel tumblers to all staff. The environmental task force asserted that this ban will reduce the agency's total annual solid waste footpr∫ by 50%. Which of the following is an underlying HIDDEN ASSUMPTION?","To reduce plastic waste across regional offices, an agency prohibited single-use plastic beverage bottles in all its facilities and distributed reusable stainless-steel tumblers to all staff. The environmental task force asserted that this ban will reduce the agency's total annual solid waste footpr∫ by 50%. Which of the following is an underlying HIDDEN ASSUMPTION?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.801Z
cmstkgdw000q720u1qg7zir56,prompt,"Passage: The Commission on Elections (COMELEC) introduced an online voter portal allowing overseas absentee citizens to register from any internet-connected device. Election analysts concluded that this online portal will double the actual voter turnout of overseas citizens during the next national elections. Which of the following is a HIDDEN ASSUMPTION in the analysts' conclusion?","The Commission on Elections (COMELEC) introduced an online voter portal allowing overseas absentee citizens to register from any internet-connected device. Election analysts concluded that this online portal will double the actual voter turnout of overseas citizens during the next national elections. Which of the following is a HIDDEN ASSUMPTION in the analysts' conclusion?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:08.904Z
cmstkgdw000qe20u1mk2k07pk,prompt,"Passage: A transit authority transitioned its commuter rail system from physical token turnstiles to contactless smartcard readers. Urban planners asserted that this fare system upgrade will reduce peak-hour station concourse crowding by 40%. Which of the following is a HIDDEN ASSUMPTION of the urban planners?","A transit authority transitioned its commuter rail system from physical token turnstiles to contactless smartcard readers. Urban planners asserted that this fare system upgrade will reduce peak-hour station concourse crowding by 40%. Which of the following is a HIDDEN ASSUMPTION of the urban planners?","STRIPPED_PASSAGE_PREFIX",true,2026-08-19T09:28:09.005Z
