"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"What is the PRIMARY constitutional purpose and legal nature of the BILL OF RIGHTS (Article III) in the 1987 Philippine Constitution?","It operates as a charter of civil and political liberties that places explicit limitations upon the otherwise plenary sovereign powers of the State, protecting individuals against governmental abuse.","It serves as a grant of unrestricted police powers authorizing executive agencies to arrest citizens without judicial warrants.","It functions as an internal administrative manual governing the disciplinary promotion of civil service employees.","It is an optional treaty declaration that only takes effect during formally declared states of national emergency.","A","Step-by-Step Solution:
1. Constitutional Nature of the Bill of Rights (People v. Marti, G.R. No. 81561, 1991; City of Manila v. Laguio, 2005):
 - The Bill of Rights is a constitutional enumeration of fundamental rights and liberties designed to protect individuals against government overreach, arbitrariness, and tyranny.
 - It acts as a SHIELD against STATE action (it governs relations between the individual citizen and the State, not purely private disputes between individuals).
2. Evaluate Option A:
 - Accurately states that the Bill of Rights is a charter of liberties establishing explicit limits upon the powers of the State to protect individuals. Correct.
3. Other options:
 - Option B is the opposite of the Bill of Rights (it restricts, not expands, state power).
 - Option C describes CSC internal rules, not the Bill of Rights.
 - Option D is false; the Bill of Rights is permanent, mandatory constitutional law.

Common Trap: Believing the Bill of Rights grants powers to the government; the Bill of Rights RESTRICTS government power in favor of individual liberty.
Exam Tip: The Bill of Rights applies exclusively as a restra∫ on GOVERNMENT/STATE action, not private individuals (People v. Marti).","Correct. Survives elimination because the Bill of Rights fundamentally serves as a constitutional barrier and limitation on State sovereignty, securing individual rights and liberties against arbitrary governmental power.","Eliminated because the Bill of Rights restricts state power; it does not expand or authorize arbitrary warrantless police power.","Eliminated because the Bill of Rights is fundamental constitutional law, not an internal administrative agency manual.","Eliminated because the Bill of Rights is permanently effective in × of peace and crisis, not an optional emergency decree.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"In the landmark case of People v. Marti (G.R. No. 81561, January 18, 1991), what fundamental doctrine regarding the APPLICABILITY OF THE BILL OF RIGHTS was established by the Supreme Court?","The constitutional guarantees in the Bill of Rights act as a restra∫ solely against STATE and governmental actors, and cannot be invoked against searches and seizures conducted by private individuals acting on their own initiative.","The Bill of Rights applies equally and with full legal force against purely private individuals in non-governmental private premises.","Evidence gathered through private theft is automatically covered by the constitutional exclusionary rule against the government.","Private security guards and freight handlers are considered constitutional state agents under all circumstances.","A","Step-by-Step Solution:
1. Landmark Case: People v. Marti (193 SCRA 57):
 - Facts: An owner of a private courier service (Manila Packing and Export Forwarders) inspected a suspicious package of cellophane-wrapped items bound for Switzerland and discovered marijuana dried leaves, which he then turned over to the NBI.
 - Accused's Defense: Invoked Article III, Section 2 (Unreasonable searches and seizures) and Article III, Section 3(2) (Exclusionary Rule) to suppress the evidence.
 - Supreme Court Ruling:
 - The Bill of Rights, specifically the search and seizure clause, is a limitation on STATE/GOVERNMENT power.
 - It does NOT govern acts done by private persons acting in a private capacity without government instigation, participation, or intervention.
 - Therefore, the evidence seized by the private courier operator was admissible in court.
2. Option A is the precise legal doctrine of People v. Marti.

Common Trap: Believing constitutional search and seizure protections apply to a private employer or private security guard acting without police direction; the Bill of Rights applies ONLY against State action.
Exam Tip: People v. Marti = Bill of Rights governs State action, NOT private individual action.","Correct. Survives elimination because the Supreme Court in People v. Marti firmly held that the Bill of Rights is a constitutional shield against governmental intrusion only, meaning private searches by citizens on their own initiative do not violate Article III.","Eliminated because the Supreme Court explicitly ruled that the constitutional Bill of Rights does not govern purely private acts between private citizens.","Eliminated because the constitutional exclusionary rule (Article III, Section 3[2]) excludes only evidence obtained through unconstitutional governmental searches, not private searches.","Eliminated because private freight handlers acting without police instigation are private citizens, not constitutional state agents.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"Under Article III, Section 1 of the 1987 Constitution, what are the two fundamental components of the constitutional guarantee of DUE PROCESS OF LAW?","Procedural Due Process (guarantee of notice, hearing, and impartial tribunal) and Substantive Due Process (prohibition of arbitrary, oppressive, and unreasonable laws).","Civil Due Process and Military Due Process.","Administrative Due Process and Commercial Due Process.","Investigative Due Process and Legislative Due Process.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 1 states:
 'No person shall be deprived of life, liberty, or property without due process of law, nor shall any person be denied the equal protection of the laws.'
2. Two Aspects of Due Process:
 - 1. Procedural Due Process: Refers to the method, manner, or procedure by which a person is deprived of life, liberty, or property. Core requirements: Notice and an Opportunity to be Heard before a competent and impartial tribunal (the 'Cardinal Primary Rights' in Ang Tibay v. CIR).
 - 2. Substantive Due Process: Refers to the intrinsic validity of the law itself. Requires that the law must serve a legitimate public purpose (public interest) and the means employed must be reasonably necessary and not unduly oppressive upon individuals (White Light Corp. v. City of Manila).
3. Option A accurately states the two universal legal classifications of Due Process of Law.

Common Trap: Confusing procedural fairness (notice and hearing) with substantive fairness (validity of the law's objective and means); both are mandatory dimensions of Article III, Section 1.
Exam Tip: Due Process = Procedural (How: notice and hearing) + Substantive (What: fair, reasonable, non-arbitrary law).","Correct. Survives elimination because constitutional law divides Due Process of Law into Procedural Due Process (fair notice, hearing, impartial tribunal) and Substantive Due Process (reasonable law serving a valid public objective without arbitrariness).","Eliminated because 'Civil vs Military' does not represent the fundamental constitutional doctrinal division of due process.","Eliminated because administrative due process is merely a specific application of procedural due process in administrative agencies.","Eliminated because investigative and legislative are governmental functions, not the twin doctrinal classifications of constitutional due process.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"In the foundational case of Ang Tibay v. Court of Industrial Relations (69 Phil. 635, 1940), the Supreme Court laid down the famous 'CARDINAL PRIMARY RIGHTS' required to satisfy procedural due process in administrative proceedings. Which of the following is the FIRST and foremost of these cardinal rights?","The right to a hearing, which includes the right of the party to present his own case and submit evidence in support thereof.","The right to automatic dismissal of charges if the agency does not resolve the case within 24 hours.","The right to demand that all administrative proceedings be conducted in camera without public records.","The right to be represented exclusively by a member of the Judicial and Bar Council.","A","Step-by-Step Solution:
1. Landmark Jurisprudence: Ang Tibay v. CIR (69 Phil. 635), penned by Justice Jose P. Laurel.
2. The 7 Cardinal Primary Rights in Administrative Proceedings:
 - 1. The right to a hearing (present case and submit evidence).
 - 2. The tribunal must consider the evidence presented.
 - 3. The decision must have something to support itself (supported by evidence).
 - 4. The evidence must be substantial (substantial evidence rule).
 - 5. The decision must be rendered on the evidence presented at the hearing, or at least contained in the record and disclosed to the parties.
 - 6. The body/judges must act on their own independent consideration of the law and facts, not simply accept views of a subordinate.
 - 7. The board or body should render its decision in such a manner that the parties to the proceeding can know the various issues involved and the reasons for the decisions rendered.
3. The very first right is: The right to a hearing (present case and submit evidence).
4. Option A is the verbatim first cardinal right of Ang Tibay.

Common Trap: Believing administrative due process requires a full judicial trial; Ang Tibay established that an opportunity to present one's case and evidence satisfies administrative due process.
Exam Tip: Ang Tibay v. CIR = 7 Cardinal Primary Administrative Due Process Rights.","Correct. Survives elimination because Justice Laurel in Ang Tibay v. CIR established that the first cardinal primary right in administrative proceedings is the right to a hearing, where a party can present their case and introduce evidence.","Eliminated because 24-hour automatic dismissal is not one of the Ang Tibay cardinal primary rights.","Eliminated because administrative proceedings are generally public and transparent under the Constitution, not conducted in camera by default.","Eliminated because JBC members do not serve as private legal counsel for administrative litigants.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"Under Article III, Section 2 of the 1987 Constitution, what are the mandatory constitutional requisites for the valid issuance of a SEARCH WARRANT or a WARRANT OF ARREST?","It must be issued upon probable cause, determined personally by the judge after examination under oath or affirmation of the complainant and the witnesses he may produce, and particularly describing the place to be searched and the persons or things to be seized.","It may be issued upon reasonable suspicion determined by any police investigator without judicial intervention.","It may be issued by a barangay captain provided the community defense council votes by a two-thirds majority.","It can be issued in blank without specifying the identity of the person to be arrested or items to be seized.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 2 states:
 'The right of the people to be secure in their persons, houses, papers, and effects against unreasonable searches and seizures of whatever nature and for any purpose shall be inviolable, and no search warrant or warrant of arrest shall issue except upon probable cause to be determined personally by the judge after examination under oath or affirmation of the complainant and the witnesses he may produce, and particularly describing the place to be searched and the persons or things to be seized.'
2. Four Mandatory Requisites for a Valid Warrant:
 - 1. Probable Cause must exist.
 - 2. Probable Cause must be determined PERSONALLY by a JUDGE (not by a prosecutor, mayor, or police officer).
 - 3. Determination must be made AFTER examination under oath or affirmation of the complainant and witnesses.
 - 4. The warrant must PARTICULARLY DESCRIBE the place to be searched and persons/things to be seized (prohibiting 'general warrants').
3. Option A is the complete and exact constitutional standard.

Common Trap: Believing prosecutors or mayors can issue search warrants or warrants of arrest; ONLY a JUDGE can issue constitutional warrants in the Philippines.
Exam Tip: Warrant requisites: (1) Probable cause, (2) Personally determined by a Judge, (3) Under oath/affirmation, (4) Particular description.","Correct. Survives elimination because Article III, Section 2 commands that only a judge may personally issue search and arrest warrants upon a finding of probable cause under oath, with strict particularity in the description of persons or items.","Eliminated because police investigators have no constitutional authority to issue warrants of arrest or search warrants.","Eliminated because barangay captains are executive local officials and cannot issue judicial warrants.","Eliminated because 'general warrants' or blank warrants are unconstitutional and void for lack of particular description (Stonehill v. Diokno).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"What is the landmark legal rule known as the 'EXCLUSIONARY RULE' (or 'Fruit of the Poisonous Tree' doctrine), as explicitly codified in Article III, Section 3(2) of the 1987 Constitution?","Any evidence obtained in violation of the right against unreasonable searches and seizures or the privacy of communication shall be inadmissible for any purpose in any proceeding.","Any evidence seized illegally may still be admitted in court if the prosecutor demonstrates that the suspect is guilty.","Any unconstitutionally seized evidence is admissible provided the police officers pay an administrative fine to the court.","Any illegally obtained confession is fully admissible in civil lawsuits, though excluded in criminal trials.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 3(2) states:
 'Any evidence obtained in violation of this or the preceding section shall be inadmissible for any purpose in any proceeding.'
2. Meaning of the Exclusionary Rule:
 - Evidence gathered through unconstitutional searches (violating Sec. 2) or illegal wiretapping/privacy breaches (violating Sec. 3) is excluded from judicial proceedings.
 - 'Inadmissible for ANY purpose in ANY proceeding': Cannot be used in criminal, civil, or administrative cases, whether as direct evidence or for impeachment.
 - 'Fruit of the Poisonous Tree' Doctrine (Nardone v. US, People v. Alicando): Any secondary evidence derived directly from the primary tainted/illegal evidence is likewise contaminated and inadmissible.
3. Option A is the exact constitutional text and rule.

Common Trap: Thinking illegally seized evidence can be admitted if the crime is grave or if the officer acted in good faith; Article III, Section 3(2) is an absolute constitutional bar.
Exam Tip: Article III, Section 3(2) = The Constitutional Exclusionary Rule: tainted evidence is INADMISSIBLE for ANY purpose in ANY proceeding.","Correct. Survives elimination because Article III, Section 3(2) explicitly codifies the absolute exclusionary rule: evidence obtained in violation of constitutional search, seizure, or privacy protections is completely inadmissible in any proceeding.","Eliminated because the Constitution contains no exception allowing unconstitutionally seized evidence to be admitted based on guilt assertions.","Eliminated because paying an administrative fine does not cure the constitutional inadmissibility of illegally seized evidence.","Eliminated because the constitutional exclusion applies to 'any proceeding' (criminal, civil, administrative), not criminal trials alone.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"In the historic landmark case of Stonehill v. Diokno (G.R. No. L-19550, June 19, 1967), which type of search warrant was declared unconstitutional, establishing that warrants must describe with particularity the specific offense committed and the items to be seized?","General Warrants (warrants that authorize a roving commission to search and seize all books, records, and papers without specifying the particular offense or items).","Warrants of Arrest issued during ongoing court trials.","Search warrants issued against commercial corporate offices for tax evasion.","Warrants issued by municipal trial court judges in remote provinces.","A","Step-by-Step Solution:
1. Case Reference: Stonehill v. Diokno (20 SCRA 383, 1967), penned by Chief Justice Roberto Concepcion.
2. Facts: 42 search warrants were issued against Harry Stonehill and his corporations to search for 'books of accounts, financial records, vouchers, and documents showing all business transactions' regarding alleged violations of 'Central Bank Laws, Tariff and Customs Laws, Internal Revenue Code, and Revised Penal Code.'
3. Supreme Court Ruling:
 - 1. GENERAL WARRANTS ARE UNCONSTITUTIONAL: A warrant that authorizes seizure of all records without specifying the particular offense committed is a general warrant.
 - 2. RULE OF ONE SPECIFIC OFFENSE: A search warrant must be issued in connection with ONE SPECIFIC OFFENSE. A warrant issued for violation of multiple general laws is void.
 - 3. PARTICULARITY: The warrant must describe the items to be seized with such particularity that the executing officer has no discretion as to what to take.
4. Option A describes the exact holding of Stonehill v. Diokno.

Common Trap: Thinking a warrant can list multiple broad statutes ('for violation of tax laws and criminal code'); Stonehill requires one specific offense and precise particularity.
Exam Tip: Stonehill v. Diokno = Ban on GENERAL WARRANTS + Rule that search warrants must issue for ONE SPECIFIC OFFENSE only.","Correct. Survives elimination because Stonehill v. Diokno definitively outlawed General Warrants, holding that search warrants issued for multiple unspecified offenses without particularized descriptions are unconstitutional roving commissions.","Eliminated because ordinary warrants of arrest are standard legal processes and were not the subject of Stonehill's general warrant ruling.","Eliminated because commercial offices may be lawfully searched if the warrant is specific and issued for one designated offense.","Eliminated because municipal trial judges possess lawful constitutional authority to issue valid particularized search warrants.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"Under Article III, Section 6 of the 1987 Constitution, on what specific grounds may the RIGHT TO TRAVEL be impaired or restricted?","The right to travel may be impaired only in the interest of national security, public safety, or public health, as may be provided by law.","The right to travel may be suspended at the unilateral whim of any local barangay captain.","The right to travel may be restricted whenever a citizen owes ordinary unsecured private credit card debts.","The right to travel is absolute and cannot be restricted even during a deadly airborne viral pandemic.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 6 states:
 'The liberty of abode and of changing the same within the limits prescribed by law shall not be impaired except upon lawful order of the court. Neither shall the right to travel be impaired except in the interest of national security, public safety, or public health, as may be provided by law.'
2. Two Distinct Rights in Section 6:
 - A. Liberty of Abode: May be impaired ONLY upon LAWFUL ORDER OF THE COURT.
 - B. Right to Travel: May be impaired ONLY in the interest of (1) National Security, (2) Public Safety, or (3) Public Health, AS MAY BE PROVIDED BY LAW (or by lawful court order when a person is under bail/criminal jurisdiction, as in Silverio v. CA).
3. Option A is the precise constitutional standard.

Common Trap: Confusing the limitation on Liberty of Abode ('lawful order of the court') with the limitation on Right to Travel ('national security, public safety, or public health, as may be provided by law').
Exam Tip: Right to Travel restrictions = National Security, Public Safety, or Public Health, provided by law.","Correct. Survives elimination because Article III, Section 6 specifies that the right to travel can only be restricted in the interest of national security, public safety, or public health, as provided by law.","Eliminated because local barangay officials have no unilateral power to restrict constitutional travel liberties outside lawful statutory mechanisms.","Eliminated because ordinary private civil debt cannot justify restricting constitutional travel rights under the Bill of Rights.","Eliminated because public health emergencies (such as viral pandemics) are explicitly recognized constitutional grounds for travel restrictions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"Under Article III, Section 9 of the 1987 Constitution, what are the essential constitutional requirements for the State to exercise its inherent power of EMINENT DOMAIN (expropriation)?","Private property shall not be taken for public use without just compensation.","Private property may be confiscated without compensation whenever the municipal government needs commercial revenue.","Private property can only be taken if the private property owner gives voluntary, written, uncoerced consent.","Private property can be expropriated exclusively for military defense installations and for no other public purpose.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 9 states:
 'Private property shall not be taken for public use without just compensation.'
2. Core Requisites for Valid Exercise of Eminent Domain:
 - 1. Genuine Necessity
 - 2. Taking of Private Property
 - 3. Public Use (broadly interpreted to include public welfare, community benefit, socialized housing, infrastructure)
 - 4. Payment of JUST COMPENSATION (the full and fair equivalent of the property at the time of taking, determined by the courts)
 - 5. Due Process of law
3. Option A is the exact verbatim constitutional requirement.

Common Trap: Believing the property owner's consent is required; Eminent Domain is an INHERENT sovereign power that compels the owner to surrender property for public use, provided just compensation is paid.
Exam Tip: Eminent Domain essentials: PUBLIC USE + JUST COMPENSATION (determined by judicial authority).","Correct. Survives elimination because Article III, Section 9 mandates that the taking of private property by the State through eminent domain requires a legitimate public use and the prompt payment of full, fair just compensation.","Eliminated because taking private property without just compensation constitutes an unconstitutional confiscation and violates due process.","Eliminated because eminent domain is a coercive sovereign power and does not depend on the voluntary consent of the property owner.","Eliminated because 'public use' extends broadly to public roads, schools, hospitals, socialized housing, and general public welfare, not solely military bases.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
"Article III, Section 10 of the 1987 Constitution provides: 'No law impairing the obligation of contracts shall be passed.' How does the Supreme Court resolve conflicts between the NON-IMPAIRMENT CLAUSE and the State's POLICE POWER, as established in Philippine Association of Service Exporters (PASEI) v. Drilon?","The non-impairment clause is subordinate to the police power of the State; contracts must yield to valid police power legislation enacted for the health, morals, peace, and general welfare of the public.","The non-impairment clause is absolute and invalidates all labor, safety, and health regulations that affect private employment contracts.","Private commercial contracts automatically override municipal zoning ordinances and environmental restrictions.","The President can declare contracts void at will without demonstrating any public interest or police power justification.","A","Step-by-Step Solution:
1. Constitutional Doctrine on Police Power vs. Non-Impairment Clause (PASEI v. Drilon, 163 SCRA 386; Ortigas & Co. v. Feati Bank, 94 SCRA 533):
 - Police power is the most pervasive, least limitable, and most demanding of the three inherent sovereign powers of the State.
 - Settled Jurisprudence: The constitutional prohibition against impairment of contracts is NOT absolute.
 - All private contracts are entered into subject to the implied reservation of the State's police power to regulate for public health, safety, morals, and general welfare.
 - When a valid police power measure conflicts with a private contract, the contract must yield to the general welfare.
2. Option A accurately states this foundational rule of constitutional law.

Common Trap: Thinking the non-impairment clause is absolute; private contracts are always subordinate to the legitimate exercise of State police power.
Exam Tip: In the hierarchy of constitutional powers, valid POLICE POWER prevails over the Non-Impairment Clause.","Correct. Survives elimination because settled constitutional doctrine holds that the Non-Impairment Clause must yield to the legitimate exercise of the State's police power enacted to safeguard public welfare, health, and safety.","Eliminated because the Non-Impairment Clause is not absolute and cannot tie the hands of the State from passing protective labor and public welfare laws.","Eliminated because private contracts are subject to municipal zoning and environmental regulations enacted under police power.","Eliminated because contracts cannot be arbitrarily voided by executive decree without a valid police power law and public necessity.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Bill of Rights | Very Difficult | Batch 127"
