"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In the landmark en banc decisions of Estrada v. Escritor (A.M. No. P-02-1651, August 4, 2003 & June 22, 2006), what constitutional philosophy did the Supreme Court adopt in interpreting the RELIGION CLAUSES of Article III, Section 5?","BENEVOLENT NEUTRALITY / ACCOMMODATION, which recognizes that the Constitution permits government to accommodate religious practices and grant exemptions from neutral laws of general applicability, unless the State proves a COMPELLING STATE INTEREST using the least restrictive means.","STRICT SEPARATION (Wall of Separation), which mandates absolute hostility and prohibits any state accommodation of religious beliefs in public life.","STRICT ESTABLISHMENT, which establishes a single national religion funded directly by the national budget.","SECULAR TOTALITARIANISM, which outlaws all private religious organizations from operating within Philippine territory.","A","Step-by-Step Solution:
1. Landmark Jurisprudence: Estrada v. Escritor (492 SCRA 1, 2003 & 525 SCRA 377, 2006), penned by Chief Justice Reynato Puno:
 - Facts: Soledad Escritor, a court interpreter, lived in a conjugal union with a man who was not her legal husband, pursuant to a formal religious covenant with the Jehovah's Witnesses ('Declaration of Pledging Faithfulness'). An administrative compla∫ for 'disgraceful and immoral conduct' was filed against her. Escritor claimed freedom of religion under Article III, Section 5.
 - Supreme Court Ruling (En Banc):
 - 1. HISTORICAL & CONSTITUTIONAL PHILOSOPHY: The 1987 Philippine Constitution follows the doctrine of BENEVOLENT NEUTRALITY / ACCOMMODATION, rather than strict, hostile separation.
 - 2. Benevolent Neutrality recognizes that religion plays a vital, positive role in Filipino society. The State may ACCOMMODATE religious conscience and grant exemptions from general administrative rules.
 - 3. COMPELLING STATE INTEREST TEST: When a sincerely held religious practice conflicts with a neutral civil or administrative law, the Court applies Strict Scrutiny:
 (a) Has the sincere religious belief been burdened?
 (b) Has the State demonstrated a COMPELLING STATE INTEREST to override the religious practice?
 (c) Has the State used the LEAST INTRUSIVE MEANS?
 - 4. The administrative compla∫ against Escritor was dismissed because the State failed to prove a compelling state interest that outweighed her sincerely held religious practice.
2. Option A is the precise jurisprudential doctrine of Estrada v. Escritor.

Common Trap: Assuming the Philippines follows strict Jeffersonian separation of Church and State; Philippine constitutional law adheres to BENEVOLENT NEUTRALITY / ACCOMMODATION.
Exam Tip: Estrada v. Escritor = Philippine Constitution adopts BENEVOLENT NEUTRALITY / ACCOMMODATION (Evaluated via the Compelling State Interest Test).","Correct. Survives elimination because Estrada v. Escritor established that Philippine constitutional law adheres to benevolent neutrality/accommodation, allowing religious exemptions from general laws unless the State establishes a compelling state interest using the least restrictive means.","Eliminated because the Supreme Court explicitly rejected strict separationism (the strict 'wall of separation' model) as incompatible with Philippine constitutional history.","Eliminated because establishing a national religion is strictly prohibited by the Non-Establishment Clause (Article III, Section 5).","Eliminated because religious worship and organizations are explicitly protected under the Free Exercise Clause.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"In the landmark decision of Ebralinag v. The Division Superintendent of Schools of Cebu (G.R. No. 95770, March 1, 1993), why did the Supreme Court reverse Gerona v. Secretary of Education and protect JEHOVAH'S WITNESSES students from expulsion for refusing to salute the Philippine flag?","Compelling Jehovah's Witnesses students to salute the flag, sing the national anthem, and recite the patriotic pledge violates their sincerely held religious beliefs under the Free Exercise Clause, and their passive, non-disruptive refusal creates no clear and present danger to the State.","The Supreme Court held that the Philippine national flag and national anthem are unconstitutional symbols.","The Supreme Court ruled that public school students are immune from all Department of Education rules.","The Supreme Court declared that all public school flag ceremonies are permanently abolished.","A","Step-by-Step Solution:
1. Landmark Case Evolution:
 - Gerona v. Secretary of Education (106 Phil. 2, 1959): The Court previously upheld the expulsion of Jehovah's Witnesses, holding that the flag salute was a non-religious civic ceremony that could be compelled.
 - Ebralinag v. The Division Superintendent of Schools of Cebu (219 SCRA 743, 1993), penned by Justice Carolina Griño-Aquino:
 - The Supreme Court EN BANC OVERTURNED Gerona.
 - Supreme Court Ruling:
 1. FREE EXERCISE CLAUSE VIOLATION: Jehovah's Witnesses believe that saluting the flag constitutes idolatry forbidden by their faith (Book of Exodus).
 2. Sincere religious conviction is protected by Article III, Section 5.
 3. Passive, respectful standing during the flag ceremony without singing or saluting does NOT disrupt the ceremony and presents NO CLEAR AND PRESENT DANGER of any substantive evil to the State.
 4. Expelling young children from school solely for practicing their sincere religious faith is unconstitutional.
 5. DepEd was ordered to readmit the students.
2. Option A is the precise legal holding of Ebralinag v. Division Superintendent.

Common Trap: Remembering the old Gerona doctrine; Ebralinag is the controlling precedent: Jehovah's Witnesses CANNOT be expelled for passively refusing to salute the flag on religious grounds.
Exam Tip: Ebralinag v. Division Superintendent (1993) = Jehovah's Witnesses students CANNOT be expelled for refusing to salute the flag (Protected by FREE EXERCISE CLAUSE).","Correct. Survives elimination because Ebralinag v. Division Superintendent overruled Gerona, holding that forcing Jehovah's Witnesses to salute the flag violates the Free Exercise Clause, and their quiet refusal poses no clear and present danger to national public safety.","Eliminated because the national flag and anthem remain sacred constitutional symbols under Article XVI and RA 8491.","Eliminated because public school students remain subject to all valid educational and disciplinary regulations.","Eliminated because public schools continue to conduct daily/weekly flag ceremonies; only religious conscientious objectors are exempted from active participation.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"Under Article III, Section 5 of the 1987 Constitution, how is the dual nature of the 'FREE EXERCISE CLAUSE' divided into the FREEDOM TO BELIEVE and the FREEDOM TO ACT?","The freedom to believe is ABSOLUTE and cannot be restricted or penalized by the State, whereas the freedom to act on one's beliefs is SUBJECT TO STATE REGULATION under the police power for the protection of public safety, order, health, and morals.","Both the freedom to believe and the freedom to act are completely absolute and immune from any state regulation whatsoever.","The freedom to believe is subject to annual government permits, while the freedom to act is prohibited.","The State can compel citizens to sign sworn oaths pledging allegiance to specific religious doctrines.","A","Step-by-Step Solution:
1. Foundational Jurisprudence (Cantwell v. Connecticut, 310 U.S. 296; American Bible Society v. City of Manila, 101 Phil. 386; Iglesia ni Cristo v. CA, 259 SCRA 529):
2. The Twin Aspects of Free Exercise of Religion:
 - 1. FREEDOM TO BELIEVE (The Realm of Conscience / Mind):
 - ABSOLUTE AND UNTOUCHABLE.
 - The State has zero authority to interrogate, regulate, penalize, or dictate what a person chooses to believe, worship, or not believe.
 - 2. FREEDOM TO ACT ON ONE'S BELIEFS (External Manifestation of Faith):
 - NOT ABSOLUTE.
 - While highly protected, religious acts (such as rituals, processions, proselytizing, medical refusals, or practices) are SUBJECT TO REGULATION under the State's police power when they threaten public health, public morals, safety, or order (e.g., human sacrifice or child abuse disguised as religious rituals can be banned and prosecuted).
3. Option A is the classic, established constitutional distinction.

Common Trap: Believing all religious acts can never be regulated by law; while the freedom to BELIEVE is absolute, the freedom to ACT is subject to reasonable police power regulation.
Exam Tip: Freedom to BELIEVE = Absolute. Freedom to ACT = Subject to Police Power (evaluated under Clear and Present Danger / Compelling State Interest tests).","Correct. Survives elimination because constitutional jurisprudence establishes that the freedom to believe is absolute and immune from state interference, while the freedom to act is subject to valid police power regulations to protect public order and safety.","Eliminated because external religious conduct is not absolute and cannot be used as a shield to commit violent crimes or health hazards.","Eliminated because the State has no power to regulate internal beliefs of the human conscience.","Eliminated because Article III, Section 5 explicitly prohibits religious tests for the exercise of civil or political rights.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"In the landmark ruling of American Bible Society v. City of Manila (101 Phil. 386, 1957), why was Manila City Ordinance No. 2529 (imposing a municipal business license tax on the sale of BIBLES and religious literature) declared UNCONSTITUTIONAL?","Imposing a municipal license tax on the distribution and sale of religious books and Bibles operates as an unconstitutional PRIOR RESTRAINT and financial burden on the exercise of religious freedom under Article III, Section 5.","The ordinance was unconstitutional because the American Bible Society is a foreign sovereign embassy.","The ordinance was void because local governments have no power to collect business taxes from any private retail shops.","The ordinance was struck down because the City of Manila was legally prohibited from enacting tax measures.","A","Step-by-Step Solution:
1. Landmark Case: American Bible Society v. City of Manila (101 Phil. 386, 1957), penned by Justice Felix Bautista Angelo:
 - Facts: The City Treasurer of Manila required the American Bible Society to pay municipal license fees and business permit taxes for distributing, selling, and circulating Bibles and religious tracts. The Society paid under protest and sued.
 - Supreme Court Ruling (En Banc):
 - 1. FREE EXERCISE CLAUSE VIOLATION: The distribution and sale of religious literature at cost or nominal price is an integral part of the constitutional right to propagate one's religious faith.
 - 2. UNCONSTITUTIONAL TAX ON RELIGION: Imposing a prior business license tax or permit fee on the distribution of religious literature makes the exercise of religious freedom conditioned upon the payment of a tax.
 - 3. A license tax operates as an unconstitutional PRIOR RESTRAINT upon religious propagation.
 - 4. (Note: While religious literature sales cannot be subjected to prior license taxes, commercial profits or general non-discriminatory property taxes on church commercial buildings remain taxable).
2. Option A is the precise legal holding of American Bible Society v. City of Manila.

Common Trap: Assuming religious book sales can be licensed like general bookstores; distributing religious literature is a protected constitutional exercise that cannot be subjected to prior municipal licensing taxes.
Exam Tip: American Bible Society v. City of Manila = License taxes/permit fees on selling Bibles and religious literature violate FREEDOM OF RELIGION (Unconstitutional prior tax on faith).","Correct. Survives elimination because American Bible Society v. City of Manila held that imposing municipal license taxes on the sale of Bibles and religious literature imposes an unconstitutional prior financial restra∫ on the free exercise of religion.","Eliminated because the American Bible Society is a private non-profit religious society, not a foreign diplomatic embassy.","Eliminated because local governments have legitimate power to levy business taxes on ordinary commercial retail enterprises.","Eliminated because the City of Manila possesses taxing power under its charter, but cannot enforce taxes that infringe upon the Bill of Rights.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"Under Article VI, Section 29(2) of the 1987 Constitution and settled jurisprudence (Aglipay v. Ruiz, Garces v. Estenzo), what is the strict prohibition on the USE OF PUBLIC FUNDS for religious purposes, and what are the explicit constitutional EXCEPTIONS?","No public money or property shall ever be appropriated, applied, paid, or employed, directly or indirectly, for the use, benefit, or support of any sect, church, denomination, or priest; EXCEPT when such priest, preacher, minister, or dignitary is assigned to the ARMED FORCES, or to any PENAL INSTITUTION, or GOVERNMENT ORPHANAGE OR LEPROSARIUM.","Public funds may be used freely to build private sectarian cathedrals and mosques without restriction.","The government is prohibited from providing chaplain services to frontline military troops deployed in combat zones.","Public funds can only be spent on religious projects approved by the Commission on Audit.","A","Step-by-Step Solution:
1. Constitutional Text: Article VI, Section 29(2) states:
 'No public money or property shall be appropriated, applied, paid, or employed, directly or indirectly, for the use, benefit, or support of any sect, church, denomination, sectarian institution, or system of religion, or of any priest, preacher, minister, other religious teacher, or dignitary as such, EXCEPT WHEN SUCH PRIEST, PREACHER, MINISTER, OR DIGNITARY IS ASSIGNED TO THE ARMED FORCES, OR TO ANY PENAL INSTITUTION, OR GOVERNMENT ORPHANAGE OR LEPROSARIUM.'
2. Landmark Cases on Section 29(2):
 - Aglipay v. Ruiz (64 Phil. 201, 1937): Commemorative postage stamps marking the 33rd International Eucharistic Congress did not violate Section 29(2) because the main purpose was to promote the Philippines as a tourist destination (incidental religious benefit is permissible).
 - Garces v. Estenzo (104 SCRA 510, 1981): Purchase of a wooden image of San Vicente Ferrer by a barangay council with private civic funds was valid because the image was acquired for a traditional secular socio-civic fiesta.
3. Explicit Constitutional Exceptions (Chaplaincy Services):
 - Priests/ministers assigned to: (1) Armed Forces (AFP Chaplains), (2) Penal Institutions (Prisons), (3) Government Orphanages, (4) Government Leprosaria.
4. Option A matches the constitutional text and exceptions verbatim.

Common Trap: Forgetting the 4 constitutional exceptions; the Constitution explicitly authorizes the payment of salaries to religious chaplains assigned to the Military, Prisons, Orphanages, and Leprosaria.
Exam Tip: Article VI, Section 29(2) = BAN on public funds for religion; EXCEPT Chaplains in: (1) Armed Forces, (2) Penal Institutions, (3) Orphanages, (4) Leprosaria.","Correct. Survives elimination because Article VI, Section 29(2) strictly forbids using public funds for religious sects or clergy, while explicitly creating narrow exceptions for chaplains serving in the military, prisons, orphanages, and leprosaria.","Eliminated because direct public funding for sectarian church construction is strictly unconstitutional under the Non-Establishment Clause.","Eliminated because the Constitution expressly permits military chaplain services in the Armed Forces.","Eliminated because COA cannot authorize appropriations that violate Article VI, Section 29(2).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"In the landmark ruling of Iglesia ni Cristo v. Court of Appeals (G.R. No. 119673, July 26, 1996), what did the Supreme Court establish regarding the MTRCB's authority to review religious television programs and the application of the CLEAR AND PRESENT DANGER test to RELIGIOUS SPEECH?","The MTRCB has statutory jurisdiction to review religious television programs for public classification, but CANNOT censor, ban, or suppress religious broadcasts that criticize other religions, as religious criticism is protected speech that can only be suppressed upon showing of a CLEAR AND PRESENT DANGER of substantive evil.","The MTRCB possesses absolute power to censor and ban any religious television program that offends the sensibilities of board members.","Religious television programs are completely exempt from fire and building safety broadcast studio codes.","The Supreme Court held that criticizing other religious faiths is an act of treason punishable by death.","A","Step-by-Step Solution:
1. Landmark Case: Iglesia ni Cristo (INC) v. Court of Appeals (259 SCRA 529, 1996), penned by Justice Reynato Puno:
 - Facts: The Movie and Television Review and Classification Board (MTRCB) rated several episodes of the INC's television show 'Ang Dating Daan / Ang Iglesia ni Cristo' as 'X' (banned from broadcast) because the program vigorously attacked and criticized Catholic and Protestant doctrines. INC claimed the censorship violated its freedom of religion and speech.
 - Supreme Court Ruling (En Banc):
 - 1. MTRCB JURISDICTION: MTRCB has statutory authority under PD 1986 to review all television broadcasts (including religious shows) for age classification (G, PG, R).
 - 2. RELIGIOUS SPEECH IS HIGHLY PROTECTED: Freedom of religious expression includes the right to propagate one's faith, expound doctrines, and CRITICIZE THE BELIEFS OF OTHER RELIGIONS.
 - 3. CLEAR AND PRESENT DANGER TEST APPLIES: Religious criticism, even if sharp, uncomplimentary, or offensive to other faiths, CANNOT BE BANNED OR CENSORED unless it creates a CLEAR AND PRESENT DANGER of a serious substantive evil (e.g., imminent public rioting or physical violence).
 - 4. The MTRCB's 'X' rating constituted an unconstitutional prior restra∫.
2. Option A is the precise legal holding of INC v. Court of Appeals.

Common Trap: Believing the State can censor a church for criticizing other religions; religious criticism is PROTECTED SPEECH and cannot be banned without proving a Clear and Present Danger.
Exam Tip: INC v. Court of Appeals = Religious TV shows can be classified by MTRCB, but CANNOT BE CENSORED for criticizing other religions without a CLEAR AND PRESENT DANGER.","Correct. Survives elimination because INC v. Court of Appeals established that while MTRCB may classify programs, it cannot censor religious programs for criticizing other denominations unless the broadcast presents a clear and present danger of serious substantive evil.","Eliminated because MTRCB has no unchecked censorship authority over protected religious expressions.","Eliminated because broadcast studios remain subject to standard municipal safety regulations.","Eliminated because theological debate and religious criticism are protected civil liberties, not treason.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"What is the 'NO RELIGIOUS TEST CLAUSE' under Article III, Section 5, paragraph 2 of the 1987 Constitution, and what is its legal consequence for public office and civil rights?","No religious test shall ever be required for the exercise of civil or political rights, meaning that a person's religious affiliation, faith, or absence of faith can never be used as a qualification or disqualification for public office, voting, or civil employment.","Only members of recognized majority religions are permitted to take the Civil Service Examination.","Public school teachers must swear an oath professing belief in a specific monotheistic religion.","Judicial candidates must submit certificates of baptism to qualify for the Supreme Court.","A","Step-by-Step Solution:
1. Constitutional Text: Article III, Section 5, last sentence:
 'No religious test shall be required for the exercise of civil or political rights.'
2. Meaning and Historical Significance:
 - Rooted in the total separation of Church and State and the guarantee of Equal Protection.
 - Prohibits the State from imposing any religious oath, belief, confession of faith, or church affiliation as a condition precedent for:
 1. Holding public office (Executive, Legislative, Judicial, Civil Service).
 2. Voting or running for elective office (Political Rights).
 3. Taking bar examinations, board exams, or civil service tests.
 4. Exercising civil rights (contracts, property, marriage).
 - An atheist, agnostic, Christian, Muslim, Buddhist, or member of any minority faith stands on complete equal footing before the law.
3. Option A is the verbatim constitutional principle and doctrine.

Common Trap: Assuming public officials must profess a faith; the Constitution strictly bars ANY religious test for public service or civil rights.
Exam Tip: Article III, Section 5 = NO RELIGIOUS TEST shall ever be required for the exercise of civil or political rights.","Correct. Survives elimination because Article III, Section 5 explicitly commands that no religious test shall ever be required for the exercise of civil or political rights, guaranteeing that faith or lack of faith cannot affect eligibility for public office.","Eliminated because all citizens, regardless of religious belief or non-belief, are fully eligible to take civil service examinations.","Eliminated because mandatory religious oaths for public teachers violate the No Religious Test Clause.","Eliminated because baptismal certificates cannot be required as qualifications for judicial or public office.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"In the landmark ruling of Victoriano v. Elizalde Rope Workers' Union (G.R. No. L-25246, September 12, 1974), why was the statutory exemption of religious objectors from mandatory 'CLOSED-SHOP' UNION MEMBERSHIP agreements upheld as CONSTITUTIONAL under the Free Exercise Clause?","Exempting employees whose religious faith prohibits them from joining labor unions (such as the Iglesia ni Cristo) from mandatory closed-shop union membership is a valid constitutional accommodation of religious freedom that takes precedence over statutory labor union security clauses.","The Supreme Court held that all labor unions in the Philippines are unconstitutional.","The Supreme Court ruled that employers can dismiss any worker who belongs to a religious organization.","The statutory exemption was struck down because labor security clauses always override the Bill of Rights.","A","Step-by-Step Solution:
1. Landmark Case: Victoriano v. Elizalde Rope Workers' Union (59 SCRA 54, 1974), penned by Justice Antonio Barredo:
 - Facts: Benjamin Victoriano, an employee of Elizalde Rope Factory and a member of the Iglesia ni Cristo (INC), refused to join the recognized labor union. The union had a 'closed-shop' agreement in the CBA requiring all employees to be union members or face dismissal. Republic Act No. 3350 amended the Industrial Peace Act to exempt members of religious sects whose teachings prohibit union membership from closed-shop agreements. The union challenged the law as unconstitutional.
 - Supreme Court Ruling (En Banc):
 - 1. FREE EXERCISE CLAUSE SUPREMACY: The right to freedom of religion is a fundamental constitutional right that occupies a preferred position in the hierarchy of constitutional values.
 - 2. ACCOMMODATION OF RELIGION: RA 3350 is a valid legislative accommodation designed to protect the religious conscience of workers whose faith forbids them from joining unions.
 - 3. Freedom of association includes the negative right NOT to join an association when doing so violates religious tenets.
 - 4. The statutory exemption is CONSTITUTIONAL and valid.
2. Option A is the precise legal holding of Victoriano v. Elizalde Rope Workers' Union.

Common Trap: Believing closed-shop union clauses can force a religious objector out of a job; RA 3350 and Victoriano protect religious objectors from mandatory union membership.
Exam Tip: Victoriano v. Elizalde Rope Workers' Union = Exemption of religious objectors from closed-shop union membership is CONSTITUTIONAL (Religious freedom trumps contractual union security).","Correct. Survives elimination because Victoriano v. Elizalde Rope Workers' Union established that statutory exemptions protecting religious objectors from compulsory union membership are constitutional accommodations of religious freedom under Article III, Section 5.","Eliminated because labor unions are constitutionally recognized under Article XIII, Section 3.","Eliminated because dismissing workers solely for religious adherence is an unlawful unfair labor practice.","Eliminated because fundamental constitutional rights in the Bill of Rights take precedence over private contractual union security agreements.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"In the landmark case of Imbong v. Ochoa, Jr. (G.R. No. 204819, April 8, 2014), why did the Supreme Court strike down provisions of the RH Law (RA 10354) that penalized healthcare providers who refused to perform or refer family planning services due to RELIGIOUS BELIEFS?","Penalizing healthcare providers who refuse to participate in or refer patients for reproductive health procedures contrary to their religious convictions violates their fundamental right to religious freedom and CONSCIENTIOUS OBJECTION under Article III, Section 5 and Article XV, Section 3(1).","The entire medical profession was declared exempt from all national health regulations.","The Supreme Court held that the government cannot provide public funding for maternal health clinics.","The Supreme Court ruled that doctors have no right to practice medicine unless they swear allegiance to the Reproductive Health Act.","A","Step-by-Step Solution:
1. Landmark Case: Imbong v. Ochoa, Jr. (721 SCRA 146, 2014), penned by Justice Jose Catral Mendoza:
 - Facts: The Responsible Parenthood and Reproductive Health Act of 2012 (RA 10354) penalized healthcare providers who refused to provide reproductive health supplies or refer patients to other providers, even if they had conscientious religious objections.
 - Supreme Court Ruling (En Banc):
 - 1. CONSCIENTIOUS OBJECTION PROTECTED: Under Article III, Section 5 (Free Exercise Clause) and Article XV, Section 3(1), the State CANNOT compel individuals to act contrary to their sincere religious beliefs.
 - 2. The obligation imposed on religious conscientious objectors to refer patients to other facilities was an unconstitutional coercion that made them complicit in an act their religion considered immoral.
 - 3. The punitive provisions penalizing conscientious objectors (and forcing private religious hospitals to provide procedures) were declared UNCONSTITUTIONAL AND VOID.
2. Option A is the precise legal holding of Imbong v. Ochoa on conscientious objection.

Common Trap: Thinking doctors lose their religious rights upon getting licensed; the Supreme Court affirmed that medical professionals retain the constitutional right of CONSCIENTIOUS OBJECTION.
Exam Tip: Imbong v. Ochoa = Forcing healthcare workers to violate their religious beliefs or penalizing conscientious objectors violates the FREE EXERCISE CLAUSE.","Correct. Survives elimination because Imbong v. Ochoa held that punishing medical professionals who refuse to perform or refer family planning procedures violating their religious faith unconstitutionally infringes upon their right to conscientious objection under Article III, Section 5.","Eliminated because the medical profession remains subject to valid medical licensing and health laws.","Eliminated because state funding for public maternal health clinics was upheld as constitutional.","Eliminated because loyalty oaths to specific statutes are not constitutional prerequisites for medical practice.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
"Under Article II, Section 6 of the 1987 Constitution, what is the foundational constitutional declaration regarding the SEPARATION OF CHURCH AND STATE?","The separation of Church and State shall be INVIOLABLE.","The State shall adopt Catholicism as the official national religion.","The President of the Philippines serves as the head of all national religious denominations.","Church organizations are legally required to submit all internal sermons to Congress for pre-approval.","A","Step-by-Step Solution:
1. Constitutional Text: Article II, Section 6 states:
 'The separation of Church and State shall be inviolable.'
2. Landmark Companion Provisions:
 - Article III, Section 5: Non-Establishment Clause, Free Exercise Clause, No Religious Test.
 - Article VI, Section 29(2): Prohibition on public funds for sectarian purposes.
 - Article IX-C, Section 2(5): Religious denominations and sects CANNOT be registered as political parties in the party-list system.
3. Meaning of 'Inviolable':
 - Absolute constitutional commitment that the State shall not establish, endorse, or financially support any religion, nor shall the State interfere with the internal dogmas, faith, and religious worship of religious organizations.
4. Option A is the exact constitutional text.

Common Trap: Believing the Constitution permits an official state religion; Article II, Section 6 explicitly commands that Church-State separation is INVIOLABLE.
Exam Tip: Article II, Section 6 = The separation of Church and State shall be INVIOLABLE.","Correct. Survives elimination because Article II, Section 6 unequivocally establishes that the separation of Church and State shall be inviolable in the Republic of the Philippines.","Eliminated because establishing an official national religion violates both Article II, Section 6 and Article III, Section 5.","Eliminated because the civilian President has no ecclesiastical or theological authority over religious bodies.","Eliminated because state pre-approval of sermons is an unconstitutional form of censorship and religious interference.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Freedom of religion | Very Difficult | Batch 148"
