"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Philippine constitutional jurisprudence and Article VIII, Section 1 of the 1987 Constitution, what are the FOUR ESSENTIAL REQUISITES that must concur before a court may exercise the power of JUDICIAL REVIEW to rule upon the constitutionality of a law or official act?","(1) An actual case or controversy involving a conflict of legal rights susceptible of judicial resolution, (2) Locus standi (proper legal standing of the petitioner), (3) The constitutional question must be raised at the earliest opportunity, and (4) The constitutional question must be the lis mota of the case.","(1) A signed petition endorsed by the President, (2) A certificate of urgency from the Senate, (3) Payment of an indemnity bond, and (4) Prior approval by the Judicial and Bar Council.","(1) An ongoing state of national martial law, (2) Direct certification by the Ombudsman, (3) Absence of any dissenting opinions, and (4) Prior publication in three national newspapers.","(1) An advisory opinion requested by a cabinet secretary, (2) Complete absence of disputed facts, (3) A jo∫ resolution of the House of Representatives, and (4) A five-year waiting period.","A","Step-by-Step Solution:
1. Foundational Jurisprudence:
 - Angara v. Electoral Commission (63 Phil. 139, 1936), penned by Justice Jose P. Laurel.
 - Francisco v. House of Representatives (415 SCRA 44, 2003).
 - Southern Hemisphere Engagement Network v. Anti-Terrorism Council (632 SCRA 146, 2010).
2. The Four Indispensable Requisites of Judicial Review:
 - 1. ACTUAL CASE OR CONTROVERSY: A real and existing conflict of legal rights and duties involving concrete injuries, not hypothetical, speculative, moot, or academic questions.
 - 2. LOCUS STANDI (Legal Standing): The party challenging the act must have a personal and substantial interest, having sustained or being in immediate danger of sustaining direct injury from the act (or qualifying under the transcendental importance doctrine).
 - 3. RAISED AT THE EARLIEST OPPORTUNITY: The constitutional challenge must be pleaded at the earliest possible stage in the trial court pleadings.
 - 4. LIS MOTA (Cause of the Suit): The constitutional question is the very core issue and is unavoidable—the case cannot be disposed of on statutory, factual, or other non-constitutional grounds.
3. Option A is the classic, verbatim four-part test of Judicial Review.

Common Trap: Thinking courts can issue advisory opinions; Philippine courts have NO advisory jurisdiction—an ACTUAL CASE OR CONTROVERSY with real contending parties is strictly required.
Exam Tip: The 4 Requisites of Judicial Review: (1) Actual Case/Controversy, (2) Locus Standi, (3) Earliest Opportunity, (4) Lis Mota.","Correct. Survives elimination because long-standing jurisprudence (Angara, Francisco) establishes these four indispensable requisites: an actual case or controversy, locus standi, raising the issue at the earliest opportunity, and lis mota.","Eliminated because presidential endorsements, Senate certificates, and JBC approvals are not legal prerequisites for judicial review.","Eliminated because martial law declarations and Ombudsman certifications are not conditions for judicial review.","Eliminated because Philippine courts are prohibited from rendering advisory opinions on abstract or hypothetical questions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"In the landmark ruling of David v. Macapagal-Arroyo (G.R. No. 171396, May 3, 2006), what are the FOUR RECOGNIZED EXCEPTIONS to the 'Moot and Academic' principle that allow the Supreme Court to decide a constitutional case despite the cessation of the controversy?","(1) There is a grave violation of the Constitution, (2) The exceptional character of the situation and the paramount public interest involved, (3) The need to formulate controlling principles to educate the bench and bar, and (4) The case is capable of repetition yet evading review.","(1) The President requests a media conference, (2) The case involves foreign exchange rates, (3) All parties agree to waive judicial procedure, and (4) The trial court judge retired during the trial.","(1) The statute has been repealed for more than ten years, (2) The petitioner lost Philippine citizenship, (3) The controversy arose during a local fiesta, and (4) The case involves maritime salvage.","(1) The case is purely hypothetical, (2) The petitioner suffered zero injury, (3) The Supreme Court lacks jurisdiction, and (4) Both parties are government bureaus.","A","Step-by-Step Solution:
1. Landmark Case: David v. Macapagal-Arroyo (489 SCRA 160, 2006), penned by Justice Renato Corona:
 - Facts: President Arroyo lifted Presidential Proclamation No. 1017 (State of National Emergency) while petitions challenging its constitutionality were pending before the Supreme Court. The Solicitor General argued the cases had become 'moot and academic' because the emergency was over.
 - Supreme Court Ruling (En Banc):
 - General Rule: Courts will dismiss cases that are moot and academic (where supervening events have eliminated the actual controversy, leaving no practical relief).
 - THE FOUR EXCEPTIONS TO MOOTNESS: Courts will decide an otherwise moot constitutional case when:
 1. There is a GRAVE VIOLATION of the Constitution;
 2. The EXCEPTIONAL CHARACTER of the situation and the PARAMOUNT PUBLIC INTEREST is involved;
 3. When constitutional issues raised require the FORMULATION OF CONTROLLING PRINCIPLES to guide the bench, the bar, and the public; AND
 4. The case is CAPABLE OF REPETITION YET EVADING REVIEW.
2. Option A is the verbatim four-part exception test established in David v. Arroyo.

Common Trap: Believing courts must always dismiss a case the moment an emergency proclamation is lifted; if the case is 'capable of repetition yet evading review' or involves paramount public interest, the Court WILL DECIDE it on the merits.
Exam Tip: The 4 Exceptions to Mootness: (1) Grave constitutional violation, (2) Paramount public interest, (3) Guiding bench and bar, (4) Capable of repetition yet evading review.","Correct. Survives elimination because David v. Arroyo explicitly formulated these four exceptions allowing the Supreme Court to adjudicate constitutional challenges even after the underlying dispute has become technically moot.","Eliminated because presidential media requests and currency exchange rates are not recognized legal exceptions to the mootness doctrine.","Eliminated because long-repealed laws and local events do not satisfy the four constitutional mootness exception criteria.","Eliminated because hypothetical claims with zero injury remain strictly non-justiciable under the actual case or controversy requirement.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"What is the 'DOCTRINE OF OPERATIVE FACT' in Philippine constitutional law (as reaffirmed in De Agbayani v. PNB, Belgica v. Ochoa, and Araullo v. Aquino III)?","While an unconstitutional law is void and produces no legal effect, the actual existence and implementation of the statute prior to its judicial nullification is an operative historical fact producing legal consequences and rights that cannot be ignored when undoing them would result in grave injustice or inequity.","An unconstitutional law is permanently treated as valid for all past, present, and future transactions.","The Doctrine of Operative Fact requires all citizens to refund all salaries received under an unconstitutional administrative structure.","The Doctrine of Operative Fact allows the President to enforce an unconstitutional statute indefinitely.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - De Agbayani v. Philippine National Bank (38 SCRA 429, 1971), penned by Justice Enrique Fernando.
 - Belgica v. Ochoa (710 SCRA 1, 2013).
 - Araullo v. Aquino III (728 SCRA 1, 2014).
2. The Two Competing Views of Unconstitutionality:
 - A. Traditional Orthodoxy (Norton v. Shelby County): An unconstitutional act is not a law; it confers no rights; it imposes no duties; it affords no protection; it is inoperative as if it had never been passed.
 - B. Modern Realism / THE DOCTRINE OF OPERATIVE FACT (De Agbayani v. PNB):
 - Recognizes that people relied on the statute in good faith before the Supreme Court struck it down.
 - Contracts were signed, public infrastructure was built, bridges were erected, and salaries were disbursed under color of law.
 - The past cannot always be erased by a simple judicial decree.
 - Therefore, as a rule of equity and practical justice, acts done, rights accrued, and consequences produced prior to the judicial declaration of unconstitutionality are recognized as 'OPERATIVE FACTS' that will not be undone if doing so causes grave injustice or hardship to innocent third parties acting in good faith.
3. Option A is the precise legal definition of the Doctrine of Operative Fact.

Common Trap: Believing the Operative Fact doctrine makes the unconstitutional law valid; the law IS VOID, but its past historical effects prior to the ruling are given equitable recognition.
Exam Tip: Doctrine of Operative Fact = Past acts and consequences done in good faith under an unconstitutional law before its nullification are recognized in equity.","Correct. Survives elimination because De Agbayani v. PNB and modern rulings establish that the Doctrine of Operative Fact recognizes the equitable consequences and reliance generated by a statute prior to its judicial declaration of unconstitutionality.","Eliminated because an unconstitutional statute is void and cannot apply to future transactions following its nullification.","Eliminated because the Operative Fact doctrine prevents punitive salary recoupments from civil servants who served in good faith prior to nullification.","Eliminated because the Executive cannot continue enforcing a law once the Supreme Court has declared it unconstitutional.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"How did the Supreme Court in landmark standing cases (e.g., Kilosbayan v. Morato, Funa v. Villar, David v. Arroyo) define the 'DOCTRINE OF TRANSCENDENTAL IMPORTANCE' regarding LOCUS STANDI?","In cases of paramount public interest or constitutional issues of transcendental importance, the procedural requirement of direct personal and substantial injury (locus standi) is relaxed, allowing citizens, taxpayers, or legislators to petition the court to protect the rule of law.","The doctrine gives every foreign tourist automatic standing to challenge local tax assessments.","The doctrine requires that only former Presidents can file constitutional petitions before the Supreme Court.","The doctrine mandates that all constitutional lawsuits must be filed jointly by at least one million registered voters.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - Kilosbayan, Inc. v. Morato (246 SCRA 540, 1995), penned by Justice Vicente Mendoza.
 - David v. Macapagal-Arroyo (489 SCRA 160, 2006).
 - Funa v. Villar (670 SCRA 579, 2012).
2. General Rule of Locus Standi:
 - A party must have a personal and substantial interest in the case, having suffered or being threatened with DIRECT, CONCRETE INJURY (Injury-in-Fact Test).
3. Exception: DOCTRINE OF TRANSCENDENTAL IMPORTANCE:
 - When a case involves:
 (1) The character of the funds or public property involved;
 (2) The presence of a clear constitutional violation;
 (3) A matter of paramount public interest or transcendental importance to the nation; and
 (4) No other party is in a better position to raise the challenge;
 - The Supreme Court RELAXES procedural rules on legal standing, granting standing to:
 - TAXPAYERS (when public funds are disbursed unconstitutionally);
 - LEGISLATORS / CONGRESSMEN (when executive acts impair congressional prerogatives);
 - CITIZENS (when public rights and constitutional principles are at stake).
4. Option A is the precise legal formulation of the doctrine.

Common Trap: Thinking anyone can sue on any minor grievance; the relaxation of standing applies specifically to matters of TRANSCENDENTAL IMPORTANCE and paramount public interest.
Exam Tip: Doctrine of Transcendental Importance = Relaxation of Locus Standi for citizens/taxpayers/legislators in issues of paramount constitutional significance.","Correct. Survives elimination because the Doctrine of Transcendental Importance allows courts to brush aside technical standing barriers in cases of immense public interest, enabling citizens and taxpayers to vindicate the Constitution.","Eliminated because the doctrine does not confer standing on foreign tourists for private tax grievances.","Eliminated because standing is not restricted to former Chief Executives; ordinary citizens and taxpayers regularly qualify under relaxed rules.","Eliminated because a million signatures are not required; a single citizen or taxpayer can establish standing in matters of transcendental importance.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"What is the distinction between a 'FACIAL CHALLENGE' and an 'AS-APPLIED CHALLENGE' in the exercise of judicial review (as clarified in Estrada v. Sandiganbayan, Disini v. Secretary of Justice, and Calleja v. Executive Secretary)?","A facial challenge examines the entire statute on its face to declare it void in all its applications (typically permitted only under Free Speech/Press overbreadth or vagueness claims), whereas an as-applied challenge tests the constitutionality of the statute only as it is applied to the specific factual circumstances of the petitioner.","A facial challenge examines the physical facial features of the defendant during criminal arraignment, while an as-applied challenge tests forensic evidence.","A facial challenge applies exclusively to municipal traffic ordinances, while an as-applied challenge applies to foreign treaties.","There is no legal difference; both terms mean an oral petition filed without written briefs.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - Estrada v. Sandiganbayan (369 SCRA 394, 2001), penned by Justice Josue Bellosillo.
 - Disini, Jr. v. Secretary of Justice (716 SCRA 237, 2014).
 - Southern Hemisphere Engagement Network v. Anti-Terrorism Council (632 SCRA 146, 2010).
 - Calleja v. Executive Secretary (Anti-Terrorism Act of 2020 / RA 11479, 2021).
2. The Two Forms of Constitutional Challenge:
 - 1. FACIAL CHALLENGE (On its Face):
 - Challenges the law as a whole before it is even applied.
 - As a general rule, facial challenges are DISFAVORED in penal statutes because a penal law may be valid in most applications even if vague in some.
 - EXCEPTION: Allowed primarily in cases involving FREEDOM OF SPEECH, EXPRESSION, AND PRESS under the Void-for-Vagueness and Overbreadth doctrines (due to the 'chilling effect' on free speech).
 - 2. AS-APPLIED CHALLENGE:
 - The standard mode of constitutional challenge.
 - Challenges the law as it has ACTUALLY BEEN APPLIED to the specific facts, acts, and circumstances of the litigant in a real controversy.
3. Option A is the classic jurisprudential definition.

Common Trap: Believing all criminal laws can be struck down on facial challenges; outside Free Speech, challenges to penal statutes must generally be AS-APPLIED based on actual prosecution.
Exam Tip: Facial Challenge = Challenging law on its face across all applications (permitted in Free Speech); As-Applied Challenge = Challenging law based on specific concrete application to petitioner.","Correct. Survives elimination because established jurisprudence (Disini, Estrada, Calleja) defines a facial challenge as an attack on the statute as a whole (chiefly in free speech cases) and an as-applied challenge as testing the law against the petitioner's specific factual circumstances.","Eliminated because facial challenges pertain to statutory text evaluation, not physical facial anatomy.","Eliminated because the distinction applies across all levels of statutes and regulations, not just traffic ordinances.","Eliminated because facial vs. as-applied is a foundational distinction in constitutional litigation.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"What is the 'POLITICAL QUESTION DOCTRINE,' and how was its historical scope transformed by the 'EXPANDED CERTIORARI JURISDICTION' under Article VIII, Section 1 of the 1987 Constitution?","A political question is one that involves questions which, under the Constitution, are to be decided by the people in their sovereign capacity or full discretionary authority is delegated to the legislative or executive branch; however, under the expanded judicial review of Article VIII, Section 1, courts have the duty to strike down even political acts if committed with grave abuse of discretion.","Political questions are questions that can only be decided by registered political party chairpersons during national conventions.","The Political Question Doctrine was completely eliminated and courts are now required to vote on all legislative bills before Congress.","Political questions allow the President to overturn Supreme Court rulings on treaty constitutionality.","A","Step-by-Step Solution:
1. Foundational Jurisprudence:
 - Tañada v. Cuenco (103 Phil. 1051, 1957), penned by Justice Roberto Concepcion: Classic definition of Political Question.
 - Marcos v. Manglapus (177 SCRA 668, 1989).
 - Francisco v. House of Representatives (415 SCRA 44, 2003).
 - Belgica v. Ochoa (710 SCRA 1, 2013).
2. Definition & Evolution:
 - Classic Political Question: A question whose resolution is constitutionally committed to the political branches (Legislative or Executive), or whose determination depends on the wisdom, policy, or efficacy of a measure (e.g., whether to declare war, which foreign government to recognize).
 - Historical Abuse: During the authoritarian regime, the political question doctrine was frequently invoked to shield human rights abuses and executive decrees from judicial scrutiny.
 - THE 1987 REVOLUTION IN ARTICLE VIII, SECTION 1(2):
 - The Constitution introduced the Expanded Certiorari Jurisdiction: 'Judicial power includes the duty of the courts... to determine whether or not there has been a GRAVE ABUSE OF DISCRETION AMOUNTING TO LACK OR EXCESS OF JURISDICTION on the part of any branch or instrumentality of the Government.'
 - As a result, the political question doctrine can NO LONGER be used as a shield when an official act exceeds constitutional boundaries or exhibits grave abuse of discretion.
3. Option A is the precise legal evolution and constitutional doctrine.

Common Trap: Believing courts can never touch political issues; if there is GRAVE ABUSE OF DISCRETION or a constitutional boundary is breached, the Supreme Court has the DUTY to intervene.
Exam Tip: Political Question Doctrine + Expanded Judicial Review (Art. VIII, Sec. 1) = Courts MUST review and invalidate acts tainted with GRAVE ABUSE OF DISCRETION.","Correct. Survives elimination because Tañada v. Cuenco and modern doctrine establish that while policy questions belong to the political branches, Article VIII, Section 1 commands courts to intervene whenever an act is tainted with grave abuse of discretion.","Eliminated because political questions are constitutional concepts of governmental branch competence, not political party convention debates.","Eliminated because the Judiciary does not vote on legislative bills; judicial review applies to enacted statutes and official acts.","Eliminated because the Executive cannot overrule Supreme Court decisions on treaty constitutionality.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"What constitutes 'GRAVE ABUSE OF DISCRETION' sufficient to justify the issuance of an extraordinary writ of certiorari under the expanded judicial review of Article VIII, Section 1?","Such capricious and whimsical exercise of judgment as is equivalent to lack of jurisdiction, or where the power is exercised in an arbitrary or despotic manner by reason of passion or personal hostility, so patent and gross as to amount to an evasion of a positive duty or a virtual refusal to perform the duty enjoined by law.","Any simple error in grammar or formatting contained in an administrative department's memorandum.","A minor difference of legal opinion between a trial judge and an associate justice of the Court of Appeals.","The lawful exercise of statutory administrative discretion strictly within the boundaries of an enabling law.","A","Step-by-Step Solution:
1. Foundational Jurisprudence (Mitra v. Commission on Elections, 622 SCRA 744; Francisco v. House of Representatives; Estrada v. Desierto):
2. The Celebrated, Standard Definition of Grave Abuse of Discretion:
 - 'Grave abuse of discretion implies such CAPRICIOUS AND WHIMSICAL exercise of judgment as is equivalent to LACK OF JURISDICTION.'
 - 'The abuse of discretion must be so PATENT AND GROSS as to amount to an EVASION OF A POSITIVE DUTY or to a virtual refusal to perform the duty enjoined or to act at all in contemplation of law, or where power is exercised in an ARBITRARY OR DESPOTIC MANNER by reason of passion or personal hostility.'
3. Essential Contrast:
 - Mere error of judgment (mistake in evaluating facts or applying ordinary law) -> Correctible via ORDINARY APPEAL (Rule 41/43/45).
 - Error of jurisdiction / Grave abuse of discretion -> Correctible via CERTIORARI (Rule 65 / Article VIII, Section 1).
4. Option A is the verbatim, definitive jurisprudential definition.

Common Trap: Confusing simple errors of judgment with grave abuse of discretion; grave abuse requires capricious, whimsical, or despotic exercise of power amounting to lack of jurisdiction.
Exam Tip: Grave Abuse of Discretion = Capricious, whimsical, arbitrary, or despotic exercise of judgment equivalent to LACK OF JURISDICTION.","Correct. Survives elimination because long-standing Philippine jurisprudence consistently defines grave abuse of discretion as a capricious, whimsical, arbitrary, or despotic exercise of power amounting to lack or excess of jurisdiction.","Eliminated because simple typographical or grammatical errors do not constitute grave abuse of discretion.","Eliminated because ordinary differences of legal opinion are resolved through standard appellate processes, not certiorari for grave abuse.","Eliminated because lawful exercise of statutory discretion within legal bounds is the opposite of grave abuse of discretion.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"Under Article VIII, Section 5(2) and Section 4(2) of the 1987 Constitution, who possesses the power to exercise JUDICIAL REVIEW, and what is the 'DIFFUSE' system of judicial review in the Philippines?","All regular courts (from Regional Trial Courts to the Court of Appeals and Supreme Court) possess the power to decide constitutional questions in the first instance (diffuse system), with the Supreme Court being the final and supreme arbiter whose En Banc concurrence is required to declare a law unconstitutional with finality.","Only the Chief Justice acting alone can declare a statute unconstitutional in the Philippines.","Only the Court of Tax Appeals can review constitutional questions regarding national laws.","The Philippines operates under a concentrated system where only the Senate can decide constitutional questions.","A","Step-by-Step Solution:
1. Foundational Constitutional Structure (Ynot v. Intermediate Appellate Court, 148 SCRA 659; Planters Products v. Fertiphil):
 - Systems of Judicial Review in Comparative Law:
 1. Concentrated System (e.g., Germany, France, Italy): Only a single specialized 'Constitutional Court' can rule on constitutionality; ordinary trial courts have zero constitutional review power.
 2. DIFFUSE (DECENTRALIZED) SYSTEM (Philippines and United States):
 - The power of judicial review is NOT concentrated in the Supreme Court alone.
 - ALL COURTS of the land (including Regional Trial Courts and the Court of Appeals) possess judicial review power to declare a statute or ordinance unconstitutional in an actual case pending before them (Ynot v. IAC).
 - However, the SUPREME COURT EN BANC is the supreme and final appellate court, whose decision establishes binding precedent (Article VIII, Section 4[2]).
2. Option A is the precise legal description of the Philippine diffuse system.

Common Trap: Believing trial courts cannot declare a law unconstitutional; an RTC judge CAN declare a statute unconstitutional in an actual controversy, subject to appeal to the Supreme Court.
Exam Tip: Philippine Judicial Review = DIFFUSE (All courts, including RTCs, can rule on constitutionality in the first instance; Supreme Court is the final arbiter).","Correct. Survives elimination because the Philippine legal system employs diffuse judicial review, empowering all trial and appellate courts to pass upon constitutional questions in the first instance, with the Supreme Court serving as the ultimate court of last resort.","Eliminated because judicial review is a collegial judicial function, not the unilateral power of the Chief Justice.","Eliminated because the Court of Tax Appeals is a specialized court; all regular courts possess constitutional review jurisdiction.","Eliminated because the concentrated European model is not used in the Philippines, and the Senate is a legislative, not judicial, review body.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"What is the meaning of the requirement that a constitutional issue must be the 'LIS MOTA' of the case before a court will declare a statute unconstitutional?","The constitutional question must be the very cause and essence of the suit, such that the case cannot be legally resolved or disposed of on any other non-constitutional or statutory ground.","The petitioner must present a signed certificate of good moral character from the Integrated Bar of the Philippines.","The constitutional question must have been discussed in a television editorial prior to filing.","The court must decide the constitutional question first before verifying if it has subject-matter jurisdiction.","A","Step-by-Step Solution:
1. Landmark Jurisprudence:
 - Sotto v. Commission on Elections (76 Phil. 516, 1946).
 - General v. Urro (646 SCRA 280, 2011).
 - Kalipunan ng Damayang Mahihirap (KADAMAY) v. Executive Secretary.
2. Definition of 'Lis Mota':
 - Latin for 'the cause of the suit' or 'the controversy at issue.'
 - Principle of Constitutional Avoidance / Judicial Restra∫:
 - Courts will NOT pass upon a constitutional question—even if properly presented and argued—if the case can be disposed of and resolved on some other ground (such as statutory construction, procedural defect, lack of evidence, or ordinary contract/penal law).
 - The constitutional question must be UNAVOIDABLE; its resolution must be ABSOLUTELY NECESSARY and INDISPENSABLE to the judgment in the case.
3. Option A is the exact legal definition of Lis Mota.

Common Trap: Believing courts eager to rule on interesting constitutional questions will do so even if the case can be solved by simple statutory interpretation; courts strictly apply the Lis Mota rule to avoid unnecessary constitutional declarations.
Exam Tip: Lis Mota = Constitutional question is UNAVOIDABLE and INDISPENSABLE to the resolution of the case (Court will avoid constitutional ruling if statutory grounds suffice).","Correct. Survives elimination because Lis Mota requires that the constitutional question be the indispensable core of the controversy, meaning the case cannot be adjudicated on any other statutory or non-constitutional ground.","Eliminated because good moral character certificates are bar admission items, not criteria for lis mota.","Eliminated because media coverage is irrelevant to judicial review requirements.","Eliminated because verifying subject-matter jurisdiction is always a court's primary threshold duty before reaching any substantive issues.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
"Under Article VIII, Section 4(3) of the 1987 Constitution, what is the constitutional rule regarding OVERTURNING OR MODIFYING A LEGAL DOCTRINE previously laid down by the Supreme Court?","No doctrine or principle of law laid down by the Court in a decision rendered en banc or in division may be modified or reversed except by the Court SITTING EN BANC.","A single Associate Justice may reverse an en banc precedent through an interlocutory order.","A division of three justices can overturn an en banc decision by a unanimous vote.","Congress can overturn a judicial doctrine by passing a non-binding House resolution.","A","Step-by-Step Solution:
1. Constitutional Text: Article VIII, Section 4(3) states:
 'No doctrine or principle of law laid down by the court in a decision rendered en banc or in division may be modified or reversed except by the court sitting en banc.'
2. Landmark Legal Principle (Doctrine of Stare Decisis; People v. Dy, 395 SCRA 24):
 - 1. Stare Decisis: Adherence to precedents for stability, predictability, and certainty in the law.
 - 2. Overturning Rule: If a principle of law was established by the Supreme Court (whether decided En Banc or by any of its Divisions), NO DIVISION of the Court has the power to reverse or modify it.
 - 3. EXCLUSIVE FORUM: Reversing or abandoning a doctrine REQUIRES THE SUPREME COURT SITTING EN BANC.
3. Option A is the verbatim constitutional rule of Article VIII, Section 4(3).

Common Trap: Thinking a 5-member division of the Supreme Court can change a doctrine established by another division; modifying ANY Supreme Court doctrine requires the full court EN BANC.
Exam Tip: Article VIII, Section 4(3) = Overturning or modifying a Supreme Court doctrine REQUIRES THE COURT SITTING EN BANC.","Correct. Survives elimination because Article VIII, Section 4(3) explicitly dictates that no legal doctrine laid down by the Supreme Court (en banc or in division) may be modified or reversed except by the Supreme Court sitting en banc.","Eliminated because an individual justice cannot modify Supreme Court precedent.","Eliminated because a division of the Supreme Court has no power to overturn established precedent (must be elevated to the En Banc).","Eliminated because non-binding legislative resolutions have no judicial power to alter judicial doctrines.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Judicial review | Very Difficult | Batch 144"
