"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Which of the following BEST defines the legal nature and supremacy of the 1987 Philippine Constitution in the domestic legal hierarchy?","It is the fundamental and paramount law of the nation to which all other statutory enactments, executive issuances, and administrative decrees must conform.","It is an ordinary legislative enactment that can be modified or repealed by a simple majority vote in both Houses of Congress.","It is a subordinate regulatory framework governed primarily by international customary law treaties and bilateral executive agreements.","It serves solely as an advisory set of aspirational national principles lacking binding legal effect upon the judiciary and executive branches.","A","Step-by-Step Solution:
1. Constitutional Doctrine: The Constitution is the fundamental, supreme, and paramount law of the land (the doctrine of constitutional supremacy).
2. Any statute, rule, ordinance, or executive act that conflicts with the Constitution is null, void, and without legal effect.
3. Evaluate Option A:
 - Accurately states that the 1987 Constitution is the paramount law to which all laws and executive acts must strictly conform. Correct.
4. Evaluate other options:
 - Option B is false; the Constitution is supreme law and can only be amended/revised through Article XVII procedures, not ordinary legislation.
 - Option C is false; domestic constitutional supremacy places the Constitution above international treaties in domestic enforcement (Secretary of Justice v. Lantion).
 - Option D is false; it possesses direct, binding legal authority and self-executing provisions.

Common Trap: Viewing constitutional provisions as merely aspirational without real legal supremacy.
Exam Tip: The doctrine of Constitutional Supremacy dictates that if a law violates the Constitution, the Constitution prevails and the law is declared void.","Correct. Survives elimination because the doctrine of constitutional supremacy establishes that the Constitution is the supreme law of the land, rendering any contradictory legislative or executive act null and void.","Eliminated because the Constitution cannot be amended by regular legislative procedure or simple majority congressional votes.","Eliminated because the Constitution is supreme within domestic jurisdiction and is not subordinate to ordinary treaties or administrative agreements.","Eliminated because the Constitution possesses direct, justiciable legal authority and is not merely an advisory policy statement.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"On what exact date did the 1987 Constitution of the Republic of the Philippines take effect, pursuant to the definitive ruling of the Supreme Court in De Leon v. Esguerra?","February 2, 1987, the date of the nationwide plebiscite in which the people ratified the Constitution.","February 11, 1987, the date President Corazon C. Aquino issued Proclamation No. 58 announcing the plebiscite results.","October 15, 1986, the date the Constitutional Commission completed and approved the draft.","February 25, 1986, the date of the culmination of the EDSA People Power Revolution.","A","Step-by-Step Solution:
1. Legal Reference: De Leon v. Esguerra (G.R. No. L-78059, August 31, 1987).
2. Issue: When did the 1987 Constitution take effect?
3. Article XVIII, Section 27 states: 'This Constitution shall take effect immediately upon its ratification by a majority of the votes cast in a plebiscite held for the purpose.'
4. The Supreme Court ruled that the Constitution took effect on the very day of the plebiscite—February 2, 1987—not on the date the proclamation of results was officially issued (February 11, 1987).
5. Option A (February 2, 1987) is the established jurisprudence.

Common Trap: Selecting February 11, 1987 (the date of Proclamation No. 58), confusing the formal canvassing proclamation with the actual legal date of ratification.
Exam Tip: Remember De Leon v. Esguerra: the 1987 Constitution took effect on the day of the plebiscite itself, February 2, 1987.","Correct. Survives elimination because under Article XVIII, Section 27 and the Supreme Court ruling in De Leon v. Esguerra, the 1987 Constitution took effect on February 2, 1987, the day of its ratification in the plebiscite.","Eliminated because February 11, 1987 was merely the date of Proclamation No. 58 announcing the canvass results, not the legal date of effectivity.","Eliminated because October 15, 1986 was the date the drafting commission approved the text prior to submission to the electorate.","Eliminated because February 25, 1986 marks the EDSA Revolution and subsequent Provisional Freedom Constitution, not the 1987 Constitution.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"How many Articles are there in the 1987 Constitution of the Republic of the Philippines, and which Article is titled the 'Transitory Provisions'?","18 Articles; Article XVIII is the Transitory Provisions.","17 Articles; Article XVII is the Transitory Provisions.","20 Articles; Article XX is the Transitory Provisions.","16 Articles; Article XVI is the Transitory Provisions.","A","Step-by-Step Solution:
1. Structural Anatomy of the 1987 Constitution:
 - Preamble
 - Article I: National Territory
 - Article II: Declaration of Principles and State Policies
 - Article III: Bill of Rights
 - Article IV: Citizenship
 - Article V: Suffrage
 - Article VI: Legislative Department
 - Article VII: Executive Department
 - Article VIII: Judicial Department
 - Article IX: Constitutional Commissions
 - Article X: Local Government
 - Article XI: Accountability of Public Officers
 - Article XII: National Economy and Patrimony
 - Article XIII: Social Justice and Human Rights
 - Article XIV: Education, Science and Technology, Arts, Culture and Sports
 - Article XV: The Family
 - Article XVI: General Provisions
 - Article XVII: Amendments or Revisions
 - Article XVIII: Transitory Provisions
2. Total Count = 18 Articles.
3. Article XVIII = Transitory Provisions.
4. Option A is factually and structurally exact.

Common Trap: Confusing the 1987 Constitution (18 Articles) with the 1973 Constitution (17 Articles) or 1935 Constitution.
Exam Tip: Memorize the 18 Roman numerals of the 1987 Constitution; Article XVII is Amendments/Revisions, Article XVIII is Transitory Provisions.","Correct. Survives elimination because the 1987 Philippine Constitution consists of a Preamble followed by exactly 18 Articles, concluding with Article XVIII (Transitory Provisions).","Eliminated because 17 Articles describes the 1973 Constitution; in the 1987 Constitution, Article XVII is Amendments or Revisions.","Eliminated because the 1987 Constitution contains 18 Articles, not 20.","Eliminated because Article XVI is General Provisions, not Transitory Provisions.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"Which of the following correctly describes the constitutional classification of the 1987 Philippine Constitution in terms of form, origin, and manner of amendment?","Written, enacted/conventional, and rigid.","Unwritten, cumulative/evolved, and flexible.","Written, cumulative/evolved, and flexible.","Unwritten, enacted/conventional, and rigid.","A","Step-by-Step Solution:
1. Constitutional Classifications:
 - As to form: Written (embodied in a single formal legal instrument) vs. Unwritten (rules scattered across custom and judicial decisions). The 1987 Constitution is WRITTEN.
 - As to origin: Enacted/Conventional (formally drafted by a constituent body/convention and ratified at a definite time) vs. Evolved/Cumulative (product of gradual historical development). The 1987 Constitution is ENACTED / CONVENTIONAL.
 - As to manner of amendment: Rigid (requires a special, arduous process distinct from ordinary lawmaking) vs. Flexible (can be changed like ordinary statutes). The 1987 Constitution is RIGID.
2. Therefore: Written, enacted/conventional, and rigid. Option A is correct.

Common Trap: Classifying the constitution as 'flexible' because amendments can be proposed through people's initiative; it is 'rigid' because constitutional amendments require supermajorities and plebiscites far exceeding ordinary legislative bills.
Exam Tip: The Philippine Constitution is universally classified as Written, Enacted (Conventional), and Rigid.","Correct. Survives elimination because the 1987 Constitution is codified in a single official text (written), drafted by a constituent assembly and ratified on a specific date (enacted), and requires a rigorous amendment process under Article XVII (rigid).","Eliminated because the 1987 Constitution is not unwritten or flexible like the British constitutional model.","Eliminated because the Constitution did not evolve cumulatively over centuries without formal enactment, nor can it be amended by ordinary legislation.","Eliminated because the Philippine Constitution is an explicitly written and codified instrument.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"What is the legal status and constitutional role of the PREAMBLE in the 1987 Philippine Constitution?","It is not an integral source of substantive governmental power or private right, but serves as an authoritative guide in interpreting the intent and spirit of constitutional provisions.","It constitutes a self-executing penal statute that can be directly cited as the sole basis for criminal indictments.","It is an independent legislative power granting Congress the authority to pass emergency tax measures without statutory text.","It is a non-binding historical preamble having zero legal relevance in judicial review or statutory interpretation.","A","Step-by-Step Solution:
1. Jurisprudential Doctrine on Preambles (e.g., Jacobson v. Massachusetts, Aglipay v. Ruiz):
 - The Preamble does not confer any direct governmental power or create substantive individual rights upon which a cause of action can be independently based.
 - However, it serves as the ideological compass and interpretive aid, setting forth the authorship, origin, scope, and noble aspirations of the sovereign Filipino people.
2. Evaluate Option A:
 - Perfectly describes the established doctrine: not a source of substantive power/rights, but an authoritative aid in constitutional interpretation.
3. Other options:
 - Option B is false (cannot ground criminal prosecution).
 - Option C is false (does not confer taxation powers).
 - Option D is false (it is recognized by courts as an important interpretive aid).

Common Trap: Believing the Preamble is either a source of enforceable substantive rights (too high) or completely meaningless decorative text (too low).
Exam Tip: The Preamble is an interpretive guide and statement of sovereignty/aspirations, not an independent grant of legal power or","Correct. Survives elimination because established constitutional law holds that while the Preamble confers no independent substantive power or right, it serves as an authoritative key to unlock the intent and purpose of the Constitution's provisions.","Eliminated because the Preamble cannot serve as the substantive legal basis for a criminal indictment or penal conviction.","Eliminated because the Preamble does not confer independent taxation or legislative powers upon Congress.","Eliminated because the Supreme Court routinely uses the Preamble as an indispensable interpretive guide to resolve constitutional ambiguities.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"In the Preamble of the 1987 Constitution, which phrase was newly introduced to replace the term 'Divine Providence' found in the 1973 Constitution, reflecting deep spiritual values while emphasizing the rule of law?","'imploring the aid of Almighty God' and 'the rule of law'","'trusting in the guidance of Divine Providence' and 'parliamentary governance'","'invoking the protection of the Supreme Creator' and 'socialist solidarity'","'seeking the blessings of Universal Justice' and 'revolutionary supremacy'","A","Step-by-Step Solution:
1. Compare Preambles across Philippine Constitutions:
 - 1935 Constitution: '...imploring the aid of Divine Providence...'
 - 1973 Constitution: '...imploring the aid of Divine Providence...'
 - 1987 Constitution: 'We, the sovereign Filipino people, imploring the aid of Almighty God, in order to build a just and humane society and establish a Government that shall embody our ideals and aspirations, promote the common good, conserve and develop our patrimony, and secure to ourselves and our posterity the blessings of independence and democracy under the rule of law and a regime of truth, justice, freedom, love, equality, and peace, do ordain and promulgate this Constitution.'
2. Key 1987 Innovations in Preamble:
 - 'Almighty God' (more personal and universal than the abstract 'Divine Providence').
 - 'the rule of law' (explicitly added to counter authoritarian rule by decree).
 - 'love' and 'truth' added to the regime of values.
3. Option A is historically and textually exact.

Common Trap: Confusing 'Almighty God' (1987) with 'Divine Providence' (1935 and 1973).
Exam Tip: Key words unique to the 1987 Preamble: 'Almighty God', 'rule of law', 'truth', and 'love'.","Correct. Survives elimination because the 1987 Preamble specifically adopted 'imploring the aid of Almighty God' (replacing 'Divine Providence') and introduced the phrase 'under the rule of law'.","Eliminated because 'Divine Providence' was the phrasing utilized in the 1935 and 1973 Constitutions.","Eliminated because 'Supreme Creator' is not the phrasing employed in any Philippine constitutional preamble.","Eliminated because 'Universal Justice' and 'revolutionary supremacy' do not appear in the text of the 1987 Preamble.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"What constituent body drafted the 1987 Philippine Constitution, and how were its members selected?","A 50-member Constitutional Commission appointed by President Corazon C. Aquino pursuant to Proclamation No. 9.","A 300-member Constitutional Convention directly elected by registered voters in a special national election.","The Batasang Pambansa acting as a constituent assembly through a three-fourths vote of its membership.","A jo∫ congressional committee composed of 24 Senators and 200 Representatives.","A","Step-by-Step Solution:
1. Historical Background of the 1987 Constitution:
 - Following the 1986 EDSA Revolution and the issuance of Proclamation No. 3 (Freedom Constitution), President Corazon C. Aquino issued Proclamation No. 9 creating the Constitutional Commission (ConCom).
 - The ConCom consisted of 50 appointed commissioners representing various sectors (48 served, 1 declined, 1 walked out/resigned).
 - Led by Former Supreme Court Justice Cecilia Muñoz-Palma (President) and Former Senator Ambrosio Padilla (Vice President).
 - Convened on June 2, 1986; completed draft on October 15, 1986; ratified February 2, 1987.
2. Option A is historically and legally accurate.

Common Trap: Confusing the 1986-1987 Constitutional Commission (appointed) with the 1971 Constitutional Convention (elected delegates).
Exam Tip: 1987 Constitution was drafted by an APPOINTED Constitutional Commission (ConCom) created under Proclamation No. 9 by President Aquino.","Correct. Survives elimination because the 1987 Constitution was drafted by an appointed 50-member Constitutional Commission created under President Aquino's Proclamation No. 9 and convened in June 1986.","Eliminated because a 300-member elected Constitutional Convention drafted the 1973 Constitution (via the 1971 Con-Con), not the 1987 Constitution.","Eliminated because the Batasang Pambansa was abolished under the Freedom Constitution (Proclamation No. 3) and did not draft the 1987 charter.","Eliminated because Congress did not exist in 1986 during the revolutionary transition period prior to the 1987 Constitution.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"Which of the following is an essential requirement for a constitutional provision to be considered 'SELF-EXECUTING' without need for implementing legislation?","The provision is complete in itself, lays down a sufficient rule by which the right given may be enjoyed or protected, and does not require legislative enactments to supply its operational details.","The provision explicitly commands Congress to pass an enabling act within ninety days of constitutional ratification.","The provision contains purely general statements of policy addressed exclusively to the discretionary wisdom of the legislature.","The provision applies only to criminal offenses committed by high-ranking constitutional officers.","A","Step-by-Step Solution:
1. Doctrine on Self-Executing Provisions (Manila Prince Hotel v. GSIS, G.R. No. 122156, 1997):
 - A constitutional provision is self-executing if it is complete in itself and becomes operative immediately without the aid of supplementary statutory legislation.
 - Unless it is expressly provided that a legislative enactment is necessary to enforce a constitutional mandate, the presumption is that all provisions of the Constitution are self-executing.
2. Evaluate Option A:
 - Accurately states the established test of a self-executing provision: complete in itself, supplies a sufficient rule for enjoyment/protection of the right without needing legislative implementation.
3. Other options:
 - Option B describes a non-self-executing provision.
 - Option C describes non-self-executing declarations of policy (e.g., Article II principles, as in Basco v. PAGCOR).
 - Option D is unrelated to the doctrine.

Common Trap: Assuming all constitutional provisions require an Act of Congress before citizens can assert them in court; the legal presumption is that constitutional provisions are self-executing (Manila Prince Hotel case).
Exam Tip: In Philippine constitutional law, provisions are presumed self-executing unless their text clearly indicates the necessity of legislative enactment.","Correct. Survives elimination because under Manila Prince Hotel v. GSIS, a constitutional provision is self-executing if it provides a complete and operational rule capable of judicial enforcement without waiting for legislative enactment.","Eliminated because a requirement for an enabling statute indicates the provision is non-self-executing.","Eliminated because general policy statements requiring legislative discretion are non-self-executing guidelines, not self-executing rules.","Eliminated because the self-executing doctrine applies across civil, political, economic, and procedural rights, not exclusively to penal matters.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"In the seminal landmark case of Manila Prince Hotel v. Government Service Insurance System (GSIS), what fundamental rule of constitutional construction was established regarding the presumption of constitutional provisions?","Constitutional provisions are presumed to be self-executing unless the contrary is clearly intended or explicitly provided in the text.","Constitutional provisions are presumed to be non-self-executing and unenforceable until Congress enacts implementing laws.","Economic provisions in the Constitution are strictly advisory and subordinate to corporate board discretion.","The Bill of Rights is the only part of the 1987 Constitution that possesses self-executing legal force.","A","Step-by-Step Solution:
1. Case Reference: Manila Prince Hotel v. GSIS (G.R. No. 122156, February 3, 1997).
2. Question addressed: Is Article XII, Section 10, paragraph 2 (the 'Filipino First' policy regarding national patrimony) self-executing?
3. Ruling of the Supreme Court en banc:
 - 'A constitutional provision is presumed to be self-executing. To hold otherwise would be to render the Constitution a dead letter, hostage to legislative inaction.'
 - The Court ruled that Article XII, Sec. 10 is self-executing, commanding the preference of qualified Filipinos in the grant of rights covering national patrimony without needing statutory implementation.
4. Option A is the precise legal doctrine established by the Supreme Court.

Common Trap: Believing the presumption is that provisions are non-self-executing; the Supreme Court firmly held the exact opposite: the presumption is ALWAYS in favor of self-executing effect.
Exam Tip: Manila Prince Hotel v. GSIS = Constitutional provisions are PRESUMED SELF-EXECUTING.","Correct. Survives elimination because the Supreme Court in Manila Prince Hotel v. GSIS explicitly ruled that the strong presumption in constitutional construction is that provisions are self-executing, preventing constitutional mandates from being crippled by legislative inaction.","Eliminated because the Supreme Court explicitly rejected the presumption of non-self-executing effect.","Eliminated because the Supreme Court applied the self-executing doctrine directly to Article XII, Section 10 (an economic patrimony provision), overruling corporate discretion.","Eliminated because the presumption of self-executing effect applies broadly across the Constitution, not solely to the Bill of Rights.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
"Which canon of constitutional construction dictates that the words of the Constitution must be given their ordinary, natural, and popular meaning, unless technical terms are clearly employed?","Verba legis (plain-meaning rule)","Ratio legis est anima (intent-based interpretation)","Ut magis valeat quam pereat (holistic interpretation)","Noscitur a sociis (associated words rule)","A","Step-by-Step Solution:
1. Canons of Constitutional Construction (Francisco v. House of Representatives, G.R. No. 160261, 2003):
 - 1. Verba legis: Plain-meaning rule. The words of the Constitution must be given their ordinary and natural meaning as understood by the people who ratified it, except where technical terms are used.
 - 2. Ratio legis est anima: The reason of the law is its soul. In case of ambiguity, courts look to the intent of the framers and the understanding of the people.
 - 3. Ut magis valeat quam pereat: The Constitution must be construed as a harmonious whole; no provision should be rendered superfluous or destructive of another.
2. The question asks for the rule giving words their ordinary, natural, and popular meaning.
3. This is the definition of VERBA LEGIS. Option A is correct.

Common Trap: Confusing 'verba legis' (plain text/popular meaning) with 'ratio legis' (intent/purpose of the framers).
Exam Tip: Verba legis is the primary canon of constitutional construction because the Constitution was ratified by the ordinary people, not just its drafters.","Correct. Survives elimination because the verba legis canon establishes that constitutional language must be interpreted in its ordinary, plain, and popular sense as understood by the ratifying sovereign electorate.","Eliminated because ratio legis est anima focuses on the underlying intent, spirit, and purpose of the framers rather than the plain literal meaning.","Eliminated because ut magis valeat quam pereat mandates interpreting the constitution as an integrated, harmonious whole rather than focusing on literal word meaning.","Eliminated because noscitur a sociis is a statutory canon that derives meaning from associated context words rather than popular plain meaning.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Constitution overview | Very Difficult | Batch 124"
