"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"ASTRONOMER: TELESCOPE:: CARTOGRAPHER: ______","PLANIMETER","KILN","LATHE","ANVIL","A","Step-by-Step Solution:
1. Analyze the professional tool relationship in the initial word pair (ASTRONOMER: TELESCOPE):
 - An \""astronomer\"" is a scientist whose dedicated observational instrument (TOOL) is a \""telescope\"".
 - Relationship: Specialized professional WORKER-TO-TOOL.
2. Determine the corresponding specialized instrument (TOOL) for a \""CARTOGRAPHER\"":
 - A \""cartographer\"" is a professional mapmaker and geodetic draughtsman whose dedicated manual/mechanical instrument for measuring irregular two-dimensional land surface areas on maps and blueprints is a \""planimeter\"".
 - Therefore, CARTOGRAPHER is to PLANIMETER as ASTRONOMER is to TELESCOPE.
3. Evaluate incorrect alternatives:
 - Option B (Kiln): High-temperature ceramic oven utilized by a potter/ceramist.
 - Option C (Lathe): Rotational shaping machine utilized by a machinist or woodturner.
 - Option D (Anvil): Heavy iron block utilized by a blacksmith.

Common Trap: Associating cartographers with generic stationery (rulers/pens) rather than their distinct technical area-measuring instrument.
Exam Tip: Astronomer uses a Telescope; Cartographer uses a Planimeter (exact professional Worker-to-Tool).","Correct. Survives elimination because an astronomer's dedicated observation tool is a telescope, just as a cartographer's dedicated map area measurement tool is a planimeter.","Eliminated because a kiln is a thermal oven used by a potter.","Eliminated because a lathe is a rotational machine used by a machinist.","Eliminated because an anvil is a heavy forging block used by a blacksmith.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"SCULPTOR: CHISEL:: SURGEON: ______","SCALPEL","GAUZE","STETHOSCOPE","CAST","A","Step-by-Step Solution:
1. Analyze the craftsmanship relationship in the initial word pair (SCULPTOR: CHISEL):
 - A \""sculptor\"" is an artist/craftsman whose primary precision cutting/carving implement (TOOL) is a \""chisel\"".
 - Relationship: Artisan/professional WORKER-TO-PRIMARY CUTTING TOOL.
2. Determine the corresponding primary precision cutting implement (TOOL) for a \""SURGEON\"":
 - A \""surgeon\"" is a medical specialist whose primary precision cutting/incising instrument (TOOL) is a \""scalpel\"".
 - Therefore, SURGEON is to SCALPEL as SCULPTOR is to CHISEL.
3. Evaluate incorrect alternatives:
 - Option B (Gauze): A consumable fabric dressing material, not an active cutting implement.
 - Option C (Stethoscope): An acoustic listening diagnostic tool primarily used by internists and cardiologists.
 - Option D (Cast): An orthopedic immobilization mold applied post-treatment.

Common Trap: Selecting stethoscope (a diagnostic listening tool) instead of the surgeon's quintessential incising tool (scalpel).
Exam Tip: Sculptor carves with a Chisel; Surgeon incises with a Scalpel.","Correct. Survives elimination because a sculptor's primary cutting tool is a chisel, while a surgeon's primary precision incision tool is a scalpel.","Eliminated because gauze is a passive absorbent consumable dressing.","Eliminated because a stethoscope is an acoustic diagnostic tool used in auscultation.","Eliminated because a cast is a rigid immobilization device.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"MASON: TROWEL:: BLACKSMITH: ______","TONGS","TIMBER","MORTAR","LEVEL","A","Step-by-Step Solution:
1. Analyze the vocational trade relationship in the initial word pair (MASON: TROWEL):
 - A \""mason\"" is a bricklaying/stonework craftsman whose primary hand implement (TOOL) for lifting and spreading bonding material is a \""trowel\"".
 - Relationship: Vocational trade WORKER-TO-DEDICATED HAND TOOL.
2. Determine the corresponding dedicated hand implement (TOOL) utilized by a \""BLACKSMITH\"":
 - A \""blacksmith\"" is a metalworking artisan whose indispensable gripping implement (TOOL) for safely manipulating red-hot iron forging stock is a pair of \""tongs\"".
 - Therefore, BLACKSMITH is to TONGS as MASON is to TROWEL.
3. Evaluate incorrect alternatives:
 - Option B (Timber): Wood material used by a carpenter.
 - Option C (Mortar): The binding paste mixture used by a mason (material, not tool).
 - Option D (Level): A general spirit-level alignment tool.

Common Trap: Selecting mortar, which is a mason's raw material rather than a blacksmith's tool.
Exam Tip: Mason applies mortar with a Trowel; Blacksmith handles hot metal with Tongs.","Correct. Survives elimination because a mason's signature hand tool is a trowel, just as a blacksmith's signature forging manipulation tool is tongs.","Eliminated because timber is wood material handled by carpenters.","Eliminated because mortar is a consumable building substance, not a tool.","Eliminated because a level is a general leveling gauge.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"LUMBERJACK: AXE:: TAILOR: ______","SHEARS","THIMBLE","FABRIC","MANNEQUIN","A","Step-by-Step Solution:
1. Analyze the trade cutting relationship in the initial word pair (LUMBERJACK: AXE):
 - A \""lumberjack\"" is a forestry worker whose primary manual cutting/felling implement (TOOL) is an \""axe\"".
 - Relationship: Trade worker-to-primary cutting WORKER-TO-TOOL.
2. Determine the corresponding primary cutting implement (TOOL) for a \""TAILOR\"":
 - A \""tailor\"" is a garment craftsman whose primary cutting implement (TOOL) for heavy cloth patterning is a pair of \""shears\"".
 - Therefore, TAILOR is to SHEARS as LUMBERJACK is to AXE.
3. Evaluate incorrect alternatives:
 - Option B (Thimble): A protective metal cap worn on the finger during sewing (accessory/safety guard).
 - Option C (Fabric): The raw textile material processed by a tailor.
 - Option D (Mannequin): A three-dimensional human model used for fitting and display.

Common Trap: Selecting thimble (a finger guard) or fabric (the material) instead of the active cutting implement (shears).
Exam Tip: Lumberjack cuts wood with an Axe; Tailor cuts cloth with Shears.","Correct. Survives elimination because a lumberjack's primary cutting tool is an axe, while a tailor's primary cutting tool is heavy fabric shears.","Eliminated because a thimble is a finger-protecting cap, not a cutting tool.","Eliminated because fabric is the raw material being sewn.","Eliminated because a mannequin is a stationary fitting model.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"ENGRAVER: BURIN:: COBBLER: ______","AWL","SCYTHE","PESTLE","SPATULA","A","Step-by-Step Solution:
1. Analyze the specialized artisan relationship in the initial word pair (ENGRAVER: BURIN):
 - An \""engraver\"" is a craftsman whose dedicated cutting tool for incising fine lines into metal, stone, or wood is a \""burin\"".
 - Relationship: Specialized craftsman WORKER-TO-DEDICATED INCISING/PIERCING TOOL.
2. Determine the corresponding dedicated piercing tool (TOOL) for a \""COBBLER\"":
 - A \""cobbler\"" is a craftsman who repairs and makes shoes whose dedicated pointed hand tool for punching holes in heavy leather is an \""awl\"".
 - Therefore, COBBLER is to AWL as ENGRAVER is to BURIN.
3. Evaluate incorrect alternatives:
 - Option B (Scythe): A long curved blade agricultural tool used by a reaper/mower.
 - Option C (Pestle): A heavy rounded club tool used by a pharmacist/chemist with a mortar.
 - Option D (Spatula): A flat flexible blade tool used by a baker or laboratory technician.

Common Trap: Confusing leatherworking awls with agricultural scythes or compounding pestles.
Exam Tip: Engraver incises metal with a Burin; Cobbler pierces leather with an Awl.","Correct. Survives elimination because an engraver's specialized precision tool is a burin, while a cobbler's specialized leather-piercing tool is an awl.","Eliminated because a scythe is an agricultural grass-cutting tool.","Eliminated because a pestle is a grinding tool paired with a mortar.","Eliminated because a spatula is a mixing/spreading tool.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"CHEMIST: PIPETTE:: SURVEYOR: ______","THEODOLITE","MICROSCOPE","COMPASS","SEISMOGRAPH","A","Step-by-Step Solution:
1. Analyze the scientific measurement relationship in the initial word pair (CHEMIST: PIPETTE):
 - A \""chemist\"" is a laboratory scientist whose dedicated precision volumetric liquid-measuring implement (TOOL) is a \""pipette\"".
 - Relationship: Scientific professional WORKER-TO-PRECISION MEASURING TOOL.
2. Determine the corresponding dedicated field measurement instrument (TOOL) for a \""SURVEYOR\"":
 - A \""surveyor\"" is a land measurement professional whose dedicated optical instrument (TOOL) for measuring horizontal and vertical angles with high precision is a \""theodolite\"".
 - Therefore, SURVEYOR is to THEODOLITE as CHEMIST is to PIPETTE.
3. Evaluate incorrect alternatives:
 - Option B (Microscope): Optical magnification tool used primarily by a biologist or cytologist.
 - Option C (Compass): General navigational magnetic indicator.
 - Option D (Seismograph): Geophysical recording station apparatus that detects tectonic earthquakes.

Common Trap: Selecting compass instead of the surveyor's true technical angle-measuring instrument (theodolite).
Exam Tip: Chemist uses a Pipette in the lab; Surveyor uses a Theodolite in the field.","Correct. Survives elimination because a chemist's dedicated volumetric tool is a pipette, while a surveyor's dedicated precision angle-measuring tool is a theodolite.","Eliminated because a microscope is a cellular optical tool used by biologists.","Eliminated because a simple compass lacks geodetic angle measurement capabilities.","Eliminated because a seismograph is an earthquake recording apparatus.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"ARBORIST: POLE SAW:: AGRONOMIST: ______","PENETROMETER","LOOM","CENTRIFUGE","DRILL","A","Step-by-Step Solution:
1. Analyze the botanical field trade relationship in the initial word pair (ARBORIST: POLE SAW):
 - An \""arborist\"" is a professional tree surgeon/care specialist whose dedicated extension cutting implement (TOOL) for high-limb pruning is a \""pole saw\"".
 - Relationship: Agricultural/botanical specialist WORKER-TO-DEDICATED TOOL.
2. Determine the corresponding specialized soil evaluation instrument (TOOL) for an \""AGRONOMIST\"":
 - An \""agronomist\"" is a crop and soil scientist whose dedicated diagnostic field instrument (TOOL) for measuring soil compaction, hardness, and root penetration resistance is a \""soil penetrometer\"".
 - Therefore, AGRONOMIST is to PENETROMETER as ARBORIST is to POLE SAW.
3. Evaluate incorrect alternatives:
 - Option B (Loom): A textile apparatus operated by a weaver.
 - Option C (Centrifuge): A laboratory density separation device operated by a biochemist.
 - Option D (Drill): A generic mechanical boring tool.

Common Trap: Confusing specialized agronomist field tools with generic mechanical drills or textile looms.
Exam Tip: Arborist uses a Pole Saw for trees; Agronomist uses a Penetrometer for soil compaction.","Correct. Survives elimination because an arborist's specialized field tool is a pole saw, while an agronomist's specialized soil compaction diagnostic tool is a penetrometer.","Eliminated because a loom is a textile weaving machine.","Eliminated because a centrifuge is a laboratory fluid apparatus.","Eliminated because a drill is a generic mechanical tool.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"CARPENTER: ADZE:: APICULTURIST: ______","SMOKER","SICKLE","CHISEL","SPANNER","A","Step-by-Step Solution:
1. Analyze the specialized trade relationship in the initial word pair (CARPENTER: ADZE):
 - A \""carpenter\"" is a woodcraft artisan whose specialized curved-blade tool for smoothing and dressing rough timber is an \""adze\"".
 - Relationship: Specialized artisan WORKER-TO-SIGNATURE IMPLEMENT.
2. Determine the corresponding signature operational implement (TOOL) for an \""APICULTURIST\"":
 - An \""apiculturist\"" (beekeeper) is an agricultural specialist whose indispensable implement (TOOL) for generating cool smoke to calm bees during hive inspection is a \""bee smoker\"".
 - Therefore, APICULTURIST is to SMOKER as CARPENTER is to ADZE.
3. Evaluate incorrect alternatives:
 - Option B (Sickle): A short curved hand blade used by an agricultural harvester/reaper.
 - Option C (Chisel): A woodworking/masonry cutting tool.
 - Option D (Spanner): A wrench hand tool used by a mechanic/plumber.

Common Trap: Confusing apiculturist (beekeeper) with general farmers using sickles or mechanics using spanners.
Exam Tip: Carpenter shapes wood with an Adze; Apiculturist calms bees with a Smoker.","Correct. Survives elimination because a carpenter's specialized timber dressing tool is an adze, while an apiculturist's specialized hive-handling tool is a bee smoker.","Eliminated because a sickle is an agricultural hand blade for harvesting grain.","Eliminated because a chisel is a woodworking/stone tool.","Eliminated because a spanner is a mechanic's wrench.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"DRAFTSMAN: T-SQUARE:: BAKER: ______","DOUGH DOCKER","EASEL","ANVIL","SOLDER","A","Step-by-Step Solution:
1. Analyze the technical craft relationship in the initial word pair (DRAFTSMAN: T-SQUARE):
 - A \""draftsman\"" is a technical illustrator whose signature manual drawing guide (TOOL) for ruling parallel horizontal lines is a \""T-square\"".
 - Relationship: Technical craftsman WORKER-TO-SIGNATURE CRAFT TOOL.
2. Determine the corresponding signature craft preparation implement (TOOL) for a \""BAKER\"":
 - A \""baker\"" is a culinary artisan whose specialized rolling spiked implement (TOOL) used to pierce dough to prevent blistering and uneven rising during baking is a \""dough docker\"".
 - Therefore, BAKER is to DOUGH DOCKER as DRAFTSMAN is to T-SQUARE.
3. Evaluate incorrect alternatives:
 - Option B (Easel): A wooden upright display frame utilized by a painter.
 - Option C (Anvil): A heavy forged iron block utilized by a blacksmith.
 - Option D (Solder): A low-melting-po∫ alloy material utilized in electronics/metal joining.

Common Trap: Selecting painter's easels or metalworking anvils instead of the baker's dedicated culinary tool.
Exam Tip: Draftsman aligns drawings with a T-Square; Baker prepares pastry with a Dough Docker.","Correct. Survives elimination because a draftsman's signature precision tool is a T-square, just as a baker's signature dough-prepping tool is a dough docker.","Eliminated because an easel is an upright stand used by painters.","Eliminated because an anvil is a heavy forging block used by blacksmiths.","Eliminated because solder is a fusible metal alloy used in electronics.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
"GEOLOGIST: ROCK PICK:: BOTANIST: ______","VASCULUM","TELESCOPE","PLUMMET","SPHYGMOMANOMETER","A","Step-by-Step Solution:
1. Analyze the scientific field sampling relationship in the initial word pair (GEOLOGIST: ROCK PICK):
 - A \""geologist\"" is an earth scientist whose signature field sampling implement (TOOL) for breaking rock outcrops and collecting mineral specimens is a \""rock pick\"" (geological hammer).
 - Relationship: Scientific field researcher WORKER-TO-DEDICATED FIELD COLLECTION TOOL.
2. Determine the corresponding signature field collection tool (TOOL) for a \""BOTANIST\"":
 - A \""botanist\"" is a plant scientist whose traditional signature field collection container/implement (TOOL) for carrying botanical specimens without crushing or wilting is a \""vasculum\"".
 - Therefore, BOTANIST is to VASCULUM as GEOLOGIST is to ROCK PICK.
3. Evaluate incorrect alternatives:
 - Option B (Telescope): An optical sky-viewing tool used by an astronomer.
 - Option C (Plummet): A plumb bob weight used by a mason or surveyor to establish true vertical lines.
 - Option D (Sphygmomanometer): A blood pressure cuff used by a physician/nurse.

Common Trap: Selecting generic medical or astronomical equipment instead of the botanist's dedicated field collection tool (vasculum).
Exam Tip: Geologist carries a Rock Pick; Botanist carries a Vasculum (exact field scientific specimen tools).","Correct. Survives elimination because a geologist's signature field collection tool is a rock pick, while a botanist's signature field specimen collection tool is a vasculum.","Eliminated because a telescope is an astronomer's optical instrument.","Eliminated because a plummet is a plumb-bob tool used to find vertical lines.","Eliminated because a sphygmomanometer is a medical blood pressure device.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Worker-tool | Very Difficult | Batch 059"
