"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"LINEN: FLAX:: PARCHMENT: ______","ANIMAL HIDE","WOOD PULP","COTTON","SILK FIBER","A","Step-by-Step Solution:
1. Analyze the product-to-raw-material relationship in the initial word pair (LINEN: FLAX):
 - \""Linen\"" is a fine woven textile (PRODUCT) manufactured specifically from the bast cellulose fibers of the \""flax\"" plant (RAW MATERIAL).
 - Relationship: Finished artifact/material PRODUCT-TO-SPECIFIC RAW SUBSTANCE.
2. Determine the defining natural raw substance for historical \""PARCHMENT\"":
 - \""Parchment\"" is a durable writing substrate (PRODUCT) manufactured by scraping, liming, and stretching the untanned \""animal hide\"" (skin of sheep, calves, or goats) (RAW MATERIAL).
 - Therefore, PARCHMENT is to ANIMAL HIDE as LINEN is to FLAX.
3. Evaluate incorrect alternatives:
 - Option B (Wood Pulp): The raw chemical/mechanical material used to manufacture modern cellulose paper.
 - Option C (Cotton): The raw plant fiber used to produce muslin, denim, and calico textiles.
 - Option D (Silk Fiber): The raw protein fiber harvested from bombyx mori silkworm cocoons.

Common Trap: Confusing historical parchment (untanned animal hide) with modern wood-pulp paper.
Exam Tip: Linen is made from Flax; Parchment is made from Animal Hide; Paper is made from Wood Pulp.","Correct. Survives elimination because linen is made from flax fibers, just as parchment is prepared from untanned animal hide.","Eliminated because wood pulp is the raw material for modern paper.","Eliminated because cotton is the raw material for cotton textiles.","Eliminated because silk fiber is spun into silk cloth.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"BRONZE: COPPER:: PEWTER: ______","TIN","IRON","GOLD","ALUMINUM","A","Step-by-Step Solution:
1. Analyze the metallurgical alloy composition in the initial word pair (BRONZE: COPPER):
 - \""Bronze\"" is a metallic alloy (PRODUCT) whose primary defining base metal constituent is \""copper\"" (comprising approximately 88% copper alloyed with tin).
 - Relationship: Metal alloy PRODUCT-TO-PRIMARY CONSTITUENT BASE ELEMENT.
2. Determine the primary defining base metal constituent of the alloy \""PEWTER\"":
 - \""Pewter\"" is a traditional malleable metal alloy (PRODUCT) whose primary defining base metal constituent is \""tin\"" (comprising 85% to 99% tin, typically alloyed with copper and antimony).
 - Therefore, PEWTER is to TIN as BRONZE is to COPPER.
3. Evaluate incorrect alternatives:
 - Option B (Iron): The base element of steel and cast iron.
 - Option C (Gold): The precious base element of electrum and white gold alloys.
 - Option D (Aluminum): The base element of duralumin and aerospace alloys.

Common Trap: Guessing lead or iron for pewter (pewter is predominantly tin).
Exam Tip: Bronze is primarily Copper (88%); Pewter is primarily Tin (85-99%); Steel is primarily Iron.","Correct. Survives elimination because bronze is an alloy whose base metal is copper, just as pewter is an alloy whose base metal is tin.","Eliminated because iron is the base metal of steel.","Eliminated because gold is the base metal of karat gold alloys.","Eliminated because aluminum is the base metal of duralumin.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"PORCELAIN: KAOLIN:: GLASS: ______","SILICA","LIMESTONE","CLAY","GYPSUM","A","Step-by-Step Solution:
1. Analyze the ceramic/vitreous chemical composition in the initial word pair (PORCELAIN: KAOLIN):
 - \""Porcelain\"" is a high-grade, vitrified ceramic material (PRODUCT) manufactured by firing the specialized fine white clay mineral \""kaolin\"" at high temperatures.
 - Relationship: Refined manufactured material PRODUCT-TO-CHIEF RAW INGREDIENT.
2. Determine the chief raw mineral ingredient used to manufacture amorphous \""GLASS\"":
 - \""Glass\"" is a hard, brittle, transparent amorphous solid (PRODUCT) manufactured by melting and fusing high-purity quartz sand composed primarily of \""silica\"" (silicon dioxide, SiO₂).
 - Therefore, GLASS is to SILICA as PORCELAIN is to KAOLIN.
3. Evaluate incorrect alternatives:
 - Option B (Limestone): A secondary flux/stabilizer additive (calcium carbonate), not the primary vitrifying network former.
 - Option C (Clay): The raw material for terracotta earthenware and brick pottery.
 - Option D (GypΣ): Hydrated calcium sulfate used to make plaster of Paris and drywall.

Common Trap: Selecting clay (for pottery) or limestone (a flux additive) instead of the primary vitrifying silica sand (SiO₂).
Exam Tip: Porcelain is made from Kaolin; Glass is made from Silica.","Correct. Survives elimination because porcelain is manufactured from kaolin clay, while glass is manufactured primarily from melted silica sand.","Eliminated because limestone is merely a secondary flux additive.","Eliminated because common clay makes earthenware pottery.","Eliminated because gypΣ is the raw mineral for plaster.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"AMBER: RESIN:: PEARL: ______","NACRE","CORAL","SHELL","BONE","A","Step-by-Step Solution:
1. Analyze the organic gem mineralogy in the initial word pair (AMBER: RESIN):
 - \""Amber\"" is an organic gemstone (PRODUCT) formed from the fossilization and hardening of prehistoric botanical tree \""resin\"" (RAW SUBSTANCE).
 - Relationship: Natural precious gem PRODUCT-TO-DEFINING ORGANIC SUBSTANCE.
2. Determine the defining organic substance that forms a natural \""PEARL\"":
 - A \""pearl\"" is an organic lustrous gem (PRODUCT) produced biologically inside mollusks through the concentric deposition of \""nacre\"" (mother-of-pearl / calcium carbonate aragonite platelets bound by organic conchiolin).
 - Therefore, PEARL is to NACRE as AMBER is to RESIN.
3. Evaluate incorrect alternatives:
 - Option B (Coral): Marine calcium carbonate structures secreted by anthozoan coral polyps.
 - Option C (Shell): The external protective exoskeleton of the mollusk (the organ housing the pearl, not the composite gem substance).
 - Option D (Bone): Vertebrate ossified skeletal tissue.

Common Trap: Selecting shell (the protective mollusk housing) rather than the microscopic crystalline substance (nacre) forming the pearl itself.
Exam Tip: Amber is fossilized Tree Resin; Pearl is layered Mollusk Nacre.","Correct. Survives elimination because amber is an organic gem formed of fossilized tree resin, just as a pearl is an organic gem formed of layered nacre.","Eliminated because coral is an independent polyp mineral structure.","Eliminated because a shell is the outer molluscan valve.","Eliminated because bone is vertebrate ossification.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"TALLOW: SUET:: CHARCOAL: ______","WOOD","PETROLEUM","COAL","ORE","A","Step-by-Step Solution:
1. Analyze the rendered/refined fuel relationship in the initial word pair (TALLOW: SUET):
 - \""Tallow\"" is a rendered solid fat (PRODUCT) produced by clarifying and rendering the raw, hard animal fat known as \""suet\"" (RAW MATERIAL).
 - Relationship: Refined solid commodity PRODUCT-TO-PRIMARY RAW ORGANIC MATERIAL.
2. Determine the corresponding primary raw organic material used to produce solid \""CHARCOAL\"":
 - \""Charcoal\"" is a porous, carbon-rich black residue (PRODUCT) manufactured by the destructive distillation and anaerobic pyrolysis of \""wood\"" (RAW MATERIAL).
 - Therefore, CHARCOAL is to WOOD as TALLOW is to SUET.
3. Evaluate incorrect alternatives:
 - Option B (Petroleum): Liquid fossil crude oil used to produce gasoline, diesel, and paraffin.
 - Option C (Coal): A natural sedimentary rock mined directly from subterranean geological seams.
 - Option D (Ore): A natural mineral rock containing extractable metals.

Common Trap: Confusing artificial wood-pyrolyzed charcoal with geological mineral coal mined from the earth.
Exam Tip: Tallow is rendered from Suet; Charcoal is pyrolyzed from Wood.","Correct. Survives elimination because tallow is the refined product of raw suet fat, just as charcoal is the carbonized product of raw wood.","Eliminated because petroleum is liquid crude oil.","Eliminated because coal is a natural geological mineral rock.","Eliminated because ore is metal-bearing rock.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"CANDLE: PARAFFIN:: TIRE: ______","VULCANIZED RUBBER","LEATHER","PLASTIC","CELLULOID","A","Step-by-Step Solution:
1. Analyze the industrial product composition in the initial word pair (CANDLE: PARAFFIN):
 - A \""candle\"" is an illumination article (PRODUCT) molded and cast from solid hydrocarbon \""paraffin\"" wax (RAW SUBSTANCE).
 - Relationship: Manufactured article PRODUCT-TO-DEFINING ELASTOMERIC/CHEMICAL MATRIX.
2. Determine the defining manufactured substance that constitutes an automotive \""TIRE\"":
 - An automotive \""tire\"" is an engineered pneumatic casing (PRODUCT) manufactured primarily from sulfur-crosslinked \""vulcanized rubber\"" (elastomers blended with carbon black).
 - Therefore, TIRE is to VULCANIZED RUBBER as CANDLE is to PARAFFIN.
3. Evaluate incorrect alternatives:
 - Option B (Leather): Cured animal hide (used in footwear and upholstery).
 - Option C (Plastic): Synthetic rigid or malleable thermoplastic polymers.
 - Option D (Celluloid): Early flammable thermoplastic derived from nitrocellulose and camphor.

Common Trap: Selecting generic plastic rather than the vulcanized elastomeric rubber matrix engineered for tires.
Exam Tip: Candle is made of Paraffin; Automotive Tire is made of Vulcanized Rubber.","Correct. Survives elimination because a candle is cast from paraffin wax, while an automotive tire is manufactured from vulcanized rubber elastomers.","Eliminated because leather is tanned animal skin.","Eliminated because plastic lacks the elastomeric friction properties of tire compounds.","Eliminated because celluloid is an obsolete flammable film plastic.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"ROPE: HEMP:: CASHMERE: ______","GOAT WOOL","SILKWORM","FLAX","GOSSAMER","A","Step-by-Step Solution:
1. Analyze the raw fiber harvesting in the initial word pair (ROPE: HEMP):
 - \""Rope\"" is a heavy cordage product (PRODUCT) traditionally braided and twisted from the strong bast fibers of the \""he∓\"" plant (RAW MATERIAL).
 - Relationship: Spun/braided product PRODUCT-TO-HARVESTED NATURAL FIBER.
2. Determine the harvested natural fiber used exclusively to weave luxurious \""CASHMERE\"":
 - \""Cashmere\"" is a premium woolen textile (PRODUCT) woven exclusively from the soft, fine downy undercoat fiber (\""goat wool\"") shorn or combed from the Kashmir goat (*Capra hircus laniger*).
 - Therefore, CASHMERE is to GOAT WOOL as ROPE is to HEMP.
3. Evaluate incorrect alternatives:
 - Option B (Silkworm): The insect source of silk filament fibers.
 - Option C (Flax): The botanical source of linen fiber.
 - Option D (Gossamer): Delicate cobweb silk spun by spiders.

Common Trap: Confusing cashmere (Kashmir goat wool) with sheep wool, alpaca fleece, or plant fibers.
Exam Tip: Rope is twisted from He∓; Cashmere is woven from Kashmir Goat Wool; Linen is woven from Flax.","Correct. Survives elimination because rope is made from he∓ bast fibers, just as cashmere fabric is woven from fine Kashmir goat wool.","Eliminated because a silkworm produces silk cocoons.","Eliminated because flax produces linen fiber.","Eliminated because gossamer is spider silk.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"ASPHALT: BITUMEN:: MORTAR: ______","CEMENT","GRAVEL","TIMBER","CLAY","A","Step-by-Step Solution:
1. Analyze the binding matrix formulation in the initial word pair (ASPHALT: BITUMEN):
 - \""Asphalt\"" (asphalt concrete) is a civil engineering paving composite (PRODUCT) bound together by the black, viscous hydrocarbon binder known as \""bitumen\"" (RAW/BINDING MATRIX).
 - Relationship: Construction composite PRODUCT-TO-PRIMARY REACTIVE BINDING AGENT.
2. Determine the primary reactive mineral binding agent in masonry \""MORTAR\"":
 - \""Mortar\"" is a workable building paste (PRODUCT) used to bind masonry bricks, formulated with sand, water, and hydraulic \""cement\"" (and/or lime) as its primary active chemical binder.
 - Therefore, MORTAR is to CEMENT as ASPHALT is to BITUMEN.
3. Evaluate incorrect alternatives:
 - Option B (Gravel): Coarse aggregate added to cement to make structural concrete (mortar explicitly contains sand, not gravel).
 - Option C (Timber): Wood construction material.
 - Option D (Clay): Unfired earth material used in ancient adobe bricks.

Common Trap: Confusing mortar with concrete (concrete contains gravel; mortar contains sand and cement paste for bricklaying).
Exam Tip: Asphalt uses Bitumen as its binder; Mortar uses Cement as its binder.","Correct. Survives elimination because asphalt is a composite bound by bitumen, while masonry mortar is a composite paste bound by cement.","Eliminated because gravel is coarse aggregate used in concrete, not mortar.","Eliminated because timber is wood.","Eliminated because clay is unfired adobe material.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"RAYON: CELLULOSE:: NYLON: ______","POLYAMIDE","POLYESTER","SILICON","WOOL","A","Step-by-Step Solution:
1. Analyze the polymer material origin in the initial word pair (RAYON: CELLULOSE):
 - \""Rayon\"" is a manufactured semi-synthetic regenerated textile fiber (PRODUCT) produced chemically from natural plant \""cellulose\"" (RAW POLYMER).
 - Relationship: Synthetic/manufactured textile PRODUCT-TO-DEFINING BASE POLYMER.
2. Determine the defining synthetic base polymer class used to manufacture \""NYLON\"":
 - \""Nylon\"" is a fully synthetic thermoplastic polymer fiber (PRODUCT) synthesized from repeating units linked by amide bonds, belonging to the class of \""polyamide\"" synthetic resins (e.g., Nylon 6,6).
 - Therefore, NYLON is to POLYAMIDE as RAYON is to CELLULOSE.
3. Evaluate incorrect alternatives:
 - Option B (Polyester): A distinct class of synthetic polymers containing ester functional groups (Dacron/PET).
 - Option C (Silicon): A metalloid chemical element used in semiconductors and silicones.
 - Option D (Wool): A natural proteinaceous animal fiber (keratin).

Common Trap: Confusing nylon's chemical identity (polyamide) with polyester (polyethylene terephthalate).
Exam Tip: Rayon is regenerated Cellulose; Nylon is synthetic Polyamide; Acrylic is Polyacrylonitrile.","Correct. Survives elimination because rayon is manufactured from base cellulose polymer, while nylon is synthesized from base polyamide polymer.","Eliminated because polyester contains ester linkages rather than amide linkages.","Eliminated because silicon is a semiconductor metalloid.","Eliminated because wool is a natural animal protein.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
"STEEL: IRON:: BRASS: ______","COPPER","ALUMINUM","LEAD","NICKEL","A","Step-by-Step Solution:
1. Analyze the primary base metal in the initial word pair (STEEL: IRON):
 - \""Steel\"" is a structural metal alloy (PRODUCT) consisting predominantly of the base element \""iron\"" (alloyed with small amounts of carbon).
 - Relationship: Metal alloy PRODUCT-TO-PRIMARY BASE METALLIC ELEMENT.
2. Determine the primary base metallic element of the alloy \""BRASS\"":
 - \""Brass\"" is a bright golden-colored metal alloy (PRODUCT) consisting predominantly of the base element \""copper\"" (typically 60% to 70% copper alloyed with zinc).
 - Therefore, BRASS is to COPPER as STEEL is to IRON.
3. Evaluate incorrect alternatives:
 - Option B (Aluminum): The base element of duralumin.
 - Option C (Lead): Heavy toxic metal used in historical solder and type metal.
 - Option D (Nickel): The base element of monel and nichrome alloys.

Common Trap: Confusing brass (copper + zinc) with bronze (copper + tin) or pewter (tin + copper). In both brass and bronze, copper is the primary base metal.
Exam Tip: Steel is base Iron; Brass is base Copper (with Zinc); Bronze is base Copper (with Tin).","Correct. Survives elimination because steel is an alloy whose primary base element is iron, while brass is an alloy whose primary base element is copper.","Eliminated because aluminum is not the base constituent of brass.","Eliminated because lead is a heavy metal used in specialty alloys.","Eliminated because nickel is the base of nichrome.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Product-material | Very Difficult | Batch 066"
