QuestionID,Category,Subtopic,QuestionPrompt,Problem,WhyUnsafeToAutoFix,RecommendedManualReview,AuditedAt
cmstkgbyo001o20u1cykndfqt,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the following mathematical expression following the strict order of operations (GEMDAS):

(-4² + 3 × |5 - 17| - (-2)³)/(√144 - [2³ - (5 × -2 + 3)])","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.782Z
cmstkgbyo001v20u169okcsz7,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the rational expression:

|-3² + 5| - 2³ ÷ 4 × 3/[(-1)⁴ × 6 - 8 ÷ 2] × (-2)","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.786Z
cmstkgbyo001q20u1hrttcm8w,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the rational expression:

(2⁻³ × (4² - 2⁴) + | -7 × 3 + 6 |)/(3 - 5)² × 2 - [4² ÷ 8 × 2]","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.804Z
cmstkgbyp002720u1h23l70dy,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Simplify the rational algebraic fraction and evaluate at a = 2/3 and b = 3/4:

F = a/b - b/a/1/a + 1/b","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.818Z
cmstkgbyo001x20u10lw1skbr,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the following fraction:

( -2 )⁴ - 2⁴ + [ 3 × (-4) - (-2)² ]/2 - 3 × | 1 - 2 × 3 |","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.822Z
cmstkgbyo001t20u120wbs1ba,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the following fraction containing nested powers and absolute values:

3 × [4 - (2 - 5)²] + |-18 ÷ 2|/2³ - 3 × (5 - 2²)","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.823Z
cmstkgbyo001r20u1b041nki2,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Simplify the numerical expression:

-5² - (-3)³ + 6 × (-2)² - 12 ÷ 3 × 2/| -4 |² - 2⁴ + 1","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.825Z
cmstkgbyo001p20u1tz0mbh2u,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Determine the exact value of the following complex nested expression:

18 - 2 · [ 3² - { 4 - (6 - 2 · 5) } ] ÷ (-1)⁵","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:02.826Z
cmstkgcbq003f20u1lpizrn8r,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the following fraction containing absolute values, radicals, and negative powers:

S = (| -3.6 × 2.5 + 4 | + √1.44 × 5)/(0.5)⁻³ - 3²","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.065Z
cmstkgcbq003i20u10hzob83f,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Compute the exact value of the difference of squared brackets:

[ (√0.04 + 0.8)/0.25 ]² - [ 11/2 × 4 - 2²/0.5 ]²","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.069Z
cmstkgcbq003l20u1wb4f742q,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Find the value of Z:

Z = (25% of 80 + ( 1/4 )⁻² - √400)/(0.16̅ × 72 - 2³)","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.073Z
cmstkgcbq003n20u1c0mhje3w,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the exact Σ of the following finite alternating integer series:

S = 1 - 2 + 3 - 4 + 5 - 6 +... + 99 - 100","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.076Z
cmstkgcbq003s20u1fzporict,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the product of signs:

(-1)¹ × (-1)² × (-1)³ ×... × (-1)²⁰","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.083Z
cmstkgcbq003q20u1b8cc7qmj,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","If p = -2, q = 3, and r = -4, evaluate the rational expression:

p³ - q² + r²/p · q · r - |p · r|","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.085Z
cmstkgcbq003u20u12uif0i4x,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","The ambient temperature in Baguio City at 6:00 AM was recorded at -2^circC. By 1:00 PM, solar heating caused the temperature to rise by 14^circC. By 10:00 PM, an intense cold front caused the temperature to drop by 19^circC. What was the official temperature reading at 10:00 PM?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.088Z
cmstkgcbr004e20u1df5fe9as,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Estimate the relative percentage error introduced when Archimedes' rational fraction 22/7 is used as an approximation for the mathematical constant π (3.14159265...):","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.116Z
cmstkgcbr004520u16k2uddha,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","The fractional part function is defined as {x} = x - ⌊ x ⌋. If x = -4.35, what is the exact numerical value of {x}?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.179Z
cmstkgcbq003o20u1fss1py4u,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","If x is a strictly negative real number (x < 0), simplify the expression:

f(x) = (|x| + |-x| - √x²)/x","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.186Z
cmstkgcbq003c20u1gjqb87rg,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Evaluate the mixed operational expression containing decimals, fractions, factorials, and negative exponents:

M = (0.75 × √256 - 31/2 ÷ 0.25 + 4! ÷ 6)/( 2/3 )⁻² - 1.25 × ³√64","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.191Z
cmstkgcbq003t20u1j4fdndb9,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Find the Σ of all valid real solutions to the absolute value equation:

|2x - 1| = x + 4","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.240Z
cmstkgcbr004820u1f71i4m3s,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","A disaster risk reduction logistics officer estimates the order of magnitude of potable water (in liters) required for an evacuation ca∓ sheltering 12,000 displaced families for 14 days, assuming each family consumes approximately 18.5 liters daily. Which power of ten (10ⁿ) best represents this total humanitarian demand?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.243Z
cmstkgcbs004x20u1ne9z0r6f,"Numerical Reasoning","Number Sequence - Arithmetic   Geometric Sequences","In an arithmetic progression, the p-th term is q and the q-th term is p (where p ≠ q). What is the exact mathematical value of the (p + q)-th term?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.274Z
cmstkgcbr004320u106dqxvnt,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","Determine the exact interval of real values for x that satisfies the floor inequality:

⌊ 2x - 1 ⌋ = 5","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.302Z
cmstkgcbp003720u19i4q6sdm,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","If four quantities a, b, c, and d satisfy the proportion a/b = c/d, which of the following algebraic transformations is strictly valid under the classic Componendo and Dividendo rule of proportions?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.324Z
cmstkgcjj005q20u1cok5y0f5,"Numerical Reasoning","Number Sequence - Pattern Recognition","Find the missing term in the oscillating signed geometric progression:

1.5, -3.0, 6.0, -12.0, 24.0, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.559Z
cmstkgcjj005m20u189hod2rt,"Numerical Reasoning","Number Sequence - Pattern Recognition","Find the 10th term in the alternating signed square sequence:

1, -4, 9, -16, 25, -36, 49, -64, 81, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.572Z
cmstkgcjj005t20u1doh29l1l,"Numerical Reasoning","Number Sequence - Pattern Recognition","Find the 15th term of the alternating sign Fibonacci sequence:

1, -1, 2, -3, 5, -8, 13, -21, 34,...","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.585Z
cmstkgcjj006120u1udkjn6sh,"Numerical Reasoning","Number Sequence - Pattern Recognition","Identify the next term in the geometric sequence with a negative rational common ratio:

162, -54, 18, -6, 2, -2/3, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.596Z
cmstkgcjj006320u1xby4gn3k,"Numerical Reasoning","Number Sequence - Pattern Recognition","In a geometric sequence with first term a₁ = 3 and common ratio r = 2, what is the exact mathematical product of the first 6 terms (T₁ × T₂ × T₃ × T₄ × T₅ × T₆)?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.605Z
cmstkgcjj006720u11xmqyqm7,"Numerical Reasoning","Number Sequence - Pattern Recognition","Find the next number in the successive square root extraction sequence:

65,536, 256, 16, 4, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.615Z
