"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under the Indigenous Peoples' Rights Act of 1997 (Republic Act No. 8371 / IPRA), what are the 'FOUR (4) BUNDLES OF RIGHTS' guaranteed to Indigenous Cultural Communities / Indigenous Peoples (ICCs/IPs)?","(1) Right to ANCESTRAL DOMAINS AND ANCESTRAL LANDS, (2) Right to SELF-GOVERNANCE AND EMPOWERMENT, (3) Right to SOCIAL JUSTICE AND HUMAN RIGHTS, and (4) Right to CULTURAL INTEGRITY.","(1) Right to pr∫ private currency, (2) Right to wage aggressive war, (3) Right to foreign embassies, and (4) Right to pirate radio stations.","(1) Right to ignore all national criminal laws, (2) Right to establish sovereign kingdoms, (3) Right to levy maritime tolls on international seas, and (4) Right to ban elections.","(1) Right to mandatory military conscription, (2) Right to commercial monopoly on all energy grids, (3) Right to diplomatic immunity, and (4) Right to private armies.","A","Step-by-Step Solution:
1. Statutory Authority: Republic Act No. 8371 (The Indigenous Peoples' Rights Act of 1997 / IPRA):
2. The Four Fundamental Bundles of Rights in IPRA:
 - Chapter III: RIGHT TO ANCESTRAL DOMAINS / LANDS (Ownership, development, CADT/CALT, native title, right to stay in territories, right to claim parts of reservations).
 - Chapter IV: RIGHT TO SELF-GOVERNANCE AND EMPOWERMENT (Customary laws, indigenous political structures, mandatory IP representation in local legislative sanggunians, Free and Prior Informed Consent / FPIC).
 - Chapter V: SOCIAL JUSTICE AND HUMAN RIGHTS (Equal protection, non-discrimination, special protection for IP women, children, and youth, freedom from armed conflict intrusion).
 - Chapter VI: CULTURAL INTEGRITY (Preservation of cultural traditions, indigenous knowledge systems and practices / IKSP, protection of sacred burial sites, intellectual property over traditional arts).
3. Option A is the verbatim statutory framework of IPRA.

Common Trap: Thinking IPRA only covers land titles; IPRA comprehensively guarantees ALL FOUR BUNDLES OF RIGHTS (Ancestral Domains, Self-Governance, Social Justice, and Cultural Integrity).
Exam Tip: The 4 Bundles of Rights under IPRA (RA 8371) = (1) Ancestral Domains/Lands, (2) Self-Governance/Empowerment, (3) Social Justice & Human Rights, (4) Cultural Integrity.","Correct. Survives elimination because Republic Act No. 8371 (IPRA) is structurally founded on these four recognized bundles of rights: ancestral domains/lands, self-governance and empowerment, social justice and human rights, and cultural integrity.","Eliminated because sovereign powers like printing national currency and declaring war belong exclusively to the sovereign National Republic.","Eliminated because IPRA operates within the framework of national unity and the 1987 Constitution, not sovereign secession.","Eliminated because commercial energy monopolies and private armed militias are prohibited under Philippine law.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"In the historic landmark US-Philippine Supreme Court ruling of Cariño v. Insular Government (212 U.S. 449, 1909; 41 Phil. 935), penned by Justice Oliver Wendell Holmes, Jr., what foundational legal concept of land ownership was established regarding indigenous ancestral lands?","The DOCTRINE OF NATIVE TITLE, which establishes that land held by an indigenous occupant under a claim of private ownership since time immemorial is PRESUMED TO HAVE BEEN PRIVATE PROPERTY PRIOR TO SPANISH CONQUEST, and was never part of the public domain under the Regalian Doctrine.","The doctrine that all indigenous lands belong 100% to foreign private logging corporations.","The doctrine that indigenous peoples must pay annual rent to the national government for their ancestral forests.","The doctrine that ancestral lands can only be owned by the Roman Catholic Church.","A","Step-by-Step Solution:
1. Landmark Jurisprudence: Cariño v. Insular Government (212 U.S. 449, 1909), penned by US Supreme Court Justice Oliver Wendell Holmes, Jr.:
 - Facts: Mateo Cariño, an Ibaloi Igorot chieftain from Benguet, applied for registration of ancestral land in Baguio (now Ca∓ John Hay) occupied and cultivated by his ancestors since time immemorial. The American colonial government opposed registration, invoking the Regalian Doctrine (all lands belong to the Crown/State unless granted by a royal document).
 - US Supreme Court Landmark Ruling:
 - 1. THE DOCTRINE OF NATIVE TITLE: When as far back as memory goes, land has been held by individuals or tribes under a claim of private ownership, it will be PRESUMED TO HAVE BEEN HELD IN PRIVATE OWNERSHIP FROM BEFORE THE SPANISH CONQUEST.
 - 2. Such land WAS NEVER PUBLIC LAND and never passed to the Crown or the State under the Regalian Doctrine.
 - 3. 'It might, perhaps, be proper and sufficient to say that when, as far back as testimony or memory goes, the land has been held by individuals under a claim of ownership, it will be presumed to have been held in the same way from before the Spanish conquest, and NEVER TO HAVE BEEN PUBLIC LAND.'
2. Reaffirmed in Cruz v. Secretary of DENR (347 SCRA 128, 2000) upholding the constitutionality of IPRA.
3. Option A is the precise legal holding and doctrine of Cariño v. Insular Government.

Common Trap: Assuming all Philippine land starts as State public land under the Regalian Doctrine; the CARIÑO NATIVE TITLE DOCTRINE is the monumental exception: ancestral land held since time immemorial WAS NEVER PUBLIC LAND.
Exam Tip: Cariño v. Insular Government (1909) = DOCTRINE OF NATIVE TITLE (Ancestral land held since time immemorial is presumed private property and was NEVER part of the public domain).","Correct. Survives elimination because Cariño v. Insular Government established the Doctrine of Native Title, recognizing that ancestral land held under indigenous ownership since time immemorial was never part of the public domain.","Eliminated because native title protects indigenous communal and individual land rights against corporate usurpation.","Eliminated because indigenous peoples are original ancestral owners, not leasehold tenants paying rent to the state.","Eliminated because native title vests in the indigenous cultural communities, independent of ecclesiastical bodies.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"Under Section 3(a) of RA 8371 (IPRA), how are 'ANCESTRAL DOMAINS' defined, and how do they differ in scope from 'ANCESTRAL LANDS'?","ANCESTRAL DOMAINS encompass all areas belonging to ICCs/IPs comprising lands, inland waters, coastal areas, and natural resources therein held since time immemorial, whereas ANCESTRAL LANDS refer specifically to lands occupied, possessed, and utilized by individual members, families, or clans of ICCs/IPs.","Ancestral domains refer only to commercial shopping malls, while ancestral lands refer to offshore cargo ships.","Both terms refer exclusively to urban residential condominiums located in Metro Manila.","Ancestral domains are owned by foreign mining companies, while ancestral lands are owned by municipal mayors.","A","Step-by-Step Solution:
1. Statutory Definitions under RA 8371:
 - 1. Section 3(a) — ANCESTRAL DOMAINS (Territorial / Communal Concept):
 - 'Ancestral Domains refer to ALL AREAS GENERALLY BELONGING TO ICCs/IPs comprising lands, inland waters, coastal areas, and natural resources therein, held under a claim of ownership, occupied or possessed by ICCs/IPs, by themselves or through their ancestors, communally or individually since time immemorial... It includes ancestral lands, forests, pasture, residential, agricultural, and other lands individually owned whether alienable and disposable or otherwise, hunting grounds, burial grounds, worship areas, bodies of water, mineral and other natural resources...'
 - 2. Section 3(b) — ANCESTRAL LANDS (Individual / Family / Clan Concept):
 - 'Ancestral Lands refer to LAND OCCUPIED, POSSESSED AND UTILIZED BY INDIVIDUALS, FAMILIES AND CLANS who are members of the ICCs/IPs since time immemorial... under claims of individual or traditional group ownership...'
2. Key Distinction:
 - Ancestral Domain = The entire comprehensive communal territory (forests, rivers, mineral lands, sacred grounds, airspace). Evidenced by a Certificate of Ancestral Domain Title (CADT).
 - Ancestral Land = Specific residential, farm, or clan parcels within the domain. Evidenced by a Certificate of Ancestral Land Title (CALT).
3. Option A is the verbatim statutory distinction.

Common Trap: Confusing CADT (Ancestral Domain - Communal Territory) with CALT (Ancestral Land - Family/Clan parcel); Ancestral Domains encompass the broader communal territory and resources.
Exam Tip: RA 8371 = ANCESTRAL DOMAIN (Entire communal territory/resources -> CADT) vs ANCESTRAL LAND (Individual/clan parcels -> CALT).","Correct. Survives elimination because Section 3 of RA 8371 defines Ancestral Domains as the broad communal territory including lands, waters, and resources held since time immemorial, while Ancestral Lands specifically denote parcels possessed by individual families or clans.","Eliminated because commercial retail malls and cargo ships are private commercial entities unrelated to indigenous ancestral domain definitions.","Eliminated because ancestral domains are traditional ancestral territories primarily situated across rural and mountainous cultural lands.","Eliminated because ancestral domains and lands belong to indigenous cultural communities under native title, not mining firms or mayors.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"Under Section 59 of RA 8371 (IPRA), what is the mandatory requirement of 'FREE AND PRIOR INFORMED CONSENT' (FPIC), and when must it be obtained from indigenous communities?","No concession, license, lease, permit, or production-sharing agreement for resource exploration, mining, dam construction, or development within ancestral domains shall be issued without the FREE AND PRIOR INFORMED CONSENT (FPIC) of the concerned ICCs/IPs obtained through their customary consensus-building processes.","FPIC is an optional suggestion that commercial mining companies may ignore if they pay a nominal municipal permit fee.","FPIC can be granted by an urban commercial lawyer who has never visited the ancestral domain.","FPIC is obtained by air-dropping promotional leaflets over indigenous villages during nighttime.","A","Step-by-Step Solution:
1. Statutory Text & Mandate: Section 59, Republic Act No. 8371 (Certification Precondition / FPIC):
 'Certification Precondition. — All departments and other governmental agencies shall henceforth be strictly enjoined from issuing, renewing, or granting any concession, license or lease, or entering into any production-sharing agreement, WITHOUT PRIOR CERTIFICATION FROM THE NCIP THAT THE AREA AFFECTED DOES NOT OVERLAP WITH ANY ANCESTRAL DOMAIN OR THAT THE CONCERNED ICCs/IPs HAVE GIVEN THEIR FREE AND PRIOR INFORMED CONSENT (FPIC) TO THE PROPOSED PROJECT.'
2. Definition of FPIC (Section 3[g], RA 8371):
 - 'Free and Prior Informed Consent' means the consensus of all members of the ICCs/IPs to be determined in accordance with their respective customary laws and practices, free from any external manipulation, interference and coercion, and obtained after a full and transparent disclosure of the intent, scope, and environmental impact of the activity.
3. Strict Legal Requirement:
 - Any mining concession, logging permit, dam project, or commercial lease granted WITHOUT valid FPIC is NULL AND VOID ab initio.
4. Option A is the verbatim statutory rule and requirement.

Common Trap: Believing a company can get FPIC after starting excavation; FPIC MUST BE 'PRIOR' (obtained BEFORE any permit is issued or construction begins).
Exam Tip: FPIC (RA 8371, Sec. 59) = FREE AND PRIOR INFORMED CONSENT is an absolute precondition before any mining, concession, or development project in ancestral domains.","Correct. Survives elimination because Section 59 of RA 8371 mandates that no mining, energy, or development permits may be issued within ancestral domains without the Free and Prior Informed Consent (FPIC) of the indigenous community.","Eliminated because FPIC is a mandatory statutory precondition whose absence renders government concessions and permits void.","Eliminated because FPIC must be deliberated and granted directly by the indigenous community through customary processes, not external urban lawyers.","Eliminated because FPIC requires extensive, transparent community consultations conducted in accordance with customary law.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"Which independent government agency was specifically created under Republic Act No. 8371 (IPRA) to serve as the primary government agency responsible for the formulation and implementation of policies, plans, and programs to recognize, protect, and fulfill the rights of ICCs/IPs?","The National Commission on Indigenous Peoples (NCIP).","The National Commission for Culture and the Arts (NCCA).","The Department of Agrarian Reform (DAR).","The Land Registration Authority (LRA).","A","Step-by-Step Solution:
1. Statutory Creation: Section 38, Republic Act No. 8371 (IPRA):
 'National Commission on Indigenous Peoples (NCIP). — To carry out the policies herein set forth, there shall be created the NATIONAL COMMISSION ON INDIGENOUS PEOPLES (NCIP), which shall be the primary government agency responsible for the formulation and implementation of policies, plans and programs to promote and protect the rights and well-being of the ICCs/IPs and the recognition of their ancestral domains as well as the rights thereto.'
2. Composition & Structure (Section 40):
 - Composed of SEVEN (7) COMMISSIONERS belonging to ICCs/IPs, representing the 7 ethnographic regions of the Philippines (Northern Luzon, Cordillera, Central Luzon, Southern/Eastern Luzon, Central Visayas/Island groups, Northern/Western Mindanao, Southern/Eastern Mindanao).
3. Primary Quasi-Judicial & Administrative Powers:
 - (1) Issuance of CADTs and CALTs.
 - (2) Enforcement of FPIC rules.
 - (3) Exclusive original jurisdiction over claims and disputes involving ancestral domains and customary rights.
4. Option A is the verbatim statutory agency.

Common Trap: Confusing the NCIP (handles Indigenous Peoples under RA 8371) with the NCCA (handles national arts and culture) or DAR (handles agrarian reform land titles).
Exam Tip: RA 8371 (IPRA) = Created the NATIONAL COMMISSION ON INDIGENOUS PEOPLES (NCIP) composed of 7 Commissioners from ethnographic regions.","Correct. Survives elimination because Section 38 of RA 8371 specifically established the National Commission on Indigenous Peoples (NCIP) as the primary agency responsible for protecting and advancing the rights and ancestral domains of ICCs/IPs.","Eliminated because the NCCA promotes Philippine arts and historical heritage, distinct from IPRA's ancestral domain mandate.","Eliminated because the DAR administers agrarian reform under RA 6657 (CARP), not indigenous ancestral domains under IPRA.","Eliminated because the LRA registers regular Torrens titles under PD 1529, while CADTs/CALTs are issued by the NCIP.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"In the landmark constitutional case of Cruz v. Secretary of Environment and Natural Resources (G.R. No. 135385, December 6, 2000), what was the Supreme Court's EN BANC resolution regarding the CONSTITUTIONALITY of Republic Act No. 8371 (IPRA)?","The constitutionality of IPRA was UPHELD AS VALID because the petition was dismissed upon an equally divided vote (7-7) of the Supreme Court en banc, affirming that ancestral domain rights and Native Title under Cariño v. Insular Government are fully compatible with the 1987 Philippine Constitution.","The Supreme Court declared IPRA unconstitutional and abolished all indigenous ancestral lands.","The Supreme Court ruled that all indigenous peoples must be relocated to foreign island territories.","The petition was dismissed because the Supreme Court refused to meet.","A","Step-by-Step Solution:
1. Landmark Case History: Isagani Cruz and Cesar Europa v. Secretary of DENR, Secretary of DBM, and NCIP (347 SCRA 128, December 6, 2000), Resolution En Banc:
 - Facts: Former Supreme Court Justice Isagani Cruz challenged the constitutionality of RA 8371 (IPRA), arguing that recognizing indigenous ownership over ancestral domains, minerals, waters, and forests violated the REGALIAN DOCTRINE under Article XII, Section 2 of the 1987 Constitution (all natural resources belong to the State).
 - Supreme Court Resolution (En Banc):
 - 1. EQUALLY DIVIDED VOTE (7-7): Under the Rules of Court (Rule 56, Section 7), when the Supreme Court en banc is equally divided in opinion on the constitutionality of a law, and after redeliberation no majority is reached, THE CONSTITUTIONALITY OF THE CHALLENGED STATUTE IS DEEMED UPHELD AND THE PETITION DISMISSED.
 - 2. DOCTRINAL SUBSTANCE: The separate opinions of Justices Reynato Puno and Jose Vitug articulated that:
 - Ancestral domains held under NATIVE TITLE since time immemorial are PRIVATE PROPERTY and were never part of the public domain.
 - Regalian Doctrine applies only to lands of the public domain; it does not confiscate private property held before the Spanish conquest.
 - State sovereignty and police power over natural resources remain intact within constitutional limits.
 - 3. Result: IPRA REMAINS 100% VALID AND CONSTITUTIONAL LAW IN THE PHILIPPINES.
2. Option A is the precise legal holding and historical resolution.

Common Trap: Thinking IPRA was struck down; IPRA was UPHELD AS FULLY CONSTITUTIONAL in Cruz v. Secretary of DENR.
Exam Tip: Cruz v. Secretary of DENR (2000) = UPHELD THE CONSTITUTIONALITY of IPRA (RA 8371) upon an equally divided 7-7 en banc vote.","Correct. Survives elimination because Cruz v. Secretary of DENR dismissed the constitutional challenge upon an equally divided 7-7 vote, definitively sustaining the constitutionality and validity of the Indigenous Peoples' Rights Act (RA 8371).","Eliminated because the Supreme Court upheld the validity of IPRA and did not strike it down.","Eliminated because indigenous peoples enjoy full constitutional rights to remain in their ancestral territories.","Eliminated because the Court conducted extensive en banc deliberations resulting in comprehensive separate doctrinal opinions.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"Under Section 16 of RA 8371 (IPRA) and the Local Government Code, what is the 'MANDATORY IP REPRESENTATION' in local legislative councils (Sanggunian)?","ICCs/IPs have the statutory right to MANDATORY REPRESENTATION IN LOCAL SANGGUNIANS (Barangay, Municipal, City, and Provincial Councils) through an Indigenous Peoples Mandatory Representative (IPMR) chosen in accordance with their customary selection processes.","Indigenous peoples are legally forbidden from entering city halls or municipal buildings.","Local mayors can appo∫ their own personal drivers to serve as the indigenous representative.","Indigenous representation is permitted only in international United Nations assemblies.","A","Step-by-Step Solution:
1. Statutory Text: RA 8371, Section 16:
 'Right to Participate in Decision-Making. — ICCs/IPs have the right to participate fully, if they so choose, at all levels of decision-making in matters which may affect their rights, lives and destinies through procedures determined by them as well as to maintain and develop their own indigenous political structures. Consequently, THE STATE SHALL ENSURE THAT THE ICCs/IPs SHALL BE GIVEN MANDATORY REPRESENTATION IN POLICY-MAKING BODIES AND OTHER LOCAL LEGISLATIVE COUNCILS.'
2. The IPMR System (NCIP Administrative Order No. 003, Series of 2018):
 - 1. Mandatory Seat: In any LGU where ancestral domains or indigenous populations exist, a dedicated seat for an INDIGENOUS PEOPLES MANDATORY REPRESENTATIVE (IPMR) is created by law in the Sangguniang Bayan, Sangguniang Panlungsod, and Sangguniang Panlalawigan.
 - 2. Customary Selection: The IPMR is NOT elected in general elections; the IPMR is chosen directly by the indigenous community according to their traditional customary selection rules.
 - 3. Equal Powers: The IPMR holds regular Sanggunian status with full voting powers, committee chairmanships, and identical salary/benefits.
3. Option A is the verbatim statutory and administrative rule.

Common Trap: Thinking IPMRs are chosen by the Mayor; IPMRs are CHOSEN BY THE INDIGENOUS COMMUNITY THEMSELVES through customary selection processes.
Exam Tip: IPMR (RA 8371, Sec. 16) = Mandatory Indigenous Peoples Representation in local legislative Sanggunians chosen via customary processes.","Correct. Survives elimination because Section 16 of RA 8371 and NCIP rules establish the statutory right of ICCs/IPs to mandatory representation in local legislative councils through an IPMR chosen via customary processes.","Eliminated because indigenous citizens possess full constitutional rights of access and participation in local governance.","Eliminated because the IPMR must be chosen by the indigenous community through traditional customary processes, not appointed at the whim of the mayor.","Eliminated because mandatory IP representation is established directly in domestic local government councils across the Philippines.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"Under Section 15 of RA 8371, what is the role of 'INDIGENOUS JUSTICE SYSTEMS AND CUSTOMARY LAWS' in resolving conflicts within ancestral domains?","The ICCs/IPs have the right to use their commonly accepted CUSTOMARY LAWS, TRADITIONS, AND INDIGENOUS JUSTICE SYSTEMS (such as tribal councils and peace pacts) to settle internal disputes between members of the same indigenous community, provided they do not violate national constitutional human rights.","Customary laws are declared illegal contraband throughout the Philippines.","Tribal elders are mandated to enforce only the commercial tax laws of the United Kingdom.","Indigenous justice systems are authorized to impose human sacrifice on criminal offenders.","A","Step-by-Step Solution:
1. Statutory Text: RA 8371, Section 15:
 'Justice System, Conflict Resolution Institutions, and Peace Building Processes. — The ICCs/IPs SHALL HAVE THE RIGHT TO USE THEIR COMMONLY ACCEPTED JUSTICE SYSTEMS, CONFLICT RESOLUTION INSTITUTIONS, PEACE BUILDING PROCESSES OR MECHANISMS AND OTHER CUSTOMARY LAWS AND PRACTICES WITHIN THEIR RESPECTIVE COMMUNITIES and as may be compatible with the national legal system and with internationally recognized human rights.'
2. Requisites for Applying Customary Law:
 - 1. Internal Community Disputes: Disputes between members of the same indigenous community residing within the ancestral domain.
 - 2. Traditional Institutions: Resolution by Council of Elders, Bodong (peace pacts in Cordillera), Timuay traditional leaders, etc.
 - 3. Exhaustion of Customary Remedies: The NCIP and regular courts will not entertain internal IP disputes unless customary conflict resolution mechanisms have been formally exhausted (Section 66, RA 8371).
 - 4. Constitutional Boundary: Must conform to fundamental human rights (no cruel punishments).
3. Option A is the verbatim statutory rule and boundary.

Common Trap: Believing customary law is completely separate from Philippine law; IPRA FORMALLY RECOGNIZES CUSTOMARY LAW as part of the legal system for internal IP dispute resolution.
Exam Tip: Customary Law & Indigenous Justice (RA 8371, Sec. 15) = Recognized legal mechanism to settle internal disputes within ancestral domains (Exhaustion of customary remedies required).","Correct. Survives elimination because Section 15 of RA 8371 explicitly recognizes the right of indigenous communities to utilize their customary laws and traditional justice systems to resolve internal community disputes in harmony with constitutional human rights.","Eliminated because customary laws are explicitly recognized and protected under Article XII, Section 5 and IPRA.","Eliminated because indigenous justice systems apply domestic traditional customary laws, not foreign British tax codes.","Eliminated because customary practices must conform to universal human rights standards, strictly prohibiting cruel or lethal physical punishments.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"Under Section 34 and 35 of RA 8371, how does IPRA protect 'INDIGENOUS KNOWLEDGE SYSTEMS AND PRACTICES' (IKSP) and Community Intellectual Rights?","ICCs/IPs have the right to full ownership, control, and protection of their CULTURAL AND INTELLECTUAL PROPERTY (including traditional medicines, plant genetics, agricultural practices, folklore, and sacred arts), preventing unauthorized commercial biopiracy and cultural appropriation without their prior consent and equitable benefit-sharing.","All indigenous medicinal herbal knowledge is automatically surrendered to foreign multinational pharmaceutical conglomerates without payment.","Indigenous weaving patterns are declared public commercial property open to commercial mass copying.","Indigenous cultural dances can only be performed if the tribe pays a copyright royalty to the municipal mayor.","A","Step-by-Step Solution:
1. Statutory Text: RA 8371, Section 34 & 35:
 - Section 34 (Right to Indigenous Knowledge Systems and Practices): 'ICCs/IPs are entitled to the recognition of the full ownership and control and the protection of their cultural and intellectual rights. They shall have the right to special measures to control, develop and protect their sciences, technologies and cultural manifestations, including human and other genetic resources, seeds, medicines, health practices, vital medicinal plants, animals and minerals, indigenous knowledge systems and practices, knowledge of the properties of fauna and flora, oral traditions, literature, designs, and visual and performing arts.'
 - Section 35 (Access to Biological and Genetic Resources): Access to biological resources within ancestral domains requires FPIC and a formal BENEFIT-SHARING AGREEMENT.
2. Anti-Biopiracy & Cultural Integrity Protection:
 - Prevents foreign researchers, pharmaceutical companies, or fashion brands from exploiting indigenous medicinal plants, traditional textiles (e.g., T'nalak, Yakan weave), or sacred songs without community authorization and royalty sharing.
3. Option A is the comprehensive statutory protection.

Common Trap: Thinking traditional herbal medicines cannot be protected by intellectual property; IPRA grants INDIGENOUS COMMUNITY INTELLECTUAL RIGHTS to prevent biopiracy.
Exam Tip: Protection of IKSP & Traditional Medicines (RA 8371, Sec. 34-35) = Full ownership of cultural/genetic property + Prohibition of Biopiracy + Mandatory Benefit-Sharing.","Correct. Survives elimination because Sections 34 and 35 of RA 8371 explicitly protect indigenous knowledge systems, traditional medicines, genetic resources, and cultural arts, outlawing unauthorized biopiracy and mandating equitable benefit-sharing.","Eliminated because unauthorized commercial exploitation of indigenous plant knowledge without consent constitutes illegal biopiracy under IPRA.","Eliminated because traditional cultural patterns and weaving designs are protected community intellectual property.","Eliminated because indigenous communities own their cultural dances and require no commercial permission from municipal mayors.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
"What is the statutory prohibition regarding FORCED DISPLACEMENT AND ARMED CONFLICT in ancestral domains under Section 22 of RA 8371 (IPRA)?","ICCs/IPs shall NOT BE FORCIBLY REMOVED OR RELOCATED from their ancestral domains; in case of exceptional displacement due to natural disasters, relocation requires free consent, and ancestral domains SHALL NOT BE USED AS MILITARY QUARTERS OR FORCES' CONFLICT THEATERS without community consultation.","Indigenous communities must be forcibly evicted whenever a commercial golf resort developer requests the land.","The armed forces are legally mandated to use indigenous elementary schools as frontline military barracks.","Indigenous peoples are stripped of their land rights whenever an armed conflict occurs in their province.","A","Step-by-Step Solution:
1. Statutory Text: RA 8371, Section 22 (Mandatory Protection in Armed Conflicts):
 - 'ICCs/IPs have the right to special protection and security in periods of armed conflict. The State shall observe international standards, in particular, the Fourth Geneva Convention of 1949, for the protection of civilian populations in circumstances of emergency and armed conflict, and SHALL NOT RECRUIT CHILDREN OF ICCs/IPs INTO THE ARMED FORCES... AND SHALL NOT FORCE INDIGENOUS INDIVIDUALS FOR WORK OR MILITARY PURPOSES.'
 - Section 7(c) (Right to Stay in Territories): 'No ICCs/IPs will be relocated without their free and prior informed consent, nor through any means other than through eminent domain.'
2. Key Protections in Conflict Areas:
 - 1. Absolute Ban on Forced Relocation for Private Projects: Commercial mining or resort projects CANNOT forcibly evict indigenous tribes.
 - 2. Protection of Schools and Sanctuaries: Ancestral schools (e.g., Lumad community schools) cannot be converted into military command posts or combat trenches.
 - 3. Child Soldier Prohibition: Zero tolerance for recruiting IP children into state or rebel forces.
3. Option A is the verbatim statutory rule and human rights protection.

Common Trap: Believing ancestral domains can be seized easily during military operations; Section 22 and International Humanitarian Law strictly protect indigenous communities from forced displacement.
Exam Tip: RA 8371, Sec. 22 = Special protection during armed conflict (NO forced relocation + Protection of civilian zones + Ban on recruiting IP children).","Correct. Survives elimination because Section 7(c) and Section 22 of RA 8371 strictly prohibit forced removal of indigenous communities from their domains and mandate rigorous protection of indigenous civilian populations during armed conflict.","Eliminated because commercial private developers cannot forcibly displace indigenous communities holding native title.","Eliminated because utilizing educational facilities as military barracks violates international humanitarian law and RA 7610 / RA 8371.","Eliminated because armed conflict does not extinguish indigenous constitutional land titles under IPRA.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Indigenous peoples rights | Very Difficult | Batch 175"
