"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"EMPIRICISM: OBSERVATION:: RATIONALISM: ______","DEDUCTION","EXPERIMENTATION","MYSTICISM","DOGMATISM","A","Step-by-Step Solution:
1. Analyze the epistemological doctrine relationship in the initial word pair (EMPIRICISM: OBSERVATION):
 - \""Empiricism\"" is the philosophical epistemology asserting that all knowledge originates primarily from sensory experience and empirical \""observation\"".
 - Relationship: Philosophical epistemological doctrine-to-foundational cognitive methodology.
2. Determine the foundational cognitive methodology for philosophical \""RATIONALISM\"":
 - \""Rationalism\"" is the philosophical epistemology asserting that fundamental knowledge is innate and acquired through intellectual reason, logical intuition, and mathematical \""deduction\"" independent of sensory experience.
 - Therefore, RATIONALISM is to DEDUCTION as EMPIRICISM is to OBSERVATION.
3. Evaluate incorrect alternatives:
 - Option B (Experimentation): The practical physical testing methodology of empiricism.
 - Option C (Mysticism): The pursuit of spiritual communion through esoteric intuition.
 - Option D (Dogmatism): The uncritical assertion of unexamined opinions.

Common Trap: Selecting experimentation (an empirical tool) rather than deductive reasoning (the hallmark of rationalism).
Exam Tip: Empiricism relies on Observation (Sensory); Rationalism relies on Deduction (Pure Reason).","Correct. Survives elimination because empiricism grounds truth in sensory observation, while rationalism grounds truth in pure deductive reasoning.","Eliminated because experimentation is an empirical sensory methodology.","Eliminated because mysticism relies on esoteric supernatural feeling.","Eliminated because dogmatism relies on uncritical adherence to authority.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"ANARCHY: ORDER:: CHAOS: ______","COSMOS","TURMOIL","BEDLAM","ENTROPY","A","Step-by-Step Solution:
1. Analyze the philosophical/systemic antithesis in the initial word pair (ANARCHY: ORDER):
 - \""Anarchy\"" (the total breakdown of governmental institutions and societal structure) is the direct systemic antithesis of \""order\"".
 - Relationship: Abstract systemic state-to-polar foundational antithesis ABSTRACT RELATIONSHIP.
2. Determine the classical cosmological polar antithesis of primordial \""CHAOS\"":
 - In classical Greek metaphysics and cosmology, primordial \""chaos\"" (the completely formless, disordered state of matter) is the polar antithesis of the \""cosmos\"" (the harmonious, orderly, and beautifully structured universe).
 - Therefore, CHAOS is to COSMOS as ANARCHY is to ORDER.
3. Evaluate incorrect alternatives:
 - Option B (Turmoil): Synonym denoting state of great disturbance or confusion.
 - Option C (Bedlam): Synonym denoting a scene of uproar and confusion.
 - Option D (Entropy): Thermodynamic measure of microscopic disorder.

Common Trap: Selecting turmoil or bedlam (synonyms of chaos) instead of the ordered universe (cosmos).
Exam Tip: Anarchy is the opposite of Order; Chaos is the opposite of Cosmos.","Correct. Survives elimination because anarchy is the structural opposite of order, just as primordial chaos is the cosmological opposite of an ordered cosmos.","Eliminated because turmoil is a synonym of chaos.","Eliminated because bedlam is a synonym for wild confusion.","Eliminated because entropy is a measure of molecular disorder.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"DOGMA: HERESY:: ORTHODOXY: ______","HETERODOXY","DOCTRINE","TRADITION","PIETY","A","Step-by-Step Solution:
1. Analyze the doctrinal ideological opposition in the initial word pair (DOGMA: HERESY):
 - \""Dogma\"" (an authoritative principle or belief laid down by an established authority) is fundamentally violated and opposed by \""heresy\"".
 - Relationship: Authorized doctrinal system-to-unauthorized deviant belief ABSTRACT OPPOSITION.
2. Determine the corresponding abstract doctrinal antonym for \""ORTHODOXY\"":
 - \""Orthodoxy\"" (strict conformity to established, traditional, and accepted doctrines) is directly opposed in intellectual and religious philosophy by \""heterodoxy\"" (the holding of non-conforming, unorthodox, or dissenting opinions).
 - Therefore, ORTHODOXY is to HETERODOXY as DOGMA is to HERESY.
3. Evaluate incorrect alternatives:
 - Option B (Doctrine): A stated belief or set of principles (synonym/subclass of orthodoxy).
 - Option C (Tradition): The transmission of established customs over generations.
 - Option D (Piety): The quality of being religious or reverent.

Common Trap: Selecting doctrine or tradition, which are components of orthodoxy rather than its dissenting counterpart (heterodoxy).
Exam Tip: Dogma vs Heresy; Orthodoxy vs Heterodoxy (Standard Belief vs Deviant Departure).","Correct. Survives elimination because dogma is opposed by heresy, while orthodoxy is formally opposed by heterodoxy.","Eliminated because doctrine is a synonym of established dogma.","Eliminated because tradition is conservative historical continuity.","Eliminated because piety is religious devotion.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"UTOPIA: DYSTOPIA:: APOTHEOSIS: ______","DEGRADATION","DEIFICATION","EXALTATION","ELEVATION","A","Step-by-Step Solution:
1. Analyze the conceptual polar extremes in the initial word pair (UTOPIA: DYSTOPIA):
 - A \""utopia\"" (an envisioned ideal society of supreme perfection and justice) is the polar ideological antithesis of a \""dystopia\"" (a nightmare society of extreme oppression, suffering, and dehumanization).
 - Relationship: Conceptual pinnacle of perfection-to-conceptual nadir of horror.
2. Determine the corresponding polar conceptual nadir opposing \""APOTHEOSIS\"":
 - \""Apotheosis\"" (the highest conceivable elevation to divine glory, perfection, and godhood) is polar opposite to \""degradation\"" (the descent into the lowest depths of humiliation, debasement, and ruin).
 - Therefore, APOTHEOSIS is to DEGRADATION as UTOPIA is to DYSTOPIA.
3. Evaluate incorrect alternatives:
 - Option B (Deification): Direct synonym of apotheosis meaning transformation into a god.
 - Option C (Exaltation): Direct synonym meaning the state of being raised to supreme rank or praise.
 - Option D (Elevation): Raising to a higher position.

Common Trap: Selecting deification or exaltation, which are exact synonyms of apotheosis rather than the required polar opposite.
Exam Tip: Utopia opposes Dystopia; Apotheosis opposes Degradation/Debasement.","Correct. Survives elimination because a utopia is the polar opposite of a dystopia, just as apotheosis (supreme exaltation) is the polar opposite of abject degradation.","Eliminated because deification is a synonym of apotheosis.","Eliminated because exaltation is a synonym of apotheosis.","Eliminated because elevation is upward raising.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"ALTRUISM: EGOISM:: ASCETICISM: ______","HEDONISM","MONASTICISM","STOICISM","PIETY","A","Step-by-Step Solution:
1. Analyze the moral philosophy polarity in the initial word pair (ALTRUISM: EGOISM):
 - \""Altruism\"" (the moral philosophy of selfless concern and devotion to the welfare of others) is the polar philosophical antithesis of \""egoism\"" (the ethical theory that self-interest is the foundation of morality).
 - Relationship: Moral ethical philosophy-to-polar opposing philosophical doctrine.
2. Determine the corresponding philosophical lifestyle antithesis for \""ASCETICISM\"":
 - \""Asceticism\"" (the philosophy of severe self-discipline, rigorous spiritual austerity, and total renunciation of bodily pleasures) is the polar philosophical antithesis of \""hedonism\"" (the philosophical doctrine that sensory pleasure and self-indulgence are the ultimate intrinsic goods).
 - Therefore, ASCETICISM is to HEDONISM as ALTRUISM is to EGOISM.
3. Evaluate incorrect alternatives:
 - Option B (Monasticism): A lifestyle of religious vows and contemplation (closely aligned with asceticism).
 - Option C (Stoicism): A philosophy emphasizing self-control, virtue, and emotional endurance.
 - Option D (Piety): Devout reverence.

Common Trap: Selecting stoicism or monasticism, which share ascetic values of self-restra∫ rather than embracing sensual pleasure (hedonism).
Exam Tip: Altruism vs Egoism (Selfless vs Self-Serving); Asceticism vs Hedonism (Self-Denial vs Pleasure-Seeking).","Correct. Survives elimination because altruism is the philosophical opposite of egoism, while asceticism (self-denial) is the philosophical opposite of hedonism (pleasure-seeking).","Eliminated because monasticism is an ascetic religious lifestyle.","Eliminated because stoicism is a philosophy of self-mastery.","Eliminated because piety is religious devotion.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"AXIOM: THEOREM:: PREMISE: ______","CONCLUSION","HYPOTHESIS","POSTULATE","CONJECTURE","A","Step-by-Step Solution:
1. Analyze the formal deductive logic structure in the initial word pair (AXIOM: THEOREM):
 - An \""axiom\"" is an assumed self-evident foundational premise from which a mathematical \""theorem\"" is logically deduced and proven.
 - Relationship: Foundational starting proposition-to-deduced valid terminal outcome.
2. Determine the corresponding deduced terminal outcome derived from a logical \""PREMISE\"":
 - In deductive syllogistic logic, a \""premise\"" is an antecedent proposition from which a formal logical \""conclusion\"" is systematically inferred and established.
 - Therefore, PREMISE is to CONCLUSION as AXIOM is to THEOREM.
3. Evaluate incorrect alternatives:
 - Option B (Hypothesis): A provisional starting conjecture (antecedent).
 - Option C (Postulate): A foundational assumption (synonym of axiom).
 - Option D (Conjecture): An unproven mathematical proposition.

Common Trap: Selecting postulate (a synonym of premise/axiom) instead of the deduced resultant truth (conclusion).
Exam Tip: Axioms prove Theorems; Premises prove Conclusions (exact starting proposition-to-terminal deduction).","Correct. Survives elimination because an axiom serves as the foundation to derive a theorem, just as a logical premise serves as the foundation to deduce a conclusion.","Eliminated because a hypothesis is an unverified starting assumption.","Eliminated because a postulate is a starting assumption equivalent to an axiom.","Eliminated because a conjecture is an unproven assertion.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"SYMBOL: REFERENT:: MAP: ______","TERRITORY","LEGEND","COMPASS","ATLAS","A","Step-by-Step Solution:
1. Analyze the semiotic/epistemological representation model in the initial word pair (SYMBOL: REFERENT):
 - In semiotics and semantics, a \""symbol\"" is an abstract representational signifier that stands for, models, and points to the actual underlying reality known as the \""referent\"".
 - Relationship: Abstract model/signifier-to-actual physical reality represented.
2. Determine the corresponding physical reality represented by a cartographic \""MAP\"":
 - In epistemological theory (Alfred Korzybski's foundational principle: *\""The map is not the territory\""*), a \""map\"" is an abstract abstracted model that represents the actual physical \""territory\"".
 - Therefore, MAP is to TERRITORY as SYMBOL is to REFERENT.
3. Evaluate incorrect alternatives:
 - Option B (Legend): The key explaining map symbols (internal model guide).
 - Option C (Compass): A navigational orientation tool.
 - Option D (Atlas): A bound volume of compiled maps.

Common Trap: Selecting legend or compass, which are internal cartographic tools rather than the external physical reality (territory) being mapped.
Exam Tip: Symbol points to Referent; Map models Territory.","Correct. Survives elimination because a symbol is an abstract representation of a referent, just as a map is an abstract representation of the physical territory.","Eliminated because a legend is an internal key decoding map symbols.","Eliminated because a compass is a directional orientation tool.","Eliminated because an atlas is a compilation of maps.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"EPHEMERALITY: TRANSIENCE:: VERACITY: ______","TRUTHFULNESS","FALLACY","AMBIGUITY","FICTION","A","Step-by-Step Solution:
1. Analyze the abstract nominal semantic equivalence in the initial word pair (EPHEMERALITY: TRANSIENCE):
 - \""Ephemerality\"" (the quality of lasting for a very short, fleeting duration) and \""transience\"" are exact high-level abstract conceptual SYNONYMS.
 - Relationship: Abstract philosophical quality EXACT SYNONYMY.
2. Determine the corresponding exact abstract nominal synonym for \""VERACITY\"":
 - \""Veracity\"" (the quality of habitual truthfulness, conformity to facts, and accuracy) is conceptually identical to \""truthfulness\"".
 - Therefore, VERACITY is to TRUTHFULNESS as EPHEMERALITY is to TRANSIENCE.
3. Evaluate incorrect alternatives:
 - Option B (Fallacy): A mistaken belief or unsound argument (antonym of truth).
 - Option C (Ambiguity): The state of being open to multiple interpretations or obscure.
 - Option D (Fiction): Literature created from imagination rather than fact.

Common Trap: Selecting fallacy or fiction, which are direct opposites (antonyms) of veracity.
Exam Tip: Ephemerality = Transience (Fleeting Nature); Veracity = Truthfulness (Factual Honesty).","Correct. Survives elimination because ephemerality and transience are exact abstract synonyms, while veracity and truthfulness are exact abstract synonyms for adherence to truth.","Eliminated because fallacy denotes logical error and untruth.","Eliminated because ambiguity denotes vagueness and doubt.","Eliminated because fiction denotes invented falsehood.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"DETERMINISM: FATALISM:: RELATIVISM: ______","SUBJECTIVISM","OBJECTIVISM","ABSOLUTISM","REALISM","A","Step-by-Step Solution:
1. Analyze the philosophical doctrine correlation in the initial word pair (DETERMINISM: FATALISM):
 - \""Determinism\"" (the metaphysical doctrine that all events are strictly determined by preexisting causal chains) has as its radical personal philosophical extension \""fatalism\"" (the belief that all outcomes are inevitable and human choices are powerless).
 - Relationship: Core philosophical doctrine-to-radicalized individual epistemological/metaphysical counterpart.
2. Determine the corresponding radicalized philosophical counterpart for \""RELATIVISM\"":
 - \""Relativism\"" (the doctrine that truth and values are relative to context and culture) has as its radical individualized epistemological counterpart \""subjectivism\"" (the doctrine that knowledge and truth are purely subjective constructs of individual conscious experience).
 - Therefore, RELATIVISM is to SUBJECTIVISM as DETERMINISM is to FATALISM.
3. Evaluate incorrect alternatives:
 - Option B (Objectivism): The doctrine that reality exists independent of consciousness (polar antonym).
 - Option C (Absolutism): The doctrine that principles are absolute and unconditional (polar antonym).
 - Option D (Realism): The belief that entities exist independently of our perceptions.

Common Trap: Selecting absolutism or objectivism, which are the diametrical opposites (antonyms) of relativism.
Exam Tip: Determinism parallels Fatalism; Relativism parallels Subjectivism.","Correct. Survives elimination because fatalism is the radicalized consequence of determinism, while subjectivism is the radicalized individual consequence of relativism.","Eliminated because objectivism is a polar philosophical antonym asserting objective reality.","Eliminated because absolutism is a polar antonym asserting unconditioned absolute truth.","Eliminated because realism asserts mind-independent existence.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
"METAPHOR: ANALOGY:: ALLEGORY: ______","PARABLE","HYPERBOLE","IRONY","OXYMORON","A","Step-by-Step Solution:
1. Analyze the rhetorical/figurative structural scaling in the initial word pair (METAPHOR: ANALOGY):
 - A \""metaphor\"" is a concise, concentrated figurative comparison, whereas an \""analogy\"" is an expanded, structured comparative explanation.
 - Relationship: Concentrated symbolic comparison-to-extended narrative/didactic counterpart.
2. Determine the corresponding didactic narrative counterpart for an \""ALLEGORY\"":
 - An \""allegory\"" is a full-scale extended symbolic narrative (where characters and actions symbolize abstract virtues/events), and a \""parable\"" is a succinct, self-contained didactic allegorical story illustrating a moral or spiritual lesson.
 - Therefore, ALLEGORY is to PARABLE as ANALOGY is to METAPHOR.
3. Evaluate incorrect alternatives:
 - Option B (Hyperbole): Exaggerated statements not meant to be taken literally.
 - Option C (Irony): Expression signifying the opposite of literal meaning.
 - Option D (Oxymoron): Juxtaposition of contradictory terms.

Common Trap: Selecting hyperbole or irony, which are distinct non-allegorical literary tropes.
Exam Tip: Metaphor and Analogy share comparative structure; Allegory and Parable share symbolic didactic narrative structure.","Correct. Survives elimination because a metaphor relates to an analogy through comparative equivalence, just as an allegory relates to a parable through symbolic didactic storytelling.","Eliminated because hyperbole is rhetorical exaggeration.","Eliminated because irony is rhetorical incongruity.","Eliminated because an oxymoron is a compressed contradiction.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Abstract relationships | Very Difficult | Batch 069"
