"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"PERSPICACIOUS: ASTUTE:: METICULOUS: ______","PAINSTAKING","NEGLIGENT","RAPID","SUPERFICIAL","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (PERSPICACIOUS: ASTUTE):
 - \""Perspicacious\"" means having keen mental discernment, insight, and sharp judgment.
 - \""Astute\"" means having an ability to accurately assess situations or people and turn this to one's advantage.
 - Relationship: Exact high-register SYNONYMS describing intellectual sharpness and discernment.
2. Determine the meaning of the target word (METICULOUS):
 - \""Meticulous\"" means showing great attention to detail; very careful, thorough, and precise.
3. Identify the word among the choices that shares an exact synonymous relationship with \""meticulous\"":
 - \""Painstaking\"" means characterized by extreme care, diligence, and thorough attention to detail.
 - Therefore, METICULOUS is to PAINSTAKING as PERSPICACIOUS is to ASTUTE.
4. Evaluate incorrect alternatives:
 - Option B (Negligent): Direct antonym meaning careless or failing to take proper care.
 - Option C (Rapid): Denotes high speed, not thoroughness.
 - Option D (Superficial): Direct antonym meaning shallow or lacking depth and detail.

Common Trap: Confusing meticulous (detail-oriented) with rapid or hasty actions.
Exam Tip: Both word pairs represent high-register adjectives denoting exact synonymous traits of precision and discernment.","Correct. Survives elimination because 'perspicacious' and 'astute' are exact synonyms (intellectually discerning), just as 'meticulous' and 'painstaking' are exact synonyms (scrupulously thorough).","Eliminated because 'negligent' is a direct antonym of 'meticulous'.","Eliminated because 'rapid' denotes velocity rather than meticulous precision.","Eliminated because 'superficial' is an antonym meaning shallow and non-detailed.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"EPHEMERAL: EVANESCENT:: ENIGMATIC: ______","RECONDITE","LUCID","PERSPICUOUS","MANIFEST","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (EPHEMERAL: EVANESCENT):
 - \""Ephemeral\"" means lasting for a very short time; transitory.
 - \""Evanescent\"" means quickly fading or disappearing from sight, memory, or existence.
 - Relationship: Exact advanced SYNONYMS describing the quality of being fleeting or transient.
2. Determine the meaning of the target word (ENIGMATIC):
 - \""Enigmatic\"" means difficult to interpret or understand; mysterious, abstruse, or obscure.
3. Identify the matching synonym among the options:
 - \""Recondite\"" means dealing with very profound, obscure, or abstruse subject matter difficult for ordinary minds to comprehend.
 - Therefore, ENIGMATIC is to RECONDITE as EPHEMERAL is to EVANESCENT.
4. Evaluate incorrect alternatives:
 - Option B (Lucid): Antonym meaning easily understood, completely clear, or intelligible.
 - Option C (Perspicuous): Antonym meaning clearly expressed and easily understood.
 - Option D (Manifest): Antonym meaning readily perceived by the eye or understanding; obvious.

Common Trap: Selecting antonyms like 'lucid' due to familiar associative memory rather than matching the synonym structure.
Exam Tip: Establish the precise semantic link: Ephemeral = Evanescent (Fleeting); Enigmatic = Recondite (Obscure/Difficult to decipher).","Correct. Survives elimination because 'ephemeral' and 'evanescent' are synonyms for fleeting, just as 'enigmatic' and 'recondite' are synonyms for obscure and mysterious.","Eliminated because 'lucid' is an antonym meaning completely clear and easily understood.","Eliminated because 'perspicuous' is an antonym meaning plainly evident.","Eliminated because 'manifest' is an antonym meaning obvious and perceptible.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"TRUNCATE: ABRIDGE:: EXONERATE: ______","EXCULPATE","INCRIMINATE","ADJUDICATE","INCARCERATE","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (TRUNCATE: ABRIDGE):
 - \""Truncate\"" means to shorten by cutting off a part or end.
 - \""Abridge\"" means to shorten a text or duration while retaining the essential sense.
 - Relationship: Exact verbal SYNONYMS signifying the action of shortening or condensing.
2. Determine the meaning of the target word (EXONERATE):
 - \""Exonerate\"" means to officially absolve, release from blame, or declare not guilty of wrongdoing.
3. Identify the matching verbal synonym:
 - \""Exculpate\"" means to show or declare that someone is not guilty of wrongdoing; to vindicate or absolve.
 - Therefore, EXONERATE is to EXCULPATE as TRUNCATE is to ABRIDGE.
4. Evaluate incorrect alternatives:
 - Option B (Incriminate): Direct antonym meaning to make someone appear guilty of a crime.
 - Option C (Adjudicate): Means to make a formal judgment or decision on a disputed matter (neutral legal process).
 - Option D (Incarcerate): Means to imprison or confine in jail.

Common Trap: Confusing legal procedures (adjudicate/incarcerate) with the specific act of absolution (exculpate).
Exam Tip: Truncate = Abridge (Verb pair: shorten); Exonerate = Exculpate (Verb pair: clear from fault/guilt).","Correct. Survives elimination because 'truncate' and 'abridge' are synonymous verbs meaning to shorten, while 'exonerate' and 'exculpate' are synonymous verbs meaning to absolve from guilt.","Eliminated because 'incriminate' is an exact antonym meaning to imply guilt.","Eliminated because 'adjudicate' means to judge formally without specifying innocence.","Eliminated because 'incarcerate' means to imprison.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"LUGUBRIOUS: DOLEFUL:: PROFLIGATE: ______","EXTRAVAGANT","PARSIMONIOUS","FRUGAL","ABSTEMIOUS","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (LUGUBRIOUS: DOLEFUL):
 - \""Lugubrious\"" means looking or sounding sad, dismal, or mournful.
 - \""Doleful\"" means expressing sorrow; mournful, melancholic.
 - Relationship: Exact formal SYNONYMS expressing deep sorrow and gloominess.
2. Determine the meaning of the target word (PROFLIGATE):
 - \""Profligate\"" means recklessly extravagant or wasteful in the use of resources, money, or materials.
3. Identify the matching synonym among the options:
 - \""Extravagant\"" means lacking restra∫ in spending money or using resources; excessively lavish or wasteful.
 - Therefore, PROFLIGATE is to EXTRAVAGANT as LUGUBRIOUS is to DOLEFUL.
4. Evaluate incorrect alternatives:
 - Option B (Parsimonious): Direct antonym meaning extremely unwilling to spend money; stingy.
 - Option C (Frugal): Direct antonym meaning sparing or economical with regard to money.
 - Option D (Abstemious): Direct antonym meaning indulging only very moderately in something.

Common Trap: Selecting parsimonious or frugal, which are exact opposites (antonyms) of profligate.
Exam Tip: Lugubrious = Doleful (Mournful); Profligate = Extravagant (Wastefully lavish).","Correct. Survives elimination because 'lugubrious' and 'doleful' are exact synonyms for sorrowful, while 'profligate' and 'extravagant' are exact synonyms for recklessly wasteful.","Eliminated because 'parsimonious' is an antonym meaning stingy or excessively frugal.","Eliminated because 'frugal' is an antonym meaning prudent in spending.","Eliminated because 'abstemious' is an antonym meaning highly restrained.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"OBDURATE: INTRANSIGENT:: EQUANIMITY: ______","COMPOSURE","TREPIDATION","DISQUIET","TURBULENCE","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (OBDURATE: INTRANSIGENT):
 - \""Obdurate\"" means stubbornly refusing to change one's opinion or course of action.
 - \""Intransigent\"" means refusing to agree or compromise; uncompromising, inflexible.
 - Relationship: Exact formal SYNONYMS denoting stubborn unyieldingness.
2. Determine the meaning of the target noun (EQUANIMITY):
 - \""Equanimity\"" means mental calmness, evenness of temper, and composure, especially in difficult situations.
3. Identify the matching noun synonym:
 - \""Composure\"" means the state or feeling of being calm, tranquil, and in control of oneself.
 - Therefore, EQUANIMITY is to COMPOSURE as OBDURATE is to INTRANSIGENT.
4. Evaluate incorrect alternatives:
 - Option B (Trepidation): Direct antonym meaning a feeling of fear, agitation, or dread.
 - Option C (Disquiet): Direct antonym meaning a feeling of anxiety, agitation, or worry.
 - Option D (Turbulence): Direct antonym meaning a state of violent disorder or commotion.

Common Trap: Selecting words describing emotional agitation (trepidation/disquiet) instead of emotional poise.
Exam Tip: Obdurate = Intransigent (Stubborn/Inflexible); Equanimity = Composure (Calmness/Poise under pressure).","Correct. Survives elimination because 'obdurate' and 'intransigent' are synonyms for stubborn, while 'equanimity' and 'composure' are synonyms for mental calmness and emotional poise.","Eliminated because 'trepidation' is an antonym meaning fearful agitation.","Eliminated because 'disquiet' is an antonym meaning anxiety or lack of peace.","Eliminated because 'turbulence' is an antonym meaning chaotic disturbance.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"SUPERFLUOUS: PLEONASTIC:: TRENCHANT: ______","INCISIVE","VAGUE","INANE","INSIPID","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (SUPERFLUOUS: PLEONASTIC):
 - \""Superfluous\"" means unnecessary, exceeding what is sufficient or required.
 - \""Pleonastic\"" means using more words than necessary; repetitive, redundant.
 - Relationship: Exact literary SYNONYMS describing redundancy and excessive fullness.
2. Determine the meaning of the target word (TRENCHANT):
 - \""Trenchant\"" means vigorous or incisive in expression or style; keenly perceptive, sharp, and penetrating.
3. Identify the matching synonym among the options:
 - \""Incisive\"" means intelligently analytical and clear-thinking; cutting, penetrating, and sharply focused.
 - Therefore, TRENCHANT is to INCISIVE as SUPERFLUOUS is to PLEONASTIC.
4. Evaluate incorrect alternatives:
 - Option B (Vague): Direct antonym meaning thinking or expressing oneself in an imprecise, indistinct manner.
 - Option C (Inane): Means silly, stupid, or devoid of meaningful content.
 - Option D (Insipid): Means lacking flavor, interest, or vigor; dull.

Common Trap: Confusing trenchant (sharp/incisive) with words implying foolishness (inane) or blandness (insipid).
Exam Tip: Superfluous = Pleonastic (Redundant); Trenchant = Incisive (Sharp, cutting, penetrating).","Correct. Survives elimination because 'superfluous' and 'pleonastic' are synonyms for redundant, while 'trenchant' and 'incisive' are synonyms for sharp, penetrating, and intellectually keen.","Eliminated because 'vague' is an antonym meaning indefinite and indistinct.","Eliminated because 'inane' means silly or empty of substance.","Eliminated because 'insipid' means lacking vigor or interest.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"INDIGENT: PENURIOUS:: AUSPICIOUS: ______","PROPITIOUS","OMINOUS","INAUSPICIOUS","UNTOWARD","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (INDIGENT: PENURIOUS):
 - \""Indigent\"" means poor, needy, or impoverished.
 - \""Penurious\"" means extremely poor, destitute, or poverty-stricken.
 - Relationship: Exact formal SYNONYMS denoting extreme destitution and poverty.
2. Determine the meaning of the target adjective (AUSPICIOUS):
 - \""Auspicious\"" means giving or being a sign of future success; favorable, promising good fortune.
3. Identify the matching synonym among the options:
 - \""Propitious\"" means giving or indicating a good chance of success; favorably disposed, auspicious.
 - Therefore, AUSPICIOUS is to PROPITIOUS as INDIGENT is to PENURIOUS.
4. Evaluate incorrect alternatives:
 - Option B (Ominous): Antonym giving the impression that something bad is about to happen; threatening.
 - Option C (Inauspicious): Direct morphological antonym meaning not conducive to success; unpromising.
 - Option D (Untoward): Antonym meaning unexpected and inappropriate or inconvenient.

Common Trap: Selecting 'inauspicious' or 'ominous', which represent opposite omens.
Exam Tip: Indigent = Penurious (Destitute); Auspicious = Propitious (Favorable/Promising good fortune).","Correct. Survives elimination because 'indigent' and 'penurious' are synonyms for destitute, while 'auspicious' and 'propitious' are synonyms for favorable and indicating good fortune.","Eliminated because 'ominous' is an antonym signifying impending disaster.","Eliminated because 'inauspicious' is a direct antonym meaning unpromising.","Eliminated because 'untoward' is an antonym meaning unfavorable or adverse.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"PUGNACIOUS: BELLICOSE:: CANDID: ______","INGENUOUS","DISINGENUOUS","DEVIOUS","SUBTERFUGE","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (PUGNACIOUS: BELLICOSE):
 - \""Pugnacious\"" means eager or quick to argue, quarrel, or fight.
 - \""Bellicose\"" means demonstrating aggression and willingness to fight; warlike.
 - Relationship: Exact advanced SYNONYMS describing an aggressive, combative disposition.
2. Determine the meaning of the target adjective (CANDID):
 - \""Candid\"" means truthful, straightforward, frank, and sincere in expression.
3. Identify the matching synonym among the options:
 - \""Ingenuous\"" means innocent, frank, sincere, candid, and free from deceit or dissimulation.
 - Therefore, CANDID is to INGENUOUS as PUGNACIOUS is to BELLICOSE.
4. Evaluate incorrect alternatives:
 - Option B (Disingenuous): Direct antonym meaning not candid or sincere, typically by pretending to know less than one does.
 - Option C (Devious): Direct antonym meaning showing a skillful use of underhanded tactics to achieve goals.
 - Option D (Subterfuge): A noun (part-of-speech mismatch and antonymous concept) meaning deceit used to achieve one's goal.

Common Trap: Confusing ingenuous (honest/frank) with ingenious (clever/inventive) or selecting its negative disingenuous.
Exam Tip: Pugnacious = Bellicose (Combative); Candid = Ingenuous (Honest, open, sincere).","Correct. Survives elimination because 'pugnacious' and 'bellicose' are synonyms for combative, while 'candid' and 'ingenuous' are synonyms for frank, truthful, and sincere.","Eliminated because 'disingenuous' is a direct antonym meaning deceitful and insincere.","Eliminated because 'devious' is an antonym meaning crafty and dishonest.","Eliminated because 'subterfuge' is a noun denoting deceitful tactics.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"VORACIOUS: RAPACIOUS:: QUIXOTIC: ______","CHIMERICAL","PRAGMATIC","UTILITARIAN","REALISTIC","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (VORACIOUS: RAPACIOUS):
 - \""Voracious\"" means wanting or devouring great quantities of food; exceedingly eager or avid.
 - \""Rapacious\"" means aggressively greedy, grasping, or voracious.
 - Relationship: Exact high-register SYNONYMS denoting an insatiable, grasping appetite.
2. Determine the meaning of the target adjective (QUIXOTIC):
 - \""Quixotic\"" means exceedingly idealistic, unrealistic, visionary, and impractical.
3. Identify the matching synonym among the options:
 - \""Chimerical\"" means existing only as the product of unchecked imagination; fantastically visionary, wildly fanciful, or unrealistic.
 - Therefore, QUIXOTIC is to CHIMERICAL as VORACIOUS is to RAPACIOUS.
4. Evaluate incorrect alternatives:
 - Option B (Pragmatic): Direct antonym meaning dealing with things sensibly and realistically based on practical considerations.
 - Option C (Utilitarian): Antonym meaning designed to be useful or practical rather than attractive or visionary.
 - Option D (Realistic): Direct antonym meaning having or showing a sensible and practical idea of what can be achieved.

Common Trap: Selecting pragmatic or realistic, which are the polar opposites of quixotic.
Exam Tip: Voracious = Rapacious (Insatiably greedy); Quixotic = Chimerical (Impractically idealistic and visionary).","Correct. Survives elimination because 'voracious' and 'rapacious' are synonyms for insatiable, while 'quixotic' and 'chimerical' are synonyms for wildly fanciful and impractically visionary.","Eliminated because 'pragmatic' is a direct antonym meaning practical and realistic.","Eliminated because 'utilitarian' is an antonym focused strictly on functional practicality.","Eliminated because 'realistic' is an antonym meaning grounded in reality.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
"ABROGATE: RESCIND:: MITIGATE: ______","ALLEVIATE","EXACERBATE","INTENSIFY","AGGRAVATE","A","Step-by-Step Solution:
1. Analyze the relationship in the initial word pair (ABROGATE: RESCIND):
 - \""Abrogate\"" means to repeal or do away with a law, right, or formal agreement.
 - \""Rescind\"" means to revoke, cancel, or repeal a law, order, or agreement.
 - Relationship: Exact legal and administrative SYNONYMS meaning to officially repeal or annul.
2. Determine the meaning of the target verb (MITIGATE):
 - \""Mitigate\"" means to make less severe, serious, or painful; to lessen the gravity of an offense or mistake.
3. Identify the matching verbal synonym among the options:
 - \""Alleviate\"" means to make suffering, deficiency, or a problem less severe; to relieve, ease, or lighten.
 - Therefore, MITIGATE is to ALLEVIATE as ABROGATE is to RESCIND.
4. Evaluate incorrect alternatives:
 - Option B (Exacerbate): Direct antonym meaning to make a problem, bad situation, or negative feeling worse.
 - Option C (Intensify): Antonym meaning to become or make more intense, severe, or acute.
 - Option D (Aggravate): Direct antonym meaning to make a problem, injury, or offense worse or more serious.

Common Trap: Selecting exacerbate or aggravate, which are direct opposites (antonyms) of mitigate.
Exam Tip: Abrogate = Rescind (Annul/Repeal); Mitigate = Alleviate (Ease/Make less severe).","Correct. Survives elimination because 'abrogate' and 'rescind' are synonymous verbs for revoking a rule, while 'mitigate' and 'alleviate' are synonymous verbs for reducing severity.","Eliminated because 'exacerbate' is an antonym meaning to worsen.","Eliminated because 'intensify' is an antonym meaning to heighten severity.","Eliminated because 'aggravate' is an antonym meaning to worsen a condition.","Analytical Ability","Analytical Ability | Word Analogy | Analogy Types | Synonym analogy | Very Difficult | Batch 054"
