"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"In the landmark en banc ruling of Garcia v. Drilon (G.R. No. 179267, June 25, 2013), penned by Justice Estela Perlas-Bernabe, why was Republic Act No. 9262 (Anti-Violence Against Women and Their Children Act of 2004 / VAWC) upheld as CONSTITUTIONAL against claims that it violated the Equal Protection Clause?","The law is based on a VALID AND REASONABLE CLASSIFICATION grounded on substantial distinctions: empirical history shows women and children are disproportionately vulnerable to domestic abuse and unequal power dynamics within intimate relationships, justifying specialized protective state measures.","The Supreme Court held that men possess zero constitutional rights in the Philippines.","The law was declared valid because all domestic disputes are exempt from constitutional scrutiny.","The law was upheld because the Supreme Court abolished all family courts in the country.","A","Step-by-Step Solution:
1. Constitutional & Statutory Basis:
   - Republic Act No. 9262 (Anti-Violence Against Women and Their Children Act of 2004 / VAWC).
   - Article III, Section 1 (Equal Protection Clause) & Article II, Section 14 (Fundamental Equality of Women and Men).
2. Landmark Case: Jesus C. Garcia v. Hon. Ray Alan T. Drilon (699 SCRA 352, June 25, 2013), penned by Justice Estela Perlas-Bernabe:
   - Facts: Jesus Garcia challenged the constitutionality of RA 9262, arguing that protecting only women and their children while excluding abused husbands violated the Equal Protection Clause.
   - Supreme Court Ruling (En Banc):
     - 1. REQUISITES OF VALID EQUAL PROTECTION CLASSIFICATION MET:
        (a) Rest on substantial distinctions (Sociological and empirical data demonstrate that women and children suffer overwhelming, disproportionate physical, psychological, and economic violence in domestic relationships due to unequal physical and patriarchal power dynamics);
        (b) Germane to the purpose of the law (Eradicating domestic violence);
        (c) Not limited to existing conditions only;
        (d) Apply equally to all members of the class.
     - 2. REMEDIES FOR MEN: Men subjected to domestic abuse may seek remedies under the Revised Penal Code (physical injuries, grave threats) and the Civil Code.
     - 3. RA 9262 was declared FULLY CONSTITUTIONAL AND VALID.
3. Option A is the precise legal holding and constitutional doctrine of Garcia v. Drilon.

Common Trap: Thinking gender-specific laws violate equal protection; when grounded on SUBSTANTIAL DISTINCTIONS, affirmative protective legislation like RA 9262 is FULLY CONSTITUTIONAL.
Exam Tip: Garcia v. Drilon (2013) = UPHELD THE CONSTITUTIONALITY of RA 9262 (VAWC) based on valid classification and substantial distinctions under the Equal Protection Clause.","Correct. Survives elimination because Garcia v. Drilon established that RA 9262 complies with the Equal Protection Clause, as the specialized protection for women and children rests on valid, substantial empirical distinctions of vulnerability in domestic violence.","Eliminated because men retain all constitutional protections and general penal remedies under Philippine law.","Eliminated because domestic disputes and family protection statutes are fully subject to constitutional review.","Eliminated because RA 9262 specifically vests specialized jurisdiction in designated Family Courts (RA 8369).","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Section 3 of Republic Act No. 9262 (Anti-VAWC Act), what are the FOUR (4) DISTINCT FORMS OF VIOLENCE that constitute punishable acts of violence against women and their children?","(1) PHYSICAL violence, (2) SEXUAL violence, (3) PSYCHOLOGICAL violence, and (4) ECONOMIC abuse.","(1) Corporate merger disputes, (2) Patent infringements, (3) Maritime salvage, and (4) Bankruptcy liquidation.","(1) Real estate zoning disputes, (2) Municipal tax assessments, (3) Currency inflation, and (4) Import tariffs.","(1) Election campaign debates, (2) Judicial dissents, (3) Legislative filibustering, and (4) Treaty negotiations.","A","Step-by-Step Solution:
1. Statutory Text: Section 3, Republic Act No. 9262 (Anti-VAWC Act of 2004):
   'Violence against women and their children refers to any act or a series of acts committed by any person against a woman who is his wife, former wife, or against a woman with whom the person has or had a sexual or dating relationship, or with whom he has a common child, or against her child... WHICH RESULT IN OR IS LIKELY TO RESULT IN:
   (a) PHYSICAL VIOLENCE (bodily or physical harm);
   (b) SEXUAL VIOLENCE (rape, sexual harassment, making demeaning sexual acts);
   (c) PSYCHOLOGICAL VIOLENCE (acts causing mental or emotional suffering, intimidation, stalking, public humiliation, verbal abuse, marital infidelity causing distress);
   (d) ECONOMIC ABUSE (withdrawing financial support, preventing employment, controlling conjugal property, destroying property).'
2. Comprehensive Protection:
   - Expands the definition of abuse far beyond physical assault to include emotional trauma and financial deprivation.
3. Option A is the verbatim statutory enumeration of the 4 forms of violence.

Common Trap: Thinking VAWC only punishes physical beating; PSYCHOLOGICAL VIOLENCE (verbal abuse, humiliation, stalking) and ECONOMIC ABUSE (withholding financial support) ARE CRIMINAL ACTS under RA 9262.
Exam Tip: The 4 Forms of VAWC Violence (RA 9262, Sec. 3) = PHYSICAL, SEXUAL, PSYCHOLOGICAL, and ECONOMIC ABUSE.","Correct. Survives elimination because Section 3 of RA 9262 explicitly classifies domestic violence into four distinct actionable categories: physical violence, sexual violence, psychological violence, and economic abuse.","Eliminated because corporate commercial operations are governed by the Revised Corporation Code, not the Anti-VAWC Act.","Eliminated because municipal real estate and tax measures fall under local tax codes and RA 7160.","Eliminated because legislative and political procedures are governed by legislative rules, not domestic violence laws.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Republic Act No. 9262 (Anti-VAWC Act), what are the THREE (3) TYPES OF PROTECTION ORDERS that may be issued to safeguard a victim from further domestic violence, and what are their respective issuing authorities?","(1) BARANGAY PROTECTION ORDER (BPO) issued by the Punong Barangay / Kagawad (effective for 15 days), (2) TEMPORARY PROTECTION ORDER (TPO) issued by the Family Court (effective for 30 days), and (3) PERMANENT PROTECTION ORDER (PPO) issued by the Family Court after trial on the merits.","(1) Traffic Protection Order, (2) Maritime Protection Order, and (3) Aviation Protection Order.","(1) Military Protection Order issued by the AFP, and (2) Police Protection Order issued by the PNP Chief.","(1) Commercial Protection Order issued by the SEC, and (2) Audit Protection Order issued by COA.","A","Step-by-Step Solution:
1. Statutory Authority: Sections 8 to 15, Republic Act No. 9262:
2. The Triad of Protection Orders under RA 9262:
   - 1. BARANGAY PROTECTION ORDER (BPO) (Section 14):
     - Issued by: The PUNONG BARANGAY (or Barangay Kagawad if Mayor/Barangay Captain is unavailable).
     - Period of Validity: FIFTEEN (15) DAYS.
     - Relief: Orders perpetrator to desist from causing physical harm and stay away from victim's home.
   - 2. TEMPORARY PROTECTION ORDER (TPO) (Section 15):
     - Issued by: The FAMILY COURT / REGIONAL TRIAL COURT (ex parte, within the day of filing).
     - Period of Validity: THIRTY (30) DAYS (can be extended until final judgment).
     - Reliefs: Eviction of perpetrator from shared home, stay-away distance, temporary child custody, temporary spousal support.
   - 3. PERMANENT PROTECTION ORDER (PPO) (Section 16):
     - Issued by: The FAMILY COURT / RTC after notice and full trial on the merits.
     - Period of Validity: PERMANENT (or until modified/lifted by the court).
3. Option A is the precise, complete statutory classification and validity period.

Common Trap: Confusing the BPO (15 days) with the TPO (30 days); BPO is issued by the Punong Barangay for 15 days, while TPO is issued by the Court for 30 days.
Exam Tip: Protection Orders under RA 9262: BPO (Barangay - 15 days) | TPO (Court - 30 days) | PPO (Court - Permanent).","Correct. Survives elimination because RA 9262 explicitly establishes the hierarchy of protection orders: Barangay Protection Orders (BPOs, 15 days), Temporary Protection Orders (TPOs, 30 days), and Permanent Protection Orders (PPOs issued after trial by the Family Court).","Eliminated because transportation agencies have no legal authority over domestic violence protection orders.","Eliminated because protection orders are issued by barangays and judicial family courts, not military commands.","Eliminated because commercial and auditing bodies do not handle domestic violence protection remedies.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"In criminal jurisprudence (e.g., People v. Genosa, 419 SCRA 537) and Section 26 of RA 9262, what is 'BATTERED WOMAN SYNDROME' (BWS), and what is its legal effect on criminal liability?","A scientifically recognized cumulative psychological pattern of learned helplessness and psychological paralysis developed by a woman who is repeatedly subjected to severe domestic physical and emotional battering, which operates as a COMPLETE JUSTIFYING CIRCUMSTANCE (Self-Defense) absolving her of criminal and civil liability.","A medical condition that grants automatic executive promotion in the civil service.","An administrative offense that results in an employee being dropped from the civil service rolls.","A commercial insurance contract that reimburses property damage to motor vehicles.","A","Step-by-Step Solution:
1. Landmark Case History & Statutory Codification:
   - People v. Marivic Genosa (419 SCRA 537, 2004), penned by Justice Artemio Panganiban:
     - Marivic Genosa killed her abusive husband while he was asleep after enduring years of continuous, brutal physical beatings. The Supreme Court recognized for the first time the concept of Battered Woman Syndrome.
   - Codification in Section 26, Republic Act No. 9262:
     'Battered Woman Syndrome as a Defense. — Victim-survivors who are found by the courts to be suffering from BATTERED WOMAN SYNDROME do not incur any criminal and civil liability notwithstanding the absence of any of the elements for justifying circumstances of self-defense under the Revised Penal Code.'
2. The Cycle of Violence in BWS:
   - (1) Tension-Building Phase -> (2) Acute Battering Incident -> (3) Tranquil / Loving Honeymoon Phase (repeating continuously).
   - Legal Effect under Section 26: Complete EXEMPTION / JUSTIFICATION from criminal and civil liability (acts as a complete defense).
3. Option A is the precise legal definition and effect of BWS.

Common Trap: Thinking BWS is just a mitigating circumstance; under Section 26 of RA 9262, BWS is a COMPLETE DEFENSE that absolves the battered woman of ALL criminal and civil liability.
Exam Tip: People v. Genosa & RA 9262, Sec. 26 = BATTERED WOMAN SYNDROME is a COMPLETE JUSTIFYING DEFENSE (No criminal or civil liability).","Correct. Survives elimination because People v. Genosa and Section 26 of RA 9262 establish Battered Woman Syndrome as a scientifically proven psychological defense that operates as a complete justifying circumstance, extinguishing all criminal and civil liability.","Eliminated because BWS is a criminal defense in domestic violence litigation, not an executive promotion mechanism.","Eliminated because BWS is a protective legal defense for domestic violence survivors, not an employee administrative offense.","Eliminated because BWS is a psychological and criminal defense doctrine, not a commercial vehicle insurance policy.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Republic Act No. 9710 (The Magna Carta of Women), what is the mandatory budgetary requirement regarding 'GENDER AND DEVELOPMENT' (GAD) in all government agencies and local government units?","All government departments, agencies, and LGUs are legally mandated to allocate at least FIVE PERCENT (5%) OF THEIR TOTAL ANNUAL BUDGET appropriations to Gender and Development (GAD) programs, projects, and activities promoting women's empowerment and gender equality.","Agencies must allocate 50% of their budget to purchase private cosmetics for female directors.","Government departments are prohibited from spending any funds on women's programs.","GAD funds are only mandatory during presidential election years.","A","Step-by-Step Solution:
1. Statutory Authority: Republic Act No. 9710 (The Magna Carta of Women, Section 36) & General Appropriations Act (GAA):
   - 'Gender and Development (GAD) Budget. — All government departments, including their attached agencies, offices, bureaus, state universities and colleges, government-owned and-controlled corporations, local government units, and other government instrumentalities SHALL ALLOCATE AT LEAST FIVE PERCENT (5%) OF THEIR TOTAL ANNUAL BUDGET APPROPRIATIONS to fund Gender and Development (GAD) programs, projects, and activities...'
2. Core Purpose & Auditing by COA:
   - 1. Mainstreaming Gender Equality: Institutionalizing programs on women's healthcare, maternal services, anti-trafficking, female entrepreneurship, and violence prevention.
   - 2. Commission on Audit (COA) Circular No. 2021-008: Strict audit compliance monitoring; failure to allocate and properly utilize the 5% GAD budget is an actionable audit and administrative violation.
3. Option A is the verbatim statutory requirement.

Common Trap: Forgetting the exact percentage; the GAD budget is AT LEAST FIVE PERCENT (5%) of the agency's total annual budget.
Exam Tip: Magna Carta of Women (RA 9710) = Mandatory allocation of AT LEAST 5% OF TOTAL ANNUAL BUDGET for Gender and Development (GAD).","Correct. Survives elimination because Section 36 of RA 9710 (Magna Carta of Women) and annual national budget laws strictly mandate that all government agencies and LGUs allocate at least 5% of their total annual budget to Gender and Development (GAD) initiatives.","Eliminated because GAD funds must be used for public programs advancing gender equality, not private personal cosmetics.","Eliminated because allocating funds for women's development is an affirmative statutory obligation.","Eliminated because the 5% GAD budget allocation is a continuous annual legal requirement.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Section 18 of Republic Act No. 9710 (Magna Carta of Women) and Civil Service Commission rules, what is the 'SPECIAL LEAVE BENEFIT FOR WOMEN'?","A female employee who has rendered continuous aggregate service of at least six (6) months for the last two (2) years is entitled to a special paid leave of up to TWO (2) MONTHS with full pay following surgery caused by GYNECOLOGICAL DISORDERS.","A paid leave of ten years granted to any woman who adopts a pet dog.","An unpaid leave of three days granted exclusively to private corporate stockholders.","A mandatory suspension without pay imposed on female public employees upon getting married.","A","Step-by-Step Solution:
1. Statutory Text: RA 9710, Section 18:
   'Special Leave Benefits for Women. — A woman employee having rendered continuous aggregate employment service of at least six (6) months for the last two (2) years SHALL BE ENTITLED TO A SPECIAL LEAVE BENEFIT OF TWO (2) MONTHS WITH FULL PAY based on her gross monthly compensation following surgery caused by GYNECOLOGICAL DISORDERS.'
2. Civil Service Commission Guidelines (CSC Resolution No. 1000432 & CSC MC No. 25, s. 2010):
   - 1. Eligible Conditions: Surgical procedures involving the female reproductive organs (e.g., hysterectomy, myomectomy, mastectomy, ovarian cystectomy, and surgical management of gynecological cancers).
   - 2. Service Requirement: At least 6 months of aggregate service in the last 2 years.
   - 3. Compensation: TWO (2) MONTHS OF PAID LEAVE with full salary, which is in addition to regular earned vacation and sick leave credits.
3. Option A matches the statutory text and requirements verbatim.

Common Trap: Confusing Maternity Leave (105 days under RA 11210) with the Magna Carta Special Leave for Gynecological Surgery (UP TO 2 MONTHS with full pay under RA 9710).
Exam Tip: Magna Carta of Women Special Leave (RA 9710, Sec. 18) = Up to TWO (2) MONTHS PAID LEAVE following surgery for GYNECOLOGICAL DISORDERS.","Correct. Survives elimination because Section 18 of RA 9710 and CSC rules explicitly grant female employees up to two months of special leave with full pay following surgery for gynecological disorders after six months of service.","Eliminated because the special leave applies strictly to medical surgery for gynecological conditions.","Eliminated because the special leave is fully paid for up to two months.","Eliminated because marital status cannot be used to penalize female employees under the Magna Carta of Women.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Republic Act No. 11313 (The Safe Spaces Act / Bawal Bastos Law), what behaviors are criminalized as 'GENDER-BASED SEXUAL HARASSMENT IN STREETS AND PUBLIC SPACES'?","Unwanted and uninvited sexual actions or remarks (such as catcalling, wolf-whistling, unwanted sexual comments on appearance, leering, cyber-harassment, voyeurism, public masturbation, and flashing of private parts) in streets, alleys, plazas, public utility vehicles, and public buildings.","Walking across a marked pedestrian crosswalk while wearing sunglasses.","Ordering food at a public market using polite conversational language.","Attending a public library to study for the civil service exam.","A","Step-by-Step Solution:
1. Statutory Authority: Republic Act No. 11313 (The Safe Spaces Act / Bawal Bastos Law, approved April 17, 2019):
2. Scope of Prohibited Acts in Public Spaces (Section 4 & 5):
   - 1. Specific Prohibited Behaviors:
     - Catcalling, wolf-whistling, unwanted sexual remarks, intrusive leering, and persistent uninvited sexual propositions.
     - Unwanted groping, brushing against another's body, touching, or pinching in public or inside public utility vehicles (jeepneys, buses, trains).
     - Public masturbation, flashing of private parts, cyber-flashing, and unauthorized recording/dissemination of voyeuristic photos/videos.
   - 2. Public Areas Covered: Streets, sidewalks, alleys, public parks, malls, bars, schools, government offices, and all public transport.
   - 3. Penalties: Community service, heavy fines, and criminal imprisonment depending on the frequency and severity of the harassment.
3. Option A is the comprehensive statutory definition under RA 11313.

Common Trap: Believing catcalling and wolf-whistling are 'harmless street culture'; under RA 11313 (Bawal Bastos Law), CATCALLING AND WOLF-WHISTLING ARE CRIMINAL OFFENSES.
Exam Tip: RA 11313 (Safe Spaces Act / Bawal Bastos Law) = Criminalizes catcalling, wolf-whistling, leering, public sexual harassment, online harassment, and workplace/school harassment.","Correct. Survives elimination because Republic Act No. 11313 (Safe Spaces Act) explicitly criminalizes catcalling, wolf-whistling, unwanted sexual comments, leering, voyeurism, and physical harassment in public spaces and public transport.","Eliminated because pedestrian crossing is lawful road utilization.","Eliminated because purchasing food politely is standard daily commerce.","Eliminated because library study is an authorized educational activity.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under the Juvenile Justice and Welfare Act of 2006 (Republic Act No. 9344, as amended by RA 10630), what is the statutory 'MINIMUM AGE OF CRIMINAL RESPONSIBILITY' in the Philippines?","A child FIFTEEN (15) YEARS OF AGE OR UNDER at the time of the commission of the offense shall be EXEMPT FROM CRIMINAL LIABILITY, and subjected to an intervention program; while a child ABOVE 15 BUT BELOW 18 YEARS OF AGE is likewise exempt unless they acted WITH DISCERNMENT.","A child of any age from five years old can be sentenced to life imprisonment in adult penitentiaries.","All persons under twenty-one years of age are completely immune from civil court orders.","Criminal responsibility in the Philippines begins at age twenty-five.","A","Step-by-Step Solution:
1. Statutory Text: Section 6, Republic Act No. 9344 (as amended by RA 10630):
   'Minimum Age of Criminal Responsibility. — A child FIFTEEN (15) YEARS OF AGE OR UNDER at the time of the commission of the offense shall be EXEMPT FROM CRIMINAL LIABILITY. However, the child shall be subjected to an intervention program pursuant to Section 20 of this Act.
   A child ABOVE FIFTEEN (15) YEARS BUT BELOW EIGHTEEN (18) YEARS OF AGE shall likewise be EXEMPT FROM CRIMINAL LIABILITY and be subjected to an intervention program, UNLESS HE/SHE HAS ACTED WITH DISCERNMENT, in which case, such child shall be subjected to the appropriate proceedings in accordance with this Act.'
2. Two-Tiered Age Hierarchy:
   - Tier 1: 15 Years Old and Below = ABSOLUTE EXEMPTION from criminal liability (Mandatory Intervention / Bahay Pag-asa).
   - Tier 2: Above 15 but Below 18 = PRESUMED EXEMPT, UNLESS the prosecution proves that the child acted WITH DISCERNMENT (the mental capacity to understand the difference between right and wrong and the consequences of the act; Diversion / Restorative Justice applies).
3. Option A is the verbatim statutory rule.

Common Trap: Forgetting the discernment exception for 15-17 year-olds; children ABOVE 15 but BELOW 18 are only criminally liable if they ACTED WITH DISCERNMENT.
Exam Tip: RA 9344 Minimum Age of Criminal Responsibility = 15 years old and below: EXEMPT | Above 15 to below 18: EXEMPT UNLESS ACTED WITH DISCERNMENT.","Correct. Survives elimination because Section 6 of RA 9344 (as amended by RA 10630) explicitly sets the minimum age of criminal responsibility at 15 years old and below (absolute exemption), while children above 15 to below 18 are exempt unless proven to have acted with discernment.","Eliminated because detaining children in adult prisons violates international treaties and RA 9344.","Eliminated because the age of majority under civil law is 18 years old under RA 6809.","Eliminated because adult criminal liability begins at 18 years of age in the Philippines.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Republic Act No. 7610 (Special Protection of Children Against Abuse, Exploitation and Discrimination Act), what is the statutory definition of 'CHILD ABUSE'?","The maltreatment, whether habitual or not, of a child which includes physical abuse, emotional maltreatment, sexual abuse, child prostitution, and any act by deeds or words which debases, degrades or demeans the intrinsic worth and dignity of a child as a human being.","Requiring a high school student to read a history textbook for thirty minutes.","Refusing to buy a child an expensive designer smartphone.","Enrolling a child in a free public elementary school.","A","Step-by-Step Solution:
1. Statutory Text: Section 3(b), Republic Act No. 7610:
   ''Child Abuse' refers to the maltreatment, whether habitual or not, of the child which includes any of the following:
   (1) Psychological and physical abuse, neglect, cruelty, sexual abuse and emotional maltreatment;
   (2) Any act by deeds or words which DEBASES, DEGRADES OR DEMEANS THE INTRINSIC WORTH AND DIGNITY OF A CHILD AS A HUMAN BEING;
   (3) Unreasonable deprivation of his basic needs for survival, such as food and shelter; or
   (4) Failure to immediately give medical treatment to an injured child resulting in serious impairment of his growth and development or in his permanent incapacity or death.'
2. Special Statutory Protections:
   - Prohibits child prostitution, child trafficking, employment of children in hazardous/exploitative conditions, and attacks on children in armed conflict zones.
   - Prescribes severe penalties ranging from Prision Mayor to Reclusion Perpetua (life imprisonment).
3. Option A is the verbatim statutory definition under RA 7610.

Common Trap: Thinking abuse requires physical beating; words or deeds that DEBASE, DEGRADE, OR DEMEAN the intrinsic worth of a child constitute statutory CHILD ABUSE.
Exam Tip: Child Abuse (RA 7610, Sec. 3[b]) = Maltreatment, physical/sexual/emotional abuse, or any act that DEBASES, DEGRADES, OR DEMEANS the intrinsic dignity of a child.","Correct. Survives elimination because Section 3(b) of RA 7610 broadly defines child abuse as any physical, sexual, emotional maltreatment, or act that debases, degrades, or demeans the intrinsic dignity and worth of a child as a human being.","Eliminated because assigning standard academic reading is normal education, not child abuse.","Eliminated because choosing not to buy luxury consumer goods is standard parental discretion.","Eliminated because enrolling a child in basic education fulfills the constitutional mandate of Article XIV, Section 2.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
"Under Republic Act No. 11596 (An Act Prohibiting the Practice of Child Marriage), approved on December 10, 2021, what is the legal status and consequence of 'CHILD MARRIAGE' in the Philippines?","Child marriage (any marriage entered into where one or both parties are BELOW EIGHTEEN [18] YEARS OF AGE) is declared an UNLAWFUL PUBLIC CRIME and is VOID AB INITIO, criminalizing the facilitation, arrangement, and solemnization of child marriages.","Child marriage is recognized as an authorized commercial business venture.","Child marriage is legal provided the bride's parents receive an informal cash gift.","Child marriage is mandatory in all Philippine municipalities.","A","Step-by-Step Solution:
1. Statutory Authority: Republic Act No. 11596 (An Act Prohibiting the Practice of Child Marriage and Imposing Penalties for Violations Thereof, signed December 10, 2021):
2. Core Provisions of RA 11596:
   - 1. Absolute Nullity: Section 4 declares that any child marriage (where one or both spouses are under 18 years old) is NULL AND VOID AB INITIO (void from the beginning).
   - 2. Prohibited Criminal Acts (Section 5):
     (a) Facilitation of Child Marriage (parents, guardians, or elders arranging/forcing a child marriage);
     (b) Solemnization of Child Marriage (any priest, pastor, imam, tribal leader, or solemnizing officer performing the rite);
     (c) Cohabitation of an adult with a child outside wedlock.
   - 3. Severe Penalties: Imprisonment of Prision Mayor (up to 10 to 12 years) and loss of parental authority.
   - 4. Non-Exemption: The law explicitly applies universally across the entire country, eliminating all customary and religious exemptions to protect child human rights.
3. Option A is the precise, complete statutory definition and legal effect.

Common Trap: Believing customary or religious exemptions still allow child marriage; RA 11596 COMPLETELY ABOLISHED all child marriage in the Philippines (Universal Ban).
Exam Tip: RA 11596 (Prohibition of Child Marriage) = Marriage under 18 is VOID AB INITIO; Arranging, facilitating, or solemnizing child marriage is a CRIMINAL FELONY.","Correct. Survives elimination because Republic Act No. 11596 explicitly declares child marriage involving any person under 18 years old to be null and void ab initio, criminalizing the arrangement, facilitation, and solemnization of such marriages.","Eliminated because child marriage is a serious criminal offense, not a commercial enterprise.","Eliminated because informal parental cash gifts exacerbate the crime of child marriage facilitation.","Eliminated because child marriage is strictly outlawed throughout all Philippine territory.","General Information","General Information | Peace and Human Rights Concepts | Peace and Human Rights Issues | Rights of women and children | Very Difficult | Batch 176"
