"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XI, Section 17 of the 1987 Constitution and Section 8 of Republic Act No. 6713, what are the THREE (3) MANDATORY FILING PERIODS for the Statement of Assets, Liabilities, and Net Worth (SALN) and Financial Disclosures of a public official?","(1) Within THIRTY (30) DAYS after ASSUMPTION OF OFFICE, (2) On or before APRIL 30 OF EVERY YEAR thereafter, and (3) Within THIRTY (30) DAYS after SEPARATION FROM THE SERVICE.","(1) Within 5 days of election, (2) Every December 31, and (3) Only upon reaching age 65.","(1) Once every ten years, (2) Whenever the official gets promoted, and (3) Upon winning a municipal lottery.","(1) Within 24 hours of taking the civil service exam, (2) On the employee's birthday, and (3) Never upon retirement.","A","Step-by-Step Solution:
1. Constitutional Text: Article XI, Section 17:
 'A public officer or employee shall, upon assumption of office and as often thereafter as may be required by law, submit a declaration under oath of his assets, liabilities, and net worth...'
2. Statutory Text: RA 6713, Section 8(A):
 'Statements and Disclosures. — Public officials and employees have an obligation to accomplish and submit declarations under oath of, and the public has the right to know, their assets, liabilities, net worth and financial and business interests including those of their spouses and of unmarried children under eighteen (18) years of age living in their households.
 (a) The two documents shall contain information on the following and SHALL BE FILED:
 (1) Within THIRTY (30) DAYS AFTER ASSUMPTION OF OFFICE, reckoned from the first day of office;
 (2) On or before APRIL 30 OF EVERY YEAR thereafter, covering the preceding calendar year; and
 (3) Within THIRTY (30) DAYS AFTER SEPARATION FROM THE SERVICE.'
3. Option A matches the three statutory filing periods verbatim.

Common Trap: Confusing the annual tax deadline (April 15) with the SALN filing deadline (APRIL 30); the annual SALN is due on or before APRIL 30.
Exam Tip: The 3 SALN Filing Windows (RA 6713, Sec. 8): (1) Within 30 days of ASSUMPTION, (2) On or before APRIL 30 annually, (3) Within 30 days of SEPARATION.","Correct. Survives elimination because Section 8(A) of RA 6713 explicitly establishes the three mandatory filing windows: within 30 days of assumption, on or before April 30 annually, and within 30 days after separation from service.","Eliminated because December 31 and age 65 do not match the statutory submission deadlines of Section 8.","Eliminated because 10-year intervals violate the annual April 30 filing requirement.","Eliminated because birthday submissions and exam dates are not statutory filing milestones under RA 6713.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Under Section 8(b) of RA 6713, which categories of public personnel are EXEMPT from the mandatory requirement of filing a Statement of Assets, Liabilities, and Net Worth (SALN)?","Those serving in an HONORARY CAPACITY, laborers, and casual or temporary workers.","Division chiefs and assistant regional directors.","All elective mayors, governors, and congressmen.","Supreme Court Associate Justices and trial court judges.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(b):
 'Identification and disclosure of relatives. —...The following shall be exempt from the requirement of filing statements of assets, liabilities and net worth and disclosure of business interests and financial connections:
 (1) Those serving in an HONORARY CAPACITY;
 (2) LABORERS; and
 (3) CASUAL OR TEMPORARY WORKERS.'
2. Rationale for the Exemptions:
 - 1. Honorary Capacity: Individuals serving on advisory councils or commissions without government salary or compensation (e.g., civic volunteer advisers).
 - 2. Laborers & Casual/Temporary Workers: Non-career, low-wage manual utility/labor positions without administrative, regulatory, or financial decision-making authority.
 - 3. Non-Exempt Personnel: ALL regular, permanent, elective, appointive, career, and non-career officials (from rank-and-file clerks to the President, Supreme Court Justices, and Cabinet members) MUST FILE SALNs.
3. Option A is the verbatim statutory list of exempt personnel.

Common Trap: Thinking top elective officials or judges are exempt; all elective officials, directors, and judges are MANDATORILY REQUIRED to file SALNs.
Exam Tip: SALN Exemptions (RA 6713, Sec. 8[b]): (1) Honorary personnel, (2) Laborers, and (3) Casual or Temporary workers.","Correct. Survives elimination because Section 8(b) of RA 6713 explicitly exempts only those serving in an honorary capacity, laborers, and casual or temporary workers from filing the SALN.","Eliminated because career division chiefs and regional directors are strictly required to file annual SALNs.","Eliminated because all elective officials (mayors, governors, legislators) are mandated by the Constitution and RA 6713 to file SALNs.","Eliminated because members of the Judiciary are constitutionally obligated to submit sworn SALNs under Article XI, Section 17.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Under Section 8(A) of RA 6713, what specific family members must be included in the public official's sworn financial disclosure statement (SALN)?","The assets, liabilities, net worth, and financial interests of the public official, their SPOUSE, and their UNMARRIED CHILDREN UNDER EIGHTEEN (18) YEARS OF AGE living in their household.","Only the public official alone, completely excluding their spouse and children.","All married adult children living in foreign countries.","All first, second, and third cousins residing in the same province.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(A):
 '...their assets, liabilities, net worth and financial and business interests INCLUDING THOSE OF THEIR SPOUSES AND OF UNMARRIED CHILDREN UNDER EIGHTEEN (18) YEARS OF AGE LIVING IN THEIR HOUSEHOLDS.'
2. Legal Scope of Household Coverage:
 - 1. Spouse: Full declaration of conjugal, community, and paraphernal/exclusive assets of the spouse (unless legally separated).
 - 2. Minor Unmarried Children: Unmarried children below 18 years old residing in the household (to prevent hiding properties under minor children's names).
 - 3. Exclusions from SALN Household Scope:
 - Adult children (18 years and older);
 - Married children;
 - Children living independently outside the household;
 - Extended relatives (cousins, in-laws).
3. Option A matches the statutory text and scope verbatim.

Common Trap: Believing adult married children must be declared; the statute strictly specifies UNMARRIED CHILDREN UNDER 18 YEARS OF AGE LIVING IN THE HOUSEHOLD.
Exam Tip: SALN Family Scope = Official + SPOUSE + UNMARRIED CHILDREN UNDER 18 living in household.","Correct. Survives elimination because Section 8(A) of RA 6713 explicitly mandates the inclusion of the financial assets and liabilities of the official's spouse and unmarried children under eighteen years of age living in their household.","Eliminated because excluding the spouse and minor children violates the explicit statutory text of Section 8(A).","Eliminated because married adult children living independently are not included in the official's SALN.","Eliminated because extended cousins are outside the mandatory household scope of Section 8(A).","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Under Section 8(B) of RA 6713, what is the mandatory requirement regarding the 'IDENTIFICATION AND DISCLOSURE OF RELATIVES IN THE GOVERNMENT SERVICE'?","Public officials and employees must identify and disclose, to the best of their knowledge and information, all RELATIVES IN THE GOVERNMENT SERVICE UP TO THE FOURTH CIVIL DEGREE of consanguinity or affinity.","They must disclose only relatives who have been convicted of criminal felonies.","They are required to disclose only relatives who work in foreign diplomatic embassies.","They are prohibited from listing any relatives who work in the public education sector.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(B):
 'Identification and disclosure of relatives. — It shall be the duty of every public official or employee to IDENTIFY AND DISCLOSE, TO THE BEST OF HIS KNOWLEDGE AND INFORMATION, HIS RELATIVES IN THE GOVERNMENT UP TO THE FOURTH CIVIL DEGREE OF CONSANGUINITY OR AFFINITY. Such statement shall be made also in the statement of assets, liabilities and net worth...'
2. Scope of Government Relatives Disclosure:
 - 1. Coverage: Relatives in government up to the FOURTH (4th) DEGREE of consanguinity (blood) or affinity (marriage).
 - 2. Positions Covered: Relatives working in any branch of government (Executive, Legislative, Judiciary, Constitutional Commissions, LGUs, GOCCs, State Universities).
 - 3. Purpose: Detecting conflicts of interest, monitoring nepotism, and preventing political dynasty cartels across government departments.
3. Option A is the verbatim statutory requirement.

Common Trap: Confusing the 3rd ° nepotism rule with the 4TH DEGREE RELATIVES DISCLOSURE RULE; SALN disclosures require listing relatives in government UP TO THE FOURTH CIVIL DEGREE.
Exam Tip: RA 6713, Sec. 8(B) = Mandatory disclosure of ALL relatives in the government service UP TO THE 4TH CIVIL DEGREE of consanguinity or affinity.","Correct. Survives elimination because Section 8(B) of RA 6713 explicitly obligates public servants to identify and disclose in their SALN all relatives working in the government up to the fourth civil ° of consanguinity or affinity.","Eliminated because the disclosure applies to all relatives in government service, regardless of criminal record.","Eliminated because the requirement applies to domestic Philippine government personnel, not foreign embassies.","Eliminated because public school educators in government must be declared if within the fourth °.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Under Section 8(C) of RA 6713, what is the 'RETENTION PERIOD' for filed SALN documents, and how long must repository agencies preserve them?","SALNs and financial disclosures shall be made available for inspection and retained by the repository agency for a period of TEN (10) YEARS after receipt of the statement, after which they may be destroyed unless needed in an ongoing investigation.","SALNs must be shredded and destroyed within twenty-four hours after receipt.","SALNs are retained permanently for five hundred years in an underground climate-controlled vault.","SALNs are discarded immediately after the official files their annual income tax return.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(C), 2nd paragraph:
 'Accessibility of documents. —...Any and all statements filed under this Act shall be made available for inspection and copying, in accordance with the law, within reasonable hours... Any statement filed under this Act SHALL BE AVAILABLE TO THE PUBLIC FOR A PERIOD OF TEN (10) YEARS AFTER RECEIPT OF THE STATEMENT. AFTER SUCH PERIOD, THE STATEMENT MAY BE DESTROYED UNLESS NEEDED IN AN ONGOING INVESTIGATION.'
2. Meaning & Operational Significance:
 - 1. Public Availability: Accessible to citizens, researchers, and journalists during reasonable working hours.
 - 2. Mandatory 10-Year Shelf Life: Repositories (CSC, Ombudsman, Sandiganbayan, House/Senate Records, Malacañang) must preserve filed SALNs for AT LEAST 10 YEARS.
 - 3. Investigation Exception: If an official is under active investigation by the Ombudsman or facing court proceedings, their SALNs CANNOT be destroyed even after 10 years.
3. Option A matches the statutory retention period verbatim.

Common Trap: Thinking SALNs can be destroyed after 1 year or retained forever without disposal rules; the statutory baseline retention period is TEN (10) YEARS.
Exam Tip: RA 6713, Sec. 8(C) = SALNs must be preserved and available to the public for TEN (10) YEARS after receipt (unless needed in ongoing investigation).","Correct. Survives elimination because Section 8(C) of RA 6713 explicitly mandates that filed SALNs must be preserved and accessible to the public for a statutory period of ten years after receipt.","Eliminated because shredding SALNs within 24 hours destroys public records and constitutes an illegal violation of Section 8.","Eliminated because the statute authorizes disposal after 10 years unless preserved for active investigations.","Eliminated because SALNs are independent public accountability records governed by the 10-year retention rule, not annual tax filings.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Under Section 8(D) of RA 6713, which of the following is a STRICTLY PROHIBITED USE of an official's Statement of Assets, Liabilities, and Net Worth (SALN)?","Using the SALN for any COMMERCIAL PURPOSE other than by news and communications media for dissemination to the general public, or for any purpose CONTRARY TO LAW, MORALS, OR PUBLIC POLICY (such as commercial marketing, solicitation, or blackmail).","Using the SALN by the Office of the Ombudsman as evidence in an ill-gotten wealth forfeiture investigation.","Using the SALN by investigative journalists to report on unexplained assets of high-ranking cabinet officials.","Using the SALN by the Civil Service Commission to conduct lifestyle check audits.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(D):
 'Prohibited acts. — It shall be UNLAWFUL for any person to obtain or use any statement filed under this Act for:
 (a) Any purpose CONTRARY TO LAW, MORALS, OR PUBLIC POLICY; and
 (b) Any COMMERCIAL PURPOSE OTHER THAN BY NEWS AND COMMUNICATIONS MEDIA for dissemination to the general public.'
2. Key Prohibited Uses:
 - 1. Commercial Spam/Marketing: Direct mail companies obtaining SALNs to compile commercial advertising mailing lists or telemarketing targets.
 - 2. Blackmail / Extortion: Using personal financial details to harass or shake down officials.
 - 3. Criminal Liability (Section 11, RA 6713): Any person who obtains or uses a SALN for prohibited commercial or illegal purposes is criminally liable for a fine of up to PHP 25,000 and/or imprisonment.
3. Permitted Lawful Uses:
 - Journalistic news reporting, Ombudsman forensic audits, and CSC lifestyle checks (Options B, C, and D are fully lawful).
4. Option A is the verbatim statutory prohibition.

Common Trap: Believing private businesses can use SALN databases to sell luxury products; commercial marketing use of SALN data is an EXPLICITLY UNLAWFUL CRIME under Section 8(D).
Exam Tip: Prohibited Uses of SALN (RA 6713, Sec. 8[D]): (1) Contrary to law/morals/public policy, (2) COMMERCIAL PURPOSES (except news media dissemination).","Correct. Survives elimination because Section 8(D) of RA 6713 expressly criminalizes obtaining or using SALN records for commercial marketing, solicitation, or purposes contrary to law, morals, or public policy.","Eliminated because Ombudsman anti-corruption investigations are the primary lawful purpose of constitutional financial disclosures.","Eliminated because news and media reporting for general public information is an explicitly protected exception under Section 8(D).","Eliminated because CSC lifestyle audits are authorized statutory oversight functions.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Where must the SWORN SALNs of the PRESIDENT, VICE-PRESIDENT, CONSTITUTIONAL COMMISSIONERS, AND MILITARY GENERALS be officially filed under Section 8 of RA 6713 and its Implementing Rules?","President, Vice-President, and Constitutional Commissioners file with the NATIONAL OFFICE OF THE OMBUDSMAN; Military Generals file with the Office of the Ombudsman (or DND/AFP repository).","With the local municipal registrar of births and deaths.","With the International Criminal Court in the Netherlands.","With the private corporate headquarters of a commercial bank.","A","Step-by-Step Solution:
1. Statutory & Administrative Repositories (Section 8, RA 6713 & Rule VIII of its IRR / CSC MC No. 3, s. 2015):
2. Designated SALN Custodians:
 - 1. President, Vice-President, Constitutional Commission Chairpersons and Commissioners: OFFICE OF THE OMBUDSMAN.
 - 2. Senators: Senate Secretary / Senate Committee on Ethics.
 - 3. Members of the House of Representatives: House Secretary General.
 - 4. Supreme Court Justices, Court of Appeals Justices, Sandiganbayan, CTA, and Lower Court Judges: SUPREME COURT CLERK OF COURT (En Banc).
 - 5. Cabinet Secretaries, Undersecretaries, Regional Directors, GOCC Executives: OFFICE OF THE PRESIDENT / OMBUDSMAN.
 - 6. Armed Forces Officers / Generals: Office of the Ombudsman / DND-AFP.
 - 7. Career Civil Servants / DepEd Teachers: CIVIL SERVICE COMMISSION (Regional / Field Offices).
 - 8. Local Government Elective Officials: Deputy Ombudsman for Luzon/Visayas/Mindanao.
3. Option A is the precise, correct statutory repository.

Common Trap: Thinking all SALNs go to the Civil Service Commission; the OMBUDSMAN is the primary repository for the President, VP, Constitutional Commissioners, and top officials.
Exam Tip: SALN Repositories: President/VP/Constitutional Commissions = OMBUDSMAN; Justices/Judges = SUPREME COURT; Career Civil Servants = CIVIL SERVICE COMMISSION.","Correct. Survives elimination because Section 8 of RA 6713 and CSC repository rules designate the Office of the Ombudsman as the official custodian for the SALNs of the President, Vice-President, and Constitutional Commissioners.","Eliminated because municipal civil registries handle birth, marriage, and death records, not constitutional SALN filings.","Eliminated because domestic constitutional accountability documents are filed with Philippine national repositories, not foreign international courts.","Eliminated because private commercial banks have no legal custodian authority over constitutional public officer SALNs.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"In the landmark en banc case of Republic v. Sereno (G.R. No. 237428, May 11, 2018), what did the Supreme Court establish regarding the MANDATORY FILING OF SWORN SALNs as an indispensable constitutional and legal requirement for public office?","Filing sworn SALNs is a mandatory constitutional and statutory requirement that reflects an official's integrity and transparency; the chronic and repeated failure to file sworn SALNs demonstrates a lack of proven integrity and constitutes a ground for disqualification and removal from high public office.","Filing a SALN is a purely optional suggestion that public officials may ignore without legal consequence.","The Supreme Court held that only rank-and-file utility workers are required to file SALNs.","SALN non-filing is completely cured if the official publishes an apology on a personal blog.","A","Step-by-Step Solution:
1. Landmark Case: Republic of the Philippines v. Maria Lourdes P. A. Sereno (863 SCRA 1, 2018), penned by Justice Noel Tijam:
 - Facts: The Solicitor General filed a Petition for Quo Warranto challenging the appointment of Chief Justice Sereno on the ground that she failed to file her mandatory sworn SALNs for multiple years while teaching at the UP College of Law, thereby failing the constitutional requirement of 'proven integrity' under Article VIII, Section 7(3).
 - Supreme Court Ruling (En Banc):
 - 1. CONSTITUTIONAL & STATUTORY IMPERATIVE: Article XI, Section 17 of the Constitution and Section 8 of RA 6713 make the filing of sworn SALNs a MANDATORY, ABSOLUTE REQUIREMENT for all public officers.
 - 2. PROVEN INTEGRITY STANDARD: The continuous, chronic failure to file sworn SALNs over a decade is not a mere clerical oversight; it directly reflects on an individual's honesty, transparency, and civic obedience to law.
 - 3. A public officer who repeatedly fails to file required SALNs fails to establish the constitutional qualification of proven integrity.
 - 4. The Quo Warranto petition was GRANTED, declaring her appointment null and void.
2. Option A is the precise legal holding and doctrine of Republic v. Sereno.

Common Trap: Viewing SALN filing as a trivial bureaucratic chore; SALN filing is a CONSTITUTIONAL INTEGRITY TEST that can void appointments and remove top officials.
Exam Tip: Republic v. Sereno = Filing sworn SALNs is a MANDATORY constitutional and legal duty; Chronic failure to file SALNs proves lack of integrity and voids qualification for office.","Correct. Survives elimination because Republic v. Sereno firmly established that sworn SALN submission is an absolute constitutional and statutory mandate whose chronic violation demonstrates lack of proven integrity and justifies removal from office.","Eliminated because the Constitution and RA 6713 make SALN submission an enforceable legal command, not an optional suggestion.","Eliminated because Article XI, Section 17 and RA 6713 apply with highest strictness to top constitutional officers and judicial executives.","Eliminated because informal blog apologies cannot cure statutory non-compliance and lack of constitutional integrity.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"What is the statutory requirement under Section 8(a) of RA 6713 regarding the VALUATION OF REAL PROPERTIES declared in a public official's Statement of Assets, Liabilities, and Net Worth (SALN)?","Real property declarations must include the location, year and mode of acquisition, assessed value, CURRENT FAIR MARKET VALUE, and the acquisition cost of each parcel of land or building.","Real property values must be declared at exactly zero pesos to protect family privacy.","Real property must be declared based on the owner's personal emotional attachment value.","Real property only needs to be declared if the property contains a gold mine.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(a)(1):
 'Real property, its description, kind, location, year and mode of acquisition, ASSESSED VALUE, FAIR MARKET VALUE AND ACQUISITION COST;'
2. Civil Service Commission SALN Guidelines (CSC Resolution No. 1500088):
 - 1. Comprehensive Property Description: Must specify the kind (residential, commercial, agricultural, industrial), exact location/address, and year/mode of acquisition (purchase, inheritance, donation).
 - 2. Three Mandatory Financial Valuation Metrics:
 (a) Assessed Value (as stated in the latest Tax Declaration issued by the City/Municipal Assessor);
 (b) Current Fair Market Value (as stated in the Tax Declaration);
 (c) Acquisition Cost (the actual historical purchase price or fair value at the time of inheritance/donation).
 - 3. Net Worth Calculation: Computed as Total Real & Personal Assets MINUS Total Outstanding Liabilities.
3. Option A is the verbatim statutory requirement.

Common Trap: Thinking only the purchase price is needed; the statute explicitly demands the ASSESSED VALUE, FAIR MARKET VALUE, and ACQUISITION COST.
Exam Tip: Real Property in SALN (RA 6713, Sec. 8[a]) = Location, Year/Mode of acquisition, ASSESSED VALUE, FAIR MARKET VALUE, and ACQUISITION COST.","Correct. Survives elimination because Section 8(a)(1) of RA 6713 explicitly requires declaring the location, acquisition year/mode, assessed value, fair market value, and actual acquisition cost for all real properties in the SALN.","Eliminated because declaring zero value constitutes gross dishonesty and criminal falsification of public records.","Eliminated because property valuation must follow objective tax declarations and purchase receipts, not subjective emotional attachment.","Eliminated because all real properties (residential, agricultural, commercial) must be fully declared regardless of mining presence.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
"Under Section 8(a)(2) and (3) of RA 6713, what categories of PERSONAL ASSETS AND LIABILITIES must be truthfully declared in the SALN?","Personal property (tangible items, vehicles, cash, bank deposits, investments, jewelry) with their acquisition cost, and all LIABILITIES (loans, mortgages, promissory notes, debts) with the names of creditors and outstanding balances.","Only personal sports trophies and swimming medals.","Only debts owed to foreign governments in excess of ten billion pesos.","Personal cash stored in residential mattresses is legally exempt from being counted.","A","Step-by-Step Solution:
1. Statutory Text: RA 6713, Section 8(a)(2) & (3):
 '(2) Personal property and acquisition cost;
 (3) All other assets such as investments, cash on hand, banks, stocks, bonds, and the like;
 (4) All liabilities...'
2. Guidelines on Personal Property & Liabilities (CSC Resolution No. 1500088):
 - 1. Personal Properties: Tangible goods (motor vehicles, machinery, furniture, jewelry) and Intangibles (cash on hand, bank accounts, stocks, bonds, mutual funds, insurance policies) declared at historical ACQUISITION COST.
 - 2. Liabilities: All valid debts, personal loans, GSIS/Pag-IBIG/bank housing loans, car loans, and credit card balances, explicitly naming the CREDITOR and the OUTSTANDING BALANCE as of December 31.
 - 3. Net Worth Formula: Net Worth = Total Assets (Real + Personal) - Total Liabilities.
3. Option A is the comprehensive statutory enumeration.

Common Trap: Believing cash on hand or jewelry does not need to be declared; ALL cash, bank accounts, vehicles, investments, and debts MUST BE TRUTHFULLY DECLARED.
Exam Tip: SALN Personal Assets & Liabilities = All tangible items, vehicles, cash, bank accounts, investments + ALL liabilities and creditors (to compute accurate Net Worth).","Correct. Survives elimination because Section 8(a) of RA 6713 explicitly commands the comprehensive declaration of all personal property (cash, vehicles, bank deposits, investments) at acquisition cost, along with all existing liabilities and creditors.","Eliminated because athletic trophies are nominal memorabilia, whereas the law requires declaring all valuable personal properties and financial assets.","Eliminated because all lawful liabilities, regardless of size, must be declared to accurately compute net worth.","Eliminated because cash on hand—regardless of physical storage location—must be truthfully declared under pain of perjury.","General Information","General Information | RA 6713 (Code of Conduct and Ethical Standards) | Ethical Standards & Norms | Financial disclosure | Very Difficult | Batch 166"
