"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under Article XIV, Section 5(2) of the 1987 Constitution, which entities are constitutionally guaranteed 'ACADEMIC FREEDOM', and what are the four essential freedoms of higher education institutions as established in Garcia v. Faculty Admission Committee?","Academic freedom shall be enjoyed in all institutions of HIGHER LEARNING; it encompasses the institutional freedom of the university to determine for itself on academic grounds (1) who may teach, (2) what may be taught, (3) how it shall be taught, and (4) who may be admitted to study.","Academic freedom applies exclusively to elementary public schools and gives students the right to choose their curriculum.","Academic freedom is enjoyed exclusively by the Department of Education Secretary to set national passing rates.","Academic freedom allows commercial universities to operate without complying with national fire and safety building codes.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 5(2):
 'Academic freedom shall be enjoyed in all institutions of higher learning.'
2. Landmark Case: Garcia v. The Faculty Admission Committee, Loyola School of Theology (68 SCRA 277, 1975); Ateneo de Manila University v. Capulong (222 SCRA 644, 1993); Miriam College Foundation v. CA (348 SCRA 265):
 - Justice Felix Frankfurter's celebrated 'Four Essential Freedoms' of a university under institutional Academic Freedom:
 1. WHO MAY TEACH (faculty qualifications, hiring, retention, tenure)
 2. WHAT MAY BE TAUGHT (curriculum, course content, research subjects)
 3. HOW IT SHALL BE TAUGHT (pedagogy, teaching methodologies, grading systems)
 4. WHO MAY BE ADMITTED TO STUDY (admissions standards, academic retention, disciplinary expulsion of students)
3. Scope Limitation: Applies to 'institutions of HIGHER LEARNING' (colleges and universities), not elementary/high schools.
4. Option A is the definitive constitutional text and jurisprudential doctrine.

Common Trap: Thinking academic freedom belongs only to individual professors or students; institutional academic freedom vests in the university itself as an academic institution.
Exam Tip: Academic Freedom = Institutions of HIGHER LEARNING; The 4 Freedoms: Who may teach, What may be taught, How it shall be taught, Who may be admitted to study.","Correct. Survives elimination because Article XIV, Section 5(2) guarantees academic freedom to institutions of higher learning, which under Garcia v. Faculty Admission Committee encompasses the four essential institutional freedoms: who may teach, what may be taught, how it shall be taught, and who may be admitted.","Eliminated because the constitutional guarantee of academic freedom is explicitly reserved for institutions of higher learning, not elementary schools.","Eliminated because academic freedom belongs to the collegiate academic community and institutions, not as an executive prerogative of the DepEd Secretary.","Eliminated because academic freedom pertains to intellectual and educational autonomy, and does not exempt institutions from general police power safety and fire regulations.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 4(3) of the 1987 Constitution, what is the constitutional TAX EXEMPTION granted to NON-STOCK, NON-PROFIT EDUCATIONAL INSTITUTIONS?","All revenues and assets of non-stock, non-profit educational institutions used ACTUALLY, DIRECTLY, AND EXCLUSIVELY for educational purposes shall be exempt from taxes and duties.","Non-stock, non-profit educational institutions are exempt only from local barangay permit fees while paying full corporate income taxes.","All commercial for-profit universities are automatically exempt from paying real property and income taxes.","Non-profit educational institutions are exempt from taxation only if they admit 100% of their students on full free scholarships.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 4(3) states:
 'All revenues and assets of non-stock, non-profit educational institutions used ACTUALLY, DIRECTLY, AND EXCLUSIVELY for educational purposes shall be exempt from taxes and duties. Upon the dissolution or cessation of the corporate existence of such institutions, their assets shall be disposed of in the manner provided by law. Proprietary educational institutions, including those cooperatively owned, may likewise be entitled to such exemptions subject to the limitations provided by law including restrictions on dividends and provisions for reinvestment.'
2. Landmark Jurisprudence (Commissioner of Internal Revenue v. De La Salle University, Inc., G.R. No. 196596, 2016):
 - 1. The tax exemption of non-stock, non-profit educational institutions is a DIRECT CONSTITUTIONAL GRANT.
 - 2. Covers BOTH internal revenue taxes (income tax, VAT) and customs duties on imported educational equipment.
 - 3. Sole Test: The revenues and assets must be used ACTUALLY, DIRECTLY, AND EXCLUSIVELY for educational purposes (e.g., canteens, dormitories, bookstore revenues reinvested back into the school are tax-exempt).
3. Option A is the verbatim constitutional rule.

Common Trap: Confusing non-stock, non-profit educational institutions (constitutionally exempt under Art. XIV, Sec. 4[3]) with proprietary/for-profit schools (which pay statutory preferential corporate income tax under the NIRC).
Exam Tip: Non-stock, Non-profit Educational Institutions = Constitutionally EXEMPT from taxes and duties if used ACTUALLY, DIRECTLY, AND EXCLUSIVELY for educational purposes.","Correct. Survives elimination because Article XIV, Section 4(3) establishes that all revenues and assets of non-stock, non-profit educational institutions used actually, directly, and exclusively for educational purposes are constitutionally exempt from taxes and customs duties.","Eliminated because the constitutional exemption is broad and covers internal revenue taxes (income tax, VAT) and customs duties, not merely local permit fees.","Eliminated because proprietary (for-profit) schools do not enjoy automatic constitutional tax exemption; their tax rates are determined by statutory law.","Eliminated because the constitutional exemption does not require 100% free scholarship enrollment, but hinges on the actual, direct, and exclusive educational use of revenues.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"In the landmark case of Guingona, Jr. v. Carague (G.R. No. 94571, April 22, 1991), what did the Supreme Court rule regarding the constitutional mandate under Article XIV, Section 5(5) that the State shall 'assign the HIGHEST BUDGETARY PRIORITY TO EDUCATION'?","The constitutional mandate to assign the highest budgetary priority to education is directory in nature and does not disable Congress from passing statutory appropriations for automatic debt service (debt servicing) that exceed the education appropriation in the General Appropriations Act.","The budget for the Department of Education must mathematically exceed the Σ of all other government line-item expenditures combined.","The President is required by the Constitution to veto any national budget where education is not the largest single line item.","Congress is prohibited from allocating any public funds to national defense until all public schools achieve a 1:1 student-to-computer ratio.","A","Step-by-Step Solution:
1. Landmark Case: Guingona, Jr. v. Carague (196 SCRA 221, 1991), penned by Justice Abdulwahid Bidin.
2. Facts: Former Senators Teofisto Guingona, Jr. and Aquilino Pimentel, Jr. challenged the constitutionality of the 1990 General Appropriations Act, arguing that the total allocation for foreign and domestic Debt Service (PHP 86 Billion, under automatic debt appropriation decrees) exceeded the allocation for the Department of Education, Culture and Sports (DECS, PHP 27 Billion), violating Article XIV, Section 5(5).
3. Supreme Court Ruling (En Banc):
 - 1. Article XIV, Section 5(5) ('The State shall assign the highest budgetary priority to education...') is a directive addressed to the legislative wisdom of Congress in crafting the national budget.
 - 2. While education must receive the highest priority among the executive departments in the General Appropriations Act, the constitutional provision DOES NOT PRECLUDE Congress from prioritizing mandatory debt servicing required by the sovereign credit standing and financial survival of the Republic.
 - 3. The 1990 GAA was upheld as constitutional.
4. Option A is the precise legal holding of Guingona v. Carague.

Common Trap: Believing the education budget must mathematically top all government obligations including debt service; the Supreme Court ruled that mandatory debt service does not violate Section 5(5).
Exam Tip: Guingona v. Carague = 'Highest budgetary priority to education' is a legislative policy guideline that does not invalidate higher automatic debt servicing appropriations.","Correct. Survives elimination because the Supreme Court in Guingona v. Carague held that Article XIV, Section 5(5) is a guiding constitutional directive that does not invalidate automatic debt service appropriations or tie the hands of Congress in responding to national fiscal obligations.","Eliminated because the Constitution does not require education funding to mathematically exceed all other combined national expenditures.","Eliminated because the President is not constitutionally compelled to veto a budget that allocates necessary funds to mandatory sovereign debt servicing.","Eliminated because national defense funding is not conditioned on arbitrary technological quotas under Article XIV.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 3(3) of the 1987 Constitution, what are the strict constitutional conditions for OPTIONAL RELIGIOUS INSTRUCTION in public elementary and high schools?","At the option expressed in writing by the parents or guardians, religion shall be taught to their children or wards in public elementary and high schools within the regular class hours by instructors designated or approved by the religious authorities of the religion to which the children belong, WITHOUT ADDITIONAL COST TO THE GOVERNMENT.","Religious instruction is mandatory for all public school students regardless of parental objection.","Public school teachers are required to teach their own personal religious beliefs during science classes.","The government must construct private chapels inside all public school campuses at state expense.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 3(3) states:
 'At the option expressed in writing by the parents or guardians, religion shall be taught to their children or wards in public elementary and high schools within the regular class hours by instructors designated or approved by the religious authorities of the religion to which the children or wards belong, without additional cost to the Government.'
2. Four Mandatory Requisites for Public School Religious Instruction:
 - 1. Expressed in WRITING by parents or guardians (strictly optional).
 - 2. Taught in PUBLIC elementary and high schools.
 - 3. Conducted WITHIN THE REGULAR CLASS HOURS.
 - 4. Taught by instructors designated/approved by religious authorities of the student's faith.
 - 5. STRICT FISCAL PROHIBITION: 'WITHOUT ADDITIONAL COST TO THE GOVERNMENT' (public funds cannot be used to pay religious instructors or purchase religious materials, upholding Church-State separation).
3. Option A matches the constitutional text and conditions verbatim.

Common Trap: Thinking religious instruction can only be after school hours; the Constitution specifically permits it 'within the regular class hours,' provided it is at no cost to the government.
Exam Tip: Optional Religious Instruction: (1) Written parental consent, (2) Within regular class hours, (3) Approved religious instructors, (4) NO ADDITIONAL COST to government.","Correct. Survives elimination because Article XIV, Section 3(3) explicitly authorizes optional religious instruction in public schools upon written parental request, during regular class hours, by approved religious instructors, and strictly without additional cost to the government.","Eliminated because religious instruction is strictly optional and requires affirmative written parental consent; compulsory religious instruction is unconstitutional.","Eliminated because regular public school teachers cannot use state class time to proselytize their personal religious beliefs.","Eliminated because public funds cannot be spent on religious structures or sectarian items under the non-establishment clause (Article III, Section 5).","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 4(2) of the 1987 Constitution, what is the constitutional rule on the OWNERSHIP and ADMINISTRATION of educational institutions in the Philippines?","Educational institutions, other than those established by religious groups and mission boards, shall be owned SOLELY by citizens of the Philippines or corporations/associations at least 60% of the capital of which is owned by such citizens; the control and administration of all educational institutions shall be vested in citizens of the Philippines.","Foreign corporations can own 100% of all private universities in the Philippines without statutory restrictions.","All private schools must be owned directly by the Department of Education.","Educational institutions can only be owned by non-governmental religious mission boards.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 4(2) states:
 'Educational institutions, other than those established by religious groups and mission boards, shall be owned solely by citizens of the Philippines or corporations or associations at least sixty per centum of the capital of which is owned by such citizens. Congress may, however, require increased Filipino equity participation in all educational institutions. The control and administration of educational institutions shall be vested in citizens of the Philippines. No educational institution shall be established exclusively for aliens and no group of aliens shall comprise more than one-third of the enrollment in any school. The provisions of this subsection shall not apply to schools established for foreign diplomatic personnel and their dependents and, unless otherwise provided by law, for other foreign temporary residents.'
2. Key Constitutional Rules on School Ownership:
 - 1. Ownership: Must be 100% Filipino-owned, OR at least 60% Filipino-owned corporation. (Exception: Schools established by religious groups and mission boards).
 - 2. Administration & Control: 'THE CONTROL AND ADMINISTRATION SHALL BE VESTED IN CITIZENS OF THE PHILIPPINES' (Presidents, Deans, and governing administrative officers must be Filipino citizens).
 - 3. Alien Enrollment Cap: No group of aliens shall comprise more than ONE-THIRD (33.3%) of total student enrollment (except schools established for foreign diplomatic personnel).
3. Option A is the verbatim constitutional requirement.

Common Trap: Confusing school ownership (60% Filipino, except religious mission schools) with administration (control and administration MUST be vested in Filipino citizens).
Exam Tip: Educational Institutions = At least 60% Filipino-owned + Control & Administration vested in FILIPINO CITIZENS + Max 1/3 alien enrollment.","Correct. Survives elimination because Article XIV, Section 4(2) dictates that educational institutions (outside religious mission boards) must be at least 60% Filipino-owned, and commands that control and administration must be vested exclusively in Filipino citizens.","Eliminated because 100% foreign ownership of educational institutions is prohibited by Article XIV, Section 4(2).","Eliminated because the Constitution explicitly recognizes private ownership of educational institutions alongside state institutions.","Eliminated because secular non-religious corporations and individuals can freely establish educational institutions under the 60% Filipino equity rule.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 2(2) of the 1987 Constitution, what is the State's constitutional mandate regarding FREE PUBLIC EDUCATION?","The State shall establish and maintain a system of free public education in the elementary and high school levels; elementary education is compulsory for all children of school age.","Free public education is constitutionally guaranteed only through doctoral postgraduate university levels.","Free public education applies exclusively to pre-school kindergarten while high school requires mandatory tuition fees.","Public high school education is strictly privatized and operated on a commercial fee-paying basis.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 2(2) states:
 'The State shall: (2) Establish and maintain a system of free public education in the elementary and high school levels. Without limiting the natural right of parents to rear their children, elementary education is compulsory for all children of school age.'
2. Two Landmark Principles:
 - 1. Free Public Education: Guaranteed at the ELEMENTARY and HIGH SCHOOL (Secondary) levels.
 - 2. Compulsory Education: ELEMENTARY education is COMPULSORY for all children of school age.
3. Statutory Expansion: Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act of 2017) subsequently expanded tuition-free education to State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) by statutory enactment.
4. Option A is the exact constitutional text under Section 2(2).

Common Trap: Believing tertiary education is a mandatory constitutional right under Section 2; the constitutional baseline is free elementary and high school, while free college is an act of statutory legislation (RA 10931).
Exam Tip: Constitutional Free Public Education = Elementary and High School levels + Elementary education is COMPULSORY.","Correct. Survives elimination because Article XIV, Section 2(2) explicitly commands the State to maintain free public education in both elementary and high school levels, making elementary education compulsory for school-age children.","Eliminated because postgraduate doctoral education is not constitutionally mandated to be free of charge.","Eliminated because free education is guaranteed in both elementary and high school, with elementary being compulsory.","Eliminated because public secondary high school education is constitutionally free.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 6 of the 1987 Constitution, what is the NATIONAL LANGUAGE of the Philippines, and how is it mandated to evolve?","The national language of the Philippines is FILIPINO; as it evolves, it shall be further developed and enriched on the basis of existing Philippine and other languages.","The national language of the Philippines is TAGALOG, strictly limited to the dialect spoken in the Southern Tagalog provinces.","The national language of the Philippines is ENGLISH, to the total exclusion of indigenous dialects.","The national language of the Philippines is SPANISH, pursuant to colonial royal decrees.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 6, first paragraph:
 'The national language of the Philippines is Filipino. As it evolves, it shall be further developed and enriched on the basis of existing Philippine and other languages.'
2. Official Languages (Article XIV, Section 7):
 - 'For purposes of communication and instruction, the official languages of the Philippines are FILIPINO and, until otherwise provided by law, ENGLISH.'
 - Regional languages are auxiliary official languages in the regions and shall serve as auxiliary media of instruction therein.
 - Spanish and Arabic shall be promoted on a voluntary and optional basis (Section 7, second paragraph).
3. Distinction between Tagalog and Filipino:
 - Tagalog is a regional language (the grammatical base).
 - Filipino is the national language, evolving by incorporating vocabulary and concepts from other Philippine languages (Cebuano, Ilocano, Hiligaynon, etc.) and foreign languages (English, Spanish).
4. Option A matches the constitutional text verbatim.

Common Trap: Stating the national language is Tagalog; the 1987 Constitution explicitly named the national language FILIPINO.
Exam Tip: National Language = FILIPINO; Official Languages for communication/instruction = FILIPINO and ENGLISH.","Correct. Survives elimination because Article XIV, Section 6 specifically designates Filipino as the national language of the Philippines, mandating its continuous enrichment through existing Philippine and other languages.","Eliminated because the 1987 Constitution officially named the national language 'Filipino,' not Tagalog.","Eliminated because English is an official language under Section 7, but not the designated national language.","Eliminated because Spanish is not the national language; under Section 7, Spanish and Arabic are promoted only on a voluntary and optional basis.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 4(1) of the 1987 Constitution, what is the constitutional role of the State regarding the PUBLIC and PRIVATE educational sectors?","The State recognizes the complementary roles of public and private institutions in the educational system and shall exercise reasonable supervision and regulation of all educational institutions.","The State must nationalize and abolish all private educational institutions within ten years.","Private educational institutions are completely immune from any government health, safety, or academic regulations.","The State funds 100% of all operating budgets of private proprietary commercial universities.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 4(1):
 'The State recognizes the complementary roles of public and private institutions in the educational system and shall exercise reasonable supervision and regulation of all educational institutions.'
2. Key Legal Principles:
 - 1. Complementary Roles: The educational system is a partnership between public institutions and private educational enterprises.
 - 2. State Authority: The State exercises 'REASONABLE SUPERVISION AND REGULATION' (police power) over all schools (public and private) to ensure quality standards, curricula compliance, and student welfare (CHED / DepEd / TESDA oversight).
3. Option A is the verbatim constitutional rule.

Common Trap: Believing the State 'controls' private schools; the Constitution specifies 'reasonable supervision and regulation,' preserving institutional academic autonomy.
Exam Tip: Article XIV, Section 4(1) = Complementary roles of public and private educational institutions + Reasonable state supervision and regulation.","Correct. Survives elimination because Article XIV, Section 4(1) explicitly recognizes the complementary roles of public and private schools and authorizes the State to exercise reasonable supervision and regulation across all educational institutions.","Eliminated because the Constitution protects private educational institutions as vital complementary partners in the national educational system.","Eliminated because private schools are subject to reasonable state regulation by the Department of Education (DepEd) and Commission on Higher Education (CHED).","Eliminated because private proprietary schools are self-funding private enterprises, not recipients of full state operating funding.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"In the landmark case of Ateneo de Manila University v. Capulong (G.R. No. 99327, May 27, 1993), what was the Supreme Court's ruling regarding a university's right to DISMISS OR EXPEL STUDENTS for violating institutional disciplinary rules (such as anti-hazing regulations)?","The dismissal of students who violate a university's disciplinary code of conduct is a valid exercise of institutional ACADEMIC FREEDOM, provided procedural due process (notice and opportunity to explain) is observed.","A university has no legal authority to dismiss students because the constitutional right to education overrides all campus rules.","Only the Supreme Court En Banc can order the expulsion of a college student from a private university.","Expulsion of students violates the constitutional prohibition against cruel, degrading, and inhuman punishment.","A","Step-by-Step Solution:
1. Landmark Case: Ateneo de Manila University v. Capulong (222 SCRA 644, 1993), penned by Justice Florentino Feliciano:
 - Facts: Law students involved in the fatal fraternity hazing of Leonardo 'Lenny' Villa were expelled by Ateneo Law School after an investigation by a Disciplinary Board. The students filed a petition claiming violation of their due process rights and right to education.
 - Supreme Court Ruling (En Banc):
 - 1. Institutional ACADEMIC FREEDOM (Article XIV, Section 5[2]) includes the right of a university to determine 'WHO MAY BE ADMITTED TO STUDY.'
 - 2. The right to admit includes the corollary right to EXPEL or dismiss students who fail to maintain the academic or moral standards established by the institution.
 - 3. Provided the student is given written notice of the charges and a fair opportunity to explain their side (satisfying Guzman v. National University student due process standards), the university's decision to expel is a protected exercise of academic freedom that courts will not disturb.
2. Option A is the precise legal holding of Ateneo v. Capulong.

Common Trap: Believing the 'right to education' prevents a university from expelling violent or dishonest students; the right to education is conditioned on meeting the university's academic and disciplinary standards.
Exam Tip: Ateneo v. Capulong = Expulsion for disciplinary infractions (e.g., hazing) is a protected exercise of ACADEMIC FREEDOM (who may be admitted to study), subject to procedural due process.","Correct. Survives elimination because Ateneo de Manila University v. Capulong established that a university's institutional academic freedom includes the power to enforce disciplinary standards and expel erring students, provided procedural due process is observed.","Eliminated because the constitutional right to education is subject to academic and moral standards; students do not have an absolute right to remain enrolled while violating disciplinary codes.","Eliminated because educational institutions possess autonomous authority to adjudicate student disciplinary cases without prior Supreme Court action.","Eliminated because school expulsion is an administrative academic sanction, not a penal criminal punishment under the Bill of Rights.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
"Under Article XIV, Section 10 of the 1987 Constitution, what is the State's declared policy regarding SCIENCE AND TECHNOLOGY?","Science and technology are essential for national development and progress; the State shall give priority to research and development, invention, innovation, and their utilization; and to science and technology education, training, and services.","Science and technology research is strictly prohibited unless conducted under bilateral military alliances.","The State mandates that all technological innovations must be surrendered to the government without patent protection.","Science and technology funding is capped at 1% of the annual budget of the Commission on Higher Education.","A","Step-by-Step Solution:
1. Constitutional Text: Article XIV, Section 10 states:
 'Science and technology are essential for national development and progress. The State shall give priority to research and development, invention, innovation, and their utilization; and to science and technology education, training, and services. It shall support indigenous, appropriate, and self-reliant scientific and technological capabilities, and their application to the country's productive systems and national life.'
2. Companion Provisions:
 - Section 12: Regulation of technology transfer, adaptation of technology, and protection of intellectual property rights (patents, copyrights, trademarks).
 - Section 13: Protection of inventors, scientists, and artistic creations through exclusive property rights for limited periods (Intellectual Property Code / RA 8293).
3. Option A is the verbatim constitutional statement.

Common Trap: Believing the Constitution does not protect patents or intellectual property; Section 13 explicitly commands the protection of exclusive property rights for inventors and authors.
Exam Tip: Article XIV, Section 10 = Priority to Research & Development (R&D), invention, innovation, S&T education, and indigenous scientific capabilities.","Correct. Survives elimination because Article XIV, Section 10 declares science and technology essential for national development and commands the State to prioritize R&D, innovation, and technological education.","Eliminated because the Constitution actively promotes and supports domestic, independent scientific research and development.","Eliminated because Article XIV, Section 13 explicitly guarantees exclusive property rights and patent protection to inventors and scientists.","Eliminated because the Constitution contains no budgetary ceilings limiting science and technology investments.","General Information","General Information | Philippine Constitution | Constitutional Articles & Doctrines | Education | Very Difficult | Batch 138"
